# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# Convergence: Err(φ)=5.938e-11, Err(n_e)=6.609e-12, Err(IET)=9.983e-13, Q_net=-9.119e-10
# {"name":"CS2014_Al", "Z":13, "Zstar":2.871438230402648, "A":26.981539,  "μ[AU]": 2.8906868308e-01, "Te[AU]": 3.675e-02, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           ne_full[AU]     n_ion[AU]       ne_ext[AU]      ne_PA[AU]       ne_scr[AU]      
   1.000000e-04    4.483061e+06    4.483046e+06    1.652387e-03    4.483061e+06    1.535836e+01
   1.006327e-04    4.440858e+06    4.440841e+06    1.652387e-03    4.440858e+06    1.694600e+01
   1.012694e-04    4.399050e+06    4.399032e+06    1.652387e-03    4.399050e+06    1.792839e+01
   1.019102e-04    4.357636e+06    4.357618e+06    1.652387e-03    4.357636e+06    1.823480e+01
   1.025550e-04    4.316611e+06    4.316593e+06    1.652387e-03    4.316611e+06    1.787708e+01
   1.032039e-04    4.275971e+06    4.275955e+06    1.652387e-03    4.275971e+06    1.684111e+01
   1.038569e-04    4.235714e+06    4.235699e+06    1.652387e-03    4.235714e+06    1.575317e+01
   1.045140e-04    4.195838e+06    4.195821e+06    1.652387e-03    4.195838e+06    1.645282e+01
   1.051753e-04    4.156337e+06    4.156320e+06    1.652387e-03    4.156337e+06    1.745331e+01
   1.058408e-04    4.117208e+06    4.117190e+06    1.652387e-03    4.117208e+06    1.780657e+01
   1.065104e-04    4.078446e+06    4.078429e+06    1.652387e-03    4.078446e+06    1.745402e+01
   1.071843e-04    4.040049e+06    4.040032e+06    1.652387e-03    4.040049e+06    1.649709e+01
   1.078625e-04    4.002012e+06    4.001997e+06    1.652387e-03    4.002012e+06    1.523278e+01
   1.085450e-04    3.964336e+06    3.964320e+06    1.652387e-03    3.964336e+06    1.602164e+01
   1.092318e-04    3.927015e+06    3.926998e+06    1.652387e-03    3.927015e+06    1.698568e+01
   1.099229e-04    3.890044e+06    3.890027e+06    1.652387e-03    3.890044e+06    1.730580e+01
   1.106184e-04    3.853421e+06    3.853404e+06    1.652387e-03    3.853421e+06    1.703830e+01
   1.113183e-04    3.817142e+06    3.817126e+06    1.652387e-03    3.817142e+06    1.619898e+01
   1.120226e-04    3.781204e+06    3.781189e+06    1.652387e-03    3.781204e+06    1.484514e+01
   1.127314e-04    3.745606e+06    3.745590e+06    1.652387e-03    3.745606e+06    1.555462e+01
   1.134447e-04    3.710344e+06    3.710327e+06    1.652387e-03    3.710344e+06    1.649260e+01
   1.141625e-04    3.675413e+06    3.675396e+06    1.652387e-03    3.675413e+06    1.686300e+01
   1.148848e-04    3.640810e+06    3.640793e+06    1.652387e-03    3.640810e+06    1.667484e+01
   1.156117e-04    3.606532e+06    3.606517e+06    1.652387e-03    3.606532e+06    1.589863e+01
   1.163432e-04    3.572577e+06    3.572562e+06    1.652387e-03    3.572577e+06    1.485350e+01
   1.170794e-04    3.538943e+06    3.538928e+06    1.652387e-03    3.538943e+06    1.511195e+01
   1.178201e-04    3.505626e+06    3.505610e+06    1.652387e-03    3.505626e+06    1.606531e+01
   1.185656e-04    3.472622e+06    3.472606e+06    1.652387e-03    3.472622e+06    1.646580e+01
   1.193158e-04    3.439929e+06    3.439912e+06    1.652387e-03    3.439929e+06    1.626953e+01
   1.200707e-04    3.407542e+06    3.407527e+06    1.652387e-03    3.407542e+06    1.556707e+01
   1.208304e-04    3.375460e+06    3.375446e+06    1.652387e-03    3.375460e+06    1.436854e+01
   1.215950e-04    3.343682e+06    3.343667e+06    1.652387e-03    3.343682e+06    1.475606e+01
   1.223643e-04    3.312203e+06    3.312187e+06    1.652387e-03    3.312203e+06    1.563896e+01
   1.231385e-04    3.281020e+06    3.281004e+06    1.652387e-03    3.281020e+06    1.600968e+01
   1.239177e-04    3.250130e+06    3.250114e+06    1.652387e-03    3.250130e+06    1.588454e+01
   1.247017e-04    3.219530e+06    3.219515e+06    1.652387e-03    3.219530e+06    1.527799e+01
   1.254907e-04    3.189218e+06    3.189204e+06    1.652387e-03    3.189218e+06    1.423516e+01
   1.262847e-04    3.159193e+06    3.159178e+06    1.652387e-03    3.159193e+06    1.430900e+01
   1.270838e-04    3.129451e+06    3.129435e+06    1.652387e-03    3.129451e+06    1.519935e+01
   1.278879e-04    3.099988e+06    3.099972e+06    1.652387e-03    3.099988e+06    1.560766e+01
   1.286970e-04    3.070802e+06    3.070787e+06    1.652387e-03    3.070802e+06    1.554584e+01
   1.295113e-04    3.041891e+06    3.041876e+06    1.652387e-03    3.041891e+06    1.497506e+01
   1.303308e-04    3.013251e+06    3.013237e+06    1.652387e-03    3.013251e+06    1.395529e+01
   1.311554e-04    2.984882e+06    2.984868e+06    1.652387e-03    2.984882e+06    1.391521e+01
   1.319852e-04    2.956781e+06    2.956766e+06    1.652387e-03    2.956781e+06    1.481381e+01
   1.328203e-04    2.928943e+06    2.928928e+06    1.652387e-03    2.928943e+06    1.523471e+01
   1.336607e-04    2.901368e+06    2.901353e+06    1.652387e-03    2.901368e+06    1.516033e+01
   1.345064e-04    2.874051e+06    2.874037e+06    1.652387e-03    2.874051e+06    1.465592e+01
   1.353575e-04    2.846992e+06    2.846978e+06    1.652387e-03    2.846992e+06    1.373082e+01
   1.362139e-04    2.820187e+06    2.820174e+06    1.652387e-03    2.820187e+06    1.362065e+01
   1.370758e-04    2.793637e+06    2.793622e+06    1.652387e-03    2.793637e+06    1.442016e+01
   1.379431e-04    2.767335e+06    2.767320e+06    1.652387e-03    2.767335e+06    1.482427e+01
   1.388159e-04    2.741281e+06    2.741266e+06    1.652387e-03    2.741281e+06    1.480467e+01
   1.396942e-04    2.715472e+06    2.715457e+06    1.652387e-03    2.715472e+06    1.437681e+01
   1.405780e-04    2.689905e+06    2.689891e+06    1.652387e-03    2.689905e+06    1.355662e+01
   1.414675e-04    2.664579e+06    2.664566e+06    1.652387e-03    2.664579e+06    1.319375e+01
   1.423626e-04    2.639493e+06    2.639479e+06    1.652387e-03    2.639493e+06    1.403071e+01
   1.432634e-04    2.614643e+06    2.614628e+06    1.652387e-03    2.614643e+06    1.445776e+01
   1.441698e-04    2.590026e+06    2.590011e+06    1.652387e-03    2.590026e+06    1.448471e+01
   1.450820e-04    2.565640e+06    2.565626e+06    1.652387e-03    2.565640e+06    1.408055e+01
   1.460000e-04    2.541484e+06    2.541471e+06    1.652387e-03    2.541484e+06    1.328914e+01
   1.469237e-04    2.517556e+06    2.517543e+06    1.652387e-03    2.517556e+06    1.303420e+01
   1.478534e-04    2.493853e+06    2.493840e+06    1.652387e-03    2.493853e+06    1.368190e+01
   1.487889e-04    2.470374e+06    2.470360e+06    1.652387e-03    2.470374e+06    1.411143e+01
   1.497303e-04    2.447115e+06    2.447101e+06    1.652387e-03    2.447115e+06    1.412595e+01
   1.506777e-04    2.424075e+06    2.424061e+06    1.652387e-03    2.424075e+06    1.377744e+01
   1.516310e-04    2.401251e+06    2.401238e+06    1.652387e-03    2.401251e+06    1.307156e+01
   1.525904e-04    2.378643e+06    2.378630e+06    1.652387e-03    2.378643e+06    1.257508e+01
   1.535559e-04    2.356248e+06    2.356235e+06    1.652387e-03    2.356248e+06    1.332388e+01
   1.545275e-04    2.334064e+06    2.334051e+06    1.652387e-03    2.334064e+06    1.373810e+01
   1.555052e-04    2.312089e+06    2.312075e+06    1.652387e-03    2.312089e+06    1.379598e+01
   1.564891e-04    2.290320e+06    2.290306e+06    1.652387e-03    2.290320e+06    1.350738e+01
   1.574792e-04    2.268755e+06    2.268743e+06    1.652387e-03    2.268755e+06    1.286437e+01
   1.584757e-04    2.247394e+06    2.247382e+06    1.652387e-03    2.247394e+06    1.233524e+01
   1.594784e-04    2.226235e+06    2.226222e+06    1.652387e-03    2.226235e+06    1.296962e+01
   1.604874e-04    2.205275e+06    2.205261e+06    1.652387e-03    2.205275e+06    1.340349e+01
   1.615028e-04    2.184512e+06    2.184498e+06    1.652387e-03    2.184512e+06    1.349755e+01
   1.625247e-04    2.163944e+06    2.163931e+06    1.652387e-03    2.163944e+06    1.322078e+01
   1.635530e-04    2.143569e+06    2.143556e+06    1.652387e-03    2.143569e+06    1.262088e+01
   1.645879e-04    2.123386e+06    2.123374e+06    1.652387e-03    2.123386e+06    1.219238e+01
   1.656293e-04    2.103394e+06    2.103382e+06    1.652387e-03    2.103394e+06    1.265332e+01
   1.666772e-04    2.083591e+06    2.083577e+06    1.652387e-03    2.083591e+06    1.308207e+01
   1.677318e-04    2.063973e+06    2.063960e+06    1.652387e-03    2.063973e+06    1.316221e+01
   1.687931e-04    2.044540e+06    2.044527e+06    1.652387e-03    2.044540e+06    1.293507e+01
   1.698611e-04    2.025289e+06    2.025276e+06    1.652387e-03    2.025289e+06    1.240697e+01
   1.709358e-04    2.006219e+06    2.006208e+06    1.652387e-03    2.006219e+06    1.161484e+01
   1.720174e-04    1.987330e+06    1.987318e+06    1.652387e-03    1.987330e+06    1.232851e+01
   1.731058e-04    1.968619e+06    1.968606e+06    1.652387e-03    1.968619e+06    1.274273e+01
   1.742010e-04    1.950084e+06    1.950071e+06    1.652387e-03    1.950084e+06    1.285627e+01
   1.753032e-04    1.931723e+06    1.931710e+06    1.652387e-03    1.931723e+06    1.267749e+01
   1.764124e-04    1.913534e+06    1.913522e+06    1.652387e-03    1.913534e+06    1.219202e+01
   1.775286e-04    1.895517e+06    1.895505e+06    1.652387e-03    1.895517e+06    1.169222e+01
   1.786519e-04    1.877670e+06    1.877658e+06    1.652387e-03    1.877670e+06    1.201019e+01
   1.797822e-04    1.859991e+06    1.859978e+06    1.652387e-03    1.859991e+06    1.243760e+01
   1.809198e-04    1.842478e+06    1.842465e+06    1.652387e-03    1.842478e+06    1.257930e+01
   1.820645e-04    1.825130e+06    1.825117e+06    1.652387e-03    1.825130e+06    1.240102e+01
   1.832164e-04    1.807945e+06    1.807933e+06    1.652387e-03    1.807945e+06    1.195587e+01
   1.843757e-04    1.790921e+06    1.790910e+06    1.652387e-03    1.790921e+06    1.139160e+01
   1.855423e-04    1.774059e+06    1.774047e+06    1.652387e-03    1.774059e+06    1.172373e+01
   1.867162e-04    1.757355e+06    1.757343e+06    1.652387e-03    1.757355e+06    1.213730e+01
   1.878976e-04    1.740809e+06    1.740796e+06    1.652387e-03    1.740809e+06    1.226683e+01
   1.890865e-04    1.724417e+06    1.724405e+06    1.652387e-03    1.724417e+06    1.213216e+01
   1.902829e-04    1.708180e+06    1.708169e+06    1.652387e-03    1.708180e+06    1.174422e+01
   1.914868e-04    1.692096e+06    1.692085e+06    1.652387e-03    1.692096e+06    1.111732e+01
   1.926984e-04    1.676164e+06    1.676152e+06    1.652387e-03    1.676164e+06    1.142378e+01
   1.939177e-04    1.660382e+06    1.660370e+06    1.652387e-03    1.660382e+06    1.183119e+01
   1.951446e-04    1.644748e+06    1.644736e+06    1.652387e-03    1.644748e+06    1.198261e+01
   1.963793e-04    1.629261e+06    1.629249e+06    1.652387e-03    1.629261e+06    1.188780e+01
   1.976219e-04    1.613920e+06    1.613908e+06    1.652387e-03    1.613920e+06    1.153017e+01
   1.988723e-04    1.598723e+06    1.598712e+06    1.652387e-03    1.598723e+06    1.104557e+01
   2.001306e-04    1.583670e+06    1.583658e+06    1.652387e-03    1.583670e+06    1.113597e+01
   2.013968e-04    1.568758e+06    1.568747e+06    1.652387e-03    1.568758e+06    1.155022e+01
   2.026711e-04    1.553987e+06    1.553975e+06    1.652387e-03    1.553987e+06    1.172158e+01
   2.039535e-04    1.539355e+06    1.539343e+06    1.652387e-03    1.539355e+06    1.162551e+01
   2.052439e-04    1.524860e+06    1.524848e+06    1.652387e-03    1.524860e+06    1.130242e+01
   2.065425e-04    1.510501e+06    1.510490e+06    1.652387e-03    1.510501e+06    1.075890e+01
   2.078494e-04    1.496278e+06    1.496267e+06    1.652387e-03    1.496278e+06    1.089022e+01
   2.091645e-04    1.482189e+06    1.482178e+06    1.652387e-03    1.482189e+06    1.127372e+01
   2.104879e-04    1.468233e+06    1.468222e+06    1.652387e-03    1.468233e+06    1.143396e+01
   2.118197e-04    1.454408e+06    1.454397e+06    1.652387e-03    1.454408e+06    1.137055e+01
   2.131599e-04    1.440713e+06    1.440702e+06    1.652387e-03    1.440713e+06    1.109301e+01
   2.145086e-04    1.427146e+06    1.427136e+06    1.652387e-03    1.427146e+06    1.061939e+01
   2.158659e-04    1.413708e+06    1.413697e+06    1.652387e-03    1.413708e+06    1.059880e+01
   2.172317e-04    1.400396e+06    1.400385e+06    1.652387e-03    1.400396e+06    1.099380e+01
   2.186062e-04    1.387210e+06    1.387199e+06    1.652387e-03    1.387210e+06    1.117125e+01
   2.199893e-04    1.374148e+06    1.374137e+06    1.652387e-03    1.374148e+06    1.113943e+01
   2.213812e-04    1.361208e+06    1.361197e+06    1.652387e-03    1.361208e+06    1.088282e+01
   2.227820e-04    1.348390e+06    1.348380e+06    1.652387e-03    1.348390e+06    1.042030e+01
   2.241916e-04    1.335693e+06    1.335683e+06    1.652387e-03    1.335693e+06    1.035454e+01
