# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# Convergence: Err(φ)=5.783e-11, Err(n_e)=2.479e-11, Err(IET)=9.823e-13, Q_net=-2.725e-09
# {"name":"CS2014_Al", "Z":13, "Zstar":4.725884772434015, "A":26.981539,  "μ[AU]": -1.4933866765e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 1.102e+00, "rs[AU]": 2.990e+00 }
   r[AU]           ne_full[AU]     n_ion[AU]       ne_ext[AU]      ne_PA[AU]       ne_scr[AU]      
   1.000000e-04    4.483040e+06    4.483115e+06    1.842383e-02    4.483040e+06   -7.489484e+01
   1.006327e-04    4.440835e+06    4.440909e+06    1.842383e-02    4.440835e+06   -7.374085e+01
   1.012694e-04    4.399027e+06    4.399100e+06    1.842383e-02    4.399027e+06   -7.325739e+01
   1.019102e-04    4.357612e+06    4.357686e+06    1.842383e-02    4.357612e+06   -7.343975e+01
   1.025550e-04    4.316586e+06    4.316661e+06    1.842383e-02    4.316586e+06   -7.426870e+01
   1.032039e-04    4.275947e+06    4.276022e+06    1.842383e-02    4.275947e+06   -7.539787e+01
   1.038569e-04    4.235692e+06    4.235766e+06    1.842383e-02    4.235692e+06   -7.371059e+01
   1.045140e-04    4.195816e+06    4.195888e+06    1.842383e-02    4.195816e+06   -7.252888e+01
   1.051753e-04    4.156315e+06    4.156387e+06    1.842383e-02    4.156315e+06   -7.199384e+01
   1.058408e-04    4.117185e+06    4.117257e+06    1.842383e-02    4.117185e+06   -7.209043e+01
   1.065104e-04    4.078422e+06    4.078495e+06    1.842383e-02    4.078422e+06   -7.287710e+01
   1.071843e-04    4.040025e+06    4.040098e+06    1.842383e-02    4.040025e+06   -7.351378e+01
   1.078625e-04    4.001991e+06    4.002063e+06    1.842383e-02    4.001991e+06   -7.248802e+01
   1.085450e-04    3.964314e+06    3.964386e+06    1.842383e-02    3.964314e+06   -7.128926e+01
   1.092318e-04    3.926992e+06    3.927063e+06    1.842383e-02    3.926992e+06   -7.075149e+01
   1.099229e-04    3.890021e+06    3.890092e+06    1.842383e-02    3.890021e+06   -7.084645e+01
   1.106184e-04    3.853397e+06    3.853469e+06    1.842383e-02    3.853397e+06   -7.151510e+01
   1.113183e-04    3.817118e+06    3.817190e+06    1.842383e-02    3.817118e+06   -7.250171e+01
   1.120226e-04    3.781182e+06    3.781254e+06    1.842383e-02    3.781182e+06   -7.123917e+01
   1.127314e-04    3.745585e+06    3.745655e+06    1.842383e-02    3.745585e+06   -7.011962e+01
   1.134447e-04    3.710322e+06    3.710391e+06    1.842383e-02    3.710322e+06   -6.957060e+01
   1.141625e-04    3.675390e+06    3.675460e+06    1.842383e-02    3.675390e+06   -6.958218e+01
   1.148848e-04    3.640787e+06    3.640857e+06    1.842383e-02    3.640787e+06   -7.014230e+01
   1.156117e-04    3.606509e+06    3.606580e+06    1.842383e-02    3.606509e+06   -7.101320e+01
   1.163432e-04    3.572556e+06    3.572626e+06    1.842383e-02    3.572556e+06   -7.009087e+01
   1.170794e-04    3.538922e+06    3.538991e+06    1.842383e-02    3.538922e+06   -6.895419e+01
   1.178201e-04    3.505605e+06    3.505673e+06    1.842383e-02    3.505605e+06   -6.836302e+01
   1.185656e-04    3.472601e+06    3.472669e+06    1.842383e-02    3.472601e+06   -6.831506e+01
   1.193158e-04    3.439906e+06    3.439975e+06    1.842383e-02    3.439906e+06   -6.884631e+01
   1.200707e-04    3.407520e+06    3.407589e+06    1.842383e-02    3.407520e+06   -6.955819e+01
   1.208304e-04    3.375439e+06    3.375508e+06    1.842383e-02    3.375439e+06   -6.890301e+01
   1.215950e-04    3.343661e+06    3.343729e+06    1.842383e-02    3.343661e+06   -6.776035e+01
   1.223643e-04    3.312182e+06    3.312249e+06    1.842383e-02    3.312182e+06   -6.718516e+01
   1.231385e-04    3.280998e+06    3.281066e+06    1.842383e-02    3.280998e+06   -6.713442e+01
   1.239177e-04    3.250108e+06    3.250176e+06    1.842383e-02    3.250108e+06   -6.757079e+01
   1.247017e-04    3.219508e+06    3.219576e+06    1.842383e-02    3.219508e+06   -6.847831e+01
   1.254907e-04    3.189197e+06    3.189265e+06    1.842383e-02    3.189197e+06   -6.771056e+01
   1.262847e-04    3.159173e+06    3.159239e+06    1.842383e-02    3.159173e+06   -6.663614e+01
   1.270838e-04    3.129430e+06    3.129496e+06    1.842383e-02    3.129430e+06   -6.605053e+01
   1.278879e-04    3.099967e+06    3.100033e+06    1.842383e-02    3.099967e+06   -6.593828e+01
   1.286970e-04    3.070781e+06    3.070847e+06    1.842383e-02    3.070781e+06   -6.628715e+01
   1.295113e-04    3.041869e+06    3.041936e+06    1.842383e-02    3.041869e+06   -6.698023e+01
   1.303308e-04    3.013230e+06    3.013297e+06    1.842383e-02    3.013230e+06   -6.659567e+01
   1.311554e-04    2.984862e+06    2.984928e+06    1.842383e-02    2.984862e+06   -6.551493e+01
   1.319852e-04    2.956760e+06    2.956825e+06    1.842383e-02    2.956760e+06   -6.489560e+01
   1.328203e-04    2.928923e+06    2.928988e+06    1.842383e-02    2.928923e+06   -6.474492e+01
   1.336607e-04    2.901347e+06    2.901412e+06    1.842383e-02    2.901347e+06   -6.507817e+01
   1.345064e-04    2.874030e+06    2.874096e+06    1.842383e-02    2.874030e+06   -6.583378e+01
   1.353575e-04    2.846971e+06    2.847037e+06    1.842383e-02    2.846971e+06   -6.544253e+01
   1.362139e-04    2.820168e+06    2.820233e+06    1.842383e-02    2.820168e+06   -6.437210e+01
   1.370758e-04    2.793617e+06    2.793681e+06    1.842383e-02    2.793617e+06   -6.377787e+01
   1.379431e-04    2.767315e+06    2.767379e+06    1.842383e-02    2.767315e+06   -6.362117e+01
   1.388159e-04    2.741260e+06    2.741324e+06    1.842383e-02    2.741260e+06   -6.387722e+01
   1.396942e-04    2.715451e+06    2.715515e+06    1.842383e-02    2.715451e+06   -6.453275e+01
