# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=5.800e-11, Err(n_e)=2.932e-03, Err(IET)=2.399e+04, Q_net=-4.955e-03
# {"name":"Al", "Z":13, "Zstar":216.77354812205144, "A":26.981539,  "μ[AU]": -1.2419439033e+00, "Te[AU]": 1.000e+00, "Ti[AU]": 1.000e+00, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   1.495053e-02             nan    3.182184e+06    0.000000e+00
   2.990107e-02             nan    1.610049e+06    0.000000e+00
   4.485160e-02             nan    1.085645e+06    0.000000e+00
   5.980213e-02             nan    8.231613e+05    0.000000e+00
   7.475267e-02             nan    6.654617e+05    0.000000e+00
   8.970320e-02             nan    5.601505e+05    0.000000e+00
   1.046537e-01             nan    4.847843e+05    0.000000e+00
   1.196043e-01             nan    4.281325e+05    1.084558e+02
   1.345548e-01             nan    3.839626e+05    0.000000e+00
   1.495053e-01             nan    3.485297e+05    1.915464e+01
   1.644559e-01             nan    3.194549e+05    0.000000e+00
   1.794064e-01             nan    2.951488e+05    5.966201e+00
   1.943569e-01             nan    2.745139e+05    0.000000e+00
   2.093075e-01             nan    2.567637e+05    2.521703e+00
   2.242580e-01             nan    2.413237e+05    0.000000e+00
   2.392085e-01             nan    2.277609e+05    1.877815e+00
   2.541591e-01             nan    2.157460e+05    3.982267e-01
   2.691096e-01             nan    2.050213e+05    1.538766e+00
   2.840601e-01             nan    1.953847e+05    6.122894e-01
   2.990107e-01             nan    1.866732e+05    1.361173e+00
   3.139612e-01             nan    1.787561e+05    7.354289e-01
   3.289117e-01             nan    1.715254e+05    1.257173e+00
   3.438623e-01             nan    1.648926e+05    8.117204e-01
   3.588128e-01             nan    1.587833e+05    1.190916e+00
   3.737633e-01             nan    1.531356e+05    8.613276e-01
   3.887139e-01             nan    1.478966e+05    1.146330e+00
   4.036644e-01             nan    1.430218e+05    8.949098e-01
   4.186149e-01             nan    1.384722e+05    1.115106e+00
   4.335655e-01             nan    1.342152e+05    9.184042e-01
   4.485160e-01             nan    1.302216e+05    1.092529e+00
   4.634665e-01             nan    1.264666e+05    9.353038e-01
   4.784171e-01             nan    1.229281e+05    1.075760e+00
   4.933676e-01             nan    1.195870e+05    9.477518e-01
   5.083181e-01             nan    1.164261e+05    1.063016e+00
   5.232687e-01             nan    1.134304e+05    9.571135e-01
   5.382192e-01             nan    1.105865e+05    1.053135e+00
   5.531697e-01             nan    1.078824e+05    9.642840e-01
   5.681203e-01             nan    1.053073e+05    1.045338e+00
   5.830708e-01             nan    1.028517e+05    9.698668e-01
   5.980213e-01             nan    1.005069e+05    1.039091e+00
   6.129719e-01             nan    9.826500e+04    9.742774e-01
   6.279224e-01             nan    9.611894e+04    1.034015e+00
   6.428729e-01             nan    9.406236e+04    9.778087e-01
   6.578235e-01             nan    9.208928e+04    1.029840e+00
   6.727740e-01             nan    9.019448e+04    9.806704e-01
   6.877245e-01             nan    8.837296e+04    1.026368e+00
   7.026751e-01             nan    8.662036e+04    9.830152e-01
   7.176256e-01             nan    8.493248e+04    1.023452e+00
   7.325761e-01             nan    8.330564e+04    9.849562e-01
   7.475267e-01             nan    8.173628e+04    1.020981e+00
   7.624772e-01             nan    8.022128e+04    9.865780e-01
   7.774277e-01             nan    7.875758e+04    1.018870e+00
   7.923783e-01             nan    7.734254e+04    9.879451e-01
   8.073288e-01             nan    7.597352e+04    1.017053e+00
   8.222793e-01             nan    7.464825e+04    9.891067e-01
   8.372299e-01             nan    7.336445e+04    1.015478e+00
   8.521804e-01             nan    7.212016e+04    9.901013e-01
   8.671309e-01             nan    7.091339e+04    1.014105e+00
   8.820815e-01             nan    6.974243e+04    9.909589e-01
   8.970320e-01             nan    6.860555e+04    1.012902e+00
   9.119825e-01             nan    6.750126e+04    9.917032e-01
   9.269331e-01             nan    6.642803e+04    1.011841e+00
   9.418836e-01             nan    6.538457e+04    9.923533e-01
   9.568341e-01             nan    6.436951e+04    1.010902e+00
   9.717847e-01             nan    6.338172e+04    9.929243e-01
   9.867352e-01             nan    6.241999e+04    1.010066e+00
   1.001686e+00             nan    6.148331e+04    9.934287e-01
   1.016636e+00             nan    6.057061e+04    1.009320e+00
   1.031587e+00             nan    5.968099e+04    9.938766e-01
   1.046537e+00             nan    5.881350e+04    1.008651e+00
   1.061488e+00             nan    5.796733e+04    9.942761e-01
   1.076438e+00             nan    5.714163e+04    1.008049e+00
   1.091389e+00             nan    5.633568e+04    9.946342e-01
   1.106339e+00             nan    5.554871e+04    1.007505e+00
   1.121290e+00             nan    5.478007e+04    9.949565e-01
   1.136241e+00             nan    5.402907e+04    1.007013e+00
   1.151191e+00             nan    5.329513e+04    9.952478e-01
   1.166142e+00             nan    5.257762e+04    1.006567e+00
   1.181092e+00             nan    5.187601e+04    9.955121e-01
   1.196043e+00             nan    5.118974e+04    1.006160e+00
   1.210993e+00             nan    5.051832e+04    9.957528e-01
   1.225944e+00             nan    4.986124e+04    1.005788e+00
   1.240894e+00             nan    4.921807e+04    9.959727e-01
   1.255845e+00             nan    4.858832e+04    1.005448e+00
   1.270795e+00             nan    4.797161e+04    9.961743e-01
   1.285746e+00             nan    4.736751e+04    1.005137e+00
   1.300696e+00             nan    4.677565e+04    9.963596e-01
   1.315647e+00             nan    4.619563e+04    1.004850e+00
   1.330597e+00             nan    4.562713e+04    9.965305e-01
   1.345548e+00             nan    4.506977e+04    1.004586e+00
   1.360499e+00             nan    4.452327e+04    9.966886e-01
   1.375449e+00             nan    4.398728e+04    1.004343e+00
   1.390400e+00             nan    4.346152e+04    9.968351e-01
   1.405350e+00             nan    4.294568e+04    1.004118e+00
   1.420301e+00             nan    4.243951e+04    9.969712e-01
   1.435251e+00             nan    4.194271e+04    1.003909e+00
   1.450202e+00             nan    4.145507e+04    9.970980e-01
   1.465152e+00             nan    4.097629e+04    1.003716e+00
   1.480103e+00             nan    4.050618e+04    9.972163e-01
   1.495053e+00             nan    4.004448e+04    1.003536e+00
   1.510004e+00             nan    3.959098e+04    9.973270e-01
   1.524954e+00             nan    3.914547e+04    1.003368e+00
   1.539905e+00             nan    3.870774e+04    9.974308e-01
   1.554855e+00             nan    3.827760e+04    1.003213e+00
   1.569806e+00             nan    3.785486e+04    9.975282e-01
   1.584757e+00             nan    3.743931e+04    1.003067e+00
   1.599707e+00             nan    3.703082e+04    9.976198e-01
   1.614658e+00             nan    3.662917e+04    1.002931e+00
   1.629608e+00             nan    3.623423e+04    9.977061e-01
   1.644559e+00             nan    3.584582e+04    1.002804e+00
   1.659509e+00             nan    3.546379e+04    9.977875e-01
   1.674460e+00             nan    3.508799e+04    1.002684e+00
   1.689410e+00             nan    3.471828e+04    9.978644e-01
   1.704361e+00             nan    3.435451e+04    1.002572e+00
   1.719311e+00             nan    3.399656e+04    9.979372e-01
