# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# Convergence: Err(φ)=5.877e-11, Err(n_e)=2.479e-11, Err(IET)=9.952e-13, Q_net=-2.727e-09
# {"name":"CS2014_Al", "Z":13, "Zstar":4.725884058379653, "A":26.981539,  "μ[AU]": -1.4933693366e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 1.102e-01, "rs[AU]": 2.990e+00 }
   r[AU]           ne_full[AU]     n_ion[AU]       ne_ext[AU]      ne_PA[AU]       ne_scr[AU]      
   1.000000e-04    4.483039e+06    4.483115e+06    1.842414e-02    4.483039e+06   -7.572883e+01
   1.006327e-04    4.440836e+06    4.440909e+06    1.842414e-02    4.440836e+06   -7.305615e+01
   1.012694e-04    4.399026e+06    4.399100e+06    1.842414e-02    4.399026e+06   -7.431385e+01
   1.019102e-04    4.357612e+06    4.357686e+06    1.842414e-02    4.357612e+06   -7.399488e+01
   1.025550e-04    4.316588e+06    4.316661e+06    1.842414e-02    4.316588e+06   -7.230637e+01
   1.032039e-04    4.275948e+06    4.276022e+06    1.842414e-02    4.275948e+06   -7.388309e+01
   1.038569e-04    4.235693e+06    4.235766e+06    1.842414e-02    4.235693e+06   -7.285821e+01
   1.045140e-04    4.195816e+06    4.195888e+06    1.842414e-02    4.195816e+06   -7.211101e+01
   1.051753e-04    4.156313e+06    4.156387e+06    1.842414e-02    4.156313e+06   -7.377306e+01
   1.058408e-04    4.117185e+06    4.117257e+06    1.842414e-02    4.117185e+06   -7.145758e+01
   1.065104e-04    4.078423e+06    4.078495e+06    1.842414e-02    4.078423e+06   -7.187466e+01
   1.071843e-04    4.040026e+06    4.040098e+06    1.842414e-02    4.040026e+06   -7.269113e+01
   1.078625e-04    4.001992e+06    4.002063e+06    1.842414e-02    4.001992e+06   -7.085870e+01
   1.085450e-04    3.964314e+06    3.964386e+06    1.842414e-02    3.964314e+06   -7.182959e+01
   1.092318e-04    3.926992e+06    3.927063e+06    1.842414e-02    3.926992e+06   -7.167560e+01
   1.099229e-04    3.890022e+06    3.890092e+06    1.842414e-02    3.890022e+06   -7.026246e+01
   1.106184e-04    3.853397e+06    3.853469e+06    1.842414e-02    3.853397e+06   -7.173058e+01
   1.113183e-04    3.817120e+06    3.817190e+06    1.842414e-02    3.817120e+06   -7.043168e+01
   1.120226e-04    3.781184e+06    3.781254e+06    1.842414e-02    3.781184e+06   -6.965027e+01
   1.127314e-04    3.745584e+06    3.745655e+06    1.842414e-02    3.745584e+06   -7.120986e+01
   1.134447e-04    3.710322e+06    3.710391e+06    1.842414e-02    3.710322e+06   -6.949121e+01
   1.141625e-04    3.675390e+06    3.675460e+06    1.842414e-02    3.675390e+06   -6.970990e+01
   1.148848e-04    3.640787e+06    3.640857e+06    1.842414e-02    3.640787e+06   -7.034535e+01
   1.156117e-04    3.606512e+06    3.606580e+06    1.842414e-02    3.606512e+06   -6.854903e+01
   1.163432e-04    3.572556e+06    3.572626e+06    1.842414e-02    3.572556e+06   -6.962324e+01
   1.170794e-04    3.538922e+06    3.538991e+06    1.842414e-02    3.538922e+06   -6.944587e+01
   1.178201e-04    3.505605e+06    3.505673e+06    1.842414e-02    3.505605e+06   -6.802160e+01
   1.185656e-04    3.472599e+06    3.472669e+06    1.842414e-02    3.472599e+06   -6.959274e+01
   1.193158e-04    3.439907e+06    3.439975e+06    1.842414e-02    3.439907e+06   -6.818787e+01
   1.200707e-04    3.407521e+06    3.407589e+06    1.842414e-02    3.407521e+06   -6.775904e+01
   1.208304e-04    3.375439e+06    3.375508e+06    1.842414e-02    3.375439e+06   -6.866763e+01
   1.215950e-04    3.343662e+06    3.343729e+06    1.842414e-02    3.343662e+06   -6.710238e+01
   1.223643e-04    3.312182e+06    3.312249e+06    1.842414e-02    3.312182e+06   -6.746131e+01
   1.231385e-04    3.280997e+06    3.281066e+06    1.842414e-02    3.280997e+06   -6.838964e+01
   1.239177e-04    3.250109e+06    3.250176e+06    1.842414e-02    3.250109e+06   -6.653792e+01
   1.247017e-04    3.219509e+06    3.219576e+06    1.842414e-02    3.219509e+06   -6.748396e+01
   1.254907e-04    3.189198e+06    3.189265e+06    1.842414e-02    3.189198e+06   -6.694221e+01
   1.262847e-04    3.159173e+06    3.159239e+06    1.842414e-02    3.159173e+06   -6.595377e+01
   1.270838e-04    3.129429e+06    3.129496e+06    1.842414e-02    3.129429e+06   -6.690075e+01
   1.278879e-04    3.099967e+06    3.100033e+06    1.842414e-02    3.099967e+06   -6.599697e+01
   1.286970e-04    3.070782e+06    3.070847e+06    1.842414e-02    3.070782e+06   -6.547639e+01
   1.295113e-04    3.041869e+06    3.041936e+06    1.842414e-02    3.041869e+06   -6.702790e+01
   1.303308e-04    3.013232e+06    3.013297e+06    1.842414e-02    3.013232e+06   -6.513739e+01
   1.311554e-04    2.984862e+06    2.984928e+06    1.842414e-02    2.984862e+06   -6.545928e+01
   1.319852e-04    2.956760e+06    2.956825e+06    1.842414e-02    2.956760e+06   -6.559160e+01
   1.328203e-04    2.928923e+06    2.928988e+06    1.842414e-02    2.928923e+06   -6.427967e+01
   1.336607e-04    2.901347e+06    2.901412e+06    1.842414e-02    2.901347e+06   -6.507325e+01
   1.345064e-04    2.874031e+06    2.874096e+06    1.842414e-02    2.874031e+06   -6.492089e+01
   1.353575e-04    2.846973e+06    2.847037e+06    1.842414e-02    2.846973e+06   -6.390009e+01
   1.362139e-04    2.820167e+06    2.820233e+06    1.842414e-02    2.820167e+06   -6.538858e+01
   1.370758e-04    2.793617e+06    2.793681e+06    1.842414e-02    2.793617e+06   -6.380710e+01
   1.379431e-04    2.767315e+06    2.767379e+06    1.842414e-02    2.767315e+06   -6.358878e+01
   1.388159e-04    2.741260e+06    2.741324e+06    1.842414e-02    2.741260e+06   -6.411249e+01
   1.396942e-04    2.715452e+06    2.715515e+06    1.842414e-02    2.715452e+06   -6.297621e+01
   1.405780e-04    2.689886e+06    2.689949e+06    1.842414e-02    2.689886e+06   -6.320546e+01
