# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=2.345e-10, Err(n_e)=2.890e-13, Err(IET)=9.970e-13, Q_net=-2.196e-11
# {"name":"Al", "Z":13, "Zstar":3.377051280508915, "A":26.981539,  "μ[AU]": 5.6337922806e-03, "Te[AU]": 3.675e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-02             nan    3.997910e+02    0.000000e+00
   5.980213e-02             nan    2.077201e+02    0.000000e+00
   8.970320e-02             nan    1.429007e+02    0.000000e+00
   1.196043e-01             nan    1.098690e+02    0.000000e+00
   1.495053e-01             nan    8.964347e+01    0.000000e+00
   1.794064e-01             nan    7.583102e+01    0.000000e+00
   2.093075e-01             nan    6.572852e+01    0.000000e+00
   2.392085e-01             nan    5.795489e+01    0.000000e+00
   2.691096e-01             nan    5.176189e+01    0.000000e+00
   2.990107e-01             nan    4.668345e+01    0.000000e+00
   3.289117e-01             nan    4.243430e+01    0.000000e+00
   3.588128e-01             nan    3.881224e+01    0.000000e+00
   3.887139e-01             nan    3.568537e+01    0.000000e+00
   4.186149e-01             nan    3.295123e+01    0.000000e+00
   4.485160e-01             nan    3.054067e+01    0.000000e+00
   4.784171e-01             nan    2.839491e+01    0.000000e+00
   5.083181e-01             nan    2.647425e+01    0.000000e+00
   5.382192e-01             nan    2.474249e+01    0.000000e+00
   5.681203e-01             nan    2.317488e+01    0.000000e+00
   5.980213e-01             nan    2.174773e+01    0.000000e+00
   6.279224e-01             nan    2.044478e+01    0.000000e+00
   6.578235e-01             nan    1.924955e+01    0.000000e+00
   6.877245e-01             nan    1.815094e+01    0.000000e+00
   7.176256e-01             nan    1.713703e+01    0.000000e+00
   7.475267e-01             nan    1.620003e+01    0.000000e+00
   7.774277e-01             nan    1.533104e+01    0.000000e+00
   8.073288e-01             nan    1.452433e+01    0.000000e+00
   8.372299e-01             nan    1.377307e+01    0.000000e+00
   8.671309e-01             nan    1.307303e+01    0.000000e+00
   8.970320e-01             nan    1.241885e+01    0.000000e+00
   9.269331e-01             nan    1.180729e+01    0.000000e+00
   9.568341e-01             nan    1.123408e+01    0.000000e+00
   9.867352e-01             nan    1.069671e+01    0.000000e+00
   1.016636e+00             nan    1.019172e+01    0.000000e+00
   1.046537e+00             nan    9.717149e+00    0.000000e+00
   1.076438e+00             nan    9.270134e+00    0.000000e+00
   1.106339e+00             nan    8.849121e+00    0.000000e+00
   1.136241e+00             nan    8.451739e+00    0.000000e+00
   1.166142e+00             nan    8.076746e+00    0.000000e+00
   1.196043e+00             nan    7.722141e+00    0.000000e+00
   1.225944e+00             nan    7.386922e+00    0.000000e+00
   1.255845e+00             nan    7.069388e+00    0.000000e+00
   1.285746e+00             nan    6.768733e+00    0.000000e+00
   1.315647e+00             nan    6.483499e+00    0.000000e+00
   1.345548e+00             nan    6.213033e+00    0.000000e+00
   1.375449e+00             nan    5.956075e+00    0.000000e+00
   1.405350e+00             nan    5.712091e+00    0.000000e+00
   1.435251e+00             nan    5.479989e+00    0.000000e+00
   1.465152e+00             nan    5.259333e+00    0.000000e+00
   1.495053e+00             nan    5.049167e+00    0.000000e+00
   1.524954e+00             nan    4.849134e+00    0.000000e+00
   1.554855e+00             nan    4.658396e+00    0.000000e+00
   1.584757e+00             nan    4.476662e+00    0.000000e+00
   1.614658e+00             nan    4.303190e+00    0.000000e+00
   1.644559e+00             nan    4.137742e+00    0.000000e+00
   1.674460e+00             nan    3.979663e+00    0.000000e+00
   1.704361e+00             nan    3.828757e+00    0.000000e+00
   1.734262e+00             nan    3.684439e+00    0.000000e+00
   1.764163e+00             nan    3.546554e+00    0.000000e+00
   1.794064e+00             nan    3.414575e+00    0.000000e+00
   1.823965e+00             nan    3.288377e+00    0.000000e+00
   1.853866e+00             nan    3.167489e+00    0.000000e+00
   1.883767e+00             nan    3.051811e+00    0.000000e+00
   1.913668e+00             nan    2.940917e+00    0.000000e+00
   1.943569e+00             nan    2.834730e+00    0.000000e+00
   1.973470e+00             nan    2.732861e+00    0.000000e+00
   2.003371e+00             nan    2.635253e+00    0.000000e+00
   2.033273e+00             nan    2.541554e+00    0.000000e+00
   2.063174e+00             nan    2.451719e+00    0.000000e+00
   2.093075e+00             nan    2.365428e+00    0.000000e+00
   2.122976e+00             nan    2.282649e+00    0.000000e+00
   2.152877e+00             nan    2.203090e+00    0.000000e+00
   2.182778e+00             nan    2.126729e+00    0.000000e+00
   2.212679e+00             nan    2.053296e+00    0.000000e+00
   2.242580e+00             nan    1.982780e+00    0.000000e+00
   2.272481e+00             nan    1.914934e+00    0.000000e+00
   2.302382e+00             nan    1.849751e+00    0.000000e+00
   2.332283e+00             nan    1.787005e+00    0.000000e+00
   2.362184e+00             nan    1.726696e+00    0.000000e+00
   2.392085e+00             nan    1.668613e+00    0.000000e+00
   2.421986e+00             nan    1.612763e+00    0.000000e+00
   2.451887e+00             nan    1.558949e+00    2.728484e-12
   2.481789e+00             nan    1.507183e+00    1.630251e-11
   2.511690e+00             nan    1.457284e+00    5.915446e-11
   2.541591e+00             nan    1.409264e+00    1.876490e-10
   2.571492e+00             nan    1.362955e+00    5.558531e-10
   2.601393e+00             nan    1.318373e+00    1.560910e-09
   2.631294e+00             nan    1.275361e+00    4.192018e-09
   2.661195e+00             nan    1.233937e+00    1.077670e-08
   2.691096e+00             nan    1.193954e+00    2.663950e-08
   2.720997e+00             nan    1.155433e+00    6.329587e-08
   2.750898e+00             nan    1.118234e+00    1.451170e-07
   2.780799e+00             nan    1.082381e+00    3.208527e-07
   2.810700e+00             nan    1.047742e+00    6.865890e-07
   2.840601e+00             nan    1.014343e+00    1.421090e-06
   2.870502e+00             nan    9.820609e-01    2.854589e-06
   2.900403e+00             nan    9.509210e-01    5.561226e-06
   2.930305e+00             nan    9.208094e-01    1.054059e-05
   2.960206e+00             nan    8.917547e-01    1.942242e-05
   2.990107e+00             nan    8.636521e-01    3.489284e-05
   3.020008e+00             nan    8.365379e-01    6.105881e-05
   3.049909e+00             nan    8.103166e-01    1.043475e-04
   3.079810e+00             nan    7.850194e-01    1.740123e-04
   3.109711e+00             nan    7.605512e-01    2.839095e-04
   3.139612e+00             nan    7.369419e-01    4.528339e-04
   3.169513e+00             nan    7.141007e-01    7.078547e-04
   3.199414e+00             nan    6.920576e-01    1.083561e-03
   3.229315e+00             nan    6.707261e-01    1.628166e-03
   3.259216e+00             nan    6.501362e-01    2.399597e-03
   3.289117e+00             nan    6.302058e-01    3.476605e-03
   3.319018e+00             nan    6.109644e-01    4.947779e-03
   3.348919e+00             nan    5.923341e-01    6.931627e-03
   3.378821e+00             nan    5.743450e-01    9.551848e-03
   3.408722e+00             nan    5.569222e-01    1.297358e-02
   3.438623e+00             nan    5.400959e-01    1.735436e-02
   3.468524e+00             nan    5.237950e-01    2.290772e-02
   3.498425e+00             nan    5.080492e-01    2.981544e-02
   3.528326e+00             nan    4.927910e-01    3.833483e-02
   3.558227e+00             nan    4.780498e-01    4.865200e-02
   3.588128e+00             nan    4.637610e-01    6.105685e-02
   3.618029e+00             nan    4.499541e-01    7.571077e-02
   3.647930e+00             nan    4.365674e-01    9.291979e-02
   3.677831e+00             nan    4.236298e-01    1.127850e-01
   3.707732e+00             nan    4.110826e-01    1.356102e-01
   3.737633e+00             nan    3.989543e-01    1.613988e-01
   3.767534e+00             nan    3.871887e-01    1.904359e-01
   3.797435e+00             nan    3.758142e-01    2.225921e-01
   3.827337e+00             nan    3.647768e-01    2.581247e-01
   3.857238e+00             nan    3.541047e-01    2.967437e-01
   3.887139e+00             nan    3.437459e-01    3.386783e-01
   3.917040e+00             nan    3.337284e-01    3.834634e-01
   3.946941e+00             nan    3.240025e-01    4.313051e-01
   3.976842e+00             nan    3.145956e-01    4.815617e-01
   4.006743e+00             nan    3.054599e-01    5.344387e-01
   4.036644e+00             nan    2.966227e-01    5.891225e-01
   4.066545e+00             nan    2.880380e-01    6.458375e-01
   4.096446e+00             nan    2.797327e-01    7.036237e-01
   4.126347e+00             nan    2.716623e-01    7.627571e-01
   4.156248e+00             nan    2.638535e-01    8.221514e-01
   4.186149e+00             nan    2.562637e-01    8.821530e-01
   4.216050e+00             nan    2.489189e-01    9.415848e-01
   4.245951e+00             nan    2.417783e-01    1.000891e+00
   4.275853e+00             nan    2.348674e-01    1.058833e+00
   4.305754e+00             nan    2.281467e-01    1.115967e+00
   4.335655e+00             nan    2.216415e-01    1.171020e+00
   4.365556e+00             nan    2.153136e-01    1.224671e+00
   4.395457e+00             nan    2.091880e-01    1.275632e+00
   4.425358e+00             nan    2.032279e-01    1.324706e+00
   4.455259e+00             nan    1.974577e-01    1.370614e+00
   4.485160e+00             nan    1.918421e-01    1.414275e+00
   4.515061e+00             nan    1.864049e-01    1.454431e+00
   4.544962e+00             nan    1.811120e-01    1.492110e+00
   4.574863e+00             nan    1.759871e-01    1.526083e+00
   4.604764e+00             nan    1.709968e-01    1.557467e+00
   4.634665e+00             nan    1.661645e-01    1.585070e+00
   4.664566e+00             nan    1.614582e-01    1.610080e+00
   4.694467e+00             nan    1.569006e-01    1.631347e+00
   4.724369e+00             nan    1.524607e-01    1.650110e+00
   4.754270e+00             nan    1.481610e-01    1.665255e+00
   4.784171e+00             nan    1.439714e-01    1.678054e+00
   4.814072e+00             nan    1.399141e-01    1.687432e+00
   4.843973e+00             nan    1.359599e-01    1.694676e+00
   4.873874e+00             nan    1.321305e-01    1.698747e+00
   4.903775e+00             nan    1.283976e-01    1.700933e+00
   4.933676e+00             nan    1.247826e-01    1.700233e+00
   4.963577e+00             nan    1.212578e-01    1.697917e+00
   4.993478e+00             nan    1.178445e-01    1.693014e+00
   5.023379e+00             nan    1.145160e-01    1.686764e+00
   5.053280e+00             nan    1.112928e-01    1.678233e+00
   5.083181e+00             nan    1.081490e-01    1.668629e+00
   5.113082e+00             nan    1.051049e-01    1.657046e+00
   5.142983e+00             nan    1.021353e-01    1.644644e+00
   5.172885e+00             nan    9.926027e-02    1.630547e+00
   5.202786e+00             nan    9.645506e-02    1.615873e+00
   5.232687e+00             nan    9.373933e-02    1.599775e+00
   5.262588e+00             nan    9.108927e-02    1.583315e+00
   5.292489e+00             nan    8.852413e-02    1.565675e+00
   5.322390e+00             nan    8.602053e-02    1.547872e+00
   5.352291e+00             nan    8.359751e-02    1.529111e+00
   5.382192e+00             nan    8.123242e-02    1.510351e+00
   5.412093e+00             nan    7.894375e-02    1.490835e+00
   5.441994e+00             nan    7.670948e-02    1.471467e+00
