# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=2.345e-10, Err(n_e)=2.890e-13, Err(IET)=9.983e-13, Q_net=-2.196e-11
# {"name":"Al", "Z":13, "Zstar":3.377051280508915, "A":26.981539,  "μ[AU]": 5.6337922806e-03, "Te[AU]": 3.675e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-02             nan    4.000395e+02    0.000000e+00
   5.980213e-02             nan    2.079682e+02    0.000000e+00
   8.970320e-02             nan    1.431483e+02    0.000000e+00
   1.196043e-01             nan    1.101158e+02    0.000000e+00
   1.495053e-01             nan    8.988938e+01    0.000000e+00
   1.794064e-01             nan    7.607594e+01    0.000000e+00
   2.093075e-01             nan    6.597234e+01    0.000000e+00
   2.392085e-01             nan    5.819750e+01    0.000000e+00
   2.691096e-01             nan    5.200322e+01    0.000000e+00
   2.990107e-01             nan    4.692341e+01    0.000000e+00
   3.289117e-01             nan    4.267283e+01    0.000000e+00
   3.588128e-01             nan    3.904927e+01    0.000000e+00
   3.887139e-01             nan    3.592082e+01    0.000000e+00
   4.186149e-01             nan    3.318507e+01    0.000000e+00
   4.485160e-01             nan    3.077284e+01    0.000000e+00
   4.784171e-01             nan    2.862537e+01    0.000000e+00
   5.083181e-01             nan    2.670296e+01    0.000000e+00
   5.382192e-01             nan    2.496941e+01    0.000000e+00
   5.681203e-01             nan    2.339997e+01    0.000000e+00
   5.980213e-01             nan    2.197096e+01    0.000000e+00
   6.279224e-01             nan    2.066611e+01    0.000000e+00
   6.578235e-01             nan    1.946897e+01    0.000000e+00
   6.877245e-01             nan    1.836841e+01    0.000000e+00
   7.176256e-01             nan    1.735255e+01    0.000000e+00
   7.475267e-01             nan    1.641356e+01    0.000000e+00
   7.774277e-01             nan    1.554257e+01    0.000000e+00
   8.073288e-01             nan    1.473383e+01    0.000000e+00
   8.372299e-01             nan    1.398054e+01    0.000000e+00
   8.671309e-01             nan    1.327845e+01    0.000000e+00
   8.970320e-01             nan    1.262221e+01    0.000000e+00
   9.269331e-01             nan    1.200858e+01    0.000000e+00
   9.568341e-01             nan    1.143329e+01    0.000000e+00
   9.867352e-01             nan    1.089383e+01    0.000000e+00
   1.016636e+00             nan    1.038674e+01    0.000000e+00
   1.046537e+00             nan    9.910071e+00    0.000000e+00
   1.076438e+00             nan    9.460949e+00    0.000000e+00
   1.106339e+00             nan    9.037825e+00    0.000000e+00
   1.136241e+00             nan    8.638329e+00    0.000000e+00
   1.166142e+00             nan    8.261219e+00    0.000000e+00
   1.196043e+00             nan    7.904497e+00    0.000000e+00
   1.225944e+00             nan    7.567161e+00    0.000000e+00
   1.255845e+00             nan    7.247509e+00    0.000000e+00
   1.285746e+00             nan    6.944739e+00    0.000000e+00
   1.315647e+00             nan    6.657392e+00    0.000000e+00
   1.345548e+00             nan    6.384815e+00    0.000000e+00
   1.375449e+00             nan    6.125749e+00    0.000000e+00
   1.405350e+00             nan    5.879663e+00    0.000000e+00
   1.435251e+00             nan    5.645463e+00    0.000000e+00
   1.465152e+00             nan    5.422714e+00    0.000000e+00
   1.495053e+00             nan    5.210462e+00    0.000000e+00
   1.524954e+00             nan    5.008349e+00    0.000000e+00
   1.554855e+00             nan    4.815538e+00    0.000000e+00
   1.584757e+00             nan    4.631740e+00    0.000000e+00
   1.614658e+00             nan    4.456211e+00    0.000000e+00
   1.644559e+00             nan    4.288717e+00    0.000000e+00
   1.674460e+00             nan    4.128600e+00    0.000000e+00
   1.704361e+00             nan    3.975666e+00    0.000000e+00
   1.734262e+00             nan    3.829330e+00    0.000000e+00
   1.764163e+00             nan    3.689438e+00    0.000000e+00
   1.794064e+00             nan    3.555464e+00    0.000000e+00
