# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# Convergence: Err(φ)=5.633e-11, Err(n_e)=1.086e-13, Err(IET)=9.951e-13, Q_net=-1.497e-11
# {"name":"CS2014_Al", "Z":13, "Zstar":3.353358059168612, "A":26.981539,  "μ[AU]": 5.6337875333e-03, "Te[AU]": 3.675e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           ne_full[AU]     n_ion[AU]       ne_ext[AU]      ne_PA[AU]       ne_scr[AU]      
   1.000000e-04    4.483061e+06    4.483058e+06    8.685323e-03    4.483061e+06    3.057071e+00
   1.006327e-04    4.440856e+06    4.440852e+06    8.685323e-03    4.440856e+06    4.179336e+00
   1.012694e-04    4.399047e+06    4.399044e+06    8.685323e-03    4.399047e+06    2.881133e+00
   1.019102e-04    4.357634e+06    4.357629e+06    8.685323e-03    4.357634e+06    4.214280e+00
   1.025550e-04    4.316606e+06    4.316605e+06    8.685323e-03    4.316606e+06    1.546456e+00
   1.032039e-04    4.275970e+06    4.275966e+06    8.685323e-03    4.275970e+06    4.077645e+00
   1.038569e-04    4.235713e+06    4.235710e+06    8.685323e-03    4.235713e+06    3.069795e+00
   1.045140e-04    4.195836e+06    4.195833e+06    8.685323e-03    4.195836e+06    2.952560e+00
   1.051753e-04    4.156335e+06    4.156331e+06    8.685323e-03    4.156335e+06    3.661722e+00
   1.058408e-04    4.117204e+06    4.117202e+06    8.685323e-03    4.117204e+06    2.119185e+00
   1.065104e-04    4.078444e+06    4.078440e+06    8.685323e-03    4.078444e+06    3.997866e+00
   1.071843e-04    4.040046e+06    4.040043e+06    8.685323e-03    4.040046e+06    2.801754e+00
   1.078625e-04    4.002012e+06    4.002008e+06    8.685323e-03    4.002012e+06    3.809540e+00
   1.085450e-04    3.964333e+06    3.964331e+06    8.685323e-03    3.964333e+06    2.174232e+00
   1.092318e-04    3.927012e+06    3.927009e+06    8.685323e-03    3.927012e+06    3.441173e+00
   1.099229e-04    3.890041e+06    3.890038e+06    8.685323e-03    3.890041e+06    2.960430e+00
   1.106184e-04    3.853417e+06    3.853415e+06    8.685323e-03    3.853417e+06    2.574213e+00
   1.113183e-04    3.817140e+06    3.817137e+06    8.685323e-03    3.817140e+06    3.641300e+00
   1.120226e-04    3.781201e+06    3.781200e+06    8.685323e-03    3.781201e+06    1.206799e+00
   1.127314e-04    3.745605e+06    3.745601e+06    8.685323e-03    3.745605e+06    3.709200e+00
   1.134447e-04    3.710341e+06    3.710338e+06    8.685323e-03    3.710341e+06    2.568514e+00
   1.141625e-04    3.675410e+06    3.675407e+06    8.685323e-03    3.675410e+06    3.337684e+00
   1.148848e-04    3.640807e+06    3.640804e+06    8.685323e-03    3.640807e+06    2.593216e+00
   1.156117e-04    3.606530e+06    3.606527e+06    8.685323e-03    3.606530e+06    2.770562e+00
   1.163432e-04    3.572576e+06    3.572573e+06    8.685323e-03    3.572576e+06    3.071410e+00
   1.170794e-04    3.538941e+06    3.538939e+06    8.685323e-03    3.538941e+06    2.507244e+00
   1.178201e-04    3.505624e+06    3.505621e+06    8.685323e-03    3.505624e+06    3.502345e+00
   1.185656e-04    3.472618e+06    3.472617e+06    8.685323e-03    3.472618e+06    9.508559e-01
   1.193158e-04    3.439927e+06    3.439923e+06    8.685323e-03    3.439927e+06    3.339299e+00
   1.200707e-04    3.407540e+06    3.407537e+06    8.685323e-03    3.407540e+06    2.217913e+00
   1.208304e-04    3.375459e+06    3.375457e+06    8.685323e-03    3.375459e+06    2.816062e+00
   1.215950e-04    3.343680e+06    3.343678e+06    8.685323e-03    3.343680e+06    2.828733e+00
   1.223643e-04    3.312200e+06    3.312198e+06    8.685323e-03    3.312200e+06    2.088461e+00
   1.231385e-04    3.281018e+06    3.281014e+06    8.685323e-03    3.281018e+06    3.049184e+00
   1.239177e-04    3.250127e+06    3.250125e+06    8.685323e-03    3.250127e+06    2.307708e+00
   1.247017e-04    3.219529e+06    3.219526e+06    8.685323e-03    3.219529e+06    3.269810e+00
   1.254907e-04    3.189216e+06    3.189215e+06    8.685323e-03    3.189216e+06    1.567128e+00
   1.262847e-04    3.159192e+06    3.159189e+06    8.685323e-03    3.159192e+06    2.912656e+00
   1.270838e-04    3.129448e+06    3.129446e+06    8.685323e-03    3.129448e+06    2.010312e+00
   1.278879e-04    3.099985e+06    3.099983e+06    8.685323e-03    3.099985e+06    2.400569e+00
   1.286970e-04    3.070800e+06    3.070797e+06    8.685323e-03    3.070800e+06    2.919431e+00
   1.295113e-04    3.041888e+06    3.041886e+06    8.685323e-03    3.041887e+06    1.407871e+00
   1.303308e-04    3.013250e+06    3.013247e+06    8.685323e-03    3.013250e+06    2.920352e+00
   1.311554e-04    2.984880e+06    2.984878e+06    8.685323e-03    2.984880e+06    2.001741e+00
   1.319852e-04    2.956779e+06    2.956776e+06    8.685323e-03    2.956779e+06    2.961790e+00
   1.328203e-04    2.928940e+06    2.928938e+06    8.685323e-03    2.928940e+06    1.960096e+00
   1.336607e-04    2.901365e+06    2.901363e+06    8.685323e-03    2.901365e+06    2.448739e+00
   1.345064e-04    2.874049e+06    2.874047e+06    8.685323e-03    2.874049e+06    2.215774e+00
   1.353575e-04    2.846990e+06    2.846988e+06    8.685323e-03    2.846990e+06    2.211796e+00
   1.362139e-04    2.820187e+06    2.820184e+06    8.685323e-03    2.820187e+06    2.890021e+00
   1.370758e-04    2.793633e+06    2.793632e+06    8.685323e-03    2.793633e+06    1.003194e+00
   1.379431e-04    2.767333e+06    2.767330e+06    8.685323e-03    2.767333e+06    2.711595e+00
   1.388159e-04    2.741278e+06    2.741276e+06    8.685323e-03    2.741278e+06    1.618731e+00
   1.396942e-04    2.715470e+06    2.715467e+06    8.685323e-03    2.715470e+06    2.601613e+00
   1.405780e-04    2.689903e+06    2.689901e+06    8.685323e-03    2.689903e+06    2.170942e+00
   1.414675e-04    2.664578e+06    2.664576e+06    8.685323e-03    2.664578e+06    1.959667e+00
   1.423626e-04    2.639491e+06    2.639489e+06    8.685323e-03    2.639491e+06    2.301298e+00
   1.432634e-04    2.614640e+06    2.614638e+06    8.685323e-03    2.614640e+06    1.935607e+00
   1.441698e-04    2.590024e+06    2.590021e+06    8.685323e-03    2.590024e+06    2.774512e+00
   1.450820e-04    2.565637e+06    2.565636e+06    8.685323e-03    2.565637e+06    1.384138e+00
   1.460000e-04    2.541483e+06    2.541480e+06    8.685323e-03    2.541483e+06    2.440900e+00
   1.469237e-04    2.517554e+06    2.517552e+06    8.685323e-03    2.517554e+06    1.308431e+00
   1.478534e-04    2.493852e+06    2.493849e+06    8.685323e-03    2.493852e+06    2.234918e+00
   1.487889e-04    2.470372e+06    2.470370e+06    8.685323e-03    2.470372e+06    2.234694e+00
   1.497303e-04    2.447112e+06    2.447111e+06    8.685323e-03    2.447112e+06    1.460204e+00
   1.506777e-04    2.424073e+06    2.424071e+06    8.685323e-03    2.424073e+06    2.285618e+00
   1.516310e-04    2.401250e+06    2.401248e+06    8.685323e-03    2.401250e+06    1.588396e+00
   1.525904e-04    2.378642e+06    2.378640e+06    8.685323e-03    2.378642e+06    2.587930e+00
   1.535559e-04    2.356246e+06    2.356245e+06    8.685323e-03    2.356246e+06    1.601328e+00
   1.545275e-04    2.334062e+06    2.334060e+06    8.685323e-03    2.334062e+06    2.127340e+00
