# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# Convergence: Err(φ)=5.800e-11, Err(n_e)=2.932e-03, Err(IET)=2.399e+04, Q_net=-4.955e-03
# {"name":"CS2014_Al", "Z":13, "Zstar":216.77354812205144, "A":26.981539,  "μ[AU]": -1.2419439033e+00, "Te[AU]": 1.000e+00, "Ti[AU]": 1.000e+00, "rs[AU]": 2.990e+00 }
   r[AU]           ne_full[AU]     n_ion[AU]       ne_ext[AU]      ne_PA[AU]       ne_scr[AU]      
   1.000000e-04    4.482789e+06    4.483109e+06    3.285949e-03    4.482789e+06   -3.197521e+02
   1.006327e-04    4.440586e+06    4.440903e+06    3.285949e-03    4.440586e+06   -3.176877e+02
   1.012694e-04    4.398778e+06    4.399095e+06    3.285949e-03    4.398778e+06   -3.171873e+02
   1.019102e-04    4.357366e+06    4.357680e+06    3.285949e-03    4.357366e+06   -3.140658e+02
   1.025550e-04    4.316342e+06    4.316655e+06    3.285949e-03    4.316342e+06   -3.128632e+02
   1.032039e-04    4.275704e+06    4.276017e+06    3.285949e-03    4.275704e+06   -3.121745e+02
   1.038569e-04    4.235452e+06    4.235760e+06    3.285949e-03    4.235452e+06   -3.085745e+02
   1.045140e-04    4.195574e+06    4.195883e+06    3.285949e-03    4.195574e+06   -3.087493e+02
   1.051753e-04    4.156075e+06    4.156381e+06    3.285949e-03    4.156075e+06   -3.059621e+02
   1.058408e-04    4.116948e+06    4.117251e+06    3.285949e-03    4.116948e+06   -3.032665e+02
   1.065104e-04    4.078186e+06    4.078490e+06    3.285949e-03    4.078186e+06   -3.033994e+02
   1.071843e-04    4.039793e+06    4.040093e+06    3.285949e-03    4.039793e+06   -3.002710e+02
   1.078625e-04    4.001759e+06    4.002058e+06    3.285949e-03    4.001759e+06   -2.989198e+02
   1.085450e-04    3.964082e+06    3.964380e+06    3.285949e-03    3.964082e+06   -2.981167e+02
   1.092318e-04    3.926763e+06    3.927058e+06    3.285949e-03    3.926763e+06   -2.947694e+02
   1.099229e-04    3.889792e+06    3.890087e+06    3.285949e-03    3.889792e+06   -2.944026e+02
   1.106184e-04    3.853171e+06    3.853464e+06    3.285949e-03    3.853171e+06   -2.926871e+02
   1.113183e-04    3.816895e+06    3.817185e+06    3.285949e-03    3.816895e+06   -2.899359e+02
   1.120226e-04    3.780958e+06    3.781248e+06    3.285949e-03    3.780958e+06   -2.905020e+02
   1.127314e-04    3.745363e+06    3.745650e+06    3.285949e-03    3.745363e+06   -2.870120e+02
   1.134447e-04    3.710101e+06    3.710386e+06    3.285949e-03    3.710101e+06   -2.855445e+02
   1.141625e-04    3.675170e+06    3.675455e+06    3.285949e-03    3.675170e+06   -2.846580e+02
   1.148848e-04    3.640570e+06    3.640852e+06    3.285949e-03    3.640570e+06   -2.817287e+02
   1.156117e-04    3.606294e+06    3.606575e+06    3.285949e-03    3.606294e+06   -2.810544e+02
   1.163432e-04    3.572341e+06    3.572621e+06    3.285949e-03    3.572341e+06   -2.799189e+02
   1.170794e-04    3.538709e+06    3.538986e+06    3.285949e-03    3.538709e+06   -2.771561e+02
   1.178201e-04    3.505391e+06    3.505668e+06    3.285949e-03    3.505391e+06   -2.775545e+02
   1.185656e-04    3.472389e+06    3.472664e+06    3.285949e-03    3.472389e+06   -2.742926e+02
   1.193158e-04    3.439697e+06    3.439970e+06    3.285949e-03    3.439697e+06   -2.727276e+02
   1.200707e-04    3.407312e+06    3.407584e+06    3.285949e-03    3.407312e+06   -2.721024e+02
   1.208304e-04    3.375234e+06    3.375503e+06    3.285949e-03    3.375234e+06   -2.694798e+02
   1.215950e-04    3.343456e+06    3.343724e+06    3.285949e-03    3.343456e+06   -2.685807e+02
   1.223643e-04    3.311977e+06    3.312244e+06    3.285949e-03    3.311977e+06   -2.676538e+02
   1.231385e-04    3.280796e+06    3.281061e+06    3.285949e-03    3.280796e+06   -2.648947e+02
   1.239177e-04    3.249906e+06    3.250171e+06    3.285949e-03    3.249906e+06   -2.649020e+02
   1.247017e-04    3.219309e+06    3.219571e+06    3.285949e-03    3.219309e+06   -2.624476e+02
   1.254907e-04    3.189000e+06    3.189260e+06    3.285949e-03    3.189000e+06   -2.604478e+02
   1.262847e-04    3.158974e+06    3.159234e+06    3.285949e-03    3.158974e+06   -2.603597e+02
   1.270838e-04    3.129234e+06    3.129491e+06    3.285949e-03    3.129234e+06   -2.577116e+02
