# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=5.911e-11, Err(n_e)=5.273e-12, Err(IET)=9.993e-13, Q_net=-7.509e-10
# {"name":"Al", "Z":13, "Zstar":2.8898599186575757, "A":26.981539,  "μ[AU]": 2.6671012970e-01, "Te[AU]": 1.102e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   1.495053e-02             nan    5.698372e+02    0.000000e+00
   2.990107e-02             nan    2.900764e+02    0.000000e+00
   4.485160e-02             nan    1.965514e+02    0.000000e+00
   5.980213e-02             nan    1.495797e+02    0.000000e+00
   7.475267e-02             nan    1.212465e+02    0.000000e+00
   8.970320e-02             nan    1.022324e+02    0.000000e+00
   1.046537e-01             nan    8.855311e+01    0.000000e+00
   1.196043e-01             nan    7.820891e+01    0.000000e+00
   1.345548e-01             nan    7.009425e+01    0.000000e+00
   1.495053e-01             nan    6.354133e+01    0.000000e+00
   1.644559e-01             nan    5.812855e+01    0.000000e+00
   1.794064e-01             nan    5.357185e+01    0.000000e+00
   1.943569e-01             nan    4.967691e+01    0.000000e+00
   2.093075e-01             nan    4.630276e+01    0.000000e+00
   2.242580e-01             nan    4.334776e+01    0.000000e+00
   2.392085e-01             nan    4.073403e+01    0.000000e+00
   2.541591e-01             nan    3.840332e+01    0.000000e+00
   2.691096e-01             nan    3.630909e+01    0.000000e+00
   2.840601e-01             nan    3.441559e+01    0.000000e+00
   2.990107e-01             nan    3.269324e+01    0.000000e+00
   3.139612e-01             nan    3.111889e+01    0.000000e+00
   3.289117e-01             nan    2.967279e+01    0.000000e+00
   3.438623e-01             nan    2.833932e+01    0.000000e+00
   3.588128e-01             nan    2.710476e+01    0.000000e+00
   3.737633e-01             nan    2.595815e+01    0.000000e+00
   3.887139e-01             nan    2.488966e+01    0.000000e+00
   4.036644e-01             nan    2.389139e+01    0.000000e+00
   4.186149e-01             nan    2.295606e+01    0.000000e+00
   4.335655e-01             nan    2.207784e+01    0.000000e+00
   4.485160e-01             nan    2.125123e+01    0.000000e+00
   4.634665e-01             nan    2.047179e+01    0.000000e+00
   4.784171e-01             nan    1.973530e+01    0.000000e+00
   4.933676e-01             nan    1.903834e+01    0.000000e+00
   5.083181e-01             nan    1.837757e+01    0.000000e+00
   5.232687e-01             nan    1.775032e+01    0.000000e+00
   5.382192e-01             nan    1.715393e+01    0.000000e+00
   5.531697e-01             nan    1.658625e+01    0.000000e+00
   5.681203e-01             nan    1.604514e+01    0.000000e+00
   5.830708e-01             nan    1.552887e+01    0.000000e+00
   5.980213e-01             nan    1.503567e+01    0.000000e+00
   6.129719e-01             nan    1.456414e+01    0.000000e+00
   6.279224e-01             nan    1.411280e+01    0.000000e+00
   6.428729e-01             nan    1.368049e+01    0.000000e+00
   6.578235e-01             nan    1.326598e+01    0.000000e+00
   6.727740e-01             nan    1.286830e+01    0.000000e+00
   6.877245e-01             nan    1.248640e+01    0.000000e+00
   7.026751e-01             nan    1.211947e+01    0.000000e+00
   7.176256e-01             nan    1.176662e+01    0.000000e+00
   7.325761e-01             nan    1.142716e+01    0.000000e+00
   7.475267e-01             nan    1.110031e+01    0.000000e+00
   7.624772e-01             nan    1.078549e+01    0.000000e+00
   7.774277e-01             nan    1.048203e+01    0.000000e+00
   7.923783e-01             nan    1.018943e+01    0.000000e+00
   8.073288e-01             nan    9.907095e+00    0.000000e+00
   8.222793e-01             nan    9.634596e+00    0.000000e+00
   8.372299e-01             nan    9.371416e+00    0.000000e+00
   8.521804e-01             nan    9.117179e+00    0.000000e+00
   8.671309e-01             nan    8.871426e+00    0.000000e+00
   8.820815e-01             nan    8.633832e+00    0.000000e+00
   8.970320e-01             nan    8.403988e+00    0.000000e+00
   9.119825e-01             nan    8.181608e+00    0.000000e+00
   9.269331e-01             nan    7.966328e+00    0.000000e+00
   9.418836e-01             nan    7.757896e+00    0.000000e+00
   9.568341e-01             nan    7.555985e+00    0.000000e+00
   9.717847e-01             nan    7.360372e+00    0.000000e+00
   9.867352e-01             nan    7.170763e+00    0.000000e+00
   1.001686e+00             nan    6.986961e+00    0.000000e+00
   1.016636e+00             nan    6.808700e+00    0.000000e+00
   1.031587e+00             nan    6.635804e+00    0.000000e+00
   1.046537e+00             nan    6.468031e+00    0.000000e+00
   1.061488e+00             nan    6.305225e+00    0.000000e+00
   1.076438e+00             nan    6.147166e+00    0.000000e+00
   1.091389e+00             nan    5.993713e+00    0.000000e+00
   1.106339e+00             nan    5.844666e+00    0.000000e+00
   1.121290e+00             nan    5.699899e+00    0.000000e+00
   1.136241e+00             nan    5.559229e+00    0.000000e+00
   1.151191e+00             nan    5.422542e+00    0.000000e+00
   1.166142e+00             nan    5.289669e+00    0.000000e+00
   1.181092e+00             nan    5.160508e+00    0.000000e+00
   1.196043e+00             nan    5.034905e+00    0.000000e+00
   1.210993e+00             nan    4.912766e+00    0.000000e+00
   1.225944e+00             nan    4.793950e+00    0.000000e+00
   1.240894e+00             nan    4.678372e+00    0.000000e+00
   1.255845e+00             nan    4.565900e+00    0.000000e+00
   1.270795e+00             nan    4.456458e+00    0.000000e+00
   1.285746e+00             nan    4.349924e+00    0.000000e+00
   1.300696e+00             nan    4.246229e+00    0.000000e+00
   1.315647e+00             nan    4.145259e+00    0.000000e+00
   1.330597e+00             nan    4.046952e+00    0.000000e+00
   1.345548e+00             nan    3.951203e+00    0.000000e+00
   1.360499e+00             nan    3.857954e+00    0.000000e+00
   1.375449e+00             nan    3.767106e+00    0.000000e+00
   1.390400e+00             nan    3.678609e+00    0.000000e+00
   1.405350e+00             nan    3.592369e+00    0.000000e+00
   1.420301e+00             nan    3.508340e+00    0.000000e+00
   1.435251e+00             nan    3.426436e+00    0.000000e+00
   1.450202e+00             nan    3.346613e+00    0.000000e+00
   1.465152e+00             nan    3.268792e+00    0.000000e+00
   1.480103e+00             nan    3.192932e+00    0.000000e+00
   1.495053e+00             nan    3.118959e+00    0.000000e+00
   1.510004e+00             nan    3.046835e+00    0.000000e+00
   1.524954e+00             nan    2.976492e+00    0.000000e+00
   1.539905e+00             nan    2.907894e+00    0.000000e+00
   1.554855e+00             nan    2.840977e+00    0.000000e+00
   1.569806e+00             nan    2.775709e+00    0.000000e+00
   1.584757e+00             nan    2.712028e+00    0.000000e+00
   1.599707e+00             nan    2.649906e+00    0.000000e+00
   1.614658e+00             nan    2.589285e+00    0.000000e+00
   1.629608e+00             nan    2.530139e+00    0.000000e+00
   1.644559e+00             nan    2.472412e+00    0.000000e+00
   1.659509e+00             nan    2.416081e+00    0.000000e+00
   1.674460e+00             nan    2.361094e+00    0.000000e+00
   1.689410e+00             nan    2.307428e+00    0.000000e+00
   1.704361e+00             nan    2.255035e+00    0.000000e+00
   1.719311e+00             nan    2.203895e+00    0.000000e+00
   1.734262e+00             nan    2.153961e+00    0.000000e+00
   1.749212e+00             nan    2.105214e+00    0.000000e+00
   1.764163e+00             nan    2.057611e+00    0.000000e+00
   1.779113e+00             nan    2.011135e+00    0.000000e+00
   1.794064e+00             nan    1.965743e+00    0.000000e+00
   1.809015e+00             nan    1.921421e+00    0.000000e+00
   1.823965e+00             nan    1.878128e+00    0.000000e+00
   1.838916e+00             nan    1.835851e+00    0.000000e+00
   1.853866e+00             nan    1.794552e+00    0.000000e+00
   1.868817e+00             nan    1.754217e+00    0.000000e+00
   1.883767e+00             nan    1.714811e+00    0.000000e+00
   1.898718e+00             nan    1.676321e+00    0.000000e+00
   1.913668e+00             nan    1.638715e+00    0.000000e+00
   1.928619e+00             nan    1.601980e+00    0.000000e+00
   1.943569e+00             nan    1.566084e+00    0.000000e+00
   1.958520e+00             nan    1.531017e+00    0.000000e+00
   1.973470e+00             nan    1.496749e+00    0.000000e+00
   1.988421e+00             nan    1.463270e+00    0.000000e+00
   2.003371e+00             nan    1.430550e+00    0.000000e+00
   2.018322e+00             nan    1.398582e+00    0.000000e+00
   2.033273e+00             nan    1.367336e+00    0.000000e+00
   2.048223e+00             nan    1.336805e+00    0.000000e+00
   2.063174e+00             nan    1.306963e+00    0.000000e+00
   2.078124e+00             nan    1.277802e+00    0.000000e+00
   2.093075e+00             nan    1.249297e+00    0.000000e+00
   2.108025e+00             nan    1.221441e+00    0.000000e+00
   2.122976e+00             nan    1.194209e+00    0.000000e+00
