# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=3.751e-11, Err(n_e)=2.929e-13, Err(IET)=9.993e-13, Q_net=-2.190e-11
# {"name":"Al", "Z":13, "Zstar":3.3720825982772857, "A":26.981539,  "μ[AU]": 5.6525862579e-03, "Te[AU]": 3.675e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-02             nan    3.743266e+02    0.000000e+00
   5.980213e-02             nan    1.844576e+02    0.000000e+00
   8.970320e-02             nan    1.212852e+02    0.000000e+00
   1.196043e-01             nan    8.973813e+01    0.000000e+00
   1.495053e-01             nan    7.084292e+01    0.000000e+00
   1.794064e-01             nan    5.826446e+01    0.000000e+00
   2.093075e-01             nan    4.929410e+01    0.000000e+00
   2.392085e-01             nan    4.257568e+01    0.000000e+00
   2.691096e-01             nan    3.735829e+01    0.000000e+00
   2.990107e-01             nan    3.319005e+01    0.000000e+00
   3.289117e-01             nan    2.978490e+01    0.000000e+00
   3.588128e-01             nan    2.695092e+01    0.000000e+00
   3.887139e-01             nan    2.455644e+01    0.000000e+00
   4.186149e-01             nan    2.250663e+01    0.000000e+00
   4.485160e-01             nan    2.073287e+01    0.000000e+00
   4.784171e-01             nan    1.918283e+01    0.000000e+00
   5.083181e-01             nan    1.781721e+01    0.000000e+00
   5.382192e-01             nan    1.660488e+01    0.000000e+00
   5.681203e-01             nan    1.552181e+01    0.000000e+00
   5.980213e-01             nan    1.454840e+01    0.000000e+00
   6.279224e-01             nan    1.366908e+01    0.000000e+00
   6.578235e-01             nan    1.287086e+01    0.000000e+00
   6.877245e-01             nan    1.214330e+01    0.000000e+00
   7.176256e-01             nan    1.147738e+01    0.000000e+00
   7.475267e-01             nan    1.086585e+01    0.000000e+00
   7.774277e-01             nan    1.030229e+01    0.000000e+00
   8.073288e-01             nan    9.781493e+00    0.000000e+00
   8.372299e-01             nan    9.298788e+00    0.000000e+00
   8.671309e-01             nan    8.850327e+00    0.000000e+00
   8.970320e-01             nan    8.432590e+00    0.000000e+00
   9.269331e-01             nan    8.042694e+00    0.000000e+00
   9.568341e-01             nan    7.677980e+00    0.000000e+00
   9.867352e-01             nan    7.336231e+00    0.000000e+00
   1.016636e+00             nan    7.015349e+00    0.000000e+00
   1.046537e+00             nan    6.713632e+00    0.000000e+00
   1.076438e+00             nan    6.429428e+00    0.000000e+00
