# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=3.758e-11, Err(n_e)=1.236e-11, Err(IET)=9.992e-13, Q_net=-1.045e-09
# {"name":"Al", "Z":13, "Zstar":2.8844961617307034, "A":26.981539,  "μ[AU]": 2.8907937864e-01, "Te[AU]": 3.675e-02, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-02             nan    2.696655e+02    0.000000e+00
   5.980213e-02             nan    1.312750e+02    0.000000e+00
   8.970320e-02             nan    8.544524e+01    0.000000e+00
   1.196043e-01             nan    6.264131e+01    0.000000e+00
   1.495053e-01             nan    4.903593e+01    0.000000e+00
   1.794064e-01             nan    4.001131e+01    0.000000e+00
   2.093075e-01             nan    3.359964e+01    0.000000e+00
   2.392085e-01             nan    2.881465e+01    0.000000e+00
   2.691096e-01             nan    2.511201e+01    0.000000e+00
   2.990107e-01             nan    2.216394e+01    0.000000e+00
   3.289117e-01             nan    1.976357e+01    0.000000e+00
   3.588128e-01             nan    1.777232e+01    0.000000e+00
   3.887139e-01             nan    1.609518e+01    0.000000e+00
   4.186149e-01             nan    1.466381e+01    0.000000e+00
   4.485160e-01             nan    1.342874e+01    0.000000e+00
   4.784171e-01             nan    1.235250e+01    0.000000e+00
   5.083181e-01             nan    1.140687e+01    0.000000e+00
   5.382192e-01             nan    1.056965e+01    0.000000e+00
   5.681203e-01             nan    9.823597e+00    0.000000e+00
   5.980213e-01             nan    9.154745e+00    0.000000e+00
   6.279224e-01             nan    8.552000e+00    0.000000e+00
   6.578235e-01             nan    8.006130e+00    0.000000e+00
   6.877245e-01             nan    7.509695e+00    0.000000e+00
   7.176256e-01             nan    7.056355e+00    0.000000e+00
   7.475267e-01             nan    6.640934e+00    0.000000e+00
   7.774277e-01             nan    6.258938e+00    0.000000e+00
   8.073288e-01             nan    5.906664e+00    0.000000e+00
   8.372299e-01             nan    5.580837e+00    0.000000e+00
   8.671309e-01             nan    5.278740e+00    0.000000e+00
   8.970320e-01             nan    4.997931e+00    0.000000e+00
   9.269331e-01             nan    4.736375e+00    0.000000e+00
   9.568341e-01             nan    4.492214e+00    0.000000e+00
   9.867352e-01             nan    4.263895e+00    0.000000e+00
   1.016636e+00             nan    4.049973e+00    0.000000e+00
   1.046537e+00             nan    3.849249e+00    0.000000e+00
   1.076438e+00             nan    3.660591e+00    0.000000e+00
   1.106339e+00             nan    3.483046e+00    0.000000e+00
   1.136241e+00             nan    3.315713e+00    0.000000e+00
   1.166142e+00             nan    3.157837e+00    0.000000e+00
   1.196043e+00             nan    3.008692e+00    0.000000e+00
   1.225944e+00             nan    2.867659e+00    0.000000e+00
   1.255845e+00             nan    2.734148e+00    0.000000e+00
   1.285746e+00             nan    2.607662e+00    0.000000e+00
   1.315647e+00             nan    2.487705e+00    0.000000e+00
   1.345548e+00             nan    2.373873e+00    0.000000e+00
   1.375449e+00             nan    2.265754e+00    0.000000e+00
   1.405350e+00             nan    2.163008e+00    0.000000e+00
