# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=3.725e-11, Err(n_e)=1.120e-11, Err(IET)=9.929e-13, Q_net=-9.349e-10
# {"name":"Al", "Z":13, "Zstar":2.903712911504316, "A":26.981539,  "μ[AU]": 2.6672195074e-01, "Te[AU]": 1.102e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-02             nan    2.774933e+02    0.000000e+00
   5.980213e-02             nan    1.365012e+02    0.000000e+00
   8.970320e-02             nan    8.950938e+01    0.000000e+00
   1.196043e-01             nan    6.601492e+01    0.000000e+00
   1.495053e-01             nan    5.192209e+01    0.000000e+00
   1.794064e-01             nan    4.252908e+01    0.000000e+00
   2.093075e-01             nan    3.582300e+01    0.000000e+00
   2.392085e-01             nan    3.079577e+01    0.000000e+00
   2.691096e-01             nan    2.688857e+01    0.000000e+00
   2.990107e-01             nan    2.376509e+01    0.000000e+00
   3.289117e-01             nan    2.121214e+01    0.000000e+00
   3.588128e-01             nan    1.908688e+01    0.000000e+00
   3.887139e-01             nan    1.729100e+01    0.000000e+00
   4.186149e-01             nan    1.575380e+01    0.000000e+00
   4.485160e-01             nan    1.442380e+01    0.000000e+00
   4.784171e-01             nan    1.326208e+01    0.000000e+00
   5.083181e-01             nan    1.223914e+01    0.000000e+00
   5.382192e-01             nan    1.133179e+01    0.000000e+00
   5.681203e-01             nan    1.052194e+01    0.000000e+00
   5.980213e-01             nan    9.794918e+00    0.000000e+00
   6.279224e-01             nan    9.139022e+00    0.000000e+00
   6.578235e-01             nan    8.544505e+00    0.000000e+00
   6.877245e-01             nan    8.003477e+00    0.000000e+00
   7.176256e-01             nan    7.509209e+00    0.000000e+00
   7.475267e-01             nan    7.056185e+00    0.000000e+00
   7.774277e-01             nan    6.639611e+00    0.000000e+00
   8.073288e-01             nan    6.255516e+00    0.000000e+00
   8.372299e-01             nan    5.900388e+00    0.000000e+00
   8.671309e-01             nan    5.571298e+00    0.000000e+00
   8.970320e-01             nan    5.265614e+00    0.000000e+00
   9.269331e-01             nan    4.981129e+00    0.000000e+00
   9.568341e-01             nan    4.715829e+00    0.000000e+00
   9.867352e-01             nan    4.468019e+00    0.000000e+00
   1.016636e+00             nan    4.236132e+00    0.000000e+00
   1.046537e+00             nan    4.018846e+00    0.000000e+00
   1.076438e+00             nan    3.814921e+00    0.000000e+00
   1.106339e+00             nan    3.623311e+00    0.000000e+00
   1.136241e+00             nan    3.443022e+00    0.000000e+00
   1.166142e+00             nan    3.273216e+00    0.000000e+00
   1.196043e+00             nan    3.113085e+00    0.000000e+00
   1.225944e+00             nan    2.961950e+00    0.000000e+00
   1.255845e+00             nan    2.819148e+00    0.000000e+00
