# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# Convergence: Err(φ)=3.725e-11, Err(n_e)=1.120e-11, Err(IET)=9.929e-13, Q_net=-9.349e-10
# {"name":"CS2014_Al", "Z":13, "Zstar":2.903712911504316, "A":26.981539,  "μ[AU]": 2.6672195074e-01, "Te[AU]": 1.102e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           ne_full[AU]     n_ion[AU]       ne_ext[AU]      ne_PA[AU]       ne_scr[AU]      
   1.000000e-03    1.415620e+05    1.415575e+05    3.768904e-03    1.415620e+05    4.424568e+00
   1.005517e-03    1.403960e+05    1.403916e+05    3.768904e-03    1.403960e+05    4.458408e+00
   1.011065e-03    1.392395e+05    1.392351e+05    3.768904e-03    1.392395e+05    4.397829e+00
   1.016643e-03    1.380927e+05    1.380882e+05    3.768904e-03    1.380927e+05    4.442414e+00
   1.022253e-03    1.369552e+05    1.369508e+05    3.768904e-03    1.369551e+05    4.378993e+00
   1.027893e-03    1.358271e+05    1.358226e+05    3.768904e-03    1.358271e+05    4.409053e+00
   1.033564e-03    1.347082e+05    1.347038e+05    3.768904e-03    1.347082e+05    4.367419e+00
   1.039266e-03    1.335985e+05    1.335941e+05    3.768904e-03    1.335985e+05    4.359951e+00
   1.045000e-03    1.324980e+05    1.324936e+05    3.768904e-03    1.324980e+05    4.362473e+00
   1.050766e-03    1.314064e+05    1.314021e+05    3.768904e-03    1.314064e+05    4.307591e+00
   1.056563e-03    1.303240e+05    1.303196e+05    3.768904e-03    1.303240e+05    4.343787e+00
   1.062393e-03    1.292503e+05    1.292460e+05    3.768904e-03    1.292503e+05    4.252074e+00
   1.068254e-03    1.281856e+05    1.281812e+05    3.768904e-03    1.281855e+05    4.321022e+00
   1.074148e-03    1.271294e+05    1.271252e+05    3.768904e-03    1.271294e+05    4.227168e+00
   1.080075e-03    1.260821e+05    1.260778e+05    3.768904e-03    1.260821e+05    4.294246e+00
   1.086034e-03    1.250433e+05    1.250391e+05    3.768904e-03    1.250433e+05    4.234176e+00
   1.092026e-03    1.240132e+05    1.240089e+05    3.768904e-03    1.240132e+05    4.263033e+00
   1.098051e-03    1.229914e+05    1.229872e+05    3.768904e-03    1.229914e+05    4.236330e+00
   1.104109e-03    1.219781e+05    1.219738e+05    3.768904e-03    1.219781e+05    4.219423e+00
   1.110201e-03    1.209731e+05    1.209688e+05    3.768904e-03    1.209731e+05    4.234016e+00
   1.116326e-03    1.199763e+05    1.199721e+05    3.768904e-03    1.199763e+05    4.182728e+00
   1.122485e-03    1.189878e+05    1.189836e+05    3.768904e-03    1.189878e+05    4.215230e+00
   1.128678e-03    1.180073e+05    1.180032e+05    3.768904e-03    1.180073e+05    4.152773e+00
   1.134906e-03    1.170350e+05    1.170308e+05    3.768904e-03    1.170350e+05    4.183295e+00
   1.141167e-03    1.160706e+05    1.160664e+05    3.768904e-03    1.160706e+05    4.130318e+00
   1.147463e-03    1.151142e+05    1.151100e+05    3.768904e-03    1.151141e+05    4.148274e+00
   1.153794e-03    1.141656e+05    1.141614e+05    3.768904e-03    1.141656e+05    4.125335e+00
   1.160160e-03    1.132248e+05    1.132207e+05    3.768904e-03    1.132248e+05    4.110133e+00
   1.166561e-03    1.122917e+05    1.122876e+05    3.768904e-03    1.122917e+05    4.116425e+00
   1.172997e-03    1.113663e+05    1.113623e+05    3.768904e-03    1.113663e+05    4.077428e+00
   1.179469e-03    1.104486e+05    1.104445e+05    3.768904e-03    1.104486e+05    4.103810e+00
   1.185977e-03    1.095383e+05    1.095343e+05    3.768904e-03    1.095383e+05    4.054524e+00
   1.192520e-03    1.086356e+05    1.086316e+05    3.768904e-03    1.086356e+05    4.085921e+00
   1.199100e-03    1.077403e+05    1.077363e+05    3.768904e-03    1.077403e+05    4.037113e+00
   1.205715e-03    1.068524e+05    1.068483e+05    3.768904e-03    1.068524e+05    4.047060e+00
   1.212368e-03    1.059717e+05    1.059677e+05    3.768904e-03    1.059717e+05    4.025159e+00
   1.219057e-03    1.050983e+05    1.050943e+05    3.768904e-03    1.050983e+05    4.005660e+00
   1.225783e-03    1.042320e+05    1.042280e+05    3.768904e-03    1.042320e+05    4.012592e+00
   1.232546e-03    1.033729e+05    1.033689e+05    3.768904e-03    1.033729e+05    3.962034e+00
   1.239346e-03    1.025209e+05    1.025169e+05    3.768904e-03    1.025209e+05    3.994871e+00
   1.246184e-03    1.016758e+05    1.016719e+05    3.768904e-03    1.016758e+05    3.919835e+00
   1.253059e-03    1.008378e+05    1.008338e+05    3.768904e-03    1.008377e+05    3.974199e+00
   1.259973e-03    1.000065e+05    1.000026e+05    3.768904e-03    1.000065e+05    3.908639e+00
   1.266925e-03    9.918218e+04    9.917822e+04    3.768904e-03    9.918217e+04    3.950743e+00
   1.273915e-03    9.836455e+04    9.836064e+04    3.768904e-03    9.836455e+04    3.905721e+00
   1.280943e-03    9.755370e+04    9.754978e+04    3.768904e-03    9.755370e+04    3.914729e+00
   1.288011e-03    9.674950e+04    9.674559e+04    3.768904e-03    9.674949e+04    3.904664e+00
   1.295117e-03    9.595189e+04    9.594801e+04    3.768904e-03    9.595189e+04    3.876696e+00
   1.302263e-03    9.516089e+04    9.515699e+04    3.768904e-03    9.516089e+04    3.898164e+00
   1.309448e-03    9.437632e+04    9.437247e+04    3.768904e-03    9.437632e+04    3.843711e+00
   1.316672e-03    9.359828e+04    9.359441e+04    3.768904e-03    9.359828e+04    3.873530e+00
