# All units in Hartree [AU] if not specified
{"name":"Al", "Z":13, "Zstar":7.005126715137176, "A":27,  "μ[AU]": 9.3746803423e-01, "Te[AU]": 3.675e-02, "Ti[AU]": 3.675e-02, "rs[AU]": 2.991e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.991158e-03    2.709871e+04    3.659890e+01    2.706211e+04    0.000000e+00    4.291446e+03   -2.235332e+01    5.949111e+01    1.028814e+04  -3.697852e-242
   5.982316e-03    9.461937e+03    3.734110e+01    9.424596e+03    0.000000e+00    2.119703e+03   -1.578031e+01    6.018115e+01    8.237056e+03    0.000000e+00
   8.973473e-03    5.086098e+03    3.358200e+01    5.052516e+03    0.000000e+00    1.396528e+03   -1.285535e+01    5.661509e+01    6.185971e+03   7.395703e-243
   1.196463e-02    3.262410e+03    3.019812e+01    3.232212e+03    0.000000e+00    1.035369e+03   -1.110243e+01    5.328891e+01    4.134886e+03   5.203119e-259
   1.495579e-02    2.305560e+03    2.739857e+01    2.278161e+03    0.000000e+00    8.189707e+02   -9.902802e+00    5.044258e+01    3.450959e+03  -7.395703e-243
   1.794695e-02    1.732413e+03    2.508662e+01    1.707326e+03    0.000000e+00    6.749216e+02   -9.013278e+00    4.802014e+01    2.767032e+03    0.000000e+00
   2.093810e-02    1.358074e+03    2.314829e+01    1.334926e+03    0.000000e+00    5.721973e+02   -8.318716e+00    4.593063e+01    2.424885e+03   2.218711e-242
   2.392926e-02    1.098179e+03    2.149769e+01    1.076682e+03    0.000000e+00    4.952883e+02   -7.757654e+00    4.410482e+01    2.082738e+03    0.000000e+00
   2.692042e-02    9.093409e+02    2.007279e+01    8.892681e+02    0.000000e+00    4.355806e+02   -7.291701e+00    4.248953e+01    1.877313e+03  -8.135274e-242
   2.991158e-02    7.672107e+02    1.882881e+01    7.483819e+02    0.000000e+00    3.879069e+02   -6.895942e+00    4.104794e+01    1.671887e+03   2.996996e-256
   3.290274e-02    6.571889e+02    1.773182e+01    6.394571e+02    0.000000e+00    3.489800e+02   -6.553925e+00    3.975047e+01    1.534820e+03   3.032238e-241
   3.589389e-02    5.700491e+02    1.675438e+01    5.532948e+02    0.000000e+00    3.166091e+02   -6.255671e+00    3.857143e+01    1.397752e+03  -1.331998e-256
   3.888505e-02    4.997015e+02    1.587849e+01    4.838231e+02    0.000000e+00    2.892779e+02   -5.990900e+00    3.749438e+01    1.299752e+03  -1.131543e-240
   4.187621e-02    4.419894e+02    1.508746e+01    4.269019e+02    0.000000e+00    2.659036e+02   -5.754580e+00    3.650264e+01    1.201751e+03   8.524789e-255
   4.486737e-02    3.939858e+02    1.436887e+01    3.796169e+02    0.000000e+00    2.456927e+02   -5.541904e+00    3.558832e+01    1.128166e+03   4.222947e-240
   4.785852e-02    3.535778e+02    1.371242e+01    3.398654e+02    0.000000e+00    2.280500e+02   -5.349289e+00    3.473728e+01    1.054581e+03  -1.065599e-255
   5.084968e-02    3.192067e+02    1.311041e+01    3.060963e+02    0.000000e+00    2.125206e+02   -5.173578e+00    3.394575e+01    9.972767e+02  -1.576024e-239
   5.384084e-02    2.896996e+02    1.255625e+01    2.771433e+02    0.000000e+00    1.987509e+02   -5.011938e+00    3.320396e+01    9.399721e+02  -1.150847e-253
   5.683200e-02    2.641605e+02    1.204400e+01    2.521165e+02    0.000000e+00    1.864617e+02   -4.862874e+00    3.250997e+01    8.940632e+02   5.881803e-239
   5.982316e-02    2.418939e+02    1.156859e+01    2.303253e+02    0.000000e+00    1.754300e+02   -4.725088e+00    3.185581e+01    8.481542e+02  -4.091899e-253
   6.281431e-02    2.223519e+02    1.112634e+01    2.112256e+02    0.000000e+00    1.654751e+02   -4.596843e+00    3.123792e+01    8.105354e+02  -2.195119e-238
   6.580547e-02    2.050985e+02    1.071395e+01    1.943845e+02    0.000000e+00    1.564492e+02   -4.476832e+00    3.065400e+01    7.729166e+02   3.205321e-252
   6.879663e-02    1.897844e+02    1.032782e+01    1.794566e+02    0.000000e+00    1.482305e+02   -4.365245e+00    3.010086e+01    7.415152e+02   8.192294e-238
   7.178779e-02    1.761231e+02    9.965882e+00    1.661572e+02    0.000000e+00    1.407174e+02   -4.260193e+00    2.957528e+01    7.101138e+02   2.727933e-253
   7.477894e-02    1.638812e+02    9.625913e+00    1.542553e+02    0.000000e+00    1.338246e+02   -4.161157e+00    2.907510e+01    6.834967e+02  -3.057406e-237
   7.777010e-02    1.528656e+02    9.305810e+00    1.435598e+02    0.000000e+00    1.274799e+02   -4.067660e+00    2.859817e+01    6.568796e+02  -4.473809e-251
   8.076126e-02    1.429153e+02    9.003845e+00    1.339115e+02    0.000000e+00    1.216219e+02   -3.979256e+00    2.814272e+01    6.340216e+02   1.141039e-236
   8.375242e-02    1.338955e+02    8.718511e+00    1.251770e+02    0.000000e+00    1.161981e+02   -3.895534e+00    2.770719e+01    6.111636e+02  -1.658583e-250
   8.674358e-02    1.256921e+02    8.448346e+00    1.172437e+02    0.000000e+00    1.111630e+02   -3.816134e+00    2.728997e+01    5.913143e+02  -4.258417e-236
   8.973473e-02    1.182082e+02    8.192286e+00    1.100159e+02    0.000000e+00    1.064774e+02   -3.740637e+00    2.688999e+01    5.714650e+02   6.285157e-250
   9.272589e-02    1.113611e+02    7.949152e+00    1.034120e+02    0.000000e+00    1.021072e+02   -3.668783e+00    2.650591e+01    5.540602e+02   1.589263e-235
   9.571705e-02    1.050798e+02    7.718002e+00    9.736182e+01    0.000000e+00    9.802244e+01   -3.600248e+00    2.613667e+01    5.366554e+02   6.983507e-251
   9.870821e-02    9.930311e+01    7.498060e+00    9.180505e+01    0.000000e+00    9.419685e+01   -3.534753e+00    2.578146e+01    5.212649e+02  -5.931210e-235
   1.016994e-01    9.397775e+01    7.288455e+00    8.668930e+01    0.000000e+00    9.060728e+01   -3.472040e+00    2.543923e+01    5.058744e+02    0.000000e+00
   1.046905e-01    8.905761e+01    7.088570e+00    8.196904e+01    0.000000e+00    8.723326e+01   -3.411872e+00    2.510932e+01    4.921626e+02   2.213558e-234
   1.076817e-01    8.450225e+01    6.897760e+00    7.760449e+01    0.000000e+00    8.405656e+01   -3.354031e+00    2.479097e+01    4.784508e+02   3.072743e-248
   1.106728e-01    8.027623e+01    6.715419e+00    7.356081e+01    0.000000e+00    8.106097e+01   -3.298313e+00    2.448346e+01    4.661535e+02  -8.261110e-234
