# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=5.801e-11, Err(n_e)=6.698e-12, Err(IET)=9.969e-13, Q_net=-9.248e-10
# {"name":"Al", "Z":13, "Zstar":2.86931452245916, "A":27,  "μ[AU]": 2.8870965457e-01, "Te[AU]": 3.675e-02, "Ti[AU]": 3.675e-02, "rs[AU]": 2.991e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   1.495579e-02             nan    5.605987e+02    0.000000e+00
   2.991158e-02             nan    2.849320e+02    0.000000e+00
   4.486737e-02             nan    1.927947e+02    0.000000e+00
   5.982316e-02             nan    1.465344e+02    0.000000e+00
   7.477894e-02             nan    1.186404e+02    0.000000e+00
   8.973473e-02             nan    9.992935e+01    0.000000e+00
   1.046905e-01             nan    8.647419e+01    0.000000e+00
   1.196463e-01             nan    7.630474e+01    0.000000e+00
   1.346021e-01             nan    6.833129e+01    0.000000e+00
   1.495579e-01             nan    6.189596e+01    0.000000e+00
   1.645137e-01             nan    5.658316e+01    0.000000e+00
   1.794695e-01             nan    5.211313e+01    0.000000e+00
   1.944253e-01             nan    4.829430e+01    0.000000e+00
   2.093810e-01             nan    4.498788e+01    0.000000e+00
   2.243368e-01             nan    4.209366e+01    0.000000e+00
   2.392926e-01             nan    3.953499e+01    0.000000e+00
   2.542484e-01             nan    3.725447e+01    0.000000e+00
   2.692042e-01             nan    3.520628e+01    0.000000e+00
   2.841600e-01             nan    3.335520e+01    0.000000e+00
   2.991158e-01             nan    3.167214e+01    0.000000e+00
   3.140716e-01             nan    3.013429e+01    0.000000e+00
   3.290274e-01             nan    2.872224e+01    0.000000e+00
   3.439831e-01             nan    2.742060e+01    0.000000e+00
   3.589389e-01             nan    2.621589e+01    0.000000e+00
   3.738947e-01             nan    2.509733e+01    0.000000e+00
   3.888505e-01             nan    2.405526e+01    0.000000e+00
   4.038063e-01             nan    2.308190e+01    0.000000e+00
   4.187621e-01             nan    2.217013e+01    0.000000e+00
   4.337179e-01             nan    2.131418e+01    0.000000e+00
   4.486737e-01             nan    2.050869e+01    0.000000e+00
   4.636295e-01             nan    1.974929e+01    0.000000e+00
   4.785852e-01             nan    1.903183e+01    0.000000e+00
   4.935410e-01             nan    1.835297e+01    0.000000e+00
   5.084968e-01             nan    1.770943e+01    0.000000e+00
   5.234526e-01             nan    1.709860e+01    0.000000e+00
   5.384084e-01             nan    1.651785e+01    0.000000e+00
   5.533642e-01             nan    1.596512e+01    0.000000e+00
   5.683200e-01             nan    1.543828e+01    0.000000e+00
   5.832758e-01             nan    1.493564e+01    0.000000e+00
   5.982316e-01             nan    1.445549e+01    0.000000e+00
   6.131873e-01             nan    1.399644e+01    0.000000e+00
   6.281431e-01             nan    1.355705e+01    0.000000e+00
   6.430989e-01             nan    1.313620e+01    0.000000e+00
   6.580547e-01             nan    1.273267e+01    0.000000e+00
   6.730105e-01             nan    1.234553e+01    0.000000e+00
   6.879663e-01             nan    1.197375e+01    0.000000e+00
   7.029221e-01             nan    1.161654e+01    0.000000e+00
   7.178779e-01             nan    1.127302e+01    0.000000e+00
   7.328337e-01             nan    1.094254e+01    0.000000e+00
   7.477894e-01             nan    1.062433e+01    0.000000e+00
   7.627452e-01             nan    1.031782e+01    0.000000e+00
   7.777010e-01             nan    1.002237e+01    0.000000e+00
   7.926568e-01             nan    9.737481e+00    0.000000e+00
   8.076126e-01             nan    9.462584e+00    0.000000e+00
   8.225684e-01             nan    9.197257e+00    0.000000e+00
   8.375242e-01             nan    8.940999e+00    0.000000e+00
   8.524800e-01             nan    8.693443e+00    0.000000e+00
   8.674358e-01             nan    8.454147e+00    0.000000e+00
   8.823915e-01             nan    8.222790e+00    0.000000e+00
   8.973473e-01             nan    7.998980e+00    0.000000e+00
   9.123031e-01             nan    7.782435e+00    0.000000e+00
   9.272589e-01             nan    7.572806e+00    0.000000e+00
   9.422147e-01             nan    7.369844e+00    0.000000e+00
   9.571705e-01             nan    7.173235e+00    0.000000e+00
   9.721263e-01             nan    6.982761e+00    0.000000e+00
   9.870821e-01             nan    6.798140e+00    0.000000e+00
   1.002038e+00             nan    6.619175e+00    0.000000e+00
   1.016994e+00             nan    6.445614e+00    0.000000e+00
   1.031949e+00             nan    6.277281e+00    0.000000e+00
   1.046905e+00             nan    6.113946e+00    0.000000e+00
   1.061861e+00             nan    5.955455e+00    0.000000e+00
   1.076817e+00             nan    5.801596e+00    0.000000e+00
   1.091773e+00             nan    5.652232e+00    0.000000e+00
   1.106728e+00             nan    5.507169e+00    0.000000e+00
   1.121684e+00             nan    5.366284e+00    0.000000e+00
   1.136640e+00             nan    5.229401e+00    0.000000e+00
   1.151596e+00             nan    5.096408e+00    0.000000e+00
   1.166552e+00             nan    4.967143e+00    0.000000e+00
   1.181507e+00             nan    4.841505e+00    0.000000e+00
   1.196463e+00             nan    4.719346e+00    0.000000e+00
   1.211419e+00             nan    4.600575e+00    0.000000e+00
   1.226375e+00             nan    4.485054e+00    0.000000e+00
   1.241330e+00             nan    4.372700e+00    0.000000e+00
   1.256286e+00             nan    4.263388e+00    0.000000e+00
   1.271242e+00             nan    4.157041e+00    0.000000e+00
   1.286198e+00             nan    4.053544e+00    0.000000e+00
   1.301154e+00             nan    3.952826e+00    0.000000e+00
   1.316109e+00             nan    3.854779e+00    0.000000e+00
   1.331065e+00             nan    3.759342e+00    0.000000e+00
   1.346021e+00             nan    3.666413e+00    0.000000e+00
   1.360977e+00             nan    3.575935e+00    0.000000e+00
   1.375933e+00             nan    3.487813e+00    0.000000e+00
   1.390888e+00             nan    3.401997e+00    0.000000e+00
   1.405844e+00             nan    3.318398e+00    0.000000e+00
   1.420800e+00             nan    3.236968e+00    0.000000e+00
   1.435756e+00             nan    3.157626e+00    0.000000e+00
   1.450712e+00             nan    3.080327e+00    0.000000e+00
   1.465667e+00             nan    3.004996e+00    0.000000e+00
   1.480623e+00             nan    2.931592e+00    0.000000e+00
   1.495579e+00             nan    2.860044e+00    0.000000e+00
   1.510535e+00             nan    2.790314e+00    0.000000e+00
   1.525490e+00             nan    2.722335e+00    0.000000e+00
   1.540446e+00             nan    2.656073e+00    0.000000e+00
   1.555402e+00             nan    2.591465e+00    0.000000e+00
   1.570358e+00             nan    2.528480e+00    0.000000e+00
   1.585314e+00             nan    2.467059e+00    0.000000e+00
   1.600269e+00             nan    2.407172e+00    0.000000e+00
   1.615225e+00             nan    2.348764e+00    0.000000e+00
   1.630181e+00             nan    2.291808e+00    0.000000e+00
   1.645137e+00             nan    2.236252e+00    0.000000e+00
   1.660093e+00             nan    2.182070e+00    0.000000e+00
   1.675048e+00             nan    2.129214e+00    0.000000e+00
   1.690004e+00             nan    2.077661e+00    0.000000e+00
   1.704960e+00             nan    2.027363e+00    0.000000e+00
   1.719916e+00             nan    1.978300e+00    0.000000e+00
   1.734872e+00             nan    1.930427e+00    0.000000e+00
   1.749827e+00             nan    1.883726e+00    0.000000e+00
   1.764783e+00             nan    1.838153e+00    0.000000e+00
   1.779739e+00             nan    1.793692e+00    0.000000e+00
   1.794695e+00             nan    1.750302e+00    0.000000e+00
   1.809650e+00             nan    1.707967e+00    0.000000e+00
   1.824606e+00             nan    1.666649e+00    0.000000e+00
   1.839562e+00             nan    1.626332e+00    0.000000e+00
   1.854518e+00             nan    1.586982e+00    0.000000e+00
   1.869474e+00             nan    1.548584e+00    0.000000e+00
   1.884429e+00             nan    1.511103e+00    0.000000e+00
   1.899385e+00             nan    1.474528e+00    0.000000e+00
   1.914341e+00             nan    1.438824e+00    0.000000e+00
   1.929297e+00             nan    1.403981e+00    0.000000e+00
   1.944253e+00             nan    1.369967e+00    0.000000e+00
   1.959208e+00             nan    1.336772e+00    0.000000e+00
   1.974164e+00             nan    1.304365e+00    0.000000e+00
   1.989120e+00             nan    1.272738e+00    0.000000e+00
   2.004076e+00             nan    1.241860e+00    0.000000e+00
   2.019032e+00             nan    1.211724e+00    0.000000e+00
   2.033987e+00             nan    1.182302e+00    0.000000e+00
   2.048943e+00             nan    1.153585e+00    0.000000e+00
   2.063899e+00             nan    1.125549e+00    0.000000e+00
   2.078855e+00             nan    1.098184e+00    1.600498e-12
   2.093810e+00             nan    1.071467e+00    5.707435e-12
   2.108766e+00             nan    1.045390e+00    1.371880e-11
   2.123722e+00             nan    1.019929e+00    2.910205e-11
   2.138678e+00             nan    9.950782e-01    5.815259e-11
   2.153634e+00             nan    9.708146e-01    1.121716e-10
   2.168589e+00             nan    9.471320e-01    2.110170e-10
   2.183545e+00             nan    9.240091e-01    3.891838e-10
   2.198501e+00             nan    9.014399e-01    7.054091e-10
   2.213457e+00             nan    8.794040e-01    1.258664e-09
   2.228413e+00             nan    8.578959e-01    2.212415e-09
   2.243368e+00             nan    8.368961e-01    3.834230e-09
   2.258324e+00             nan    8.163996e-01    6.553450e-09
   2.273280e+00             nan    7.963875e-01    1.105355e-08
   2.288236e+00             nan    7.768553e-01    1.840125e-08
   2.303191e+00             nan    7.577849e-01    3.025044e-08
   2.318147e+00             nan    7.391721e-01    4.911464e-08
   2.333103e+00             nan    7.209996e-01    7.879409e-08
   2.348059e+00             nan    7.032635e-01    1.249188e-07
   2.363015e+00             nan    6.859473e-01    1.957994e-07
   2.377970e+00             nan    6.690473e-01    3.034502e-07
   2.392926e+00             nan    6.525476e-01    4.652062e-07
   2.407882e+00             nan    6.364449e-01    7.055443e-07
   2.422838e+00             nan    6.207240e-01    1.059025e-06
   2.437794e+00             nan    6.053818e-01    1.573352e-06
   2.452749e+00             nan    5.904035e-01    2.314511e-06
   2.467705e+00             nan    5.757866e-01    3.371611e-06
   2.482661e+00             nan    5.615168e-01    4.865524e-06
   2.497617e+00             nan    5.475916e-01    6.956073e-06
   2.512573e+00             nan    5.339974e-01    9.856065e-06
   2.527528e+00             nan    5.207321e-01    1.384120e-05
   2.542484e+00             nan    5.077823e-01    1.927220e-05
   2.557440e+00             nan    4.951462e-01    2.660719e-05
   2.572396e+00             nan    4.828110e-01    3.643578e-05
   2.587351e+00             nan    4.707751e-01    4.949245e-05
   2.602307e+00             nan    4.590261e-01    6.670787e-05
   2.617263e+00             nan    4.475625e-01    8.921970e-05
   2.632219e+00             nan    4.363726e-01    1.184487e-04
   2.647175e+00             nan    4.254549e-01    1.560994e-04
   2.662130e+00             nan    4.147980e-01    2.042723e-04
   2.677086e+00             nan    4.044009e-01    2.654414e-04
   2.692042e+00             nan    3.942524e-01    3.426173e-04
   2.706998e+00             nan    3.843517e-01    4.392821e-04
   2.721954e+00             nan    3.746880e-01    5.596250e-04
   2.736909e+00             nan    3.652606e-01    7.084028e-04
   2.751865e+00             nan    3.560591e-01    8.912810e-04
   2.766821e+00             nan    3.470829e-01    1.114573e-03
   2.781777e+00             nan    3.383221e-01    1.385732e-03
   2.796733e+00             nan    3.297762e-01    1.712907e-03
   2.811688e+00             nan    3.214355e-01    2.105645e-03
   2.826644e+00             nan    3.132997e-01    2.574179e-03
   2.841600e+00             nan    3.053595e-01    3.130429e-03
   2.856556e+00             nan    2.976147e-01    3.786903e-03
   2.871511e+00             nan    2.900563e-01    4.558118e-03
   2.886467e+00             nan    2.826842e-01    5.458962e-03
   2.901423e+00             nan    2.754897e-01    6.506688e-03
   2.916379e+00             nan    2.684729e-01    7.718554e-03
   2.931335e+00             nan    2.616253e-01    9.114588e-03
   2.946290e+00             nan    2.549470e-01    1.071427e-02
   2.961246e+00             nan    2.484300e-01    1.254030e-02
   2.976202e+00             nan    2.420744e-01    1.461407e-02
   2.991158e+00             nan    2.358726e-01    1.696076e-02
   3.006114e+00             nan    2.298246e-01    1.960319e-02
   3.021069e+00             nan    2.239231e-01    2.256862e-02
   3.036025e+00             nan    2.181683e-01    2.588068e-02
   3.050981e+00             nan    2.125531e-01    2.956824e-02
   3.065937e+00             nan    2.070778e-01    3.365495e-02
   3.080893e+00             nan    2.017354e-01    3.817067e-02
   3.095848e+00             nan    1.965264e-01    4.313816e-02
   3.110804e+00             nan    1.914441e-01    4.858762e-02
   3.125760e+00             nan    1.864891e-01    5.453992e-02
   3.140716e+00             nan    1.816547e-01    6.102485e-02
   3.155671e+00             nan    1.769416e-01    6.806035e-02
   3.170627e+00             nan    1.723435e-01    7.567510e-02
   3.185583e+00             nan    1.678610e-01    8.388305e-02
   3.200539e+00             nan    1.634881e-01    9.271106e-02
   3.215495e+00             nan    1.592255e-01    1.021681e-01
   3.230450e+00             nan    1.550671e-01    1.122786e-01
   3.245406e+00             nan    1.510140e-01    1.230457e-01
   3.260362e+00             nan    1.470602e-01    1.344908e-01
   3.275318e+00             nan    1.432067e-01    1.466104e-01
   3.290274e+00             nan    1.394478e-01    1.594227e-01
   3.305229e+00             nan    1.357846e-01    1.729167e-01
   3.320185e+00             nan    1.322115e-01    1.871073e-01
   3.335141e+00             nan    1.287295e-01    2.019757e-01
   3.350097e+00             nan    1.253334e-01    2.175332e-01
   3.365053e+00             nan    1.220241e-01    2.337530e-01
   3.380008e+00             nan    1.187966e-01    2.506432e-01
   3.394964e+00             nan    1.156520e-01    2.681688e-01
   3.409920e+00             nan    1.125851e-01    2.863348e-01
   3.424876e+00             nan    1.095973e-01    3.050983e-01
