Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
 # {"name":"CS2014_Al", "Z":13, "Zstar":3.080039821575357, "A":27,  "μ_core[AU]": 3.1167943884e-01, "μ_empty[AU]": 3.1168314360e-01, "Te[AU]": 3.675e-02, "Ti[AU]": 3.675e-02, "rs[AU]": 2.991e+00 }
   r[AU]           ne_full[AU]     n_ion[AU]       ne_ext[AU]      ne_PA[AU]       ne_scr[AU]      
   5.000000e-04    4.004993e+05    4.004919e+05    2.633218e-03    4.004993e+05    7.469841e+00
   6.292791e-04    2.835373e+05    2.835306e+05    2.633218e-03    2.835373e+05    6.612563e+00
   7.734068e-04    2.079906e+05    2.079847e+05    2.633218e-03    2.079906e+05    5.929073e+00
   9.323830e-04    1.570390e+05    1.570336e+05    2.633218e-03    1.570390e+05    5.346809e+00
   1.106208e-03    1.214368e+05    1.214319e+05    2.633219e-03    1.214368e+05    4.864862e+00
   1.294881e-03    9.581437e+04    9.580983e+04    2.633219e-03    9.581437e+04    4.541611e+00
   1.498403e-03    7.690695e+04    7.690274e+04    2.633219e-03    7.690695e+04    4.213756e+00
   1.716774e-03    6.265216e+04    6.264824e+04    2.633219e-03    6.265216e+04    3.912926e+00
   1.949993e-03    5.170325e+04    5.169958e+04    2.633220e-03    5.170325e+04    3.666523e+00
   2.198061e-03    4.315535e+04    4.315191e+04    2.633220e-03    4.315535e+04    3.439944e+00
   2.460977e-03    3.638524e+04    3.638197e+04    2.633221e-03    3.638524e+04    3.262230e+00
   2.738742e-03    3.095403e+04    3.095095e+04    2.633221e-03    3.095403e+04    3.081081e+00
   3.031356e-03    2.654676e+04    2.654383e+04    2.633222e-03    2.654676e+04    2.926715e+00
   3.338818e-03    2.293334e+04    2.293054e+04    2.633223e-03    2.293333e+04    2.790764e+00
   3.661129e-03    1.994298e+04    1.994032e+04    2.633224e-03    1.994297e+04    2.658551e+00
   3.998288e-03    1.744715e+04    1.744461e+04    2.633225e-03    1.744715e+04    2.536317e+00
   4.350296e-03    1.534787e+04    1.534543e+04    2.633227e-03    1.534786e+04    2.431862e+00
   4.717153e-03    1.356950e+04    1.356716e+04    2.633228e-03    1.356949e+04    2.333491e+00
   5.098858e-03    1.205313e+04    1.205088e+04    2.633230e-03    1.205313e+04    2.241766e+00
   5.495412e-03    1.075234e+04    1.075017e+04    2.633232e-03    1.075234e+04    2.160600e+00
   5.906814e-03    9.630217e+03    9.628131e+03    2.633234e-03    9.630214e+03    2.083387e+00
   6.333065e-03    8.657187e+03    8.655175e+03    2.633236e-03    8.657185e+03    2.009078e+00
   6.774164e-03    7.809334e+03    7.807392e+03    2.633239e-03    7.809331e+03    1.939023e+00
   7.230112e-03    7.067238e+03    7.065359e+03    2.633242e-03    7.067235e+03    1.876030e+00
