# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=5.769e-11, Err(n_e)=2.532e-11, Err(IET)=9.981e-13, Q_net=-2.793e-09
# {"name":"Al", "Z":13, "Zstar":4.725503484170507, "A":26.981538,  "μ[AU]": -1.4938206179e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990476e-02             nan    7.400051e+02    0.000000e+00
   5.980952e-02             nan    3.666242e+02    0.000000e+00
   8.971428e-02             nan    2.421831e+02    0.000000e+00
   1.196190e-01             nan    1.799549e+02    0.000000e+00
   1.495238e-01             nan    1.426257e+02    0.000000e+00
   1.794286e-01             nan    1.177376e+02    0.000000e+00
   2.093333e-01             nan    9.996498e+01    0.000000e+00
   2.392381e-01             nan    8.663518e+01    0.000000e+00
   2.691428e-01             nan    7.627100e+01    0.000000e+00
   2.990476e-01             nan    6.798001e+01    0.000000e+00
   3.289523e-01             nan    6.119925e+01    0.000000e+00
   3.588571e-01             nan    5.554932e+01    0.000000e+00
   3.887619e-01             nan    5.077099e+01    0.000000e+00
   4.186666e-01             nan    4.667616e+01    0.000000e+00
   4.485714e-01             nan    4.312942e+01    0.000000e+00
   4.784761e-01             nan    4.002701e+01    0.000000e+00
   5.083809e-01             nan    3.729150e+01    0.000000e+00
   5.382857e-01             nan    3.486096e+01    0.000000e+00
   5.681904e-01             nan    3.268804e+01    0.000000e+00
   5.980952e-01             nan    3.073347e+01    0.000000e+00
   6.279999e-01             nan    2.896670e+01    0.000000e+00
   6.579047e-01             nan    2.736161e+01    0.000000e+00
   6.878094e-01             nan    2.589764e+01    0.000000e+00
   7.177142e-01             nan    2.455673e+01    0.000000e+00
   7.476190e-01             nan    2.332456e+01    0.000000e+00
   7.775237e-01             nan    2.218822e+01    0.000000e+00
   8.074285e-01             nan    2.113745e+01    0.000000e+00
   8.373332e-01             nan    2.016278e+01    0.000000e+00
   8.672380e-01             nan    1.925665e+01    0.000000e+00
   8.971428e-01             nan    1.841196e+01    0.000000e+00
   9.270475e-01             nan    1.762304e+01    0.000000e+00
   9.569523e-01             nan    1.688442e+01    0.000000e+00
   9.868570e-01             nan    1.619180e+01    0.000000e+00
   1.016762e+00             nan    1.554090e+01    0.000000e+00
   1.046667e+00             nan    1.492837e+01    0.000000e+00
   1.076571e+00             nan    1.435082e+01    0.000000e+00
   1.106476e+00             nan    1.380563e+01    0.000000e+00
   1.136381e+00             nan    1.329008e+01    0.000000e+00
   1.166286e+00             nan    1.280205e+01    0.000000e+00
   1.196190e+00             nan    1.233934e+01    0.000000e+00
   1.226095e+00             nan    1.190025e+01    0.000000e+00
