# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# Convergence: Err(φ)=5.769e-11, Err(n_e)=2.532e-11, Err(IET)=9.981e-13, Q_net=-2.793e-09
# {"name":"CS2014_Al", "Z":13, "Zstar":4.725503484170507, "A":26.981538,  "μ[AU]": -1.4938206179e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           ne_full[AU]     n_ion[AU]       ne_ext[AU]      ne_PA[AU]       ne_scr[AU]      
   1.000000e-04    4.483039e+06    4.483115e+06    1.841834e-02    4.483039e+06   -7.575221e+01
   1.006327e-04    4.440835e+06    4.440908e+06    1.841834e-02    4.440835e+06   -7.307931e+01
   1.012695e-04    4.399025e+06    4.399100e+06    1.841834e-02    4.399025e+06   -7.433909e+01
   1.019102e-04    4.357610e+06    4.357684e+06    1.841834e-02    4.357610e+06   -7.401884e+01
   1.025550e-04    4.316587e+06    4.316659e+06    1.841834e-02    4.316587e+06   -7.232984e+01
   1.032039e-04    4.275946e+06    4.276020e+06    1.841834e-02    4.275946e+06   -7.390496e+01
   1.038569e-04    4.235691e+06    4.235763e+06    1.841834e-02    4.235691e+06   -7.288198e+01
   1.045141e-04    4.195814e+06    4.195886e+06    1.841834e-02    4.195814e+06   -7.213305e+01
   1.051753e-04    4.156310e+06    4.156384e+06    1.841834e-02    4.156310e+06   -7.379755e+01
   1.058408e-04    4.117182e+06    4.117253e+06    1.841834e-02    4.117182e+06   -7.148479e+01
   1.065105e-04    4.078419e+06    4.078491e+06    1.841834e-02    4.078419e+06   -7.189428e+01
   1.071844e-04    4.040021e+06    4.040094e+06    1.841834e-02    4.040021e+06   -7.271182e+01
   1.078626e-04    4.001988e+06    4.002059e+06    1.841834e-02    4.001988e+06   -7.088257e+01
   1.085451e-04    3.964309e+06    3.964381e+06    1.841834e-02    3.964309e+06   -7.184484e+01
   1.092319e-04    3.926986e+06    3.927058e+06    1.841834e-02    3.926986e+06   -7.170128e+01
   1.099230e-04    3.890016e+06    3.890087e+06    1.841834e-02    3.890016e+06   -7.028577e+01
   1.106185e-04    3.853391e+06    3.853463e+06    1.841834e-02    3.853391e+06   -7.175160e+01
   1.113184e-04    3.817114e+06    3.817184e+06    1.841834e-02    3.817114e+06   -7.045539e+01
   1.120228e-04    3.781178e+06    3.781247e+06    1.841834e-02    3.781178e+06   -6.967189e+01
   1.127316e-04    3.745577e+06    3.745648e+06    1.841834e-02    3.745577e+06   -7.122773e+01
