# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=5.761e-11, Err(n_e)=3.912e-11, Err(IET)=9.920e-13, Q_net=3.996e-09
# {"name":"Al", "Z":13, "Zstar":5.279576780680202, "A":26.981538,  "μ[AU]": -2.4596424893e+00, "Te[AU]": 1.470e+00, "Ti[AU]": 1.837e-01, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990476e-02             nan    9.243484e+02    0.000000e+00
   5.980952e-02             nan    4.582699e+02    0.000000e+00
   8.971428e-02             nan    3.029373e+02    0.000000e+00
   1.196190e-01             nan    2.252590e+02    0.000000e+00
   1.495238e-01             nan    1.786624e+02    0.000000e+00
   1.794286e-01             nan    1.475941e+02    0.000000e+00
   2.093333e-01             nan    1.254084e+02    0.000000e+00
   2.392381e-01             nan    1.087677e+02    0.000000e+00
   2.691428e-01             nan    9.582916e+01    0.000000e+00
   2.990476e-01             nan    8.547802e+01    0.000000e+00
   3.289523e-01             nan    7.701218e+01    0.000000e+00
   3.588571e-01             nan    6.995758e+01    0.000000e+00
   3.887619e-01             nan    6.399103e+01    0.000000e+00
   4.186666e-01             nan    5.887742e+01    0.000000e+00
   4.485714e-01             nan    5.444800e+01    0.000000e+00
   4.784761e-01             nan    5.057301e+01    0.000000e+00
   5.083809e-01             nan    4.715602e+01    0.000000e+00
   5.382857e-01             nan    4.411956e+01    0.000000e+00
   5.681904e-01             nan    4.140467e+01    0.000000e+00
   5.980952e-01             nan    3.896220e+01    0.000000e+00
   6.279999e-01             nan    3.675413e+01    0.000000e+00
   6.579047e-01             nan    3.474777e+01    0.000000e+00
   6.878094e-01             nan    3.291755e+01    0.000000e+00
   7.177142e-01             nan    3.124083e+01    0.000000e+00
   7.476190e-01             nan    2.969983e+01    0.000000e+00
   7.775237e-01             nan    2.827837e+01    0.000000e+00
   8.074285e-01             nan    2.696370e+01    0.000000e+00
   8.373332e-01             nan    2.574393e+01    0.000000e+00
   8.672380e-01             nan    2.460972e+01    0.000000e+00
   8.971428e-01             nan    2.355211e+01    0.000000e+00
   9.270475e-01             nan    2.256410e+01    0.000000e+00
   9.569523e-01             nan    2.163882e+01    0.000000e+00
   9.868570e-01             nan    2.077093e+01    0.000000e+00
   1.016762e+00             nan    1.995506e+01    0.000000e+00
   1.046667e+00             nan    1.918707e+01    0.000000e+00
   1.076571e+00             nan    1.846270e+01    0.000000e+00
   1.106476e+00             nan    1.777870e+01    0.000000e+00
   1.136381e+00             nan    1.713164e+01    0.000000e+00
   1.166286e+00             nan    1.651893e+01    0.000000e+00
   1.196190e+00             nan    1.593778e+01    0.000000e+00
   1.226095e+00             nan    1.538611e+01    0.000000e+00
   1.256000e+00             nan    1.486161e+01    0.000000e+00
   1.285905e+00             nan    1.436260e+01    0.000000e+00
   1.315809e+00             nan    1.388715e+01    0.000000e+00
   1.345714e+00             nan    1.343389e+01    0.000000e+00
   1.375619e+00             nan    1.300121e+01    0.000000e+00
   1.405524e+00             nan    1.258795e+01    0.000000e+00
   1.435428e+00             nan    1.219277e+01    0.000000e+00
   1.465333e+00             nan    1.181470e+01    0.000000e+00
   1.495238e+00             nan    1.145258e+01    0.000000e+00
   1.525143e+00             nan    1.110562e+01    0.000000e+00
   1.555047e+00             nan    1.077281e+01    0.000000e+00
   1.584952e+00             nan    1.045349e+01    0.000000e+00
   1.614857e+00             nan    1.014678e+01    0.000000e+00
   1.644762e+00             nan    9.852128e+00    0.000000e+00
   1.674666e+00             nan    9.568765e+00    0.000000e+00
   1.704571e+00             nan    9.296215e+00    0.000000e+00
   1.734476e+00             nan    9.033813e+00    0.000000e+00
   1.764381e+00             nan    8.781150e+00    0.000000e+00
   1.794286e+00             nan    8.537639e+00    0.000000e+00
   1.824190e+00             nan    8.302930e+00    0.000000e+00
   1.854095e+00             nan    8.076502e+00    0.000000e+00
   1.884000e+00             nan    7.858056e+00    6.625367e-12
   1.913905e+00             nan    7.647128e+00    2.523404e-11
   1.943809e+00             nan    7.443459e+00    7.355316e-11
   1.973714e+00             nan    7.246635e+00    1.944385e-10
   2.003619e+00             nan    7.056431e+00    4.858650e-10
   2.033524e+00             nan    6.872475e+00    1.164521e-09
   2.063428e+00             nan    6.694574e+00    2.691774e-09
   2.093333e+00             nan    6.522392e+00    6.021293e-09
   2.123238e+00             nan    6.355759e+00    1.305516e-08
   2.153143e+00             nan    6.194374e+00    2.748851e-08
   2.183047e+00             nan    6.038088e+00    5.626046e-08
   2.212952e+00             nan    5.886626e+00    1.121037e-07
   2.242857e+00             nan    5.739861e+00    2.176342e-07
   2.272762e+00             nan    5.597541e+00    4.122238e-07
   2.302666e+00             nan    5.459553e+00    7.622881e-07
   2.332571e+00             nan    5.325671e+00    1.377967e-06
   2.362476e+00             nan    5.195794e+00    2.436345e-06
   2.392381e+00             nan    5.069714e+00    4.218191e-06
   2.422285e+00             nan    4.947344e+00    7.155147e-06
   2.452190e+00             nan    4.828492e+00    1.190370e-05
   2.482095e+00             nan    4.713082e+00    1.943161e-05
   2.512000e+00             nan    4.600937e+00    3.115506e-05
   2.541904e+00             nan    4.491991e+00    4.908078e-05
   2.571809e+00             nan    4.386080e+00    7.604222e-05
   2.601714e+00             nan    4.283146e+00    1.159068e-04
   2.631619e+00             nan    4.183039e+00    1.739570e-04
   2.661524e+00             nan    4.085706e+00    2.571505e-04
   2.691428e+00             nan    3.991007e+00    3.747029e-04
   2.721333e+00             nan    3.898898e+00    5.383430e-04
   2.751238e+00             nan    3.809249e+00    7.631706e-04
   2.781143e+00             nan    3.722020e+00    1.067774e-03
   2.811047e+00             nan    3.637090e+00    1.475467e-03
   2.840952e+00             nan    3.554425e+00    2.014022e-03
   2.870857e+00             nan    3.473911e+00    2.717446e-03
   2.900762e+00             nan    3.395519e+00    3.624950e-03
   2.930666e+00             nan    3.319143e+00    4.783512e-03
   2.960571e+00             nan    3.244757e+00    6.245516e-03
   2.990476e+00             nan    3.172262e+00    8.072528e-03
   3.020381e+00             nan    3.101635e+00    1.033082e-02
   3.050285e+00             nan    3.032784e+00    1.309703e-02
   3.080190e+00             nan    2.965689e+00    1.645055e-02
   3.110095e+00             nan    2.900263e+00    2.048199e-02
   3.140000e+00             nan    2.836489e+00    2.528124e-02
   3.169904e+00             nan    2.774285e+00    3.095007e-02
   3.199809e+00             nan    2.713637e+00    3.758427e-02
   3.229714e+00             nan    2.654468e+00    4.529214e-02
   3.259619e+00             nan    2.596765e+00    5.416896e-02
   3.289523e+00             nan    2.540456e+00    6.432351e-02
   3.319428e+00             nan    2.485530e+00    7.584282e-02
   3.349333e+00             nan    2.431918e+00    8.882913e-02
   3.379238e+00             nan    2.379612e+00    1.033528e-01
   3.409142e+00             nan    2.328547e+00    1.195024e-01
   3.439047e+00             nan    2.278715e+00    1.373233e-01
   3.468952e+00             nan    2.230055e+00    1.568839e-01
   3.498857e+00             nan    2.182562e+00    1.781974e-01
   3.528762e+00             nan    2.136177e+00    2.013068e-01
   3.558666e+00             nan    2.090895e+00    2.261875e-01
   3.588571e+00             nan    2.046661e+00    2.528541e-01
   3.618476e+00             nan    2.003471e+00    2.812411e-01
   3.648381e+00             nan    1.961274e+00    3.113339e-01
   3.678285e+00             nan    1.920066e+00    3.430251e-01
   3.708190e+00             nan    1.879797e+00    3.762726e-01
   3.738095e+00             nan    1.840466e+00    4.109294e-01
   3.768000e+00             nan    1.802026e+00    4.469295e-01
   3.797904e+00             nan    1.764475e+00    4.840906e-01
   3.827809e+00             nan    1.727768e+00    5.223284e-01
   3.857714e+00             nan    1.691906e+00    5.614312e-01
   3.887619e+00             nan    1.656844e+00    6.013037e-01
   3.917523e+00             nan    1.622583e+00    6.417120e-01
   3.947428e+00             nan    1.589083e+00    6.825572e-01
   3.977333e+00             nan    1.556344e+00    7.235914e-01
   4.007238e+00             nan    1.524327e+00    7.647194e-01
   4.037142e+00             nan    1.493033e+00    8.056873e-01
   4.067047e+00             nan    1.462425e+00    8.464109e-01
   4.096952e+00             nan    1.432505e+00    8.866374e-01
   4.126857e+00             nan    1.403236e+00    9.262995e-01
   4.156761e+00             nan    1.374623e+00    9.651524e-01
   4.186666e+00             nan    1.346628e+00    1.003150e+00
   4.216571e+00             nan    1.319257e+00    1.040061e+00
   4.246476e+00             nan    1.292475e+00    1.075865e+00
   4.276380e+00             nan    1.266287e+00    1.110346e+00
   4.306285e+00             nan    1.240659e+00    1.143511e+00
   4.336190e+00             nan    1.215596e+00    1.175164e+00
   4.366095e+00             nan    1.191067e+00    1.205339e+00
   4.396000e+00             nan    1.167076e+00    1.233861e+00
   4.425904e+00             nan    1.143594e+00    1.260790e+00
   4.455809e+00             nan    1.120625e+00    1.285973e+00
   4.485714e+00             nan    1.098141e+00    1.309493e+00
   4.515619e+00             nan    1.076146e+00    1.331220e+00
   4.545523e+00             nan    1.054612e+00    1.351257e+00
   4.575428e+00             nan    1.033545e+00    1.369493e+00
   4.605333e+00             nan    1.012919e+00    1.386052e+00
   4.635238e+00             nan    9.927372e-01    1.400838e+00
