# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=5.748e-11, Err(n_e)=4.058e-12, Err(IET)=9.892e-13, Q_net=-5.856e-10
# {"name":"Al", "Z":13, "Zstar":2.987062764070788, "A":26.981538,  "μ[AU]": 2.1771409526e-01, "Te[AU]": 1.837e-01, "Ti[AU]": 1.837e-01, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990476e-02             nan    2.940121e+02    0.000000e+00
   5.980952e-02             nan    1.448271e+02    0.000000e+00
   8.971428e-02             nan    9.510455e+01    0.000000e+00
   1.196190e-01             nan    7.024418e+01    0.000000e+00
   1.495238e-01             nan    5.533169e+01    0.000000e+00
   1.794286e-01             nan    4.539185e+01    0.000000e+00
   2.093333e-01             nan    3.829500e+01    0.000000e+00
   2.392381e-01             nan    3.297437e+01    0.000000e+00
   2.691428e-01             nan    2.883876e+01    0.000000e+00
   2.990476e-01             nan    2.553228e+01    0.000000e+00
   3.289523e-01             nan    2.282939e+01    0.000000e+00
   3.588571e-01             nan    2.057894e+01    0.000000e+00
   3.887619e-01             nan    1.867692e+01    0.000000e+00
   4.186666e-01             nan    1.704850e+01    0.000000e+00
   4.485714e-01             nan    1.563926e+01    0.000000e+00
   4.784761e-01             nan    1.440797e+01    0.000000e+00
   5.083809e-01             nan    1.332347e+01    0.000000e+00
   5.382857e-01             nan    1.236119e+01    0.000000e+00
   5.681904e-01             nan    1.150201e+01    0.000000e+00
   5.980952e-01             nan    1.073040e+01    0.000000e+00
   6.279999e-01             nan    1.003398e+01    0.000000e+00
   6.579047e-01             nan    9.402449e+00    0.000000e+00
   6.878094e-01             nan    8.827455e+00    0.000000e+00
   7.177142e-01             nan    8.301877e+00    0.000000e+00
   7.476190e-01             nan    7.819888e+00    0.000000e+00
   7.775237e-01             nan    7.376411e+00    0.000000e+00
   8.074285e-01             nan    6.967252e+00    0.000000e+00
   8.373332e-01             nan    6.588693e+00    0.000000e+00
   8.672380e-01             nan    6.237643e+00    0.000000e+00
   8.971428e-01             nan    5.911311e+00    0.000000e+00
   9.270475e-01             nan    5.607370e+00    0.000000e+00
   9.569523e-01             nan    5.323686e+00    0.000000e+00
   9.868570e-01             nan    5.058473e+00    2.083667e-12
   1.016762e+00             nan    4.810069e+00    2.286971e-11
   1.046667e+00             nan    4.577082e+00    9.356782e-11
   1.076571e+00             nan    4.358198e+00    3.162333e-10
   1.106476e+00             nan    4.152314e+00    9.690995e-10
   1.136381e+00             nan    3.958378e+00    2.761548e-09
   1.166286e+00             nan    3.775507e+00    7.391034e-09
   1.196190e+00             nan    3.602846e+00    1.869456e-08
   1.226095e+00             nan    3.439680e+00    4.488339e-08
   1.256000e+00             nan    3.285306e+00    1.026949e-07
   1.285905e+00             nan    3.139140e+00    2.246552e-07
   1.315809e+00             nan    3.000599e+00    4.713861e-07
   1.345714e+00             nan    2.869199e+00    9.512162e-07
   1.375619e+00             nan    2.744453e+00    1.850888e-06
   1.405524e+00             nan    2.625957e+00    3.480448e-06
   1.435428e+00             nan    2.513301e+00    6.338990e-06
   1.465333e+00             nan    2.406147e+00    1.120308e-05
   1.495238e+00             nan    2.304142e+00    1.924942e-05
   1.525143e+00             nan    2.207003e+00    3.220621e-05
   1.555047e+00             nan    2.114428e+00    5.255512e-05
   1.584952e+00             nan    2.026174e+00    8.375730e-05
   1.614857e+00             nan    1.941982e+00    1.305499e-04
   1.644762e+00             nan    1.861643e+00    1.992383e-04
   1.674666e+00             nan    1.784933e+00    2.980881e-04
   1.704571e+00             nan    1.711672e+00    4.376426e-04
   1.734476e+00             nan    1.641663e+00    6.311949e-04
   1.764381e+00             nan    1.574752e+00    8.950489e-04
   1.794286e+00             nan    1.510765e+00    1.249046e-03
   1.824190e+00             nan    1.449568e+00    1.716648e-03
   1.854095e+00             nan    1.391009e+00    2.325498e-03
   1.884000e+00             nan    1.334969e+00    3.107170e-03
   1.913905e+00             nan    1.281314e+00    4.097774e-03
   1.943809e+00             nan    1.229940e+00    5.337196e-03
   1.973714e+00             nan    1.180727e+00    6.869818e-03
   2.003619e+00             nan    1.133583e+00    8.743048e-03
   2.033524e+00             nan    1.088403e+00    1.100831e-02
   2.063428e+00             nan    1.045104e+00    1.371868e-02
   2.093333e+00             nan    1.003591e+00    1.693037e-02
   2.123238e+00             nan    9.637928e-01    2.069925e-02
   2.153143e+00             nan    9.256221e-01    2.508318e-02
   2.183047e+00             nan    8.890153e-01    3.013725e-02
   2.212952e+00             nan    8.538947e-01    3.591729e-02
   2.242857e+00             nan    8.202031e-01    4.247361e-02
   2.272762e+00             nan    7.878700e-01    4.985617e-02
   2.302666e+00             nan    7.568444e-01    5.810657e-02
   2.332571e+00             nan    7.270623e-01    6.726531e-02
   2.362476e+00             nan    6.984779e-01    7.736183e-02
   2.392381e+00             nan    6.710330e-01    8.842424e-02
   2.422285e+00             nan    6.446863e-01    1.004671e-01
   2.452190e+00             nan    6.193848e-01    1.135042e-01
   2.482095e+00             nan    5.950913e-01    1.275335e-01
   2.512000e+00             nan    5.717573e-01    1.425535e-01
   2.541904e+00             nan    5.493493e-01    1.585451e-01
   2.571809e+00             nan    5.278227e-01    1.754917e-01
   2.601714e+00             nan    5.071475e-01    1.933577e-01
   2.631619e+00             nan    4.872826e-01    2.121122e-01
   2.661524e+00             nan    4.682008e-01    2.317050e-01
   2.691428e+00             nan    4.498646e-01    2.520930e-01
   2.721333e+00             nan    4.322492e-01    2.732131e-01
   2.751238e+00             nan    4.153200e-01    2.950128e-01
   2.781143e+00             nan    3.990547e-01    3.174190e-01
   2.811047e+00             nan    3.834213e-01    3.403725e-01
   2.840952e+00             nan    3.683997e-01    3.637931e-01
   2.870857e+00             nan    3.539604e-01    3.876179e-01
   2.900762e+00             nan    3.400853e-01    4.117626e-01
   2.930666e+00             nan    3.267470e-01    4.361633e-01
   2.960571e+00             nan    3.139291e-01    4.607344e-01
   2.990476e+00             nan    3.016065e-01    4.854137e-01
   3.020381e+00             nan    2.897643e-01    5.101167e-01
   3.050285e+00             nan    2.783794e-01    5.347850e-01
   3.080190e+00             nan    2.674381e-01    5.593374e-01
   3.110095e+00             nan    2.569191e-01    5.837214e-01
   3.140000e+00             nan    2.468100e-01    6.078609e-01
   3.169904e+00             nan    2.370909e-01    6.317104e-01
   3.199809e+00             nan    2.277508e-01    6.552005e-01
   3.229714e+00             nan    2.187709e-01    6.782937e-01
   3.259619e+00             nan    2.101413e-01    7.009278e-01
   3.289523e+00             nan    2.018445e-01    7.230739e-01
   3.319428e+00             nan    1.938717e-01    7.446779e-01
   3.349333e+00             nan    1.862064e-01    7.657193e-01
   3.379238e+00             nan    1.788406e-01    7.861518e-01
   3.409142e+00             nan    1.717591e-01    8.059636e-01
   3.439047e+00             nan    1.649546e-01    8.251161e-01
   3.468952e+00             nan    1.584128e-01    8.436055e-01
   3.498857e+00             nan    1.521271e-01    8.614004e-01
   3.528762e+00             nan    1.460843e-01    8.785045e-01
   3.558666e+00             nan    1.402784e-01    8.948932e-01
   3.588571e+00             nan    1.346970e-01    9.105768e-01
   3.618476e+00             nan    1.293347e-01    9.255367e-01
   3.648381e+00             nan    1.241799e-01    9.397890e-01
   3.678285e+00             nan    1.192277e-01    9.533206e-01
   3.708190e+00             nan    1.144674e-01    9.661524e-01
   3.738095e+00             nan    1.098945e-01    9.782759e-01
   3.768000e+00             nan    1.054989e-01    9.897162e-01
   3.797904e+00             nan    1.012767e-01    1.000469e+00
   3.827809e+00             nan    9.721830e-02    1.010562e+00
   3.857714e+00             nan    9.332030e-02    1.019993e+00
   3.887619e+00             nan    8.957375e-02    1.028795e+00
   3.917523e+00             nan    8.597552e-02    1.036967e+00
   3.947428e+00             nan    8.251726e-02    1.044543e+00
   3.977333e+00             nan    7.919617e-02    1.051525e+00
   4.007238e+00             nan    7.600440e-02    1.057948e+00
   4.037142e+00             nan    7.293952e-02    1.063815e+00
   4.067047e+00             nan    6.999412e-02    1.069160e+00
   4.096952e+00             nan    6.716606e-02    1.073991e+00
   4.126857e+00             nan    6.444839e-02    1.078339e+00
   4.156761e+00             nan    6.183922e-02    1.082213e+00
   4.186666e+00             nan    5.933203e-02    1.085646e+00
   4.216571e+00             nan    5.692517e-02    1.088644e+00
   4.246476e+00             nan    5.461250e-02    1.091241e+00
   4.276380e+00             nan    5.239260e-02    1.093443e+00
   4.306285e+00             nan    5.025967e-02    1.095283e+00
   4.336190e+00             nan    4.821252e-02    1.096768e+00
   4.366095e+00             nan    4.624568e-02    1.097928e+00
   4.396000e+00             nan    4.435814e-02    1.098769e+00
   4.425904e+00             nan    4.254472e-02    1.099323e+00
   4.455809e+00             nan    4.080462e-02    1.099594e+00
   4.485714e+00             nan    3.913295e-02    1.099612e+00
   4.515619e+00             nan    3.752904e-02    1.099381e+00
   4.545523e+00             nan    3.598827e-02    1.098929e+00
   4.575428e+00             nan    3.451015e-02    1.098260e+00
   4.605333e+00             nan    3.309028e-02    1.097400e+00
   4.635238e+00             nan    3.172830e-02    1.096354e+00
   4.665142e+00             nan    3.042006e-02    1.095145e+00
   4.695047e+00             nan    2.916533e-02    1.093777e+00
   4.724952e+00             nan    2.796016e-02    1.092273e+00
   4.754857e+00             nan    2.680442e-02    1.090635e+00
   4.784761e+00             nan    2.569439e-02    1.088885e+00
   4.814666e+00             nan    2.463004e-02    1.087025e+00
   4.844571e+00             nan    2.360782e-02    1.085076e+00
   4.874476e+00             nan    2.262780e-02    1.083037e+00
   4.904380e+00             nan    2.168662e-02    1.080929e+00
   4.934285e+00             nan    2.078442e-02    1.078751e+00
   4.964190e+00             nan    1.991800e-02    1.076523e+00
   4.994095e+00             nan    1.908760e-02    1.074242e+00
   5.023999e+00             nan    1.829016e-02    1.071926e+00
   5.053904e+00             nan    1.752599e-02    1.069575e+00
   5.083809e+00             nan    1.679218e-02    1.067204e+00
   5.113714e+00             nan    1.608909e-02    1.064810e+00
   5.143618e+00             nan    1.541395e-02    1.062410e+00
   5.173523e+00             nan    1.476718e-02    1.060001e+00
   5.203428e+00             nan    1.414615e-02    1.057597e+00
   5.233333e+00             nan    1.355132e-02    1.055194e+00
   5.263238e+00             nan    1.298017e-02    1.052807e+00
   5.293142e+00             nan    1.243322e-02    1.050431e+00
   5.323047e+00             nan    1.190804e-02    1.048079e+00
   5.352952e+00             nan    1.140521e-02    1.045748e+00
   5.382857e+00             nan    1.092242e-02    1.043448e+00
   5.412761e+00             nan    1.046025e-02    1.041175e+00
   5.442666e+00             nan    1.001650e-02    1.038941e+00
   5.472571e+00             nan    9.591802e-03    1.036741e+00
   5.502476e+00             nan    9.184027e-03    1.034584e+00
   5.532380e+00             nan    8.793837e-03    1.032466e+00
   5.562285e+00             nan    8.419199e-03    1.030396e+00
   5.592190e+00             nan    8.060795e-03    1.028370e+00
   5.622095e+00             nan    7.716674e-03    1.026396e+00
   5.651999e+00             nan    7.387540e-03    1.024468e+00
   5.681904e+00             nan    7.071519e-03    1.022595e+00
   5.711809e+00             nan    6.769333e-03    1.020771e+00
   5.741714e+00             nan    6.479180e-03    1.019004e+00
   5.771618e+00             nan    6.201800e-03    1.017289e+00
   5.801523e+00             nan    5.935457e-03    1.015632e+00
   5.831428e+00             nan    5.680906e-03    1.014027e+00
   5.861333e+00             nan    5.436474e-03    1.012482e+00
   5.891237e+00             nan    5.202928e-03    1.010990e+00
   5.921142e+00             nan    4.978656e-03    1.009557e+00
   5.951047e+00             nan    4.764436e-03    1.008178e+00
   5.980952e+00             nan    4.558709e-03    1.006859e+00
   6.010856e+00             nan    4.362263e-03    1.005592e+00
   6.040761e+00             nan    4.173594e-03    1.004385e+00
   6.070666e+00             nan    3.993493e-03    1.003229e+00
   6.100571e+00             nan    3.820510e-03    1.002132e+00
   6.130476e+00             nan    3.655439e-03    1.001086e+00
   6.160380e+00             nan    3.496876e-03    1.000097e+00
   6.190285e+00             nan    3.345621e-03    9.991577e-01
   6.220190e+00             nan    3.200315e-03    9.982733e-01
   6.250095e+00             nan    3.061758e-03    9.974372e-01
   6.279999e+00             nan    2.928635e-03    9.966542e-01
   6.309904e+00             nan    2.801748e-03    9.959176e-01
   6.339809e+00             nan    2.679820e-03    9.952320e-01
   6.369714e+00             nan    2.563653e-03    9.945908e-01
   6.399618e+00             nan    2.452010e-03    9.939982e-01
   6.429523e+00             nan    2.345691e-03    9.934478e-01
   6.459428e+00             nan    2.243494e-03    9.929437e-01
   6.489333e+00             nan    2.146219e-03    9.924794e-01
   6.519237e+00             nan    2.052698e-03    9.920588e-01
   6.549142e+00             nan    1.963727e-03    9.916755e-01
   6.579047e+00             nan    1.878170e-03    9.913333e-01
   6.608952e+00             nan    1.796822e-03    9.910260e-01
   6.638856e+00             nan    1.718578e-03    9.907571e-01
