# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# Convergence: Err(φ)=5.748e-11, Err(n_e)=4.058e-12, Err(IET)=9.892e-13, Q_net=-5.856e-10
# {"name":"CS2014_Al", "Z":13, "Zstar":2.987062764070788, "A":26.981538,  "μ[AU]": 2.1771409526e-01, "Te[AU]": 1.837e-01, "Ti[AU]": 1.837e-01, "rs[AU]": 2.990e+00 }
   r[AU]           ne_full[AU]     n_ion[AU]       ne_ext[AU]      ne_PA[AU]       ne_scr[AU]      
   1.000000e-04    4.483065e+06    4.483049e+06    5.382832e-03    4.483065e+06    1.585490e+01
   1.006327e-04    4.440857e+06    4.440843e+06    5.382832e-03    4.440857e+06    1.419987e+01
   1.012695e-04    4.399049e+06    4.399035e+06    5.382832e-03    4.399049e+06    1.492806e+01
   1.019102e-04    4.357632e+06    4.357620e+06    5.382832e-03    4.357632e+06    1.285471e+01
   1.025550e-04    4.316609e+06    4.316594e+06    5.382832e-03    4.316609e+06    1.501830e+01
   1.032039e-04    4.275970e+06    4.275955e+06    5.382832e-03    4.275970e+06    1.417996e+01
   1.038569e-04    4.235713e+06    4.235699e+06    5.382832e-03    4.235713e+06    1.432671e+01
   1.045141e-04    4.195835e+06    4.195822e+06    5.382832e-03    4.195835e+06    1.340989e+01
   1.051753e-04    4.156334e+06    4.156320e+06    5.382832e-03    4.156334e+06    1.433503e+01
   1.058408e-04    4.117204e+06    4.117190e+06    5.382832e-03    4.117204e+06    1.425375e+01
   1.065105e-04    4.078441e+06    4.078428e+06    5.382832e-03    4.078441e+06    1.362843e+01
   1.071844e-04    4.040045e+06    4.040031e+06    5.382832e-03    4.040045e+06    1.378360e+01
   1.078626e-04    4.002009e+06    4.001995e+06    5.382832e-03    4.002009e+06    1.378661e+01
   1.085451e-04    3.964332e+06    3.964318e+06    5.382832e-03    3.964332e+06    1.427144e+01
   1.092319e-04    3.927008e+06    3.926995e+06    5.382832e-03    3.927008e+06    1.284184e+01
   1.099230e-04    3.890038e+06    3.890024e+06    5.382832e-03    3.890038e+06    1.398871e+01
   1.106185e-04    3.853414e+06    3.853401e+06    5.382832e-03    3.853414e+06    1.336521e+01
   1.113184e-04    3.817136e+06    3.817122e+06    5.382832e-03    3.817136e+06    1.414984e+01
   1.120228e-04    3.781197e+06    3.781185e+06    5.382832e-03    3.781197e+06    1.198073e+01
   1.127316e-04    3.745601e+06    3.745587e+06    5.382832e-03    3.745601e+06    1.405401e+01
   1.134449e-04    3.710336e+06    3.710323e+06    5.382832e-03    3.710336e+06    1.305932e+01
   1.141626e-04    3.675405e+06    3.675391e+06    5.382832e-03    3.675405e+06    1.390665e+01
   1.148850e-04    3.640800e+06    3.640789e+06    5.382832e-03    3.640800e+06    1.152949e+01
   1.156119e-04    3.606526e+06    3.606512e+06    5.382832e-03    3.606526e+06    1.398328e+01
   1.163434e-04    3.572570e+06    3.572557e+06    5.382832e-03    3.572570e+06    1.285382e+01
   1.170795e-04    3.538936e+06    3.538923e+06    5.382832e-03    3.538936e+06    1.355573e+01
   1.178203e-04    3.505616e+06    3.505604e+06    5.382832e-03    3.505616e+06    1.129645e+01
   1.185658e-04    3.472614e+06    3.472600e+06    5.382832e-03    3.472614e+06    1.379376e+01
   1.193160e-04    3.439919e+06    3.439906e+06    5.382832e-03    3.439919e+06    1.273848e+01
   1.200710e-04    3.407533e+06    3.407520e+06    5.382832e-03    3.407533e+06    1.310750e+01
   1.208307e-04    3.375451e+06    3.375439e+06    5.382832e-03    3.375451e+06    1.175208e+01
   1.215952e-04    3.343673e+06    3.343660e+06    5.382832e-03    3.343673e+06    1.326349e+01
   1.223646e-04    3.312193e+06    3.312180e+06    5.382832e-03    3.312193e+06    1.270473e+01
   1.231388e-04    3.281009e+06    3.280997e+06    5.382832e-03    3.281009e+06    1.257678e+01
   1.239179e-04    3.250119e+06    3.250107e+06    5.382832e-03    3.250119e+06    1.210716e+01
   1.247020e-04    3.219520e+06    3.219507e+06    5.382832e-03    3.219520e+06    1.271903e+01
   1.254910e-04    3.189209e+06    3.189196e+06    5.382832e-03    3.189209e+06    1.274033e+01
   1.262850e-04    3.159182e+06    3.159170e+06    5.382832e-03    3.159182e+06    1.197107e+01
   1.270841e-04    3.129439e+06    3.129427e+06    5.382832e-03    3.129439e+06    1.232543e+01
   1.278882e-04    3.099976e+06    3.099964e+06    5.382832e-03    3.099976e+06    1.228028e+01
   1.286973e-04    3.070791e+06    3.070778e+06    5.382832e-03    3.070791e+06    1.272943e+01
   1.295116e-04    3.041878e+06    3.041867e+06    5.382832e-03    3.041878e+06    1.130091e+01
   1.303311e-04    3.013240e+06    3.013228e+06    5.382832e-03    3.013240e+06    1.242056e+01
   1.311557e-04    2.984870e+06    2.984859e+06    5.382832e-03    2.984870e+06    1.193939e+01
   1.319856e-04    2.956769e+06    2.956756e+06    5.382832e-03    2.956769e+06    1.256749e+01
   1.328207e-04    2.928929e+06    2.928919e+06    5.382832e-03    2.928929e+06    1.057149e+01
   1.336611e-04    2.901355e+06    2.901343e+06    5.382832e-03    2.901355e+06    1.240253e+01
   1.345068e-04    2.874038e+06    2.874027e+06    5.382832e-03    2.874038e+06    1.168497e+01
   1.353579e-04    2.846980e+06    2.846968e+06    5.382832e-03    2.846980e+06    1.231131e+01
   1.362143e-04    2.820174e+06    2.820164e+06    5.382832e-03    2.820174e+06    1.006656e+01
   1.370762e-04    2.793624e+06    2.793612e+06    5.382832e-03    2.793624e+06    1.228592e+01
   1.379435e-04    2.767321e+06    2.767310e+06    5.382832e-03    2.767321e+06    1.150939e+01
   1.388163e-04    2.741267e+06    2.741255e+06    5.382832e-03    2.741267e+06    1.198002e+01
   1.396946e-04    2.715457e+06    2.715446e+06    5.382832e-03    2.715457e+06    1.040269e+01
   1.405785e-04    2.689892e+06    2.689880e+06    5.382832e-03    2.689892e+06    1.207983e+01
   1.414680e-04    2.664566e+06    2.664555e+06    5.382832e-03    2.664566e+06    1.140403e+01
   1.423631e-04    2.639479e+06    2.639468e+06    5.382832e-03    2.639479e+06    1.157381e+01
   1.432639e-04    2.614628e+06    2.614617e+06    5.382832e-03    2.614628e+06    1.072914e+01
   1.441703e-04    2.590012e+06    2.590000e+06    5.382832e-03    2.590012e+06    1.172163e+01
   1.450825e-04    2.565626e+06    2.565615e+06    5.382832e-03    2.565626e+06    1.136355e+01
   1.460005e-04    2.541470e+06    2.541459e+06    5.382832e-03    2.541470e+06    1.110437e+01
