Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
 # {"name":"CS2014_Al", "Z":13, "Zstar":3.7646784592460185, "A":27,  "μ_core[AU]": 3.7209356677e-01, "μ_empty[AU]": 3.7209478113e-01, "Te[AU]": 1.837e-03, "Ti[AU]": 1.837e-03, "rs[AU]": 2.991e+00 }
   r[AU]           ne_full[AU]     n_ion[AU]       ne_ext[AU]      ne_PA[AU]       ne_scr[AU]      
   5.000000e-04    3.992754e+05    3.992665e+05    5.244689e-03    3.992754e+05    8.881068e+00
   5.027587e-04    3.959868e+05    3.959781e+05    5.244689e-03    3.959868e+05    8.714739e+00
   5.055327e-04    3.927255e+05    3.927167e+05    5.244689e-03    3.927255e+05    8.752379e+00
   5.083220e-04    3.894909e+05    3.894821e+05    5.244689e-03    3.894909e+05    8.760237e+00
   5.111266e-04    3.862829e+05    3.862742e+05    5.244689e-03    3.862829e+05    8.726586e+00
   5.139468e-04    3.831013e+05    3.830926e+05    5.244689e-03    3.831013e+05    8.689109e+00
   5.167825e-04    3.799458e+05    3.799372e+05    5.244689e-03    3.799458e+05    8.592680e+00
   5.196338e-04    3.768165e+05    3.768078e+05    5.244689e-03    3.768165e+05    8.680498e+00
   5.225009e-04    3.737127e+05    3.737041e+05    5.244689e-03    3.737127e+05    8.565221e+00
   5.253838e-04    3.706345e+05    3.706259e+05    5.244689e-03    3.706345e+05    8.621346e+00
   5.282826e-04    3.675816e+05    3.675731e+05    5.244689e-03    3.675816e+05    8.534151e+00
   5.311974e-04    3.645539e+05    3.645453e+05    5.244689e-03    3.645539e+05    8.602885e+00
   5.341283e-04    3.615509e+05    3.615425e+05    5.244689e-03    3.615509e+05    8.400061e+00
   5.370753e-04    3.585729e+05    3.585644e+05    5.244689e-03    3.585729e+05    8.515542e+00
   5.400386e-04    3.556192e+05    3.556107e+05    5.244689e-03    3.556192e+05    8.463485e+00
   5.430183e-04    3.526899e+05    3.526814e+05    5.244689e-03    3.526899e+05    8.489765e+00
   5.460144e-04    3.497845e+05    3.497762e+05    5.244689e-03    3.497845e+05    8.359999e+00
   5.490270e-04    3.469032e+05    3.468948e+05    5.244689e-03    3.469032e+05    8.375743e+00
   5.520563e-04    3.440456e+05    3.440372e+05    5.244689e-03    3.440455e+05    8.383769e+00
   5.551022e-04    3.412114e+05    3.412030e+05    5.244689e-03    3.412114e+05    8.344506e+00
   5.581650e-04    3.384005e+05    3.383922e+05    5.244689e-03    3.384005e+05    8.325684e+00
   5.612447e-04    3.356128e+05    3.356045e+05    5.244689e-03    3.356128e+05    8.248662e+00
   5.643413e-04    3.328481e+05    3.328397e+05    5.244689e-03    3.328480e+05    8.307245e+00
   5.674551e-04    3.301059e+05    3.300977e+05    5.244689e-03    3.301059e+05    8.189836e+00
   5.705860e-04    3.273865e+05    3.273782e+05    5.244689e-03    3.273865e+05    8.255326e+00
   5.737342e-04    3.246893e+05    3.246811e+05    5.244689e-03    3.246893e+05    8.182017e+00
   5.768998e-04    3.220145e+05    3.220062e+05    5.244689e-03    3.220145e+05    8.229418e+00
   5.800828e-04    3.193614e+05    3.193533e+05    5.244689e-03    3.193614e+05    8.031816e+00
   5.832834e-04    3.167304e+05    3.167222e+05    5.244689e-03    3.167304e+05    8.151972e+00
   5.865017e-04    3.141209e+05    3.141128e+05    5.244689e-03    3.141209e+05    8.106354e+00
   5.897377e-04    3.115330e+05    3.115248e+05    5.244689e-03    3.115329e+05    8.120091e+00
   5.929916e-04    3.089662e+05    3.089581e+05    5.244689e-03    3.089662e+05    8.016440e+00
   5.962634e-04    3.064206e+05    3.064126e+05    5.244689e-03    3.064206e+05    8.019948e+00
   5.995533e-04    3.038960e+05    3.038879e+05    5.244689e-03    3.038960e+05    8.022710e+00
   6.028613e-04    3.013921e+05    3.013841e+05    5.244689e-03    3.013921e+05    7.982206e+00
   6.061876e-04    2.989088e+05    2.989008e+05    5.244689e-03    2.989088e+05    7.976453e+00
   6.095322e-04    2.964459e+05    2.964380e+05    5.244689e-03    2.964459e+05    7.912947e+00
   6.128953e-04    2.940034e+05    2.939954e+05    5.244689e-03    2.940034e+05    7.951361e+00
   6.162769e-04    2.915808e+05    2.915729e+05    5.244689e-03    2.915808e+05    7.835219e+00
   6.196773e-04    2.891783e+05    2.891704e+05    5.244689e-03    2.891783e+05    7.905199e+00
   6.230963e-04    2.867955e+05    2.867876e+05    5.244689e-03    2.867954e+05    7.841261e+00
   6.265342e-04    2.844323e+05    2.844244e+05    5.244689e-03    2.844323e+05    7.874582e+00
   6.299911e-04    2.820884e+05    2.820807e+05    5.244689e-03    2.820884e+05    7.697745e+00
   6.334671e-04    2.797640e+05    2.797562e+05    5.244689e-03    2.797640e+05    7.805917e+00
   6.369623e-04    2.774587e+05    2.774509e+05    5.244689e-03    2.774587e+05    7.763314e+00
   6.404767e-04    2.751723e+05    2.751645e+05    5.244689e-03    2.751723e+05    7.770010e+00
   6.440105e-04    2.729046e+05    2.728970e+05    5.244689e-03    2.729046e+05    7.684211e+00
   6.475638e-04    2.706557e+05    2.706481e+05    5.244689e-03    2.706557e+05    7.682250e+00
   6.511368e-04    2.684253e+05    2.684177e+05    5.244689e-03    2.684253e+05    7.678131e+00
   6.547294e-04    2.662132e+05    2.662056e+05    5.244689e-03    2.662132e+05    7.641659e+00
   6.583419e-04    2.640194e+05    2.640117e+05    5.244689e-03    2.640194e+05    7.641345e+00
   6.619743e-04    2.618435e+05    2.618359e+05    5.244689e-03    2.618435e+05    7.587560e+00
   6.656267e-04    2.596857e+05    2.596780e+05    5.244689e-03    2.596856e+05    7.611480e+00
   6.692993e-04    2.575454e+05    2.575379e+05    5.244689e-03    2.575454e+05    7.500180e+00
   6.729921e-04    2.554229e+05    2.554153e+05    5.244689e-03    2.554229e+05    7.570789e+00
   6.767054e-04    2.533178e+05    2.533103e+05    5.244689e-03    2.533178e+05    7.513706e+00
   6.804391e-04    2.512300e+05    2.512225e+05    5.244689e-03    2.512300e+05    7.536666e+00
   6.841934e-04    2.491593e+05    2.491519e+05    5.244689e-03    2.491593e+05    7.382799e+00
   6.879684e-04    2.471058e+05    2.470984e+05    5.244689e-03    2.471058e+05    7.476773e+00
   6.917643e-04    2.450692e+05    2.450617e+05    5.244689e-03    2.450691e+05    7.434551e+00
   6.955811e-04    2.430493e+05    2.430418e+05    5.244689e-03    2.430493e+05    7.438339e+00
   6.994190e-04    2.410459e+05    2.410385e+05    5.244689e-03    2.410459e+05    7.363465e+00
   7.032780e-04    2.390591e+05    2.390517e+05    5.244689e-03    2.390591e+05    7.361691e+00
   7.071583e-04    2.370887e+05    2.370813e+05    5.244689e-03    2.370886e+05    7.349894e+00
   7.110601e-04    2.351344e+05    2.351271e+05    5.244689e-03    2.351344e+05    7.320406e+00
   7.149833e-04    2.331962e+05    2.331889e+05    5.244689e-03    2.331962e+05    7.319200e+00
   7.189283e-04    2.312740e+05    2.312667e+05    5.244689e-03    2.312740e+05    7.273547e+00
   7.228949e-04    2.293676e+05    2.293603e+05    5.244689e-03    2.293676e+05    7.286627e+00
   7.268835e-04    2.274768e+05    2.274696e+05    5.244689e-03    2.274768e+05    7.184780e+00
   7.308941e-04    2.256017e+05    2.255944e+05    5.244689e-03    2.256017e+05    7.251189e+00
   7.349268e-04    2.237419e+05    2.237347e+05    5.244689e-03    2.237419e+05    7.199389e+00
   7.389817e-04    2.218975e+05    2.218903e+05    5.244689e-03    2.218975e+05    7.215023e+00
   7.430590e-04    2.200681e+05    2.200611e+05    5.244689e-03    2.200681e+05    7.076968e+00
   7.471589e-04    2.182540e+05    2.182469e+05    5.244689e-03    2.182540e+05    7.163303e+00
   7.512813e-04    2.164547e+05    2.164476e+05    5.244689e-03    2.164547e+05    7.120347e+00
   7.554265e-04    2.146703e+05    2.146631e+05    5.244689e-03    2.146703e+05    7.123849e+00
   7.595946e-04    2.129004e+05    2.128933e+05    5.244689e-03    2.129004e+05    7.054403e+00
   7.637856e-04    2.111452e+05    2.111381e+05    5.244689e-03    2.111452e+05    7.056878e+00
   7.679998e-04    2.094044e+05    2.093974e+05    5.244689e-03    2.094044e+05    7.037998e+00
   7.722372e-04    2.076779e+05    2.076709e+05    5.244689e-03    2.076779e+05    7.015124e+00
   7.764980e-04    2.059657e+05    2.059587e+05    5.244689e-03    2.059657e+05    7.009663e+00
   7.807824e-04    2.042675e+05    2.042605e+05    5.244689e-03    2.042675e+05    6.971798e+00
   7.850903e-04    2.025833e+05    2.025763e+05    5.244689e-03    2.025833e+05    6.976133e+00
   7.894220e-04    2.009129e+05    2.009060e+05    5.244689e-03    2.009129e+05    6.890614e+00
   7.937777e-04    1.992564e+05    1.992494e+05    5.244689e-03    1.992564e+05    6.945625e+00
   7.981573e-04    1.976134e+05    1.976065e+05    5.244689e-03    1.976134e+05    6.898036e+00
   8.025612e-04    1.959840e+05    1.959771e+05    5.244689e-03    1.959840e+05    6.908791e+00
   8.069893e-04    1.943678e+05    1.943610e+05    5.244689e-03    1.943678e+05    6.780726e+00
   8.114418e-04    1.927652e+05    1.927583e+05    5.244689e-03    1.927652e+05    6.863779e+00
   8.159190e-04    1.911756e+05    1.911688e+05    5.244689e-03    1.911756e+05    6.820974e+00
   8.204208e-04    1.895992e+05    1.895923e+05    5.244689e-03    1.895992e+05    6.824565e+00
   8.249475e-04    1.880356e+05    1.880289e+05    5.244689e-03    1.880356e+05    6.756386e+00
