# All units in [AU] if not specified
{"name":"Al", "Z":18, "Zstar":0.4225565195083618, "A":49,  "μ[AU]": -1.878e-01, "T[AU]": 4.410e-02, "rs[AU]": 1.390e+01 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
   2.000000e-02    2.339788e+03    7.216122e-03    2.340784e+03    0.000000e+00   -6.416096e+01    8.357095e+02   -9.949945e+00
   2.090915e-02    2.178787e+03    7.046695e-03    2.179739e+03    0.000000e+00   -6.404173e+01    7.966961e+02   -9.718980e+00
   2.185962e-02    2.028480e+03    6.880813e-03    2.029390e+03    0.000000e+00   -6.390444e+01    7.594022e+02   -9.492830e+00
   2.285330e-02    1.888171e+03    6.718396e-03    1.889041e+03    0.000000e+00   -6.374946e+01    7.237535e+02   -9.271389e+00
   2.389215e-02    1.757208e+03    6.559370e-03    1.758041e+03    0.000000e+00   -6.357716e+01    6.896789e+02   -9.054552e+00
   2.497822e-02    1.634981e+03    6.403657e-03    1.635779e+03    0.000000e+00   -6.338787e+01    6.571104e+02   -8.842214e+00
   2.611366e-02    1.520924e+03    6.251185e-03    1.521171e+03    0.000000e+00   -6.318193e+01    6.259829e+02   -8.634281e+00
   2.730072e-02    1.414500e+03    6.101883e-03    1.414728e+03    0.000000e+00   -6.295963e+01    5.962341e+02   -8.430649e+00
   2.854174e-02    1.315213e+03    5.955679e-03    1.315423e+03    0.000000e+00   -6.272129e+01    5.678046e+02   -8.231229e+00
   2.983917e-02    1.222595e+03    5.812507e-03    1.222789e+03    0.000000e+00   -6.246717e+01    5.406373e+02   -8.035922e+00
   3.119557e-02    1.136212e+03    5.672300e-03    1.136390e+03    0.000000e+00   -6.219755e+01    5.146779e+02   -7.844643e+00
   3.261364e-02    1.055655e+03    5.534992e-03    1.055818e+03    0.000000e+00   -6.191269e+01    4.898741e+02   -7.657301e+00
   3.409617e-02    9.805419e+02    5.400520e-03    9.806912e+02    0.000000e+00   -6.161283e+01    4.661762e+02   -7.473810e+00
   3.564609e-02    9.105165e+02    5.268823e-03    9.106534e+02    0.000000e+00   -6.129822e+01    4.435365e+02   -7.294084e+00
   3.726646e-02    8.452450e+02    5.139839e-03    8.453705e+02    0.000000e+00   -6.096907e+01    4.219094e+02   -7.118044e+00
   3.896050e-02    7.844154e+02    5.013510e-03    7.845302e+02    0.000000e+00   -6.062561e+01    4.012513e+02   -6.945608e+00
   4.073154e-02    7.277358e+02    4.889779e-03    7.278405e+02    0.000000e+00   -6.026806e+01    3.815205e+02   -6.776699e+00
   4.258308e-02    6.749329e+02    4.768589e-03    6.750284e+02    0.000000e+00   -5.989661e+01    3.626770e+02   -6.611240e+00
   4.451879e-02    6.257513e+02    4.649886e-03    6.258383e+02    0.000000e+00   -5.951149e+01    3.446826e+02   -6.449156e+00
   4.654250e-02    5.799519e+02    4.533617e-03    5.800315e+02    0.000000e+00   -5.911287e+01    3.275009e+02   -6.290374e+00
   4.865819e-02    5.373124e+02    4.419730e-03    5.373844e+02    0.000000e+00   -5.870097e+01    3.110969e+02   -6.134827e+00
