# All units in Hartree [AU] if not specified
{"name":"Al", "Z":13, "Zstar":3.500003243720508, "A":27,  "μ[AU]": 4.7209774359e-01, "Te[AU]": 3.675e-02, "Ti[AU]": 3.675e-02, "rs[AU]": 2.991e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.991158e-03    1.661607e+04    0.000000e+00    0.000000e+00    0.000000e+00    4.303352e+03   -1.901102e+01   -5.908650e+01   -6.782541e+04    0.000000e+00
   5.982316e-03    5.843366e+03    0.000000e+00    0.000000e+00    0.000000e+00    2.131090e+03   -1.345709e+01   -5.908650e+01   -6.987320e+04    0.000000e+00
   8.973473e-03    3.163715e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.407456e+03   -1.099194e+01   -5.908650e+01   -7.055581e+04   5.322450e-110
   1.196463e-02    2.043896e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.045903e+03   -9.516879e+00   -5.908650e+01   -7.089711e+04    0.000000e+00
   1.495579e-02    1.454668e+03    0.000000e+00    0.000000e+00    0.000000e+00    8.291563e+02   -8.509875e+00   -5.908650e+01   -7.110187e+04   4.257960e-108
   1.794695e-02    1.100687e+03    0.000000e+00    0.000000e+00    0.000000e+00    6.847937e+02   -7.764442e+00   -5.908650e+01   -7.123834e+04    0.000000e+00
   2.093810e-02    8.687956e+02    0.000000e+00    0.000000e+00    0.000000e+00    5.817834e+02   -7.182813e+00   -5.908650e+01   -7.133577e+04   1.226292e-106
   2.392926e-02    7.073034e+02    0.000000e+00    0.000000e+00    0.000000e+00    5.046106e+02   -6.714019e+00   -5.908650e+01   -7.140880e+04  -2.725094e-107
   2.692042e-02    5.895973e+02    0.000000e+00    0.000000e+00    0.000000e+00    4.446578e+02   -6.325762e+00   -5.908650e+01   -7.146555e+04  -1.744060e-105
   2.991158e-02    5.007254e+02    0.000000e+00    0.000000e+00    0.000000e+00    3.967549e+02   -5.995556e+00   -5.908650e+01   -7.151089e+04  -5.668196e-105
   3.290274e-02    4.317113e+02    0.000000e+00    0.000000e+00    0.000000e+00    3.576125e+02   -5.711050e+00   -5.908650e+01   -7.154793e+04   4.534557e-104
   3.589389e-02    3.768732e+02    0.000000e+00    0.000000e+00    0.000000e+00    3.250382e+02   -5.462837e+00   -5.908650e+01   -7.157874e+04   3.488121e-105
   3.888505e-02    3.324596e+02    0.000000e+00    0.000000e+00    0.000000e+00    2.975142e+02   -5.243320e+00   -5.908650e+01   -7.160474e+04  -6.278617e-103
   4.187621e-02    2.959037e+02    0.000000e+00    0.000000e+00    0.000000e+00    2.739567e+02   -5.046384e+00   -5.908650e+01   -7.162696e+04  -2.344017e-102
   4.486737e-02    2.653971e+02    0.000000e+00    0.000000e+00    0.000000e+00    2.535712e+02   -4.870945e+00   -5.908650e+01   -7.164616e+04   9.152829e-102
   4.785852e-02    2.396321e+02    0.000000e+00    0.000000e+00    0.000000e+00    2.357616e+02   -4.710455e+00   -5.908650e+01   -7.166288e+04   8.929589e-103
   5.084968e-02    2.176433e+02    0.000000e+00    0.000000e+00    0.000000e+00    2.200726e+02   -4.564978e+00   -5.908650e+01   -7.167757e+04    0.000000e+00
   5.384084e-02    1.987035e+02    0.000000e+00    0.000000e+00    0.000000e+00    2.061498e+02   -4.431578e+00   -5.908650e+01   -7.169056e+04   4.286203e-100
   5.683200e-02    1.822556e+02    0.000000e+00    0.000000e+00    0.000000e+00    1.937136e+02   -4.308332e+00   -5.908650e+01   -7.170210e+04    1.657332e-99
   5.982316e-02    1.678667e+02    0.000000e+00    0.000000e+00    0.000000e+00    1.825404e+02   -4.194164e+00   -5.908650e+01   -7.171243e+04   -6.286431e-99
   6.281431e-02    1.551959e+02    0.000000e+00    0.000000e+00    0.000000e+00    1.724492e+02   -4.088101e+00   -5.908650e+01   -7.172169e+04    0.000000e+00
   6.580547e-02    1.439713e+02    0.000000e+00    0.000000e+00    0.000000e+00    1.632920e+02   -3.989270e+00   -5.908650e+01   -7.173004e+04   -1.792204e-97
   6.879663e-02    1.339740e+02    0.000000e+00    0.000000e+00    0.000000e+00    1.549465e+02   -3.896882e+00   -5.908650e+01   -7.173759e+04    0.000000e+00
   7.178779e-02    1.250255e+02    0.000000e+00    0.000000e+00    0.000000e+00    1.473108e+02   -3.810228e+00   -5.908650e+01   -7.174443e+04    0.000000e+00
   7.477894e-02    1.169796e+02    0.000000e+00    0.000000e+00    0.000000e+00    1.402994e+02   -3.728670e+00   -5.908650e+01   -7.175066e+04    1.170419e-97
   7.777010e-02    1.097148e+02    0.000000e+00    0.000000e+00    0.000000e+00    1.338400e+02   -3.651638e+00   -5.908650e+01   -7.175632e+04    3.511257e-95
   8.076126e-02    1.031303e+02    0.000000e+00    0.000000e+00    0.000000e+00    1.278708e+02   -3.578620e+00   -5.908650e+01   -7.176150e+04    1.329596e-94
   8.375242e-02    9.714088e+01    0.000000e+00    0.000000e+00    0.000000e+00    1.223392e+02   -3.509181e+00   -5.908650e+01   -7.176622e+04   -4.943850e-94
   8.674358e-02    9.167491e+01    0.000000e+00    0.000000e+00    0.000000e+00    1.171996e+02   -3.444246e+00   -5.908650e+01   -7.177054e+04    0.000000e+00
   8.973473e-02    8.667124e+01    0.000000e+00    0.000000e+00    0.000000e+00    1.124125e+02   -3.382157e+00   -5.908650e+01   -7.177450e+04   -6.831502e-93
   9.272589e-02    8.207751e+01    0.000000e+00    0.000000e+00    0.000000e+00    1.079436e+02   -3.322571e+00   -5.908650e+01   -7.177813e+04    2.564810e-92
   9.571705e-02    7.784887e+01    0.000000e+00    0.000000e+00    0.000000e+00    1.037630e+02   -3.265831e+00   -5.908650e+01   -7.178145e+04    0.000000e+00
   9.870821e-02    7.394658e+01    0.000000e+00    0.000000e+00    0.000000e+00    9.984422e+01   -3.212126e+00   -5.908650e+01   -7.178449e+04    0.000000e+00
   1.016994e-01    7.033681e+01    0.000000e+00    0.000000e+00    0.000000e+00    9.616397e+01   -3.160103e+00   -5.908650e+01   -7.178727e+04    0.000000e+00
   1.046905e-01    6.699024e+01    0.000000e+00    0.000000e+00    0.000000e+00    9.270169e+01   -3.110491e+00   -5.908650e+01   -7.178981e+04   -4.847730e-90
   1.076817e-01    6.388128e+01    0.000000e+00    0.000000e+00    0.000000e+00    8.943905e+01   -3.063139e+00   -5.908650e+01   -7.179214e+04    1.816365e-89
   1.106728e-01    6.098717e+01    0.000000e+00    0.000000e+00    0.000000e+00    8.635974e+01   -3.016836e+00   -5.908650e+01   -7.179426e+04    0.000000e+00
