# All units in [AU] if not specified
{"name":"Al", "Z":13, "Zstar":4.660645207747223, "A":28,  "μ[AU]": 2.634e-01, "T[AU]": 3.675e-02, "rs[AU]": 3.000e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
   2.000000e-02    1.455539e+03    2.357425e+00    1.453501e+03    0.000000e+00   -4.268782e+01    6.068788e+02   -8.510348e+00
   2.014695e-02    1.438686e+03    2.348286e+00    1.436653e+03    0.000000e+00   -4.267584e+01    6.021498e+02   -8.477802e+00
   2.029498e-02    1.422022e+03    2.339179e+00    1.419994e+03    0.000000e+00   -4.266356e+01    5.974557e+02   -8.445371e+00
   2.044409e-02    1.405545e+03    2.330104e+00    1.403522e+03    0.000000e+00   -4.265098e+01    5.927962e+02   -8.413053e+00
   2.059430e-02    1.389252e+03    2.321060e+00    1.387234e+03    0.000000e+00   -4.263809e+01    5.881711e+02   -8.380847e+00
   2.074562e-02    1.373141e+03    2.312048e+00    1.371129e+03    0.000000e+00   -4.262491e+01    5.835802e+02   -8.348752e+00
   2.089804e-02    1.357211e+03    2.303067e+00    1.355204e+03    0.000000e+00   -4.261141e+01    5.790231e+02   -8.316768e+00
   2.105159e-02    1.341459e+03    2.294118e+00    1.339458e+03    0.000000e+00   -4.259762e+01    5.744996e+02   -8.284895e+00
   2.120626e-02    1.325885e+03    2.285199e+00    1.323888e+03    0.000000e+00   -4.258353e+01    5.700096e+02   -8.253135e+00
   2.136207e-02    1.310485e+03    2.276312e+00    1.308493e+03    0.000000e+00   -4.256915e+01    5.655526e+02   -8.221484e+00
   2.151903e-02    1.295257e+03    2.267456e+00    1.293271e+03    0.000000e+00   -4.255446e+01    5.611286e+02   -8.189943e+00
   2.167714e-02    1.280200e+03    2.258630e+00    1.278220e+03    0.000000e+00   -4.253948e+01    5.567373e+02   -8.158510e+00
   2.183641e-02    1.265312e+03    2.249835e+00    1.263337e+03    0.000000e+00   -4.252420e+01    5.523784e+02   -8.127186e+00
   2.199685e-02    1.250592e+03    2.241071e+00    1.248622e+03    0.000000e+00   -4.250863e+01    5.480517e+02   -8.095971e+00
   2.215847e-02    1.236037e+03    2.232337e+00    1.234072e+03    0.000000e+00   -4.249277e+01    5.437570e+02   -8.064866e+00
   2.232128e-02    1.221645e+03    2.223634e+00    1.219685e+03    0.000000e+00   -4.247661e+01    5.394940e+02   -8.033867e+00
   2.248528e-02    1.207415e+03    2.214961e+00    1.205460e+03    0.000000e+00   -4.246016e+01    5.352625e+02   -8.002976e+00
   2.265049e-02    1.193344e+03    2.206318e+00    1.191395e+03    0.000000e+00   -4.244342e+01    5.310623e+02   -7.972191e+00
   2.281691e-02    1.179431e+03    2.197705e+00    1.177488e+03    0.000000e+00   -4.242639e+01    5.268931e+02   -7.941512e+00
   2.298456e-02    1.165675e+03    2.189122e+00    1.163737e+03    0.000000e+00   -4.240907e+01    5.227547e+02   -7.910942e+00
   2.315343e-02    1.152074e+03    2.180569e+00    1.150141e+03    0.000000e+00   -4.239147e+01    5.186470e+02   -7.880476e+00
   2.332355e-02    1.138625e+03    2.172045e+00    1.136698e+03    0.000000e+00   -4.237357e+01    5.145696e+02   -7.850116e+00
   2.349492e-02    1.125328e+03    2.163551e+00    1.123406e+03    0.000000e+00   -4.235540e+01    5.105224e+02   -7.819861e+00
   2.366755e-02    1.112180e+03    2.155086e+00    1.110263e+03    0.000000e+00   -4.233693e+01    5.065051e+02   -7.789709e+00
   2.384144e-02    1.099180e+03    2.146651e+00    1.097269e+03    0.000000e+00   -4.231818e+01    5.025176e+02   -7.759662e+00
   2.401661e-02    1.086327e+03    2.138245e+00    1.084421e+03    0.000000e+00   -4.229915e+01    4.985595e+02   -7.729720e+00
   2.419307e-02    1.073618e+03    2.129869e+00    1.071717e+03    0.000000e+00   -4.227984e+01    4.946307e+02   -7.699882e+00
   2.437083e-02    1.061052e+03    2.121521e+00    1.059157e+03    0.000000e+00   -4.226024e+01    4.907310e+02   -7.670146e+00
   2.454989e-02    1.048628e+03    2.113202e+00    1.046738e+03    0.000000e+00   -4.224036e+01    4.868602e+02   -7.640512e+00
   2.473027e-02    1.036343e+03    2.104912e+00    1.034459e+03    0.000000e+00   -4.222021e+01    4.830181e+02   -7.610981e+00
