# All units in [AU] if not specified
{"name":"Al", "Z":13, "Zstar":1.7570917055668083, "A":28,  "μ[AU]": 6.855e-02, "T[AU]": 1.838e-02, "rs[AU]": 3.000e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
   2.000000e-02    1.457928e+03    1.049841e+00    1.459685e+03    1.275733e-62   -4.207653e+01    6.074901e+02   -8.514940e+00
   2.321925e-02    1.148792e+03    9.696511e-01    1.150026e+03   -7.105418e-62   -4.181440e+01    5.176325e+02   -7.873089e+00
   2.695668e-02    9.033021e+02    8.949547e-01    9.041322e+02    5.108767e-61   -4.142534e+01    4.403966e+02   -7.275050e+00
   3.129569e-02    7.085830e+02    8.253532e-01    7.091041e+02   -7.383098e-61   -4.091783e+01    3.740415e+02   -6.717640e+00
   3.633312e-02    5.543457e+02    7.604782e-01    5.546324e+02   -2.899022e-59   -4.029898e+01    3.170679e+02   -6.197919e+00
   4.218140e-02    4.323688e+02    6.999898e-01    4.324798e+02   -3.968544e-58   -3.957484e+01    2.681846e+02   -5.713177e+00
   4.897102e-02    3.360836e+02    6.435754e-01    3.360654e+02   -4.184606e-57   -3.875062e+01    2.262792e+02   -5.260915e+00
   5.685351e-02    2.602430e+02    5.909471e-01    2.601316e+02    2.547365e-55   -3.783104e+01    1.903934e+02   -4.838838e+00
   6.600480e-02    2.006556e+02    5.418415e-01    2.004792e+02   -1.399721e-53   -3.682050e+01    1.597015e+02   -4.444841e+00
   7.662909e-02    1.539738e+02    4.960170e-01    1.537544e+02    9.696786e-48   -3.572337e+01    1.334916e+02   -4.076998e+00
   8.896351e-02    1.175249e+02    4.532536e-01    1.172794e+02    9.438498e-41   -3.454420e+01    1.111498e+02   -3.733551e+00
   1.032833e-01    8.917552e+01    4.133511e-01    8.891667e+01    1.052328e-34   -3.328792e+01    9.214616e+01   -3.412901e+00
   1.199080e-01    6.722315e+01    3.761279e-01    6.696076e+01    1.437517e-29   -3.196004e+01    7.602305e+01   -3.113598e+00
   1.392087e-01    5.031013e+01    3.414199e-01    5.005144e+01    3.716333e-25   -3.056686e+01    6.238475e+01   -2.834333e+00
   1.616161e-01    3.735444e+01    3.090791e-01    3.710471e+01    2.157284e-21   -2.911558e+01    5.088862e+01   -2.573925e+00
   1.876302e-01    2.749471e+01    2.789724e-01    2.725762e+01    3.495674e-18   -2.761438e+01    4.123749e+01   -2.331313e+00
   2.178317e-01    2.004608e+01    2.509802e-01    1.982410e+01    1.861521e-15   -2.607256e+01    3.317322e+01   -2.105543e+00
   2.528944e-01    1.446514e+01    2.249946e-01    1.425978e+01    3.775196e-13   -2.450042e+01    2.647110e+01   -1.895758e+00
   2.936009e-01    1.032186e+01    2.009182e-01    1.013388e+01    3.305762e-11   -2.290930e+01    2.093515e+01   -1.701184e+00
   3.408596e-01    7.277046e+00    1.786619e-01    7.106628e+00    1.393322e-09   -2.131135e+01    1.639418e+01   -1.521117e+00
   3.957253e-01    5.064421e+00    1.581430e-01    4.911309e+00    3.106598e-08   -1.971934e+01    1.269840e+01   -1.354908e+00
   4.594222e-01    3.476113e+00    1.392835e-01    3.339726e+00    3.979962e-07   -1.814636e+01    9.716725e+00   -1.201944e+00
   5.333719e-01    2.351017e+00    1.220073e-01    2.230538e+00    3.151796e-06   -1.660545e+01    7.334458e+00   -1.061636e+00
   6.192248e-01    1.565361e+00    1.062384e-01    1.459813e+00    1.646923e-05   -1.510924e+01    5.451419e+00   -9.333960e-01
   7.188968e-01    1.025040e+00    9.189736e-02    9.333526e-01    6.023789e-05   -1.366954e+01    3.980394e+00   -8.166204e-01
   8.346122e-01    6.594209e-01    7.890070e-02    5.804792e-01    1.627822e-04   -1.229694e+01    2.845827e+00   -7.108326e-01
   9.689534e-01    4.164327e-01    6.716987e-02    3.491127e-01    3.415987e-04   -1.100052e+01    1.982688e+00   -6.166069e-01
   1.000000e+00    3.776703e-01    6.488787e-02    3.126223e-01    3.885077e-04   -1.073404e+01    1.832626e+00   -5.983161e-01
   1.124919e+00    2.594139e-01    5.673221e-02    2.025054e-01    5.828851e-04   -9.779280e+00    1.343778e+00   -5.331166e-01
   1.145000e+00    2.451814e-01    5.558628e-02    1.894191e-01    6.137832e-04   -9.639349e+00    1.281030e+00   -5.239829e-01
   1.290000e+00    1.655158e-01    4.812396e-02    1.172270e-01    8.226202e-04   -8.736038e+00    9.081478e-01   -4.647495e-01
   1.305988e+00    1.589827e-01    4.740718e-02    1.114129e-01    8.436438e-04   -8.645224e+00    8.755897e-01   -4.590878e-01
   1.435000e+00    1.160167e-01    4.207776e-02    7.379451e-02    9.960469e-04   -7.974522e+00    6.513786e-01   -4.172069e-01
   1.516203e+00    9.657057e-02    3.918530e-02    5.725316e-02    1.076052e-03   -7.597860e+00    5.428544e-01   -3.946781e-01
   1.580000e+00    8.420884e-02    3.711763e-02    4.696852e-02    1.130697e-03   -7.323577e+00    4.709375e-01   -3.786884e-01
   1.725000e+00    6.263258e-02    3.289131e-02    2.963789e-02    1.230942e-03   -6.764326e+00    3.385727e-01   -3.463989e-01
   1.760255e+00    5.860819e-02    3.198465e-02    2.652457e-02    1.250880e-03   -6.639229e+00    3.127297e-01   -3.395572e-01
   1.870000e+00    4.804798e-02    2.935275e-02    1.860873e-02    1.303620e-03   -6.275740e+00    2.427987e-01   -3.199169e-01
   2.015000e+00    3.773923e-02    2.629561e-02    1.137110e-02    1.355521e-03   -5.847246e+00    1.710337e-01   -2.976219e-01
   2.043590e+00    3.613505e-02    2.575985e-02    1.030519e-02    1.363843e-03   -5.768519e+00    1.595007e-01   -2.937860e-01
   2.160000e+00    3.053078e-02    2.371375e-02    6.756157e-03    1.392874e-03   -5.466873e+00    1.183121e-01   -2.793814e-01
   2.305000e+00    2.532350e-02    2.148759e-02    3.784529e-03    1.423062e-03   -5.127943e+00    7.863714e-02   -2.642488e-01
   2.372532e+00    2.347644e-02    2.059244e-02    2.836461e-03    1.437956e-03   -4.981847e+00    6.419789e-02   -2.583630e-01
   2.450000e+00    2.168744e-02    1.965479e-02    1.989097e-03    1.459320e-03   -4.822777e+00    5.001174e-02   -2.523471e-01
   2.595000e+00    1.906215e-02    1.811310e-02    9.118628e-04    1.532040e-03   -4.547490e+00    2.881061e-02   -2.428603e-01
   2.740000e+00    1.725640e-02    1.688970e-02    3.347542e-04    1.698313e-03   -4.297242e+00    1.394976e-02   -2.357931e-01
   2.754420e+00    1.712003e-02    1.678981e-02    2.987448e-04    1.722678e-03   -4.273534e+00    1.281836e-02   -2.352388e-01
