# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=-inf, Err(n_e)=3.441e-09, Err(IET)=9.969e-13, Q_net=-4.547e-13
# {"name":"Al", "Z":13, "Zstar":4.044038719955634, "A":26.981539,  "μ[AU]": 2.5272502531e-01, "Te[AU]": 3.675e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-03    1.112341e+01    5.496583e+03    0.000000e+00
   5.980213e-03    1.109671e+01    2.761626e+03    0.000000e+00
   8.970320e-03    9.968690e+00    1.849832e+03    0.000000e+00
   1.196043e-02    9.256461e+00    1.393823e+03    0.000000e+00
   1.495053e-02    8.746031e+00    1.120133e+03    0.000000e+00
   1.794064e-02    8.356917e+00    9.376003e+02    0.000000e+00
   2.093075e-02    8.045525e+00    8.071606e+02    0.000000e+00
   2.392085e-02    7.786790e+00    7.092777e+02    0.000000e+00
   2.691096e-02    7.567752e+00    6.331012e+02    0.000000e+00
   2.990107e-02    7.376839e+00    5.721185e+02    0.000000e+00
   3.289117e-02    7.210970e+00    5.221872e+02    0.000000e+00
   3.588128e-02    7.061867e+00    4.805440e+02    0.000000e+00
   3.887139e-02    6.930058e+00    4.452772e+02    0.000000e+00
   4.186149e-02    6.809309e+00    4.150202e+02    0.000000e+00
   4.485160e-02    6.699309e+00    3.887718e+02    0.000000e+00
   4.784171e-02    6.598697e+00    3.657803e+02    0.000000e+00
   5.083181e-02    6.505760e+00    3.454714e+02    0.000000e+00
   5.382192e-02    6.419034e+00    3.273980e+02    0.000000e+00
   5.681203e-02    6.338580e+00    3.112076e+02    0.000000e+00
   5.980213e-02    6.263472e+00    2.966178e+02    0.000000e+00
   6.279224e-02    6.193029e+00    2.834002e+02    0.000000e+00
   6.578235e-02    6.126402e+00    2.713677e+02    0.000000e+00
   6.877245e-02    6.063772e+00    2.603660e+02    0.000000e+00
   7.176256e-02    6.004449e+00    2.502664e+02    0.000000e+00
   7.475267e-02    5.947938e+00    2.409609e+02    0.000000e+00
   7.774277e-02    5.894204e+00    2.323579e+02    0.000000e+00
   8.073288e-02    5.842995e+00    2.243795e+02    0.000000e+00
   8.372299e-02    5.794243e+00    2.169588e+02    0.000000e+00
   8.671309e-02    5.747505e+00    2.100384e+02    0.000000e+00
   8.970320e-02    5.702687e+00    2.035684e+02    0.000000e+00
   9.269331e-02    5.659569e+00    1.975052e+02    0.000000e+00
   9.568341e-02    5.618103e+00    1.918108e+02    0.000000e+00
   9.867352e-02    5.573343e+00    1.864518e+02    0.000000e+00
   1.016636e-01    5.535730e+00    1.813988e+02    0.000000e+00
   1.046537e-01    5.499787e+00    1.766255e+02    0.000000e+00
   1.076438e-01    5.464813e+00    1.721088e+02    0.000000e+00
   1.106339e-01    5.430702e+00    1.678280e+02    0.000000e+00
   1.136241e-01    5.397346e+00    1.637644e+02    0.000000e+00
   1.166142e-01    5.364851e+00    1.599016e+02    0.000000e+00
   1.196043e-01    5.333449e+00    1.562244e+02    0.000000e+00
   1.225944e-01    5.302971e+00    1.527195e+02    0.000000e+00
   1.255845e-01    5.273360e+00    1.493746e+02    0.000000e+00
   1.285746e-01    5.244598e+00    1.461785e+02    0.000000e+00
   1.315647e-01    5.217186e+00    1.431213e+02    0.000000e+00
   1.345548e-01    5.190859e+00    1.401937e+02    0.000000e+00
   1.375449e-01    5.165521e+00    1.373873e+02    0.000000e+00
   1.405350e-01    5.141165e+00    1.346945e+02    0.000000e+00
   1.435251e-01    5.118093e+00    1.321082e+02    0.000000e+00
   1.465152e-01    5.092873e+00    1.296220e+02    0.000000e+00
   1.495053e-01    5.067474e+00    1.272298e+02    0.000000e+00
   1.524954e-01    5.043283e+00    1.249264e+02    0.000000e+00
   1.554855e-01    5.020738e+00    1.227065e+02    0.000000e+00
   1.584757e-01    4.999144e+00    1.205656e+02    0.000000e+00
   1.614658e-01    4.978420e+00    1.184992e+02    0.000000e+00
   1.644559e-01    4.958342e+00    1.165033e+02    0.000000e+00
   1.674460e-01    4.937175e+00    1.145743e+02    0.000000e+00
   1.704361e-01    4.915335e+00    1.127087e+02    0.000000e+00
   1.734262e-01    4.895383e+00    1.109031e+02    0.000000e+00
   1.764163e-01    4.876451e+00    1.091547e+02    0.000000e+00
   1.794064e-01    4.858287e+00    1.074606e+02    0.000000e+00
   1.823965e-01    4.839594e+00    1.058182e+02    0.000000e+00
   1.853866e-01    4.820801e+00    1.042250e+02    0.000000e+00
   1.883767e-01    4.801898e+00    1.026787e+02    0.000000e+00
   1.913668e-01    4.784649e+00    1.011771e+02    0.000000e+00
   1.943569e-01    4.767754e+00    9.971834e+01    0.000000e+00
   1.973470e-01    4.751269e+00    9.830035e+01    0.000000e+00
   2.003371e-01    4.734014e+00    9.692140e+01    0.000000e+00
   2.033273e-01    4.716604e+00    9.557980e+01    0.000000e+00
   2.063174e-01    4.701064e+00    9.427396e+01    0.000000e+00
   2.093075e-01    4.685487e+00    9.300237e+01    0.000000e+00
   2.122976e-01    4.669861e+00    9.176364e+01    0.000000e+00
   2.152877e-01    4.654055e+00    9.055641e+01    0.000000e+00
   2.182778e-01    4.638325e+00    8.937944e+01    0.000000e+00
   2.212679e-01    4.624390e+00    8.823152e+01    0.000000e+00
   2.242580e-01    4.609970e+00    8.711152e+01    0.000000e+00
   2.272481e-01    4.594680e+00    8.601837e+01    0.000000e+00
   2.302382e-01    4.580233e+00    8.495105e+01    0.000000e+00
   2.332283e-01    4.566282e+00    8.390860e+01    0.000000e+00
   2.362184e-01    4.552691e+00    8.289010e+01    0.000000e+00
   2.392085e-01    4.539116e+00    8.189467e+01    0.000000e+00
   2.421986e-01    4.525279e+00    8.092151e+01    0.000000e+00
   2.451887e-01    4.511949e+00    7.996980e+01    0.000000e+00
   2.481789e-01    4.499691e+00    7.903881e+01    0.000000e+00
   2.511690e-01    4.486729e+00    7.812782e+01    0.000000e+00
   2.541591e-01    4.473098e+00    7.723614e+01    0.000000e+00
   2.571492e-01    4.460622e+00    7.636313e+01    0.000000e+00
   2.601393e-01    4.448679e+00    7.550817e+01    0.000000e+00
   2.631294e-01    4.436124e+00    7.467066e+01    0.000000e+00
   2.661195e-01    4.423449e+00    7.385005e+01    0.000000e+00
   2.691096e-01    4.411798e+00    7.304577e+01    0.000000e+00
   2.720997e-01    4.400160e+00    7.225733e+01    0.000000e+00
   2.750898e-01    4.388262e+00    7.148422e+01    0.000000e+00
   2.780799e-01    4.376483e+00    7.072598e+01    0.000000e+00
   2.810700e-01    4.365279e+00    6.998214e+01    0.000000e+00
   2.840601e-01    4.354051e+00    6.925227e+01    0.000000e+00
   2.870502e-01    4.342744e+00    6.853596e+01    0.000000e+00
   2.900403e-01    4.331605e+00    6.783280e+01    0.000000e+00
   2.930305e-01    4.320863e+00    6.714241e+01    0.000000e+00
   2.960206e-01    4.310096e+00    6.646442e+01    0.000000e+00
   2.990107e-01    4.299274e+00    6.579847e+01    0.000000e+00
   3.020008e-01    4.288651e+00    6.514424e+01    0.000000e+00
   3.049909e-01    4.278408e+00    6.450138e+01    0.000000e+00
   3.079810e-01    4.268098e+00    6.386959e+01    0.000000e+00
   3.109711e-01    4.257655e+00    6.324856e+01    0.000000e+00
   3.139612e-01    4.247436e+00    6.263800e+01    0.000000e+00
   3.169513e-01    4.237716e+00    6.203763e+01    0.000000e+00
   3.199414e-01    4.227891e+00    6.144718e+01    0.000000e+00
   3.229315e-01    4.217770e+00    6.086639e+01    0.000000e+00
   3.259216e-01    4.207832e+00    6.029501e+01    0.000000e+00
   3.289117e-01    4.198643e+00    5.973280e+01    0.000000e+00
   3.319018e-01    4.189383e+00    5.917952e+01    0.000000e+00
   3.348919e-01    4.179542e+00    5.863494e+01    0.000000e+00
   3.378821e-01    4.169706e+00    5.809886e+01    0.000000e+00
   3.408722e-01    4.160783e+00    5.757106e+01    0.000000e+00
   3.438623e-01    4.151861e+00    5.705134e+01    0.000000e+00
   3.468524e-01    4.142572e+00    5.653950e+01    0.000000e+00
   3.498425e-01    4.133233e+00    5.603536e+01    0.000000e+00
   3.528326e-01    4.124310e+00    5.553873e+01    0.000000e+00
   3.558227e-01    4.115539e+00    5.504943e+01    0.000000e+00
   3.588128e-01    4.106782e+00    5.456729e+01    0.000000e+00
   3.618029e-01    4.098037e+00    5.409215e+01    0.000000e+00
   3.647930e-01    4.089332e+00    5.362384e+01    0.000000e+00
   3.677831e-01    4.080691e+00    5.316222e+01    0.000000e+00
   3.707732e-01    4.072134e+00    5.270712e+01    0.000000e+00
   3.737633e-01    4.063962e+00    5.225842e+01    0.000000e+00
   3.767534e-01    4.055790e+00    5.181595e+01    0.000000e+00
   3.797435e-01    4.047302e+00    5.137960e+01    0.000000e+00
   3.827337e-01    4.038797e+00    5.094922e+01    0.000000e+00
   3.857238e-01    4.030641e+00    5.052468e+01    0.000000e+00
   3.887139e-01    4.022629e+00    5.010587e+01    0.000000e+00
   3.917040e-01    4.014625e+00    4.969265e+01    0.000000e+00
   3.946941e-01    4.006633e+00    4.928492e+01    0.000000e+00
   3.976842e-01    3.998651e+00    4.888256e+01    0.000000e+00
   4.006743e-01    3.990728e+00    4.848546e+01    0.000000e+00
   4.036644e-01    3.982805e+00    4.809350e+01    0.000000e+00
   4.066545e-01    3.975287e+00    4.770660e+01    0.000000e+00
   4.096446e-01    3.967838e+00    4.732463e+01    0.000000e+00
   4.126347e-01    3.960190e+00    4.694752e+01    0.000000e+00
   4.156248e-01    3.952368e+00    4.657515e+01    0.000000e+00
   4.186149e-01    3.944629e+00    4.620744e+01    0.000000e+00
   4.216050e-01    3.937243e+00    4.584430e+01    0.000000e+00
   4.245951e-01    3.929856e+00    4.548563e+01    0.000000e+00
   4.275853e-01    3.922565e+00    4.513136e+01    0.000000e+00
   4.305754e-01    3.915295e+00    4.478139e+01    0.000000e+00
   4.335655e-01    3.908003e+00    4.443565e+01    0.000000e+00
   4.365556e-01    3.900686e+00    4.409406e+01    0.000000e+00
   4.395457e-01    3.893379e+00    4.375654e+01    0.000000e+00
   4.425358e-01    3.886337e+00    4.342301e+01    0.000000e+00
   4.455259e-01    3.879295e+00    4.309341e+01    0.000000e+00
   4.485160e-01    3.872305e+00    4.276766e+01    0.000000e+00
   4.515061e-01    3.865348e+00    4.244569e+01    0.000000e+00
   4.544962e-01    3.858386e+00    4.212744e+01    0.000000e+00
   4.574863e-01    3.851405e+00    4.181283e+01    0.000000e+00
   4.604764e-01    3.844424e+00    4.150181e+01    0.000000e+00
   4.634665e-01    3.837672e+00    4.119431e+01    0.000000e+00
   4.664566e-01    3.831013e+00    4.089027e+01    0.000000e+00
   4.694467e-01    3.824340e+00    4.058963e+01    0.000000e+00
   4.724369e-01    3.817621e+00    4.029233e+01    0.000000e+00
   4.754270e-01    3.810901e+00    3.999832e+01    0.000000e+00
   4.784171e-01    3.804260e+00    3.970753e+01    0.000000e+00
   4.814072e-01    3.797649e+00    3.941992e+01    0.000000e+00
   4.843973e-01    3.791077e+00    3.913543e+01    0.000000e+00
   4.873874e-01    3.784659e+00    3.885402e+01    0.000000e+00
   4.903775e-01    3.778241e+00    3.857562e+01    0.000000e+00
   4.933676e-01    3.771846e+00    3.830020e+01    0.000000e+00
   4.963577e-01    3.765462e+00    3.802770e+01    0.000000e+00
   4.993478e-01    3.759080e+00    3.775807e+01    0.000000e+00
   5.023379e-01    3.752715e+00    3.749127e+01    0.000000e+00
   5.053280e-01    3.746350e+00    3.722726e+01    0.000000e+00
   5.083181e-01    3.740102e+00    3.696599e+01    0.000000e+00
   5.113082e-01    3.733960e+00    3.670742e+01    0.000000e+00
   5.142983e-01    3.727819e+00    3.645150e+01    0.000000e+00
   5.172885e-01    3.721709e+00    3.619820e+01    0.000000e+00
   5.202786e-01    3.715601e+00    3.594747e+01    0.000000e+00
   5.232687e-01    3.709497e+00    3.569928e+01    0.000000e+00
   5.262588e-01    3.703404e+00    3.545358e+01    0.000000e+00
   5.292489e-01    3.697311e+00    3.521035e+01    0.000000e+00
   5.322390e-01    3.691321e+00    3.496953e+01    0.000000e+00
   5.352291e-01    3.685384e+00    3.473110e+01    0.000000e+00
   5.382192e-01    3.679446e+00    3.449502e+01    0.000000e+00
   5.412093e-01    3.673647e+00    3.426126e+01    0.000000e+00
   5.441994e-01    3.667847e+00    3.402978e+01    0.000000e+00
   5.471895e-01    3.662021e+00    3.380055e+01    0.000000e+00
   5.501796e-01    3.656138e+00    3.357353e+01    0.000000e+00
   5.531697e-01    3.650254e+00    3.334870e+01    0.000000e+00
   5.561598e-01    3.644467e+00    3.312602e+01    0.000000e+00
   5.591499e-01    3.638741e+00    3.290547e+01    0.000000e+00
   5.621401e-01    3.633014e+00    3.268700e+01    0.000000e+00
   5.651302e-01    3.627408e+00    3.247060e+01    0.000000e+00
   5.681203e-01    3.621816e+00    3.225624e+01    0.000000e+00
   5.711104e-01    3.616221e+00    3.204388e+01    0.000000e+00
   5.741005e-01    3.610613e+00    3.183350e+01    0.000000e+00
   5.770906e-01    3.605005e+00    3.162507e+01    0.000000e+00
   5.800807e-01    3.599424e+00    3.141856e+01    0.000000e+00
   5.830708e-01    3.593884e+00    3.121396e+01    0.000000e+00
   5.860609e-01    3.588345e+00    3.101122e+01    0.000000e+00
   5.890510e-01    3.582874e+00    3.081034e+01    0.000000e+00
   5.920411e-01    3.577446e+00    3.061127e+01    0.000000e+00
   5.950312e-01    3.572018e+00    3.041401e+01    0.000000e+00
   5.980213e-01    3.566683e+00    3.021852e+01    0.000000e+00
   6.010114e-01    3.561370e+00    3.002479e+01    0.000000e+00
   6.040015e-01    3.556056e+00    2.983278e+01    0.000000e+00
