# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=-inf, Err(n_e)=3.441e-09, Err(IET)=9.969e-13, Q_net=-4.547e-13
# {"name":"Al", "Z":13, "Zstar":4.044038719955634, "A":26.981539,  "μ[AU]": 2.5272502531e-01, "Te[AU]": 3.675e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-03    1.413615e+05    4.201006e+00    1.413573e+05    0.000000e+00    1.294726e+04   -3.865992e+01    1.416827e+01    7.316872e+03    0.000000e+00
   1.373798e-03    8.765854e+04    3.588300e+00    8.765495e+04    0.000000e+00    9.410122e+03   -3.298977e+01    1.298684e+01    6.974970e+03    0.000000e+00
   1.806827e-03    5.801044e+04    3.082480e+00    5.800736e+04    0.000000e+00    7.142411e+03   -2.876773e+01    1.196231e+01    6.578892e+03    0.000000e+00
   2.299087e-03    4.032824e+04    2.738895e+00    4.032550e+04    0.000000e+00    5.602142e+03   -2.550088e+01    1.123591e+01    6.128637e+03    0.000000e+00
   2.850578e-03    2.913840e+04    2.452778e+00    2.913595e+04    0.000000e+00    4.508494e+03   -2.289723e+01    1.060936e+01    5.624206e+03    0.000000e+00
   3.461299e-03    2.171667e+04    3.524137e+00    2.171314e+04    0.000000e+00    3.704151e+03   -2.077283e+01    1.285937e+01    5.065598e+03    0.000000e+00
   4.131252e-03    1.660288e+04    3.221486e+00    1.659965e+04    0.000000e+00    3.095423e+03   -1.900603e+01    1.224887e+01    4.452813e+03    0.000000e+00
   4.860435e-03    1.296632e+04    2.969864e+00    1.296335e+04    0.000000e+00    2.623690e+03   -1.751313e+01    1.172732e+01    3.785852e+03    0.000000e+00
   5.648849e-03    1.031063e+04    2.748512e+00    1.030788e+04    0.000000e+00    2.250750e+03   -1.623469e+01    1.125663e+01    3.064714e+03    0.000000e+00
   6.496494e-03    8.326786e+03    2.560529e+00    8.324225e+03    0.000000e+00    1.950847e+03   -1.512732e+01    1.084755e+01    2.604193e+03    0.000000e+00
   7.403370e-03    6.815529e+03    2.394392e+00    6.813134e+03    0.000000e+00    1.706100e+03   -1.415860e+01    1.047829e+01    2.327653e+03    0.000000e+00
   8.369476e-03    5.644475e+03    2.247488e+00    5.642227e+03    0.000000e+00    1.503786e+03   -1.330382e+01    1.014487e+01    2.033051e+03    0.000000e+00
   9.394814e-03    4.723326e+03    2.117599e+00    4.721208e+03    0.000000e+00    1.334647e+03   -1.254382e+01    9.844221e+00    1.785094e+03    0.000000e+00
   1.047938e-02    3.989054e+03    2.001035e+00    3.987053e+03    0.000000e+00    1.191819e+03   -1.186352e+01    9.569301e+00    1.619691e+03    0.000000e+00
   1.162318e-02    3.396767e+03    1.897468e+00    3.394869e+03    0.000000e+00    1.070127e+03   -1.125088e+01    9.321118e+00    1.445255e+03    0.000000e+00
   1.282621e-02    2.913895e+03    1.802802e+00    2.912092e+03    0.000000e+00    9.656067e+02   -1.069617e+01    9.090472e+00    1.314576e+03    0.000000e+00
   1.408847e-02    2.516426e+03    1.715949e+00    2.514710e+03    0.000000e+00    8.751825e+02   -1.019144e+01    8.875059e+00    1.199039e+03    0.000000e+00
   1.540996e-02    2.186396e+03    1.637163e+00    2.184759e+03    0.000000e+00    7.964372e+02   -9.730147e+00    8.677266e+00    1.092087e+03    0.000000e+00
   1.679069e-02    1.910182e+03    1.565918e+00    1.908616e+03    0.000000e+00    7.274504e+02   -9.306839e+00    8.495190e+00    1.007800e+03    0.000000e+00
   1.823064e-02    1.677324e+03    1.498863e+00    1.675825e+03    0.000000e+00    6.666807e+02   -8.916937e+00    8.322046e+00    9.249494e+02    0.000000e+00
   1.972983e-02    1.479708e+03    1.437715e+00    1.478270e+03    0.000000e+00    6.128794e+02   -8.556582e+00    8.161648e+00    8.595493e+02    0.000000e+00
   2.128824e-02    1.310969e+03    1.381049e+00    1.309588e+03    0.000000e+00    5.650262e+02   -8.222484e+00    8.010957e+00    7.954578e+02    0.000000e+00
   2.290589e-02    1.166071e+03    1.328115e+00    1.164742e+03    0.000000e+00    5.222809e+02   -7.911824e+00    7.868788e+00    7.425032e+02    0.000000e+00
   2.458276e-02    1.040990e+03    1.278348e+00    1.039711e+03    0.000000e+00    4.839466e+02   -7.622178e+00    7.733316e+00    6.924148e+02    0.000000e+00
   2.631887e-02    9.324915e+02    1.232711e+00    9.312587e+02    0.000000e+00    4.494412e+02   -7.351450e+00    7.607506e+00    6.481853e+02    0.000000e+00
   2.811421e-02    8.379482e+02    1.189502e+00    8.367586e+02    0.000000e+00    4.182754e+02   -7.097806e+00    7.486965e+00    6.085611e+02    0.000000e+00
   2.996878e-02    7.552169e+02    1.148992e+00    7.540678e+02    0.000000e+00    3.900358e+02   -6.859652e+00    7.372666e+00    5.709878e+02    0.000000e+00
   3.188258e-02    6.825349e+02    1.110710e+00    6.814241e+02    0.000000e+00    3.643708e+02   -6.635581e+00    7.263665e+00    5.390295e+02    0.000000e+00
   3.385561e-02    6.184453e+02    1.074909e+00    6.173703e+02    0.000000e+00    3.409802e+02   -6.424359e+00    7.160582e+00    5.087555e+02    0.000000e+00
   3.588787e-02    5.617350e+02    1.040877e+00    5.606940e+02    0.000000e+00    3.196061e+02   -6.224887e+00    7.061545e+00    4.804662e+02    0.000000e+00
   3.797937e-02    5.113907e+02    1.008909e+00    5.103817e+02    0.000000e+00    3.000262e+02   -6.036194e+00    6.967532e+00    4.557981e+02    0.000000e+00
   4.013009e-02    4.665597e+02    9.784953e-01    4.655811e+02    0.000000e+00    2.820480e+02   -5.857409e+00    6.877180e+00    4.325403e+02    0.000000e+00
   4.234005e-02    4.265223e+02    9.496256e-01    4.255726e+02    0.000000e+00    2.655041e+02   -5.687758e+00    6.790550e+00    4.108193e+02    0.000000e+00
   4.460923e-02    3.906678e+02    9.222656e-01    3.897455e+02    0.000000e+00    2.502483e+02   -5.526543e+00    6.707632e+00    3.908994e+02    0.000000e+00
   4.693765e-02    3.584758e+02    8.961373e-01    3.575796e+02    0.000000e+00    2.361525e+02   -5.373138e+00    6.627672e+00    3.727318e+02    0.000000e+00
   4.932529e-02    3.295012e+02    8.713646e-01    3.286298e+02    0.000000e+00    2.231044e+02   -5.226978e+00    6.551148e+00    3.557037e+02    0.000000e+00
