# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=-inf, Err(n_e)=5.290e-09, Err(IET)=9.988e-13, Q_net=-9.095e-13
# {"name":"Al", "Z":13, "Zstar":5.045299215258988, "A":26.981539,  "μ[AU]": -1.1848210039e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-03    1.413551e+05    5.308343e+00    1.413498e+05    0.000000e+00    1.294832e+04   -3.865934e+01    1.790730e+01    1.140738e+04    0.000000e+00
   1.373798e-03    8.765301e+04    4.513491e+00    8.764850e+04    0.000000e+00    9.411187e+03   -3.298908e+01    1.647568e+01    1.087518e+04    0.000000e+00
   1.806827e-03    5.800569e+04    3.939206e+00    5.800175e+04    0.000000e+00    7.143475e+03   -2.876694e+01    1.539034e+01    1.025865e+04    0.000000e+00
   2.299087e-03    4.032402e+04    3.487615e+00    4.032053e+04    0.000000e+00    5.603207e+03   -2.549999e+01    1.449974e+01    9.557790e+03    0.000000e+00
   2.850578e-03    2.913460e+04    3.126630e+00    2.913148e+04    0.000000e+00    4.509559e+03   -2.289624e+01    1.375994e+01    8.772599e+03    0.000000e+00
   3.461299e-03    2.171323e+04    2.834477e+00    2.171039e+04    0.000000e+00    3.705216e+03   -2.077175e+01    1.314101e+01    7.903077e+03    0.000000e+00
   4.131252e-03    1.659973e+04    2.591634e+00    1.659714e+04    0.000000e+00    3.096488e+03   -1.900484e+01    1.260998e+01    6.949225e+03    0.000000e+00
   4.860435e-03    1.296342e+04    2.384802e+00    1.296103e+04    0.000000e+00    2.624754e+03   -1.751183e+01    1.214425e+01    5.911042e+03    0.000000e+00
   5.648849e-03    1.030795e+04    2.209939e+00    1.030574e+04    0.000000e+00    2.251815e+03   -1.623329e+01    1.174047e+01    4.788528e+03    0.000000e+00
   6.496494e-03    8.324276e+03    2.056123e+00    8.322220e+03    0.000000e+00    1.951911e+03   -1.512581e+01    1.137565e+01    4.071655e+03    0.000000e+00
   7.403370e-03    6.813185e+03    1.924187e+00    6.811261e+03    0.000000e+00    1.707165e+03   -1.415699e+01    1.105552e+01    3.641143e+03    0.000000e+00
   8.369476e-03    5.642273e+03    1.806318e+00    5.640467e+03    0.000000e+00    1.504850e+03   -1.330210e+01    1.076316e+01    3.182512e+03    0.000000e+00
   9.394814e-03    4.721251e+03    1.701921e+00    4.719549e+03    0.000000e+00    1.335711e+03   -1.254200e+01    1.049855e+01    2.796476e+03    0.000000e+00
   1.047938e-02    3.987094e+03    1.608751e+00    3.985485e+03    0.000000e+00    1.192883e+03   -1.186160e+01    1.025747e+01    2.538929e+03    0.000000e+00
   1.162318e-02    3.394907e+03    1.524558e+00    3.393382e+03    0.000000e+00    1.071191e+03   -1.124885e+01    1.003532e+01    2.267315e+03    0.000000e+00
   1.282621e-02    2.912127e+03    1.448346e+00    2.910678e+03    0.000000e+00    9.666705e+02   -1.069403e+01    9.830713e+00    2.063806e+03    0.000000e+00
