# All units in [AU] if not specified
{"name":"Al", "Z":13, "Zstar":8.97428184752939, "A":28,  "μ[AU]": -1.220e+02, "T[AU]": 1.838e+01, "rs[AU]": 5.441e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
    5.44130e-02     1.26880e+02     5.60249e-02     1.26824e+02     0.00000e+00    -3.25785e+00     2.35417e+02    -5.06242e+00
    1.08826e-01     6.37671e+00     4.05678e-02     6.33614e+00     0.00000e+00    -3.25785e+00     1.15960e+02    -1.91615e+00
    1.63239e-01     8.48114e-01     3.39032e-02     8.14167e-01     0.00000e+00    -3.15692e+00     7.62420e+01    -1.00721e+00
    2.17652e-01     2.89284e-01     3.00428e-02     2.59192e-01     0.00000e+00    -3.08828e+00     5.64012e+01    -7.18564e-01
    2.72065e-01     1.51104e-01     2.74675e-02     1.23585e-01     0.00000e+00    -3.03780e+00     4.45060e+01    -5.87140e-01
    3.26478e-01     9.79779e-02     2.56032e-02     7.23228e-02     0.00000e+00    -2.99918e+00     3.65808e+01    -5.13539e-01
    3.80891e-01     7.19114e-02     2.41794e-02     4.76799e-02     0.00000e+00    -2.96831e+00     3.09233e+01    -4.66887e-01
    4.35304e-01     5.70327e-02     2.30500e-02     3.39304e-02     0.00000e+00    -2.94274e+00     2.66825e+01    -4.34815e-01
    4.89717e-01     4.76307e-02     2.21284e-02     2.54500e-02     0.00000e+00    -2.92092e+00     2.33861e+01    -4.11470e-01
    5.44130e-01     4.12432e-02     2.13596e-02     1.98312e-02     0.00000e+00    -2.90184e+00     2.07506e+01    -3.93745e-01
    5.98543e-01     3.66635e-02     2.07068e-02     1.59041e-02     0.00000e+00    -2.88482e+00     1.85957e+01    -3.79842e-01
    6.52956e-01     3.32410e-02     2.01446e-02     1.30438e-02     0.00000e+00    -2.86938e+00     1.68012e+01    -3.68655e-01
    7.07369e-01     3.05983e-02     1.96545e-02     1.08912e-02     0.00000e+00    -2.85517e+00     1.52839e+01    -3.59464e-01
