# All units in [AU] if not specified
{"name":"Aluminum", "Z":13, "Zstar":3, "A":28,  "μ[AU]": 0.000e+00, "T[AU]": 3.325e-03, "rs[AU]": 3.127e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
    1.00000e-02             nan     0.00000e+00     0.00000e+00     0.00000e+00    -3.93121e+01     1.25939e+03             nan
    2.00000e-02             nan     0.00000e+00     0.00000e+00     0.00000e+00    -3.93121e+01     6.09388e+02             nan
    3.00000e-02             nan     0.00000e+00     0.00000e+00     0.00000e+00    -3.89005e+01     3.93133e+02             nan
    4.00000e-02             nan     0.00000e+00     0.00000e+00     0.00000e+00    -3.83493e+01     2.85351e+02             nan
    5.00000e-02             nan     0.00000e+00     0.00000e+00     0.00000e+00    -3.77440e+01     2.20956e+02             nan
    6.00000e-02             nan     0.00000e+00     0.00000e+00     0.00000e+00    -3.71183e+01     1.78248e+02             nan
    7.00000e-02             nan     0.00000e+00     0.00000e+00     0.00000e+00    -3.64876e+01     1.47927e+02             nan
    8.00000e-02             nan     0.00000e+00     0.00000e+00     0.00000e+00    -3.58595e+01     1.25340e+02             nan
    9.00000e-02             nan     0.00000e+00     0.00000e+00     0.00000e+00    -3.52383e+01     1.07906e+02             nan
    1.00000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -3.46264e+01     9.40736e+01             nan
    1.10000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -3.40251e+01     8.28567e+01             nan
    1.20000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -3.34352e+01     7.35981e+01             nan
    1.30000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -3.28572e+01     6.58428e+01             nan
    1.40000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -3.22912e+01     5.92659e+01             nan
    1.50000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -3.17374e+01     5.36293e+01             nan
    1.60000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -3.11956e+01     4.87544e+01             nan
    1.70000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -3.06658e+01     4.45048e+01             nan
    1.80000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -3.01478e+01     4.07744e+01             nan
    1.90000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.96414e+01     3.74796e+01             nan
    2.00000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.91465e+01     3.45535e+01             nan
    2.10000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.86627e+01     3.19421e+01             nan
    2.20000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.81898e+01     2.96011e+01             nan
    2.30000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.77277e+01     2.74941e+01             nan
    2.40000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.72760e+01     2.55907e+01             nan
    2.50000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.68345e+01     2.38655e+01             nan
    2.60000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.64030e+01     2.22970e+01             nan
    2.70000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.59812e+01     2.08670e+01             nan
    2.80000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.55689e+01     1.95597e+01             nan
    2.90000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.51659e+01     1.83617e+01             nan
    3.00000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.47719e+01     1.72614e+01             nan
    3.10000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.43867e+01     1.62488e+01             nan
    3.20000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.40101e+01     1.53149e+01             nan
    3.30000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.36419e+01     1.44521e+01             nan
    3.40000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.32818e+01     1.36535e+01             nan
    3.50000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.29296e+01     1.29132e+01             nan
    3.60000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.25852e+01     1.22259e+01             nan
    3.70000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.22484e+01     1.15867e+01             nan
    3.80000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.19189e+01     1.09916e+01             nan
    3.90000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.15966e+01     1.04367e+01             nan
    4.00000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.12813e+01     9.91869e+00             nan
    4.10000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.09728e+01     9.43450e+00             nan
    4.20000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.06710e+01     8.98142e+00             nan
    4.30000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.03756e+01     8.55698e+00             nan
    4.40000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -2.00865e+01     8.15896e+00             nan
    4.50000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -1.98036e+01     7.78532e+00             nan
    4.60000e-01             nan     0.00000e+00     0.00000e+00     0.00000e+00    -1.95266e+01     7.43423e+00             nan
