# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=4.050e-11, Err(n_e)=9.907e-11, Err(IET)=1.473e-01, Q_net=1.726e-08
# {"name":"Ar", "Z":18, "Zstar":0.25354325159062735, "A":39.948,  "μ[AU]": -6.4277968903e-02, "Te[AU]": 2.158e-02, "Ti[AU]": 2.158e-02, "rs[AU]": 1.372e+01 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   6.857824e-02   -8.015433e-02    1.452067e+00    0.000000e+00
   1.371565e-01    8.833348e-01    4.278949e-01    0.000000e+00
   2.057347e-01    8.565275e-01    2.380502e-01    0.000000e+00
   2.743130e-01    1.057156e+00    1.008159e-01    0.000000e+00
   3.428912e-01    4.331873e-01    5.838910e-02    0.000000e+00
   4.114694e-01   -6.168380e-02    1.080859e-02    0.000000e+00
   4.800477e-01   -6.262982e-02   -5.932833e-03    5.594801e-02
   5.486259e-01   -6.237182e-02   -2.965185e-02    1.504160e-01
   6.172042e-01   -6.331544e-02   -3.854090e-02    1.919254e-01
   6.857824e-01   -6.272562e-02   -5.282960e-02    2.727000e-01
   7.543606e-01   -6.213726e-02   -5.839968e-02    3.115863e-01
   8.229389e-01   -6.207317e-02   -6.799444e-02    3.936005e-01
   8.915171e-01   -6.184758e-02   -7.183211e-02    4.338383e-01
   9.600953e-01   -6.140942e-02   -7.872602e-02    5.200836e-01
   1.028674e+00   -6.083099e-02   -8.152750e-02    5.620424e-01
   1.097252e+00   -6.039512e-02   -8.671202e-02    6.516624e-01
   1.165830e+00   -6.020472e-02   -8.883593e-02    6.946335e-01
   1.234408e+00   -5.954156e-02   -9.286444e-02    7.857984e-01
   1.302987e+00   -5.909995e-02   -9.451711e-02    8.288821e-01
   1.371565e+00   -5.875748e-02   -9.772466e-02    9.198083e-01
   1.440143e+00   -5.834949e-02   -9.903433e-02    9.622136e-01
   1.508721e+00   -5.786108e-02   -1.016363e-01    1.051469e+00
   1.577299e+00   -5.736442e-02   -1.026873e-01    1.092589e+00
   1.645878e+00   -5.694256e-02   -1.048287e-01    1.179131e+00
   1.714456e+00   -5.651481e-02   -1.056788e-01    1.218535e+00
   1.783034e+00   -5.611013e-02   -1.074609e-01    1.301656e+00
   1.851612e+00   -5.579313e-02   -1.081510e-01    1.339059e+00
   1.920191e+00   -5.529223e-02   -1.096468e-01    1.418315e+00
   1.988769e+00   -5.495732e-02   -1.102069e-01    1.453543e+00
   2.057347e+00   -5.447106e-02   -1.114701e-01    1.528686e+00
   2.125925e+00   -5.416869e-02   -1.119225e-01    1.561649e+00
   2.194504e+00   -5.378023e-02   -1.129937e-01    1.632570e+00
   2.263082e+00   -5.333525e-02   -1.133555e-01    1.663237e+00
   2.331660e+00   -5.293937e-02   -1.142659e-01    1.729931e+00
   2.400238e+00   -5.256579e-02   -1.145503e-01    1.758311e+00
   2.468817e+00   -5.220657e-02   -1.153244e-01    1.820838e+00
   2.537395e+00   -5.187129e-02   -1.155418e-01    1.846971e+00
   2.605973e+00   -5.154468e-02   -1.161988e-01    1.905438e+00
   2.674551e+00   -5.115151e-02   -1.163576e-01    1.929382e+00
   2.743130e+00   -5.078512e-02   -1.169131e-01    1.983927e+00
   2.811708e+00   -5.050689e-02   -1.170200e-01    2.005753e+00
   2.880286e+00   -5.011768e-02   -1.174867e-01    2.056531e+00
   2.948864e+00   -4.982659e-02   -1.175473e-01    2.076316e+00
   3.017443e+00   -4.946189e-02   -1.179356e-01    2.123491e+00
   3.086021e+00   -4.917189e-02   -1.179543e-01    2.141318e+00
   3.154599e+00   -4.885325e-02   -1.182728e-01    2.185059e+00
   3.223177e+00   -4.852091e-02   -1.182536e-01    2.201014e+00
   3.291755e+00   -4.820788e-02   -1.185096e-01    2.241488e+00
   3.360334e+00   -4.790227e-02   -1.184557e-01    2.255654e+00
   3.428912e+00   -4.760334e-02   -1.186551e-01    2.293028e+00
   3.497490e+00   -4.731911e-02   -1.185692e-01    2.305489e+00
   3.566068e+00   -4.699941e-02   -1.187174e-01    2.339923e+00
   3.634647e+00   -4.670966e-02   -1.186019e-01    2.350761e+00
   3.703225e+00   -4.639710e-02   -1.187033e-01    2.382410e+00
   3.771803e+00   -4.609415e-02   -1.185602e-01    2.391704e+00
   3.840381e+00   -4.579546e-02   -1.186186e-01    2.420717e+00
   3.908960e+00   -4.547853e-02   -1.184498e-01    2.428543e+00
   3.977538e+00   -4.516255e-02   -1.184685e-01    2.455063e+00
   4.046116e+00   -4.483620e-02   -1.182754e-01    2.461496e+00
   4.114694e+00   -4.450204e-02   -1.182574e-01    2.485657e+00
   4.183273e+00   -4.415012e-02   -1.180415e-01    2.490767e+00
   4.251851e+00   -4.377817e-02   -1.179893e-01    2.512699e+00
   4.320429e+00   -4.338557e-02   -1.177517e-01    2.516554e+00
   4.389007e+00   -4.296685e-02   -1.176676e-01    2.536378e+00
   4.457586e+00   -4.252517e-02   -1.174095e-01    2.539044e+00
   4.526164e+00   -4.206551e-02   -1.172955e-01    2.556876e+00
   4.594742e+00   -4.159871e-02   -1.170178e-01    2.558414e+00
   4.663320e+00   -4.113516e-02   -1.168757e-01    2.574365e+00
   4.731898e+00   -4.074367e-02   -1.165794e-01    2.574835e+00
   4.800477e+00   -4.041077e-02   -1.164108e-01    2.589007e+00
   4.869055e+00   -4.009137e-02   -1.160966e-01    2.588467e+00
   4.937633e+00   -3.978432e-02   -1.159029e-01    2.600959e+00
   5.006211e+00   -3.948734e-02   -1.155716e-01    2.599463e+00
   5.074790e+00   -3.919916e-02   -1.153542e-01    2.610369e+00
   5.143368e+00   -3.891901e-02   -1.150064e-01    2.607970e+00
   5.211946e+00   -3.864612e-02   -1.147666e-01    2.617377e+00
   5.280524e+00   -3.837920e-02   -1.144030e-01    2.614124e+00
   5.349103e+00   -3.811778e-02   -1.141417e-01    2.622117e+00
   5.417681e+00   -3.786137e-02   -1.137628e-01    2.618058e+00
   5.486259e+00   -3.761041e-02   -1.134811e-01    2.624716e+00
   5.554837e+00   -3.736386e-02   -1.130876e-01    2.619897e+00
   5.623416e+00   -3.712028e-02   -1.127864e-01    2.625296e+00
   5.691994e+00   -3.688175e-02   -1.123787e-01    2.619761e+00
   5.760572e+00   -3.664615e-02   -1.120589e-01    2.623971e+00
   5.829150e+00   -3.641361e-02   -1.116375e-01    2.617763e+00
   5.897729e+00   -3.618390e-02   -1.112998e-01    2.620853e+00
   5.966307e+00   -3.595706e-02   -1.108652e-01    2.614011e+00
   6.034885e+00   -3.573400e-02   -1.105104e-01    2.616046e+00
   6.103463e+00   -3.551216e-02   -1.100630e-01    2.608608e+00
   6.172042e+00   -3.529405e-02   -1.096918e-01    2.609649e+00
   6.240620e+00   -3.507626e-02   -1.092320e-01    2.601654e+00
