# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=4.050e-11, Err(n_e)=9.907e-11, Err(IET)=1.473e-01, Q_net=1.726e-08
# {"name":"Ar", "Z":18, "Zstar":0.25354325159062735, "A":39.948,  "μ[AU]": -6.4277968903e-02, "Te[AU]": 2.158e-02, "Ti[AU]": 2.158e-02, "rs[AU]": 1.372e+01 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-04    7.298699e+06    8.513104e-01    7.298698e+06    0.000000e+00    1.799153e+05   -1.434897e+02   -3.660522e+00    2.474745e+00    1.257649e-03
   1.005935e-04    7.234195e+06   -9.245826e-01    7.234196e+06    0.000000e+00    1.788533e+05   -1.430663e+02    1.189591e+00    2.474736e+00    1.257629e-03
   1.011905e-04    7.170261e+06   -3.068088e+00    7.170264e+06    0.000000e+00    1.777976e+05   -1.426442e+02    1.189591e+00    2.474727e+00    1.257609e-03
   1.017911e-04    7.106896e+06   -6.528789e-01    7.106897e+06    0.000000e+00    1.767481e+05   -1.422233e+02    1.189591e+00    2.474718e+00    1.257589e-03
   1.023952e-04    7.044091e+06    9.134827e-01    7.044090e+06    0.000000e+00    1.757048e+05   -1.418037e+02   -3.850122e+00    2.474709e+00    1.257569e-03
   1.030029e-04    6.981839e+06    1.647680e+00    6.981838e+06    0.000000e+00    1.746677e+05   -1.413853e+02   -5.859614e+00    2.474700e+00    1.257548e-03
   1.036142e-04    6.920137e+06    1.583464e+00    6.920135e+06    0.000000e+00    1.736366e+05   -1.409682e+02   -5.696703e+00    2.474691e+00    1.257528e-03
   1.042292e-04    6.858979e+06    7.286369e-01    6.858978e+06    0.000000e+00    1.726117e+05   -1.405523e+02   -3.273783e+00    2.474682e+00    1.257507e-03
   1.048478e-04    6.798361e+06   -8.935191e-01    6.798362e+06    0.000000e+00    1.715928e+05   -1.401375e+02    1.189591e+00    2.474673e+00    1.257486e-03
   1.054700e-04    6.738278e+06   -3.223425e+00    6.738281e+06    0.000000e+00    1.705799e+05   -1.397241e+02    1.189591e+00    2.474664e+00    1.257465e-03
   1.060960e-04    6.678730e+06   -8.918098e-01    6.678731e+06    0.000000e+00    1.695730e+05   -1.393118e+02    1.189591e+00    2.474654e+00    1.257444e-03
   1.067257e-04    6.619707e+06    6.313111e-01    6.619707e+06    0.000000e+00    1.685720e+05   -1.389008e+02   -2.952652e+00    2.474645e+00    1.257423e-03
   1.073591e-04    6.561206e+06    1.375135e+00    6.561204e+06    0.000000e+00    1.675770e+05   -1.384910e+02   -5.154121e+00    2.474635e+00    1.257402e-03
   1.079962e-04    6.503220e+06    1.359968e+00    6.503219e+06    0.000000e+00    1.665878e+05   -1.380824e+02   -5.113620e+00    2.474626e+00    1.257380e-03
   1.086372e-04    6.445746e+06    6.019379e-01    6.445746e+06    0.000000e+00    1.656044e+05   -1.376750e+02   -2.852709e+00    2.474616e+00    1.257359e-03
   1.092819e-04    6.388779e+06   -8.732485e-01    6.388780e+06    0.000000e+00    1.646269e+05   -1.372688e+02    1.189591e+00    2.474607e+00    1.257337e-03
   1.099305e-04    6.332315e+06   -3.051093e+00    6.332318e+06    0.000000e+00    1.636551e+05   -1.368637e+02    1.189591e+00    2.474597e+00    1.257315e-03
   1.105830e-04    6.276354e+06   -1.115242e+00    6.276355e+06    0.000000e+00    1.626890e+05   -1.364600e+02    1.189591e+00    2.474587e+00    1.257293e-03
   1.112393e-04    6.220887e+06    3.720463e-01    6.220887e+06    0.000000e+00    1.617287e+05   -1.360574e+02   -2.012052e+00    2.474577e+00    1.257271e-03
   1.118995e-04    6.165909e+06    1.117553e+00    6.165908e+06    0.000000e+00    1.607740e+05   -1.356559e+02   -4.446426e+00    2.474567e+00    1.257249e-03
   1.125636e-04    6.111417e+06    1.148107e+00    6.111415e+06    0.000000e+00    1.598250e+05   -1.352557e+02   -4.532885e+00    2.474558e+00    1.257227e-03
   1.132316e-04    6.057405e+06    4.823635e-01    6.057404e+06    0.000000e+00    1.588815e+05   -1.348566e+02   -2.430176e+00    2.474548e+00    1.257204e-03
   1.139037e-04    6.003869e+06   -8.692800e-01    6.003870e+06    0.000000e+00    1.579436e+05   -1.344587e+02    1.189591e+00    2.474538e+00    1.257181e-03
   1.145797e-04    5.950806e+06   -2.867707e+00    5.950809e+06    0.000000e+00    1.570113e+05   -1.340620e+02    1.189591e+00    2.474527e+00    1.257159e-03
   1.152597e-04    5.898216e+06   -1.298156e+00    5.898217e+06    0.000000e+00    1.560844e+05   -1.336665e+02    1.189591e+00    2.474517e+00    1.257136e-03
   1.159437e-04    5.846090e+06    1.346369e-01    5.846090e+06    0.000000e+00    1.551630e+05   -1.332721e+02   -9.525305e-01    2.474507e+00    1.257113e-03
   1.166319e-04    5.794424e+06    8.727552e-01    5.794423e+06    0.000000e+00    1.542471e+05   -1.328789e+02   -3.726209e+00    2.474497e+00    1.257090e-03
   1.173241e-04    5.743214e+06    9.481550e-01    5.743213e+06    0.000000e+00    1.533365e+05   -1.324869e+02   -3.954086e+00    2.474486e+00    1.257066e-03
   1.180204e-04    5.692455e+06    3.629869e-01    5.692455e+06    0.000000e+00    1.524314e+05   -1.320960e+02   -1.976152e+00    2.474476e+00    1.257043e-03
