# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=3.876e-11, Err(n_e)=9.651e-11, Err(IET)=9.002e-13, Q_net=-1.177e-09
# {"name":"Ar", "Z":18, "Zstar":0.2714251510903603, "A":39.948,  "μ[AU]": -6.7606019833e-02, "Te[AU]": 2.265e-02, "Ti[AU]": 2.265e-02, "rs[AU]": 1.372e+01 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-04    7.298699e+06    9.085927e-01    7.298698e+06    0.000000e+00    1.799153e+05   -1.434897e+02   -3.841506e+00    2.969877e+00   -6.482923e-05
   1.005935e-04    7.234198e+06    1.619551e+00    7.234196e+06    0.000000e+00    1.788533e+05   -1.430663e+02   -5.794930e+00    2.969867e+00   -6.482820e-05
   1.011905e-04    7.170266e+06    1.503657e+00    7.170264e+06    0.000000e+00    1.777976e+05   -1.426442e+02   -5.497929e+00    2.969857e+00   -6.482717e-05
   1.017911e-04    7.106898e+06    5.684424e-01    7.106897e+06    0.000000e+00    1.767481e+05   -1.422234e+02   -2.743461e+00    2.969847e+00   -6.482612e-05
   1.023952e-04    7.044089e+06   -1.159748e+00    7.044090e+06    0.000000e+00    1.757048e+05   -1.418037e+02    1.250647e+00    2.969836e+00   -6.482508e-05
   1.030029e-04    6.981835e+06   -3.265744e+00    6.981838e+06    0.000000e+00    1.746677e+05   -1.413853e+02    1.250647e+00    2.969826e+00   -6.482402e-05
   1.036142e-04    6.920135e+06   -9.110515e-01    6.920136e+06    0.000000e+00    1.736366e+05   -1.409682e+02    1.250647e+00    2.969815e+00   -6.482296e-05
   1.042292e-04    6.858979e+06    6.195416e-01    6.858979e+06    0.000000e+00    1.726117e+05   -1.405523e+02   -2.919174e+00    2.969805e+00   -6.482189e-05
   1.048478e-04    6.798363e+06    1.342283e+00    6.798362e+06    0.000000e+00    1.715928e+05   -1.401376e+02   -5.072692e+00    2.969794e+00   -6.482082e-05
   1.054700e-04    6.738282e+06    1.269879e+00    6.738281e+06    0.000000e+00    1.705799e+05   -1.397241e+02   -4.876715e+00    2.969784e+00   -6.481974e-05
   1.060960e-04    6.678731e+06    4.505810e-01    6.678731e+06    0.000000e+00    1.695730e+05   -1.393118e+02   -2.319350e+00    2.969773e+00   -6.481866e-05
   1.067257e-04    6.619706e+06   -1.124328e+00    6.619707e+06    0.000000e+00    1.685720e+05   -1.389008e+02    1.250647e+00    2.969762e+00   -6.481756e-05
   1.073591e-04    6.561201e+06   -3.400335e+00    6.561204e+06    0.000000e+00    1.675770e+05   -1.384910e+02    1.250647e+00    2.969751e+00   -6.481646e-05
   1.079962e-04    6.503218e+06   -1.135672e+00    6.503219e+06    0.000000e+00    1.665878e+05   -1.380824e+02    1.250647e+00    2.969740e+00   -6.481536e-05
   1.086372e-04    6.445746e+06    3.415459e-01    6.445746e+06    0.000000e+00    1.656044e+05   -1.376750e+02   -1.896663e+00    2.969729e+00   -6.481425e-05
   1.092819e-04    6.388782e+06    1.078520e+00    6.388780e+06    0.000000e+00    1.646269e+05   -1.372688e+02   -4.341678e+00    2.969718e+00   -6.481313e-05
   1.099305e-04    6.332320e+06    1.066801e+00    6.332319e+06    0.000000e+00    1.636551e+05   -1.368638e+02   -4.307863e+00    2.969707e+00   -6.481200e-05
   1.105830e-04    6.276356e+06    3.340783e-01    6.276355e+06    0.000000e+00    1.626890e+05   -1.364600e+02   -1.866332e+00    2.969696e+00   -6.481087e-05
   1.112393e-04    6.220886e+06   -1.102217e+00    6.220887e+06    0.000000e+00    1.617287e+05   -1.360573e+02    1.250647e+00    2.969685e+00   -6.480973e-05
   1.118995e-04    6.165905e+06   -3.219689e+00    6.165908e+06    0.000000e+00    1.607740e+05   -1.356559e+02    1.250647e+00    2.969674e+00   -6.480859e-05
   1.125636e-04    6.111414e+06   -1.338165e+00    6.111416e+06    0.000000e+00    1.598250e+05   -1.352557e+02    1.250647e+00    2.969662e+00   -6.480744e-05
   1.132316e-04    6.057405e+06    1.045874e-01    6.057404e+06    0.000000e+00    1.588815e+05   -1.348566e+02   -7.962178e-01    2.969651e+00   -6.480628e-05
   1.139037e-04    6.003871e+06    8.294489e-01    6.003870e+06    0.000000e+00    1.579436e+05   -1.344588e+02   -3.599143e+00    2.969639e+00   -6.480511e-05
   1.145797e-04    5.950810e+06    8.617858e-01    5.950810e+06    0.000000e+00    1.570113e+05   -1.340620e+02   -3.699129e+00    2.969628e+00   -6.480394e-05
