# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=3.949e-11, Err(n_e)=9.379e-11, Err(IET)=1.021e+00, Q_net=-1.500e-08
# {"name":"Ar", "Z":18, "Zstar":0.30876791215857813, "A":39.948,  "μ[AU]": -7.4962087232e-02, "Te[AU]": 2.496e-02, "Ti[AU]": 2.496e-02, "rs[AU]": 1.372e+01 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   6.857824e-02   -1.008526e-01    2.347673e+00    0.000000e+00
   1.371565e-01    1.026232e+00    8.260267e-01    0.000000e+00
   2.057347e-01    9.772782e-01    5.409468e-01    0.000000e+00
   2.743130e-01    1.228108e+00    3.360769e-01    0.000000e+00
   3.428912e-01   -7.068465e-02    2.720444e-01    0.000000e+00
   4.114694e-01   -7.622565e-02    2.010458e-01    0.000000e+00
   4.800477e-01   -7.730710e-02    1.758002e-01    0.000000e+00
   5.486259e-01   -7.657675e-02    1.404640e-01    0.000000e+00
   6.172042e-01   -7.775858e-02    1.270739e-01    0.000000e+00
   6.857824e-01   -7.689961e-02    1.057910e-01    0.000000e+00
   7.543606e-01   -7.601354e-02    9.738276e-02    0.000000e+00
   8.229389e-01   -7.584624e-02    8.306576e-02    4.794213e-02
   8.915171e-01   -7.563273e-02    7.723775e-02    1.606404e-01
   9.600953e-01   -7.486333e-02    6.691274e-02    3.697295e-01
   1.028674e+00   -7.408704e-02    6.261599e-02    4.605360e-01
   1.097252e+00   -7.357091e-02    5.480798e-02    6.351257e-01
   1.165830e+00   -7.326199e-02    5.150475e-02    7.124990e-01
   1.234408e+00   -7.247405e-02    4.539231e-02    8.648720e-01
   1.302987e+00   -7.185658e-02    4.277425e-02    9.331625e-01
   1.371565e+00   -7.139298e-02    3.786071e-02    1.069918e+00
   1.440143e+00   -7.075772e-02    3.573659e-02    1.131491e+00
   1.508721e+00   -7.021096e-02    3.170288e-02    1.256349e+00
   1.577299e+00   -6.950749e-02    2.994718e-02    1.312557e+00
   1.645878e+00   -6.892896e-02    2.657864e-02    1.427719e+00
   1.714456e+00   -6.837955e-02    2.510534e-02    1.479377e+00
   1.783034e+00   -6.789282e-02    2.225211e-02    1.586224e+00
   1.851612e+00   -6.744446e-02    2.100023e-02    1.633854e+00
   1.920191e+00   -6.675820e-02    1.855447e-02    1.733307e+00
   1.988769e+00   -6.636748e-02    1.747955e-02    1.777267e+00
   2.057347e+00   -6.573443e-02    1.536168e-02    1.869988e+00
   2.125925e+00   -6.524812e-02    1.443053e-02    1.910544e+00
   2.194504e+00   -6.482371e-02    1.258053e-02    1.997041e+00
   2.263082e+00   -6.434268e-02    1.176787e-02    2.034404e+00
   2.331660e+00   -6.385998e-02    1.013963e-02    2.115093e+00
   2.400238e+00   -6.339292e-02    9.425863e-03    2.149440e+00
   2.468817e+00   -6.292492e-02    7.983341e-03    2.224678e+00
   2.537395e+00   -6.242508e-02    7.353048e-03    2.256165e+00
   2.605973e+00   -6.194703e-02    6.067698e-03    2.326269e+00
   2.674551e+00   -6.154553e-02    5.508569e-03    2.355039e+00
   2.743130e+00   -6.111852e-02    4.357468e-03    2.420297e+00
   2.811708e+00   -6.067091e-02    3.859559e-03    2.446482e+00
   2.880286e+00   -6.027534e-02    2.824093e-03    2.507162e+00
   2.948864e+00   -5.987334e-02    2.379282e-03    2.530886e+00
   3.017443e+00   -5.944045e-02    1.444173e-03    2.587235e+00
   3.086021e+00   -5.904721e-02    1.045761e-03    2.608616e+00
   3.154599e+00   -5.866123e-02    1.983552e-04    2.660869e+00
   3.223177e+00   -5.827100e-02   -1.592364e-04    2.680018e+00
   3.291755e+00   -5.788116e-02   -9.295129e-04    2.728395e+00
   3.360334e+00   -5.751005e-02   -1.250966e-03    2.745420e+00
   3.428912e+00   -5.713195e-02   -1.953018e-03    2.790127e+00
   3.497490e+00   -5.675524e-02   -2.242292e-03    2.805129e+00
   3.566068e+00   -5.636991e-02   -2.883673e-03    2.846364e+00
   3.634647e+00   -5.599448e-02   -3.144143e-03    2.859440e+00
   3.703225e+00   -5.560751e-02   -3.731303e-03    2.897387e+00
   3.771803e+00   -5.522866e-02   -3.965860e-03    2.908631e+00
   3.840381e+00   -5.483136e-02   -4.504343e-03    2.943465e+00
   3.908960e+00   -5.443586e-02   -4.715483e-03    2.952966e+00
   3.977538e+00   -5.402405e-02   -5.210077e-03    2.984853e+00
   4.046116e+00   -5.360941e-02   -5.399966e-03    2.992696e+00
   4.114694e+00   -5.318027e-02   -5.854834e-03    3.021792e+00
   4.183273e+00   -5.274093e-02   -6.025359e-03    3.028059e+00
   4.251851e+00   -5.229021e-02   -6.444134e-03    3.054512e+00
   4.320429e+00   -5.183116e-02   -6.596952e-03    3.059282e+00
   4.389007e+00   -5.136635e-02   -6.982823e-03    3.083233e+00
   4.457586e+00   -5.089986e-02   -7.119392e-03    3.086579e+00
   4.526164e+00   -5.043549e-02   -7.475169e-03    3.108161e+00
   4.594742e+00   -4.997624e-02   -7.596779e-03    3.110155e+00
   4.663320e+00   -4.952435e-02   -7.924949e-03    3.129494e+00
   4.731898e+00   -4.908261e-02   -8.032747e-03    3.130205e+00
   4.800477e+00   -4.870045e-02   -8.335519e-03    3.147421e+00
   4.869055e+00   -4.834153e-02   -8.430529e-03    3.146914e+00
   4.937633e+00   -4.799323e-02   -8.709873e-03    3.162120e+00
   5.006211e+00   -4.765377e-02   -8.793011e-03    3.160459e+00
   5.074790e+00   -4.732241e-02   -9.050691e-03    3.173761e+00
   5.143368e+00   -4.699888e-02   -9.122781e-03    3.171006e+00
   5.211946e+00   -4.668200e-02   -9.360380e-03    3.182508e+00
   5.280524e+00   -4.637077e-02   -9.422167e-03    3.178717e+00
   5.349103e+00   -4.606533e-02   -9.641113e-03    3.188515e+00
   5.417681e+00   -4.576550e-02   -9.693270e-03    3.183743e+00
   5.486259e+00   -4.547070e-02   -9.894852e-03    3.191931e+00
   5.554837e+00   -4.517947e-02   -9.937991e-03    3.186231e+00
   5.623416e+00   -4.489354e-02   -1.012338e-02    3.192895e+00
   5.691994e+00   -4.461120e-02   -1.015806e-02    3.186319e+00
   5.760572e+00   -4.433246e-02   -1.032831e-02    3.191542e+00
   5.829150e+00   -4.405678e-02   -1.035504e-02    3.184140e+00
   5.897729e+00   -4.378411e-02   -1.051114e-02    3.188002e+00
   5.966307e+00   -4.351635e-02   -1.053038e-02    3.179820e+00
   6.034885e+00   -4.324985e-02   -1.067320e-02    3.182396e+00
   6.103463e+00   -4.298717e-02   -1.068540e-02    3.173480e+00
   6.172042e+00   -4.272622e-02   -1.081575e-02    3.174843e+00
   6.240620e+00   -4.246936e-02   -1.082129e-02    3.165235e+00
   6.309198e+00   -4.221351e-02   -1.093992e-02    3.165453e+00
   6.377776e+00   -4.196004e-02   -1.093917e-02    3.155197e+00
   6.446354e+00   -4.171011e-02   -1.104677e-02    3.154335e+00
   6.514933e+00   -4.146178e-02   -1.104008e-02    3.143469e+00
   6.583511e+00   -4.121508e-02   -1.113728e-02    3.141590e+00
   6.652089e+00   -4.097068e-02   -1.112495e-02    3.130154e+00
   6.720667e+00   -4.072856e-02   -1.121234e-02    3.127317e+00
   6.789246e+00   -4.048817e-02   -1.119468e-02    3.115347e+00
   6.857824e+00   -4.024919e-02   -1.127280e-02    3.111609e+00
   6.926402e+00   -4.001216e-02   -1.125008e-02    3.099141e+00
   6.994980e+00   -3.977769e-02   -1.131944e-02    3.094555e+00
   7.063559e+00   -3.954426e-02   -1.129191e-02    3.081624e+00
   7.132137e+00   -3.931201e-02   -1.135298e-02    3.076243e+00
   7.200715e+00   -3.908255e-02   -1.132089e-02    3.062880e+00
   7.269293e+00   -3.885318e-02   -1.137410e-02    3.056752e+00
   7.337872e+00   -3.862604e-02   -1.133768e-02    3.042990e+00
   7.406450e+00   -3.840095e-02   -1.138345e-02    3.036163e+00
   7.475028e+00   -3.817591e-02   -1.134292e-02    3.022030e+00
   7.543606e+00   -3.795423e-02   -1.138163e-02    3.014549e+00
   7.612185e+00   -3.773134e-02   -1.133718e-02    3.000076e+00
   7.680763e+00   -3.751266e-02   -1.136919e-02    2.991982e+00
   7.749341e+00   -3.729241e-02   -1.132102e-02    2.977196e+00
   7.817919e+00   -3.707607e-02   -1.134666e-02    2.968531e+00
   7.886497e+00   -3.685973e-02   -1.129496e-02    2.953459e+00
   7.955076e+00   -3.664373e-02   -1.131456e-02    2.944262e+00
   8.023654e+00   -3.643165e-02   -1.125949e-02    2.928929e+00
   8.092232e+00   -3.621673e-02   -1.127335e-02    2.919237e+00
   8.160810e+00   -3.600723e-02   -1.121508e-02    2.903667e+00
   8.229389e+00   -3.579746e-02   -1.122349e-02    2.893516e+00
   8.297967e+00   -3.558554e-02   -1.116217e-02    2.877732e+00
   8.366545e+00   -3.538033e-02   -1.116539e-02    2.867155e+00
   8.435123e+00   -3.517367e-02   -1.110118e-02    2.851181e+00
   8.503702e+00   -3.496580e-02   -1.109946e-02    2.840211e+00
   8.572280e+00   -3.476291e-02   -1.103251e-02    2.824066e+00
   8.640858e+00   -3.456024e-02   -1.102610e-02    2.812733e+00
   8.709436e+00   -3.435572e-02   -1.095654e-02    2.796440e+00
   8.778015e+00   -3.415389e-02   -1.094566e-02    2.784774e+00
   8.846593e+00   -3.395563e-02   -1.087362e-02    2.768351e+00
   8.915171e+00   -3.375590e-02   -1.085850e-02    2.756379e+00
   8.983749e+00   -3.355502e-02   -1.078411e-02    2.739844e+00
   9.052328e+00   -3.335830e-02   -1.076495e-02    2.727594e+00
   9.120906e+00   -3.316382e-02   -1.068833e-02    2.710966e+00
   9.189484e+00   -3.296824e-02   -1.066533e-02    2.698462e+00
   9.258062e+00   -3.277174e-02   -1.058661e-02    2.681758e+00
   9.326640e+00   -3.257696e-02   -1.055996e-02    2.669025e+00
   9.395219e+00   -3.238630e-02   -1.047924e-02    2.652260e+00
   9.463797e+00   -3.219559e-02   -1.044912e-02    2.639321e+00
   9.532375e+00   -3.200427e-02   -1.036652e-02    2.622511e+00
   9.600953e+00   -3.181239e-02   -1.033310e-02    2.609388e+00
   9.669532e+00   -3.162138e-02   -1.024872e-02    2.592547e+00
   9.738110e+00   -3.143540e-02   -1.021218e-02    2.579260e+00
   9.806688e+00   -3.124935e-02   -1.012612e-02    2.562403e+00
   9.875266e+00   -3.106294e-02   -1.008661e-02    2.548972e+00
   9.943845e+00   -3.087622e-02   -9.998979e-03    2.532112e+00
   1.001242e+01   -3.068926e-02   -9.956646e-03    2.518556e+00
