# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=4.436e-11, Err(n_e)=9.258e-11, Err(IET)=3.323e-01, Q_net=-7.047e-09
# {"name":"Ar", "Z":18, "Zstar":0.3282617054172178, "A":39.948,  "μ[AU]": -7.9013233807e-02, "Te[AU]": 2.620e-02, "Ti[AU]": 2.620e-02, "rs[AU]": 1.372e+01 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   6.857824e-02   -1.082720e-01    2.658833e+00    0.000000e+00
   1.371565e-01    1.453591e+00    9.382684e-01    0.000000e+00
   2.057347e-01    1.453634e+00    6.150753e-01    0.000000e+00
   2.743130e-01    7.917363e-02    3.831537e-01    0.000000e+00
   3.428912e-01   -7.999011e-02    3.104759e-01    0.000000e+00
   4.114694e-01   -8.159828e-02    2.301184e-01    0.000000e+00
   4.800477e-01   -8.234663e-02    2.014795e-01    0.000000e+00
   5.486259e-01   -8.190100e-02    1.615117e-01    0.000000e+00
   6.172042e-01   -8.138612e-02    1.463374e-01    1.494838e-02
   6.857824e-01   -8.152248e-02    1.222775e-01    1.372416e-01
   7.543606e-01   -8.104985e-02    1.127559e-01    1.890666e-01
   8.229389e-01   -8.059735e-02    9.657557e-02    2.861200e-01
   8.915171e-01   -8.011203e-02    8.997821e-02    3.301793e-01
   9.600953e-01   -7.944623e-02    7.831069e-02    4.187856e-01
   1.028674e+00   -7.923979e-02    7.344720e-02    4.606155e-01
   1.097252e+00   -7.869030e-02    6.462403e-02    5.477372e-01
   1.165830e+00   -7.767538e-02    6.088487e-02    5.894623e-01
   1.234408e+00   -7.744902e-02    5.397734e-02    6.775668e-01
   1.302987e+00   -7.674661e-02    5.101329e-02    7.197724e-01
   1.371565e+00   -7.593334e-02    4.546008e-02    8.092509e-01
   1.440143e+00   -7.504531e-02    4.305467e-02    8.518379e-01
   1.508721e+00   -7.460942e-02    3.849526e-02    9.421876e-01
   1.577299e+00   -7.400280e-02    3.650644e-02    9.847875e-01
   1.645878e+00   -7.333991e-02    3.269829e-02    1.075194e+00
   1.714456e+00   -7.274569e-02    3.102876e-02    1.117368e+00
   1.783034e+00   -7.213210e-02    2.780255e-02    1.206983e+00
   1.851612e+00   -7.141413e-02    2.638330e-02    1.248313e+00
   1.920191e+00   -7.094171e-02    2.361721e-02    1.336374e+00
   1.988769e+00   -7.028522e-02    2.239793e-02    1.376502e+00
   2.057347e+00   -6.984402e-02    2.000206e-02    1.462377e+00
   2.125925e+00   -6.920051e-02    1.894522e-02    1.501012e+00
   2.194504e+00   -6.863915e-02    1.685176e-02    1.584204e+00
   2.263082e+00   -6.812598e-02    1.592875e-02    1.621123e+00
   2.331660e+00   -6.761830e-02    1.408559e-02    1.701260e+00
   2.400238e+00   -6.710835e-02    1.327425e-02    1.736297e+00
   2.468817e+00   -6.660897e-02    1.164070e-02    1.813112e+00
   2.537395e+00   -6.614936e-02    1.092358e-02    1.846153e+00
   2.605973e+00   -6.573310e-02    9.467379e-03    1.919471e+00
   2.674551e+00   -6.519435e-02    8.830547e-03    1.950441e+00
   2.743130e+00   -6.475309e-02    7.525806e-03    2.020157e+00
   2.811708e+00   -6.429229e-02    6.958020e-03    2.049016e+00
   2.880286e+00   -6.387656e-02    5.783706e-03    2.115082e+00
   2.948864e+00   -6.339742e-02    5.275778e-03    2.141818e+00
   3.017443e+00   -6.297390e-02    4.214633e-03    2.204231e+00
   3.086021e+00   -6.256160e-02    3.758985e-03    2.228851e+00
   3.154599e+00   -6.214128e-02    2.796715e-03    2.287644e+00
   3.223177e+00   -6.171439e-02    2.387038e-03    2.310172e+00
   3.291755e+00   -6.129802e-02    1.511697e-03    2.365404e+00
   3.360334e+00   -6.091465e-02    1.142696e-03    2.385876e+00
   3.428912e+00   -6.048262e-02    3.442267e-04    2.437625e+00
   3.497490e+00   -6.007676e-02    1.142283e-05    2.456089e+00
   3.566068e+00   -5.967102e-02   -7.187077e-04    2.504448e+00
   3.634647e+00   -5.926652e-02   -1.019130e-03    2.520958e+00
   3.703225e+00   -5.885106e-02   -1.688207e-03    2.566031e+00
   3.771803e+00   -5.843255e-02   -1.959518e-03    2.580646e+00
   3.840381e+00   -5.801476e-02   -2.573802e-03    2.622543e+00
   3.908960e+00   -5.758180e-02   -2.818824e-03    2.635326e+00
   3.977538e+00   -5.714422e-02   -3.383724e-03    2.674163e+00
   4.046116e+00   -5.669732e-02   -3.604904e-03    2.685180e+00
   4.114694e+00   -5.624156e-02   -4.125120e-03    2.721074e+00
   4.183273e+00   -5.577637e-02   -4.324594e-03    2.730391e+00
   4.251851e+00   -5.530513e-02   -4.804230e-03    2.763462e+00
   4.320429e+00   -5.482840e-02   -4.983868e-03    2.771148e+00
   4.389007e+00   -5.435082e-02   -5.426525e-03    2.801513e+00
   4.457586e+00   -5.387490e-02   -5.587975e-03    2.807636e+00
   4.526164e+00   -5.340354e-02   -5.996825e-03    2.835413e+00
   4.594742e+00   -5.293848e-02   -6.141546e-03    2.840040e+00
   4.663320e+00   -5.248121e-02   -6.519396e-03    2.865346e+00
   4.731898e+00   -5.203221e-02   -6.648683e-03    2.868544e+00
   4.800477e+00   -5.162489e-02   -6.998027e-03    2.891490e+00
   4.869055e+00   -5.125122e-02   -7.113036e-03    2.893326e+00
   4.937633e+00   -5.088814e-02   -7.436099e-03    2.914024e+00
   5.006211e+00   -5.053355e-02   -7.537864e-03    2.914562e+00
   5.074790e+00   -5.018684e-02   -7.836635e-03    2.933118e+00
   5.143368e+00   -4.984796e-02   -7.926088e-03    2.932422e+00
   5.211946e+00   -4.951514e-02   -8.202354e-03    2.948940e+00
   5.280524e+00   -4.918894e-02   -8.280333e-03    2.947071e+00
   5.349103e+00   -4.886807e-02   -8.535705e-03    2.961652e+00
   5.417681e+00   -4.855234e-02   -8.602971e-03    2.958672e+00
   5.486259e+00   -4.824247e-02   -8.838903e-03    2.971413e+00
   5.554837e+00   -4.793591e-02   -8.896144e-03    2.967378e+00
   5.623416e+00   -4.763385e-02   -9.113955e-03    2.978374e+00
   5.691994e+00   -4.733634e-02   -9.161801e-03    2.973342e+00
   5.760572e+00   -4.704200e-02   -9.362690e-03    2.982682e+00
   5.829150e+00   -4.675210e-02   -9.401716e-03    2.976709e+00
   5.897729e+00   -4.646581e-02   -9.586774e-03    2.984480e+00
   5.966307e+00   -4.618122e-02   -9.617506e-03    2.977618e+00
   6.034885e+00   -4.590095e-02   -9.787732e-03    2.983904e+00
   6.103463e+00   -4.562286e-02   -9.810654e-03    2.976204e+00
   6.172042e+00   -4.534846e-02   -9.966962e-03    2.981085e+00
   6.240620e+00   -4.507484e-02   -9.982521e-03    2.972598e+00
   6.309198e+00   -4.480572e-02   -1.012575e-02    2.976151e+00
   6.377776e+00   -4.453882e-02   -1.013436e-02    2.966925e+00
   6.446354e+00   -4.427318e-02   -1.026529e-02    2.969224e+00
   6.514933e+00   -4.401001e-02   -1.026732e-02    2.959304e+00
   6.583511e+00   -4.374958e-02   -1.038666e-02    2.960420e+00
   6.652089e+00   -4.349168e-02   -1.038249e-02    2.949851e+00
   6.720667e+00   -4.323558e-02   -1.049089e-02    2.949852e+00
   6.789246e+00   -4.298152e-02   -1.048083e-02    2.938678e+00
   6.857824e+00   -4.272914e-02   -1.057892e-02    2.937629e+00
   6.926402e+00   -4.247785e-02   -1.056329e-02    2.925889e+00
   6.994980e+00   -4.222917e-02   -1.065162e-02    2.923852e+00
   7.063559e+00   -4.198291e-02   -1.063071e-02    2.911588e+00
   7.132137e+00   -4.173660e-02   -1.070982e-02    2.908623e+00
   7.200715e+00   -4.149297e-02   -1.068389e-02    2.895872e+00
   7.269293e+00   -4.125195e-02   -1.075427e-02    2.892036e+00
   7.337872e+00   -4.101007e-02   -1.072358e-02    2.878834e+00
   7.406450e+00   -4.077276e-02   -1.078569e-02    2.874182e+00
   7.475028e+00   -4.053369e-02   -1.075049e-02    2.860565e+00
   7.543606e+00   -4.029941e-02   -1.080476e-02    2.855149e+00
   7.612185e+00   -4.006352e-02   -1.076526e-02    2.841151e+00
   7.680763e+00   -3.983220e-02   -1.081209e-02    2.835020e+00
   7.749341e+00   -3.959901e-02   -1.076853e-02    2.820673e+00
   7.817919e+00   -3.937049e-02   -1.080830e-02    2.813876e+00
   7.886497e+00   -3.913963e-02   -1.076086e-02    2.799210e+00
   7.955076e+00   -3.891352e-02   -1.079393e-02    2.791792e+00
   8.023654e+00   -3.868653e-02   -1.074281e-02    2.776838e+00
   8.092232e+00   -3.846083e-02   -1.076953e-02    2.768843e+00
   8.160810e+00   -3.823871e-02   -1.071491e-02    2.753629e+00
   8.229389e+00   -3.801399e-02   -1.073557e-02    2.745097e+00
   8.297967e+00   -3.779334e-02   -1.067764e-02    2.729651e+00
   8.366545e+00   -3.757451e-02   -1.069256e-02    2.720623e+00
   8.435123e+00   -3.735342e-02   -1.063147e-02    2.704969e+00
   8.503702e+00   -3.713601e-02   -1.064092e-02    2.695483e+00
