Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
 # {"name":"CS2014_Fe", "Z":26, "Zstar":18.129427888833902, "A":55.845,  "μ_core[AU]": -6.8841576570e+01, "μ_empty[AU]": -6.8839739452e+01, "Te[AU]": 1.837e+01, "Ti[AU]": 1.837e+01, "rs[AU]": 2.667e+00 }
   r[AU]           ne_full[AU]     n_ion[AU]       ne_ext[AU]      ne_PA[AU]       ne_scr[AU]      
   1.000000e-03    3.966755e+05    3.966658e+05    1.740399e-01    3.966753e+05    9.474003e+00
   1.005111e-03    3.936344e+05    3.936248e+05    1.740399e-01    3.936342e+05    9.452118e+00
   1.010249e-03    3.906164e+05    3.906068e+05    1.740399e-01    3.906162e+05    9.425294e+00
   1.015412e-03    3.876215e+05    3.876119e+05    1.740399e-01    3.876213e+05    9.400487e+00
   1.020602e-03    3.846493e+05    3.846397e+05    1.740399e-01    3.846491e+05    9.372758e+00
   1.025819e-03    3.816999e+05    3.816904e+05    1.740399e-01    3.816997e+05    9.347130e+00
   1.031062e-03    3.787731e+05    3.787636e+05    1.740399e-01    3.787729e+05    9.322829e+00
   1.036332e-03    3.758685e+05    3.758590e+05    1.740399e-01    3.758683e+05    9.295511e+00
   1.041629e-03    3.729862e+05    3.729768e+05    1.740399e-01    3.729860e+05    9.272330e+00
   1.046953e-03    3.701258e+05    3.701164e+05    1.740399e-01    3.701257e+05    9.245930e+00
   1.052304e-03    3.672874e+05    3.672780e+05    1.740399e-01    3.672872e+05    9.222080e+00
   1.057683e-03    3.644704e+05    3.644611e+05    1.740399e-01    3.644703e+05    9.193690e+00
   1.063089e-03    3.616752e+05    3.616658e+05    1.740399e-01    3.616750e+05    9.169771e+00
   1.068523e-03    3.589013e+05    3.588920e+05    1.740399e-01    3.589011e+05    9.145671e+00
   1.073984e-03    3.561485e+05    3.561392e+05    1.740399e-01    3.561483e+05    9.119520e+00
   1.079473e-03    3.534167e+05    3.534075e+05    1.740399e-01    3.534166e+05    9.095491e+00
   1.084991e-03    3.507058e+05    3.506965e+05    1.740399e-01    3.507056e+05    9.069281e+00
   1.090537e-03    3.480157e+05    3.480065e+05    1.740399e-01    3.480155e+05    9.046557e+00
   1.096111e-03    3.453459e+05    3.453367e+05    1.740399e-01    3.453457e+05    9.017699e+00
   1.101713e-03    3.426967e+05    3.426875e+05    1.740399e-01    3.426965e+05    8.995260e+00
   1.107344e-03    3.400677e+05    3.400586e+05    1.740399e-01    3.400675e+05    8.971173e+00
   1.113004e-03    3.374587e+05    3.374496e+05    1.740399e-01    3.374586e+05    8.946069e+00
   1.118693e-03    3.348697e+05    3.348606e+05    1.740399e-01    3.348695e+05    8.921634e+00
   1.124411e-03    3.323004e+05    3.322913e+05    1.740399e-01    3.323002e+05    8.895422e+00
   1.130158e-03    3.297509e+05    3.297418e+05    1.740399e-01    3.297507e+05    8.873853e+00
   1.135934e-03    3.272206e+05    3.272116e+05    1.740399e-01    3.272204e+05    8.846278e+00
   1.141741e-03    3.247098e+05    3.247008e+05    1.740399e-01    3.247097e+05    8.823569e+00
   1.147576e-03    3.222182e+05    3.222092e+05    1.740399e-01    3.222180e+05    8.799353e+00
   1.153442e-03    3.197456e+05    3.197366e+05    1.740399e-01    3.197454e+05    8.775204e+00
   1.159337e-03    3.172918e+05    3.172829e+05    1.740399e-01    3.172916e+05    8.750660e+00
   1.165263e-03    3.148567e+05    3.148478e+05    1.740399e-01    3.148566e+05    8.724312e+00
   1.171219e-03    3.124405e+05    3.124316e+05    1.740399e-01    3.124403e+05    8.703682e+00
   1.177205e-03    3.100424e+05    3.100336e+05    1.740399e-01    3.100423e+05    8.677519e+00
   1.183222e-03    3.076629e+05    3.076540e+05    1.740399e-01    3.076627e+05    8.654677e+00
   1.189270e-03    3.053014e+05    3.052926e+05    1.740399e-01    3.053012e+05    8.630231e+00
   1.195349e-03    3.029580e+05    3.029492e+05    1.740399e-01    3.029578e+05    8.606938e+00
   1.201458e-03    3.006325e+05    3.006237e+05    1.740399e-01    3.006323e+05    8.582552e+00
   1.207599e-03    2.983247e+05    2.983159e+05    1.740399e-01    2.983245e+05    8.556965e+00
   1.213772e-03    2.960347e+05    2.960260e+05    1.740399e-01    2.960345e+05    8.536355e+00
   1.219976e-03    2.937620e+05    2.937533e+05    1.740399e-01    2.937618e+05    8.511294e+00
   1.226211e-03    2.915068e+05    2.914981e+05    1.740399e-01    2.915066e+05    8.488540e+00
   1.232479e-03    2.892687e+05    2.892600e+05    1.740399e-01    2.892685e+05    8.463816e+00
   1.238778e-03    2.870478e+05    2.870392e+05    1.740399e-01    2.870476e+05    8.441284e+00
   1.245110e-03    2.848438e+05    2.848352e+05    1.740399e-01    2.848436e+05    8.417269e+00
   1.251474e-03    2.826566e+05    2.826480e+05    1.740399e-01    2.826564e+05    8.392859e+00
   1.257870e-03    2.804863e+05    2.804777e+05    1.740399e-01    2.804861e+05    8.371814e+00
   1.264300e-03    2.783324e+05    2.783239e+05    1.740399e-01    2.783322e+05    8.347616e+00
   1.270762e-03    2.761950e+05    2.761865e+05    1.740399e-01    2.761949e+05    8.325124e+00
   1.277257e-03    2.740739e+05    2.740654e+05    1.740399e-01    2.740737e+05    8.300140e+00
   1.283785e-03    2.719691e+05    2.719607e+05    1.740399e-01    2.719689e+05    8.278260e+00
   1.290347e-03    2.698803e+05    2.698719e+05    1.740399e-01    2.698801e+05    8.254779e+00
   1.296942e-03    2.678075e+05    2.677991e+05    1.740399e-01    2.678073e+05    8.231378e+00
   1.303571e-03    2.657506e+05    2.657422e+05    1.740399e-01    2.657504e+05    8.210022e+00
   1.310234e-03    2.637093e+05    2.637009e+05    1.740399e-01    2.637091e+05    8.186482e+00
   1.316931e-03    2.616837e+05    2.616753e+05    1.740399e-01    2.616835e+05    8.164400e+00
