   r/R       V       Vcoul       Vexc       Vkin       Vinh       rV         ne        y        dNe    dNe(free) dNe(bound)    eta    n0*Ine
0.0000e+00 1.180e+08 1.180e+08 5.744e+02 +6.524e+04 +5.895e+07 0.000e+00 7.569e+34 1.000e-10 1.000e-20 1.000e-20 +1.000e-20 6.524e+04 9.987e-01 
4.0000e-06 2.360e+07 2.360e+07 5.742e+02 +6.519e+04 +2.354e+07 1.040e+01 7.561e+34 1.745e+02 3.824e+05 1.000e-20 +3.819e+05 6.519e+04 9.987e-01 
1.6000e-05 6.942e+06 6.941e+06 5.731e+02 +6.493e+04 +6.877e+06 1.223e+01 7.516e+34 6.957e+02 6.083e+06 1.000e-20 +6.075e+06 6.493e+04 9.987e-01 
3.6000e-05 3.189e+06 3.189e+06 5.709e+02 +6.446e+04 +3.125e+06 1.264e+01 7.434e+34 1.557e+03 3.046e+07 1.000e-20 +3.042e+07 6.446e+04 9.987e-01 
6.4000e-05 1.815e+06 1.815e+06 5.679e+02 +6.378e+04 +1.751e+06 1.279e+01 7.316e+34 2.746e+03 9.474e+07 1.000e-20 +9.461e+07 6.378e+04 9.987e-01 
1.0000e-04 1.168e+06 1.167e+06 5.640e+02 +6.291e+04 +1.105e+06 1.286e+01 7.167e+34 4.246e+03 2.266e+08 1.000e-20 +2.263e+08 6.291e+04 9.987e-01 
1.4400e-04 8.133e+05 8.127e+05 5.592e+02 +6.186e+04 +7.514e+05 1.289e+01 6.989e+34 6.038e+03 4.582e+08 1.000e-20 +4.576e+08 6.186e+04 9.987e-01 
1.9600e-04 5.984e+05 5.979e+05 5.537e+02 +6.066e+04 +5.377e+05 1.291e+01 6.787e+34 8.099e+03 8.242e+08 1.000e-20 +8.232e+08 6.066e+04 9.987e-01 
2.5600e-04 4.585e+05 4.580e+05 5.474e+02 +5.932e+04 +3.992e+05 1.291e+01 6.563e+34 1.040e+04 1.360e+09 1.000e-20 +1.358e+09 5.932e+04 9.987e-01 
3.2400e-04 3.624e+05 3.619e+05 5.406e+02 +5.786e+04 +3.046e+05 1.291e+01 6.321e+34 1.292e+04 2.098e+09 1.000e-20 +2.095e+09 5.786e+04 9.987e-01 
4.0000e-04 2.936e+05 2.931e+05 5.331e+02 +5.629e+04 +2.373e+05 1.291e+01 6.066e+34 1.563e+04 3.068e+09 1.000e-20 +3.065e+09 5.629e+04 9.987e-01 
4.8400e-04 2.426e+05 2.421e+05 5.251e+02 +5.464e+04 +1.880e+05 1.291e+01 5.802e+34 1.849e+04 4.296e+09 1.000e-20 +4.291e+09 5.464e+04 9.987e-01 
5.7600e-04 2.038e+05 2.033e+05 5.167e+02 +5.292e+04 +1.509e+05 1.290e+01 5.530e+34 2.148e+04 5.800e+09 1.000e-20 +5.793e+09 5.292e+04 9.988e-01 
6.7600e-04 1.736e+05 1.731e+05 5.079e+02 +5.116e+04 +1.224e+05 1.289e+01 5.256e+34 2.458e+04 7.593e+09 1.000e-20 +7.583e+09 5.116e+04 9.988e-01 
7.8400e-04 1.496e+05 1.491e+05 4.988e+02 +4.936e+04 +1.002e+05 1.287e+01 4.981e+34 2.775e+04 9.679e+09 1.000e-20 +9.668e+09 4.936e+04 9.988e-01 
9.0000e-04 1.302e+05 1.297e+05 4.894e+02 +4.755e+04 +8.268e+04 1.286e+01 4.709e+34 3.098e+04 1.206e+10 1.000e-20 +1.204e+10 4.755e+04 9.988e-01 
1.0240e-03 1.144e+05 1.139e+05 4.799e+02 +4.573e+04 +6.864e+04 1.285e+01 4.442e+34 3.423e+04 1.472e+10 1.000e-20 +1.471e+10 4.573e+04 9.988e-01 
1.1560e-03 1.012e+05 1.007e+05 4.702e+02 +4.392e+04 +5.730e+04 1.283e+01 4.181e+34 3.749e+04 1.766e+10 1.000e-20 +1.764e+10 4.392e+04 9.988e-01 
1.2960e-03 9.020e+04 8.974e+04 4.604e+02 +4.214e+04 +4.807e+04 1.281e+01 3.929e+34 4.074e+04 2.086e+10 1.000e-20 +2.084e+10 4.214e+04 9.988e-01 
1.4440e-03 8.087e+04 8.042e+04 4.505e+02 +4.038e+04 +4.050e+04 1.279e+01 3.686e+34 4.397e+04 2.429e+10 1.000e-20 +2.427e+10 4.038e+04 9.988e-01 
1.6000e-03 7.290e+04 7.246e+04 4.407e+02 +3.866e+04 +3.425e+04 1.277e+01 3.453e+34 4.715e+04 2.794e+10 1.000e-20 +2.791e+10 3.866e+04 9.989e-01 
1.7640e-03 6.605e+04 6.561e+04 4.309e+02 +3.698e+04 +2.907e+04 1.275e+01 3.231e+34 5.029e+04 3.178e+10 1.000e-20 +3.174e+10 3.698e+04 9.989e-01 
1.9360e-03 6.010e+04 5.968e+04 4.211e+02 +3.536e+04 +2.475e+04 1.273e+01 3.020e+34 5.336e+04 3.578e+10 1.000e-20 +3.574e+10 3.536e+04 9.989e-01 
2.1160e-03 5.491e+04 5.450e+04 4.115e+02 +3.378e+04 +2.114e+04 1.270e+01 2.820e+34 5.636e+04 3.992e+10 1.000e-20 +3.988e+10 3.378e+04 9.989e-01 
2.3040e-03 5.036e+04 4.995e+04 4.020e+02 +3.226e+04 +1.810e+04 1.268e+01 2.632e+34 5.929e+04 4.417e+10 1.000e-20 +4.413e+10 3.226e+04 9.989e-01 
2.5000e-03 4.634e+04 4.594e+04 3.926e+02 +3.080e+04 +1.554e+04 1.265e+01 2.455e+34 6.213e+04 4.852e+10 1.000e-20 +4.847e+10 3.080e+04 9.990e-01 
2.7040e-03 4.277e+04 4.239e+04 3.835e+02 +2.940e+04 +1.338e+04 1.262e+01 2.290e+34 6.490e+04 5.292e+10 1.000e-20 +5.287e+10 2.940e+04 9.990e-01 
2.9160e-03 3.959e+04 3.922e+04 3.744e+02 +2.806e+04 +1.155e+04 1.260e+01 2.135e+34 6.757e+04 5.738e+10 1.000e-20 +5.732e+10 2.806e+04 9.990e-01 
3.1360e-03 3.675e+04 3.638e+04 3.656e+02 +2.677e+04 +9.987e+03 1.257e+01 1.990e+34 7.016e+04 6.186e+10 1.000e-20 +6.180e+10 2.677e+04 9.990e-01 
3.3640e-03 3.420e+04 3.384e+04 3.570e+02 +2.554e+04 +8.658e+03 1.254e+01 1.855e+34 7.266e+04 6.635e+10 1.000e-20 +6.628e+10 2.554e+04 9.991e-01 
3.6000e-03 3.189e+04 3.154e+04 3.486e+02 +2.438e+04 +7.523e+03 1.251e+01 1.729e+34 7.507e+04 7.083e+10 1.000e-20 +7.076e+10 2.438e+04 9.991e-01 
3.8440e-03 2.981e+04 2.947e+04 3.404e+02 +2.326e+04 +6.551e+03 1.248e+01 1.612e+34 7.740e+04 7.529e+10 1.000e-20 +7.522e+10 2.326e+04 9.991e-01 
4.0960e-03 2.791e+04 2.758e+04 3.324e+02 +2.220e+04 +5.717e+03 1.244e+01 1.503e+34 7.964e+04 7.971e+10 1.000e-20 +7.964e+10 2.220e+04 9.991e-01 
4.3560e-03 2.619e+04 2.587e+04 3.246e+02 +2.120e+04 +5.000e+03 1.241e+01 1.402e+34 8.180e+04 8.409e+10 1.000e-20 +8.402e+10 2.120e+04 9.992e-01 
4.6240e-03 2.462e+04 2.430e+04 3.171e+02 +2.024e+04 +4.382e+03 1.238e+01 1.308e+34 8.388e+04 8.842e+10 1.000e-20 +8.835e+10 2.024e+04 9.992e-01 
4.9000e-03 2.318e+04 2.287e+04 3.097e+02 +1.933e+04 +3.849e+03 1.234e+01 1.221e+34 8.588e+04 9.269e+10 1.000e-20 +9.262e+10 1.933e+04 9.992e-01 
5.1840e-03 2.185e+04 2.155e+04 3.026e+02 +1.847e+04 +3.388e+03 1.231e+01 1.141e+34 8.781e+04 9.689e+10 1.000e-20 +9.682e+10 1.847e+04 9.993e-01 
5.4760e-03 2.064e+04 2.034e+04 2.957e+02 +1.766e+04 +2.988e+03 1.227e+01 1.066e+34 8.966e+04 1.010e+11 1.000e-20 +1.010e+11 1.766e+04 9.993e-01 
5.7760e-03 1.952e+04 1.923e+04 2.890e+02 +1.688e+04 +2.641e+03 1.223e+01 9.964e+33 9.145e+04 1.051e+11 1.000e-20 +1.050e+11 1.688e+04 9.994e-01 
