# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=7.231e-11, Err(n_e)=1.204e-11, Err(IET)=9.912e-13, Q_net=-1.702e-10
# {"name":"Li", "Z":3, "Zstar":0.7499826862649599, "A":6.941,  "μ[AU]": 9.2684353114e-02, "Te[AU]": 1.984e-03, "Ti[AU]": 3.675e-01, "rs[AU]": 3.308e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   3.307912e-02             nan    1.653729e+01    0.000000e+00
   6.615824e-02             nan    8.035386e+00    3.152927e-10
   9.923735e-02             nan    5.202173e+00    7.421623e-07
   1.323165e-01             nan    3.785825e+00    3.501603e-05
   1.653956e-01             nan    2.936530e+00    3.530911e-04
   1.984747e-01             nan    2.370654e+00    1.646483e-03
   2.315538e-01             nan    1.966884e+00    4.939042e-03
   2.646329e-01             nan    1.664379e+00    1.124718e-02
   2.977121e-01             nan    1.429476e+00    2.130799e-02
   3.307912e-01             nan    1.241866e+00    3.549282e-02
   3.638703e-01             nan    1.088713e+00    5.382800e-02
   3.969494e-01             nan    9.613832e-01    7.609339e-02
   4.300285e-01             nan    8.539627e-01    1.018938e-01
   4.631077e-01             nan    7.621726e-01    1.307575e-01
   4.961868e-01             nan    6.829200e-01    1.621660e-01
   5.292659e-01             nan    6.138453e-01    1.956212e-01
   5.623450e-01             nan    5.531781e-01    2.306362e-01
   5.954241e-01             nan    4.995105e-01    2.667835e-01
   6.285032e-01             nan    4.517577e-01    3.036637e-01
   6.615824e-01             nan    4.090273e-01    3.409449e-01
   6.946615e-01             nan    3.706184e-01    3.783221e-01
   7.277406e-01             nan    3.359373e-01    4.155540e-01
   7.608197e-01             nan    3.045116e-01    4.524184e-01
   7.938988e-01             nan    2.759306e-01    4.887491e-01
   8.269780e-01             nan    2.498645e-01    5.243906e-01
   8.600571e-01             nan    2.260200e-01    5.592348e-01
   8.931362e-01             nan    2.041598e-01    5.931775e-01
   9.262153e-01             nan    1.840685e-01    6.261543e-01
   9.592944e-01             nan    1.655715e-01    6.580991e-01
   9.923735e-01             nan    1.485066e-01    6.889796e-01
   1.025453e+00             nan    1.327424e-01    7.187578e-01
   1.058532e+00             nan    1.181547e-01    7.474243e-01
   1.091611e+00             nan    1.046425e-01    7.749611e-01
   1.124690e+00             nan    9.210872e-02    8.013752e-01
   1.157769e+00             nan    8.047483e-02    8.266629e-01
   1.190848e+00             nan    6.966373e-02    8.508424e-01
   1.223927e+00             nan    5.961332e-02    8.739201e-01
   1.257006e+00             nan    5.026153e-02    8.959216e-01
   1.290086e+00             nan    4.155865e-02    9.168601e-01
   1.323165e+00             nan    3.345407e-02    9.367659e-01
   1.356244e+00             nan    2.590752e-02    9.556569e-01
   1.389323e+00             nan    1.887728e-02    9.735661e-01
   1.422402e+00             nan    1.233038e-02    9.905142e-01
   1.455481e+00             nan    6.232044e-03    1.006536e+00
