# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# Convergence: Err(φ)=7.231e-11, Err(n_e)=1.204e-11, Err(IET)=9.912e-13, Q_net=-1.702e-10
# {"name":"CS2014_Li", "Z":3, "Zstar":0.7499826862649599, "A":6.941,  "μ[AU]": 9.2684353114e-02, "Te[AU]": 1.984e-03, "Ti[AU]": 3.675e-01, "rs[AU]": 3.308e+00 }
   r[AU]           ne_full[AU]     n_ion[AU]       ne_ext[AU]      ne_PA[AU]       ne_scr[AU]      
   1.000000e-04    4.981058e+05    4.981031e+05    1.272579e-23    4.981058e+05    2.736886e+00
   1.006378e-04    4.933830e+05    4.933802e+05    1.272579e-23    4.933830e+05    2.786289e+00
   1.012797e-04    4.887049e+05    4.887022e+05    1.272579e-23    4.887049e+05    2.738947e+00
   1.019256e-04    4.840711e+05    4.840685e+05    1.272579e-23    4.840711e+05    2.667641e+00
   1.025757e-04    4.794815e+05    4.794787e+05    1.272579e-23    4.794815e+05    2.809284e+00
   1.032300e-04    4.749350e+05    4.749325e+05    1.272579e-23    4.749350e+05    2.535546e+00
   1.038884e-04    4.704320e+05    4.704293e+05    1.272579e-23    4.704320e+05    2.695379e+00
   1.045510e-04    4.659716e+05    4.659689e+05    1.272579e-23    4.659716e+05    2.638656e+00
   1.052178e-04    4.615533e+05    4.615508e+05    1.272579e-23    4.615533e+05    2.434225e+00
   1.058889e-04    4.571774e+05    4.571746e+05    1.272579e-23    4.571774e+05    2.801580e+00
   1.065643e-04    4.528423e+05    4.528399e+05    1.272579e-23    4.528423e+05    2.416469e+00
   1.072439e-04    4.485489e+05    4.485463e+05    1.272579e-23    4.485489e+05    2.606414e+00
   1.079279e-04    4.442961e+05    4.442934e+05    1.272579e-23    4.442961e+05    2.623107e+00
   1.086163e-04    4.400834e+05    4.400809e+05    1.272579e-23    4.400834e+05    2.473132e+00
   1.093091e-04    4.359110e+05    4.359083e+05    1.272579e-23    4.359110e+05    2.690980e+00
   1.100063e-04    4.317778e+05    4.317753e+05    1.272579e-23    4.317778e+05    2.541372e+00
