# All units in [AU] if not specified
{"name":"Aluminum", "Z":13, "Zstar":3, "A":28,  "μ[AU]": 7.855e-02, "T[AU]": 3.675e-02, "rs[AU]": 3.000e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
    9.00000e-03     3.54272e+03     0.00000e+00     0.00000e+00     0.00000e+00    -4.10466e+01     1.40196e+03    -1.51599e+01
    1.80000e-02     1.47784e+03     0.00000e+00     0.00000e+00     0.00000e+00    -4.10466e+01     6.79731e+02    -1.13547e+01
    2.70000e-02     8.28951e+02     0.00000e+00     0.00000e+00     0.00000e+00    -4.02435e+01     4.39794e+02    -9.38237e+00
    3.60000e-02     5.34437e+02     0.00000e+00     0.00000e+00     0.00000e+00    -3.92448e+01     3.20422e+02    -8.11883e+00
    4.50000e-02     3.74473e+02     0.00000e+00     0.00000e+00     0.00000e+00    -3.82177e+01     2.49227e+02    -7.22191e+00
    5.40000e-02     2.77380e+02     0.00000e+00     0.00000e+00     0.00000e+00    -3.72174e+01     2.02079e+02    -6.54335e+00
    6.30000e-02     2.13789e+02     0.00000e+00     0.00000e+00     0.00000e+00    -3.62614e+01     1.68643e+02    -6.00703e+00
    7.20000e-02     1.69757e+02     0.00000e+00     0.00000e+00     0.00000e+00    -3.53541e+01     1.43757e+02    -5.56926e+00
    8.10000e-02     1.37953e+02     0.00000e+00     0.00000e+00     0.00000e+00    -3.44947e+01     1.24554e+02    -5.20311e+00
    9.00000e-02     1.14205e+02     0.00000e+00     0.00000e+00     0.00000e+00    -3.36808e+01     1.09319e+02    -4.89093e+00
    9.90000e-02     9.59898e+01     0.00000e+00     0.00000e+00     0.00000e+00    -3.29091e+01     9.69596e+01    -4.62058e+00
    1.08000e-01     8.17076e+01     0.00000e+00     0.00000e+00     0.00000e+00    -3.21763e+01     8.67496e+01    -4.38347e+00
    1.17000e-01     7.03003e+01     0.00000e+00     0.00000e+00     0.00000e+00    -3.14794e+01     7.81873e+01    -4.17330e+00
    1.26000e-01     6.10451e+01     0.00000e+00     0.00000e+00     0.00000e+00    -3.08156e+01     7.09146e+01    -3.98531e+00
    1.35000e-01     5.34338e+01     0.00000e+00     0.00000e+00     0.00000e+00    -3.01822e+01     6.46696e+01    -3.81585e+00
    1.44000e-01     4.71010e+01     0.00000e+00     0.00000e+00     0.00000e+00    -2.95770e+01     5.92563e+01    -3.66208e+00
    1.53000e-01     4.17776e+01     0.00000e+00     0.00000e+00     0.00000e+00    -2.89978e+01     5.45251e+01    -3.52173e+00
    1.62000e-01     3.72618e+01     0.00000e+00     0.00000e+00     0.00000e+00    -2.84427e+01     5.03597e+01    -3.39296e+00
    1.71000e-01     3.33998e+01     0.00000e+00     0.00000e+00     0.00000e+00    -2.79102e+01     4.66688e+01    -3.27427e+00
    1.80000e-01     3.00732e+01     0.00000e+00     0.00000e+00     0.00000e+00    -2.73985e+01     4.33793e+01    -3.16444e+00
    1.89000e-01     2.71887e+01     0.00000e+00     0.00000e+00     0.00000e+00    -2.69065e+01     4.04322e+01    -3.06242e+00
    1.98000e-01     2.46727e+01     0.00000e+00     0.00000e+00     0.00000e+00    -2.64327e+01     3.77794e+01    -2.96733e+00
    2.07000e-01     2.24663e+01     0.00000e+00     0.00000e+00     0.00000e+00    -2.59761e+01     3.53814e+01    -2.87845e+00
    2.16000e-01     2.05217e+01     0.00000e+00     0.00000e+00     0.00000e+00    -2.55356e+01     3.32052e+01    -2.79514e+00
    2.25000e-01     1.88001e+01     0.00000e+00     0.00000e+00     0.00000e+00    -2.51102e+01     3.12231e+01    -2.71684e+00
    2.34000e-01     1.72694e+01     0.00000e+00     0.00000e+00     0.00000e+00    -2.46992e+01     2.94119e+01    -2.64309e+00
    2.43000e-01     1.59031e+01     0.00000e+00     0.00000e+00     0.00000e+00    -2.43017e+01     2.77518e+01    -2.57347e+00
    2.52000e-01     1.46793e+01     0.00000e+00     0.00000e+00     0.00000e+00    -2.39170e+01     2.62259e+01    -2.50762e+00
    2.61000e-01     1.35792e+01     0.00000e+00     0.00000e+00     0.00000e+00    -2.35444e+01     2.48196e+01    -2.44521e+00
    2.70000e-01     1.25873e+01     0.00000e+00     0.00000e+00     0.00000e+00    -2.31832e+01     2.35205e+01    -2.38596e+00
    2.79000e-01     1.16902e+01     0.00000e+00     0.00000e+00     0.00000e+00    -2.28329e+01     2.23176e+01    -2.32963e+00
    2.88000e-01     1.08768e+01     0.00000e+00     0.00000e+00     0.00000e+00    -2.24930e+01     2.12015e+01    -2.27598e+00
    2.97000e-01     1.01372e+01     0.00000e+00     0.00000e+00     0.00000e+00    -2.21630e+01     2.01636e+01    -2.22482e+00
    3.06000e-01     9.46309e+00     0.00000e+00     0.00000e+00     0.00000e+00    -2.18424e+01     1.91968e+01    -2.17597e+00
    3.15000e-01     8.84726e+00     0.00000e+00     0.00000e+00     0.00000e+00    -2.15307e+01     1.82947e+01    -2.12925e+00
    3.24000e-01     8.28345e+00     0.00000e+00     0.00000e+00     0.00000e+00    -2.12275e+01     1.74515e+01    -2.08453e+00
    3.33000e-01     7.76619e+00     0.00000e+00     0.00000e+00     0.00000e+00    -2.09326e+01     1.66620e+01    -2.04167e+00
    3.42000e-01     7.29072e+00     0.00000e+00     0.00000e+00     0.00000e+00    -2.06455e+01     1.59218e+01    -2.00055e+00
    3.51000e-01     6.85284e+00     0.00000e+00     0.00000e+00     0.00000e+00    -2.03658e+01     1.52268e+01    -1.96106e+00
    3.60000e-01     6.44887e+00     0.00000e+00     0.00000e+00     0.00000e+00    -2.00934e+01     1.45732e+01    -1.92310e+00
    3.69000e-01     6.07555e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.98278e+01     1.39581e+01    -1.88657e+00
    3.78000e-01     5.73000e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.95688e+01     1.33783e+01    -1.85140e+00
    3.87000e-01     5.40967e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.93162e+01     1.28311e+01    -1.81749e+00
    3.96000e-01     5.11228e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.90697e+01     1.23141e+01    -1.78479e+00
    4.05000e-01     4.83580e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.88290e+01     1.18253e+01    -1.75322e+00
    4.14000e-01     4.57842e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.85940e+01     1.13625e+01    -1.72273e+00
    4.23000e-01     4.33852e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.83644e+01     1.09240e+01    -1.69325e+00
    4.32000e-01     4.11463e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.81401e+01     1.05080e+01    -1.66473e+00
    4.41000e-01     3.90543e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.79208e+01     1.01132e+01    -1.63713e+00
    4.50000e-01     3.70976e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.77064e+01     9.73805e+00    -1.61041e+00
    4.59000e-01     3.52652e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.74967e+01     9.38130e+00    -1.58450e+00
    4.68000e-01     3.35475e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.72916e+01     9.04176e+00    -1.55939e+00
    4.77000e-01     3.19357e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.70908e+01     8.71842e+00    -1.53502e+00
    4.86000e-01     3.04218e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.68943e+01     8.41020e+00    -1.51137e+00
    4.95000e-01     2.89986e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.67019e+01     8.11635e+00    -1.48841e+00
    5.04000e-01     2.76593e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.65134e+01     7.83583e+00    -1.46610e+00
    5.13000e-01     2.63980e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.63288e+01     7.56788e+00    -1.44441e+00
    5.22000e-01     2.52090e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.61479e+01     7.31181e+00    -1.42332e+00
    5.31000e-01     2.40874e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.59707e+01     7.06703e+00    -1.40280e+00
    5.40000e-01     2.30285e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.57969e+01     6.83273e+00    -1.38284e+00
    5.49000e-01     2.20280e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.56265e+01     6.60844e+00    -1.36340e+00
    5.58000e-01     2.10820e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.54594e+01     6.39361e+00    -1.34446e+00
    5.67000e-01     2.01869e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.52955e+01     6.18773e+00    -1.32601e+00
    5.76000e-01     1.93393e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.51347e+01     5.99031e+00    -1.30802e+00
    5.85000e-01     1.85362e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.49770e+01     5.80079e+00    -1.29049e+00
    5.94000e-01     1.77748e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.48221e+01     5.61895e+00    -1.27338e+00
    6.03000e-01     1.70524e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.46701e+01     5.44440e+00    -1.25669e+00
    6.12000e-01     1.63667e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.45208e+01     5.27663e+00    -1.24040e+00
    6.21000e-01     1.57153e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.43742e+01     5.11529e+00    -1.22450e+00
    6.30000e-01     1.50962e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.42302e+01     4.96022e+00    -1.20897e+00
    6.39000e-01     1.45074e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.40888e+01     4.81099e+00    -1.19379e+00
    6.48000e-01     1.39472e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.39499e+01     4.66740e+00    -1.17897e+00
    6.57000e-01     1.34139e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.38133e+01     4.52914e+00    -1.16447e+00
    6.66000e-01     1.29059e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.36791e+01     4.39602e+00    -1.15030e+00
    6.75000e-01     1.24218e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.35472e+01     4.26766e+00    -1.13645e+00
    6.84000e-01     1.19602e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.34175e+01     4.14392e+00    -1.12289e+00
    6.93000e-01     1.15198e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.32899e+01     4.02461e+00    -1.10962e+00
    7.02000e-01     1.10995e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.31645e+01     3.90962e+00    -1.09664e+00
    7.11000e-01     1.06982e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.30411e+01     3.79849e+00    -1.08393e+00
    7.20000e-01     1.03149e+00     0.00000e+00     0.00000e+00     0.00000e+00    -1.29198e+01     3.69130e+00    -1.07149e+00
    7.29000e-01     9.94854e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.28004e+01     3.58785e+00    -1.05930e+00
    7.38000e-01     9.59827e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.26829e+01     3.48780e+00    -1.04737e+00
    7.47000e-01     9.26323e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.25673e+01     3.39117e+00    -1.03567e+00
    7.56000e-01     8.94263e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.24535e+01     3.29784e+00    -1.02421e+00
    7.65000e-01     8.63571e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.23415e+01     3.20754e+00    -1.01297e+00
    7.74000e-01     8.34178e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.22312e+01     3.12026e+00    -1.00196e+00
    7.83000e-01     8.06018e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.21226e+01     3.03574e+00    -9.91156e-01
    7.92000e-01     7.79030e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.20157e+01     2.95400e+00    -9.80563e-01
    8.01000e-01     7.53156e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.19104e+01     2.87496e+00    -9.70172e-01
    8.10000e-01     7.28340e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.18066e+01     2.79835e+00    -9.59977e-01
    8.19000e-01     7.04531e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.17044e+01     2.72410e+00    -9.49974e-01
    8.28000e-01     6.81679e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.16038e+01     2.65226e+00    -9.40155e-01
    8.37000e-01     6.59740e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.15046e+01     2.58269e+00    -9.30518e-01
    8.46000e-01     6.38669e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.14068e+01     2.51521e+00    -9.21057e-01
    8.55000e-01     6.18425e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.13105e+01     2.44978e+00    -9.11766e-01
    8.64000e-01     5.98970e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.12155e+01     2.38635e+00    -9.02642e-01
    8.73000e-01     5.80267e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.11219e+01     2.32477e+00    -8.93680e-01
    8.82000e-01     5.62281e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.10297e+01     2.26512e+00    -8.84875e-01
    8.91000e-01     5.44980e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.09387e+01     2.20724e+00    -8.76225e-01
    9.00000e-01     5.28333e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.08490e+01     2.15099e+00    -8.67725e-01
    9.09000e-01     5.12311e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.07605e+01     2.09644e+00    -8.59372e-01
    9.18000e-01     4.96884e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.06733e+01     2.04346e+00    -8.51160e-01
    9.27000e-01     4.82029e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.05873e+01     1.99202e+00    -8.43089e-01
    9.36000e-01     4.67718e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.05024e+01     1.94209e+00    -8.35152e-01
    9.45000e-01     4.53929e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.04186e+01     1.89352e+00    -8.27349e-01
    9.54000e-01     4.40640e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.03360e+01     1.84631e+00    -8.19675e-01
    9.63000e-01     4.27828e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.02545e+01     1.80053e+00    -8.12127e-01
    9.72000e-01     4.15474e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.01741e+01     1.75595e+00    -8.04703e-01
    9.81000e-01     4.03558e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.00947e+01     1.71265e+00    -7.97400e-01
    9.90000e-01     3.92061e-01     0.00000e+00     0.00000e+00     0.00000e+00    -1.00164e+01     1.67051e+00    -7.90214e-01
    9.99000e-01     3.80968e-01     0.00000e+00     0.00000e+00     0.00000e+00    -9.93904e+00     1.62953e+00    -7.83143e-01
    1.00800e+00     3.70260e-01     0.00000e+00     0.00000e+00     0.00000e+00    -9.86271e+00     1.58967e+00    -7.76186e-01
    1.01700e+00     3.59923e-01     0.00000e+00     0.00000e+00     0.00000e+00    -9.78736e+00     1.55089e+00    -7.69338e-01
    1.02600e+00     3.49940e-01     0.00000e+00     0.00000e+00     0.00000e+00    -9.71296e+00     1.51316e+00    -7.62598e-01
    1.03500e+00     3.40299e-01     0.00000e+00     0.00000e+00     0.00000e+00    -9.63951e+00     1.47643e+00    -7.55965e-01
    1.04400e+00     3.30984e-01     0.00000e+00     0.00000e+00     0.00000e+00    -9.56698e+00     1.44068e+00    -7.49433e-01
    1.05300e+00     3.21983e-01     0.00000e+00     0.00000e+00     0.00000e+00    -9.49536e+00     1.40588e+00    -7.43003e-01
    1.06200e+00     3.13283e-01     0.00000e+00     0.00000e+00     0.00000e+00    -9.42462e+00     1.37199e+00    -7.36671e-01
    1.07100e+00     3.04873e-01     0.00000e+00     0.00000e+00     0.00000e+00    -9.35476e+00     1.33899e+00    -7.30436e-01
    1.08000e+00     2.96741e-01     0.00000e+00     0.00000e+00     0.00000e+00    -9.28576e+00     1.30683e+00    -7.24295e-01
    1.08900e+00     2.88877e-01     0.00000e+00     0.00000e+00     0.00000e+00    -9.21759e+00     1.27552e+00    -7.18247e-01
    1.09800e+00     2.81271e-01     0.00000e+00     0.00000e+00     0.00000e+00    -9.15025e+00     1.24502e+00    -7.12291e-01
    1.10700e+00     2.73911e-01     0.00000e+00     0.00000e+00     0.00000e+00    -9.08373e+00     1.21528e+00    -7.06423e-01
    1.11600e+00     2.66790e-01     0.00000e+00     0.00000e+00     0.00000e+00    -9.01799e+00     1.18631e+00    -7.00643e-01
    1.12500e+00     2.59897e-01     0.00000e+00     0.00000e+00     0.00000e+00    -8.95304e+00     1.15808e+00    -6.94947e-01
    1.13400e+00     2.53225e-01     0.00000e+00     0.00000e+00     0.00000e+00    -8.88886e+00     1.13054e+00    -6.89336e-01
    1.14300e+00     2.46765e-01     0.00000e+00     0.00000e+00     0.00000e+00    -8.82544e+00     1.10369e+00    -6.83807e-01
    1.15200e+00     2.40509e-01     0.00000e+00     0.00000e+00     0.00000e+00    -8.76275e+00     1.07753e+00    -6.78358e-01
    1.16100e+00     2.34450e-01     0.00000e+00     0.00000e+00     0.00000e+00    -8.70080e+00     1.05200e+00    -6.72989e-01
    1.17000e+00     2.28581e-01     0.00000e+00     0.00000e+00     0.00000e+00    -8.63956e+00     1.02711e+00    -6.67697e-01
    1.17900e+00     2.22893e-01     0.00000e+00     0.00000e+00     0.00000e+00    -8.57902e+00     1.00283e+00    -6.62480e-01
    1.18800e+00     2.17382e-01     0.00000e+00     0.00000e+00     0.00000e+00    -8.51918e+00     9.79133e-01    -6.57339e-01
    1.19700e+00     2.12040e-01     0.00000e+00     0.00000e+00     0.00000e+00    -8.46002e+00     9.56021e-01    -6.52270e-01
    1.20600e+00     2.06862e-01     0.00000e+00     0.00000e+00     0.00000e+00    -8.40152e+00     9.33469e-01    -6.47274e-01
    1.21500e+00     2.01841e-01     0.00000e+00     0.00000e+00     0.00000e+00    -8.34369e+00     9.11453e-01    -6.42347e-01
    1.22400e+00     1.96971e-01     0.00000e+00     0.00000e+00     0.00000e+00    -8.28650e+00     8.89976e-01    -6.37489e-01
    1.23300e+00     1.92249e-01     0.00000e+00     0.00000e+00     0.00000e+00    -8.22994e+00     8.68997e-01    -6.32700e-01
    1.24200e+00     1.87668e-01     0.00000e+00     0.00000e+00     0.00000e+00    -8.17402e+00     8.48530e-01    -6.27977e-01
    1.25100e+00     1.83223e-01     0.00000e+00     0.00000e+00     0.00000e+00    -8.11870e+00     8.28542e-01    -6.23318e-01
    1.26000e+00     1.78910e-01     0.00000e+00     0.00000e+00     0.00000e+00    -8.06399e+00     8.09019e-01    -6.18725e-01
    1.26900e+00     1.74724e-01     0.00000e+00     0.00000e+00     0.00000e+00    -8.00988e+00     7.89958e-01    -6.14194e-01
    1.27800e+00     1.70661e-01     0.00000e+00     0.00000e+00     0.00000e+00    -7.95635e+00     7.71346e-01    -6.09725e-01
    1.28700e+00     1.66717e-01     0.00000e+00     0.00000e+00     0.00000e+00    -7.90340e+00     7.53161e-01    -6.05318e-01
    1.29600e+00     1.62887e-01     0.00000e+00     0.00000e+00     0.00000e+00    -7.85101e+00     7.35409e-01    -6.00969e-01
    1.30500e+00     1.59167e-01     0.00000e+00     0.00000e+00     0.00000e+00    -7.79919e+00     7.18049e-01    -5.96679e-01
    1.31400e+00     1.55554e-01     0.00000e+00     0.00000e+00     0.00000e+00    -7.74791e+00     7.01097e-01    -5.92446e-01
    1.32300e+00     1.52045e-01     0.00000e+00     0.00000e+00     0.00000e+00    -7.69717e+00     6.84534e-01    -5.88271e-01
    1.33200e+00     1.48635e-01     0.00000e+00     0.00000e+00     0.00000e+00    -7.64697e+00     6.68345e-01    -5.84151e-01
    1.34100e+00     1.45322e-01     0.00000e+00     0.00000e+00     0.00000e+00    -7.59728e+00     6.52530e-01    -5.80085e-01
    1.35000e+00     1.42102e-01     0.00000e+00     0.00000e+00     0.00000e+00    -7.54812e+00     6.37067e-01    -5.76073e-01
    1.35900e+00     1.38973e-01     0.00000e+00     0.00000e+00     0.00000e+00    -7.49946e+00     6.21955e-01    -5.72115e-01
    1.36800e+00     1.35930e-01     0.00000e+00     0.00000e+00     0.00000e+00    -7.45130e+00     6.07182e-01    -5.68207e-01
    1.37700e+00     1.32972e-01     0.00000e+00     0.00000e+00     0.00000e+00    -7.40363e+00     5.92738e-01    -5.64351e-01
    1.38600e+00     1.30096e-01     0.00000e+00     0.00000e+00     0.00000e+00    -7.35645e+00     5.78621e-01    -5.60546e-01
    1.39500e+00     1.27299e-01     0.00000e+00     0.00000e+00     0.00000e+00    -7.30974e+00     5.64809e-01    -5.56789e-01
    1.40400e+00     1.24578e-01     0.00000e+00     0.00000e+00     0.00000e+00    -7.26351e+00     5.51313e-01    -5.53081e-01
    1.41300e+00     1.21932e-01     0.00000e+00     0.00000e+00     0.00000e+00    -7.21773e+00     5.38102e-01    -5.49422e-01
    1.42200e+00     1.19357e-01     0.00000e+00     0.00000e+00     0.00000e+00    -7.17242e+00     5.25195e-01    -5.45808e-01
    1.43100e+00     1.16851e-01     0.00000e+00     0.00000e+00     0.00000e+00    -7.12755e+00     5.12562e-01    -5.42241e-01
    1.44000e+00     1.14413e-01     0.00000e+00     0.00000e+00     0.00000e+00    -7.08312e+00     5.00212e-01    -5.38720e-01
    1.44900e+00     1.12040e-01     0.00000e+00     0.00000e+00     0.00000e+00    -7.03913e+00     4.88125e-01    -5.35243e-01
