# All units in [AU] if not specified
{"name":"Aluminum", "Z":13, "Zstar":4.240748122683352, "A":28,  "μ[AU]": 1.519e-01, "T[AU]": 3.675e-02, "rs[AU]": 3.000e+00 }
	 r[AU]  	 n[AU]  	 nf[AU]  	 nb[AU]     n_ion[AU]    (φ_e+φ_ions)[AU]   φtotal[AU]     δVxc/δρ[Au]  
    9.00000e-03     5.10163e+03     2.89290e+00     5.09872e+03     0.00000e+00    -4.21141e+01     1.40090e+03    -1.71047e+01
    1.80000e-02     1.73435e+03     2.01883e+00     1.73233e+03     0.00000e+00    -4.21141e+01     6.78663e+02    -1.19711e+01
    2.70000e-02     9.07849e+02     1.62685e+00     9.06214e+02     0.00000e+00    -4.11861e+01     4.38851e+02    -9.66795e+00
    3.60000e-02     5.67530e+02     1.39089e+00     5.66133e+02     0.00000e+00    -4.00713e+01     3.19596e+02    -8.28108e+00
    4.50000e-02     3.91215e+02     1.22852e+00     3.89980e+02     0.00000e+00    -3.89480e+01     2.48496e+02    -7.32656e+00
    5.40000e-02     2.86966e+02     1.10782e+00     2.85853e+02     0.00000e+00    -3.78691e+01     2.01428e+02    -6.61681e+00
    6.30000e-02     2.19761e+02     1.01342e+00     2.18743e+02     0.00000e+00    -3.68485e+01     1.68056e+02    -6.06160e+00
    7.20000e-02     1.73717e+02     9.36908e-01     1.72775e+02     0.00000e+00    -3.58872e+01     1.43224e+02    -5.61154e+00
    8.10000e-02     1.40700e+02     8.73217e-01     1.39822e+02     0.00000e+00    -3.49823e+01     1.24066e+02    -5.23684e+00
    9.00000e-02     1.16182e+02     8.19110e-01     1.15359e+02     0.00000e+00    -3.41293e+01     1.08871e+02    -4.91848e+00
    9.90000e-02     9.74514e+01     7.72377e-01     9.66754e+01     0.00000e+00    -3.33238e+01     9.65449e+01    -4.64348e+00
    1.08000e-01     8.28126e+01     7.31475e-01     8.20778e+01     0.00000e+00    -3.25614e+01     8.63645e+01    -4.40276e+00
    1.17000e-01     7.11510e+01     6.95280e-01     7.04525e+01     0.00000e+00    -3.18385e+01     7.78282e+01    -4.18973e+00
