# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=8.897e-10, Err(IET)=9.990e-13, Q_net=2.195e-08
# {"name":"Al1", "Z":13, "Zstar":3.3993472014291797, "A":26.981539,  "μ[AU]": 3.5821102530e-01, "Te[AU]": 1.837e-02, "Ti[AU]": 1.837e-02, "rs[AU]": 2.990e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-03    2.710807e+04    3.394509e+00    2.710467e+04    0.000000e+00    4.295898e+03   -2.235588e+01    1.195543e+01    2.430373e+03   4.156217e-277
   5.980213e-03    9.451808e+03    2.380163e+00    9.449427e+03    0.000000e+00    2.123390e+03   -1.577472e+01    9.803997e+00    1.947184e+03    0.000000e+00
   8.970320e-03    5.073214e+03    1.931642e+00    5.071282e+03    0.000000e+00    1.399958e+03   -1.284459e+01    8.763724e+00    1.463995e+03  -8.312435e-278
   1.196043e-02    3.249428e+03    1.665215e+00    3.247763e+03    0.000000e+00    1.038670e+03   -1.108784e+01    8.110015e+00    9.808061e+02    0.000000e+00
   1.495053e-02    2.293142e+03    1.482276e+00    2.291659e+03    0.000000e+00    8.221908e+02   -9.885202e+00    7.642037e+00    8.196739e+02   8.312435e-278
   1.794064e-02    1.720719e+03    1.346536e+00    1.719373e+03    0.000000e+00    6.780864e+02   -8.993211e+00    7.283292e+00    6.585418e+02    0.000000e+00
   2.093075e-02    1.347117e+03    1.240752e+00    1.345876e+03    0.000000e+00    5.753210e+02   -8.296582e+00    6.995681e+00    5.779210e+02  -2.493730e-277
   2.392085e-02    1.087922e+03    1.155345e+00    1.086767e+03    0.000000e+00    4.983794e+02   -7.733764e+00    6.758113e+00    4.973002e+02    0.000000e+00
   2.691096e-02    8.997305e+02    1.084082e+00    8.986464e+02    0.000000e+00    4.386448e+02   -7.266302e+00    6.555591e+00    4.488870e+02   9.143678e-277
   2.990107e-02    7.581931e+02    1.024214e+00    7.571688e+02    0.000000e+00    3.909481e+02   -6.869234e+00    6.382096e+00    4.004738e+02    0.000000e+00
   3.289117e-02    6.487111e+02    9.718534e-01    6.477392e+02    0.000000e+00    3.520011e+02   -6.526067e+00    6.227948e+00    3.681634e+02  -3.408098e-276
   3.588128e-02    5.620660e+02    9.268119e-01    5.611392e+02    0.000000e+00    3.196121e+02   -6.226814e+00    6.093178e+00    3.358531e+02    0.000000e+00
   3.887139e-02    4.921696e+02    8.866101e-01    4.912830e+02    0.000000e+00    2.922644e+02   -5.961158e+00    5.971114e+00    3.127460e+02   1.271802e-275
   4.186149e-02    4.348711e+02    8.507530e-01    4.340204e+02    0.000000e+00    2.688748e+02   -5.724057e+00    5.860628e+00    2.896389e+02   9.620008e-290
   4.485160e-02    3.872477e+02    8.184433e-01    3.864292e+02    0.000000e+00    2.486495e+02   -5.510693e+00    5.760068e+00    2.722835e+02  -4.746400e-275
   4.784171e-02    3.471903e+02    7.890370e-01    3.464013e+02    0.000000e+00    2.309931e+02   -5.317474e+00    5.667331e+00    2.549281e+02   2.565336e-290
   5.083181e-02    3.131431e+02    7.623723e-01    3.123807e+02    0.000000e+00    2.154507e+02   -5.141229e+00    5.582237e+00    2.414081e+02   1.771380e-274
   5.382192e-02    2.839355e+02    7.378870e-01    2.831976e+02    0.000000e+00    2.016685e+02   -4.979117e+00    5.503259e+00    2.278882e+02   1.282668e-288
   5.681203e-02    2.586744e+02    7.152218e-01    2.579592e+02    0.000000e+00    1.893672e+02   -4.829637e+00    5.429399e+00    2.170529e+02  -6.610879e-274
   5.980213e-02    2.366667e+02    6.943530e-01    2.359724e+02    0.000000e+00    1.783237e+02   -4.691490e+00    5.360709e+00    2.062176e+02   2.052268e-289
   6.279224e-02    2.173660e+02    6.748812e-01    2.166911e+02    0.000000e+00    1.683573e+02   -4.562930e+00    5.295940e+00    1.973355e+02   2.467214e-273
   6.578235e-02    2.003378e+02    6.568069e-01    1.996810e+02    0.000000e+00    1.593202e+02   -4.442643e+00    5.235252e+00    1.884534e+02    0.000000e+00
   6.877245e-02    1.852348e+02    6.398368e-01    1.845950e+02    0.000000e+00    1.510905e+02   -4.330824e+00    5.177696e+00    1.810362e+02  -9.207767e-273
   7.176256e-02    1.717714e+02    6.239180e-01    1.711475e+02    0.000000e+00    1.435666e+02   -4.225574e+00    5.123197e+00    1.736189e+02    0.000000e+00
   7.475267e-02    1.597152e+02    6.088937e-01    1.591063e+02    0.000000e+00    1.366631e+02   -4.126371e+00    5.071542e+00    1.673290e+02   3.436385e-272
   7.774277e-02    1.488743e+02    5.947585e-01    1.482795e+02    0.000000e+00    1.303079e+02   -4.032735e+00    5.022516e+00    1.610391e+02    0.000000e+00
   8.073288e-02    1.390887e+02    5.814683e-01    1.385072e+02    0.000000e+00    1.244395e+02   -3.944221e+00    4.975964e+00    1.556349e+02  -1.282476e-271
