# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=7.850e-10, Err(IET)=9.972e-13, Q_net=-6.808e-08
# {"name":"Al1", "Z":13, "Zstar":3.7760697042786595, "A":26.981539,  "μ[AU]": 3.7135658700e-01, "Te[AU]": 1.837e-02, "Ti[AU]": 1.837e-02, "rs[AU]": 2.990e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-03    2.691312e+04    3.505887e+00    2.690962e+04    0.000000e+00    4.297234e+03    0.000000e+00    1.326340e+01    2.998511e+03  -3.246032e-290
   5.980213e-03    9.358140e+03    2.456578e+00    9.355683e+03    0.000000e+00    2.124717e+03    0.000000e+00    1.093134e+01    2.402297e+03    0.000000e+00
   8.970320e-03    5.012814e+03    1.995323e+00    5.010819e+03    0.000000e+00    1.401274e+03    0.000000e+00    9.803493e+00    1.806082e+03   6.492064e-291
   1.196043e-02    3.205467e+03    1.718636e+00    3.203749e+03    0.000000e+00    1.039975e+03    0.000000e+00    9.084755e+00    1.209868e+03    0.000000e+00
   1.495053e-02    2.258928e+03    1.527519e+00    2.257400e+03    0.000000e+00    8.234863e+02    0.000000e+00    8.565357e+00    1.011048e+03  -6.492064e-291
   1.794064e-02    1.692941e+03    1.388437e+00    1.691552e+03    0.000000e+00    6.793720e+02    0.000000e+00    8.173647e+00    8.122271e+02  -2.848095e-306
   2.093075e-02    1.323890e+03    1.278303e+00    1.322611e+03    0.000000e+00    5.765968e+02    0.000000e+00    7.853753e+00    7.127516e+02   1.947619e-290
   2.392085e-02    1.068074e+03    1.190340e+00    1.066884e+03    0.000000e+00    4.996456e+02    0.000000e+00    7.591880e+00    6.132761e+02   5.696189e-306
   2.691096e-02    8.824846e+02    1.116798e+00    8.813678e+02    0.000000e+00    4.399015e+02    0.000000e+00    7.367724e+00    5.535422e+02  -7.141270e-290
   2.990107e-02    7.430102e+02    1.054544e+00    7.419557e+02    0.000000e+00    3.921955e+02    0.000000e+00    7.173902e+00    4.938083e+02    0.000000e+00
   3.289117e-02    6.352026e+02    1.000579e+00    6.342020e+02    0.000000e+00    3.532393e+02    0.000000e+00    7.002794e+00    4.539442e+02   2.661746e-289
   3.588128e-02    5.499373e+02    9.536240e-01    5.489836e+02    0.000000e+00    3.208413e+02    0.000000e+00    6.851410e+00    4.140800e+02    0.000000e+00
   3.887139e-02    4.812004e+02    9.120306e-01    4.802884e+02    0.000000e+00    2.934847e+02    0.000000e+00    6.714975e+00    3.855719e+02  -9.932858e-289
   4.186149e-02    4.248867e+02    8.749576e-01    4.240117e+02    0.000000e+00    2.700863e+02    0.000000e+00    6.591596e+00    3.570637e+02  -7.655678e-303
   4.485160e-02    3.781089e+02    8.416525e-01    3.772673e+02    0.000000e+00    2.498523e+02    0.000000e+00    6.479317e+00    3.356527e+02   3.706968e-288
   4.784171e-02    3.387844e+02    8.113613e-01    3.379730e+02    0.000000e+00    2.321874e+02    0.000000e+00    6.375751e+00    3.142416e+02  -1.458224e-303
   5.083181e-02    3.053780e+02    7.837072e-01    3.045943e+02    0.000000e+00    2.166366e+02    0.000000e+00    6.279978e+00    2.975631e+02  -1.383459e-287
   5.382192e-02    2.767360e+02    7.584303e-01    2.759776e+02    0.000000e+00    2.028461e+02    0.000000e+00    6.191391e+00    2.808846e+02  -9.915926e-302
   5.681203e-02    2.519766e+02    7.349875e-01    2.512416e+02    0.000000e+00    1.905366e+02    0.000000e+00    6.108309e+00    2.675188e+02   5.163138e-287
   5.980213e-02    2.304162e+02    7.134036e-01    2.297028e+02    0.000000e+00    1.794850e+02    0.000000e+00    6.030991e+00    2.541529e+02  -2.333159e-302
   6.279224e-02    2.115169e+02    6.933397e-01    2.108236e+02    0.000000e+00    1.695106e+02    0.000000e+00    5.958368e+00    2.431971e+02  -1.926909e-286
   6.578235e-02    1.948512e+02    6.745536e-01    1.941767e+02    0.000000e+00    1.604656e+02    0.000000e+00    5.889673e+00    2.322412e+02    0.000000e+00
   6.877245e-02    1.800752e+02    6.570346e-01    1.794182e+02    0.000000e+00    1.522281e+02    0.000000e+00    5.824953e+00    2.230929e+02   7.191324e-286
   7.176256e-02    1.669095e+02    6.406287e-01    1.662689e+02    0.000000e+00    1.446965e+02    0.000000e+00    5.763718e+00    2.139445e+02   3.733054e-301
   7.475267e-02    1.551252e+02    6.251156e-01    1.545001e+02    0.000000e+00    1.377854e+02    0.000000e+00    5.705278e+00    2.061870e+02  -2.683839e-285
   7.774277e-02    1.445333e+02    6.105421e-01    1.439227e+02    0.000000e+00    1.314227e+02    0.000000e+00    5.650078e+00    1.984296e+02  -7.466109e-301
   8.073288e-02    1.349762e+02    5.967497e-01    1.343795e+02    0.000000e+00    1.255469e+02    0.000000e+00    5.597299e+00    1.917651e+02   1.001622e-284
   8.372299e-02    1.263221e+02    5.836933e-01    1.257384e+02    0.000000e+00    1.201055e+02    0.000000e+00    5.546803e+00    1.851006e+02   1.433493e-298
   8.671309e-02    1.184596e+02    5.713003e-01    1.178883e+02    0.000000e+00    1.150530e+02    0.000000e+00    5.498553e+00    1.793108e+02  -3.738105e-284
   8.970320e-02    1.112942e+02    5.595266e-01    1.107347e+02    0.000000e+00    1.103502e+02    0.000000e+00    5.452435e+00    1.735211e+02    0.000000e+00
