# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=9.986e-10, Err(IET)=9.994e-13, Q_net=0.000e+00
# {"name":"Al1", "Z":13, "Zstar":4.1328608539586424, "A":26.981539,  "μ[AU]": 5.2993450870e-01, "Te[AU]": 1.837e-02, "Ti[AU]": 1.837e-02, "rs[AU]": 2.990e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-03    2.710809e+04    5.011401e+00    2.710308e+04    0.000000e+00    4.295745e+03   -2.235589e+01    1.575275e+01    5.732680e+03    0.000000e+00
   5.980213e-03    9.451821e+03    3.518137e+00    9.448303e+03    0.000000e+00    2.123237e+03   -1.577481e+01    1.295233e+01    2.876346e+03    0.000000e+00
   8.970320e-03    5.073228e+03    2.856413e+00    5.070372e+03    0.000000e+00    1.399805e+03   -1.284530e+01    1.159321e+01    1.924136e+03    0.000000e+00
   1.196043e-02    3.249438e+03    2.462317e+00    3.246976e+03    0.000000e+00    1.038517e+03   -1.108796e+01    1.073688e+01    1.447954e+03    0.000000e+00
   1.495053e-02    2.293152e+03    2.191906e+00    2.290960e+03    0.000000e+00    8.220378e+02   -9.885593e+00    1.012445e+01    1.162186e+03    0.000000e+00
   1.794064e-02    1.720729e+03    1.991355e+00    1.718738e+03    0.000000e+00    6.779334e+02   -8.993766e+00    9.654551e+00    9.716238e+02    0.000000e+00
   2.093075e-02    1.347124e+03    1.835013e+00    1.345289e+03    0.000000e+00    5.751680e+02   -8.296670e+00    9.277949e+00    8.354664e+02    0.000000e+00
   2.392085e-02    1.087929e+03    1.708712e+00    1.086220e+03    0.000000e+00    4.982264e+02   -7.733898e+00    8.966209e+00    7.333113e+02    0.000000e+00
   2.691096e-02    8.997390e+02    1.603470e+00    8.981356e+02    0.000000e+00    4.384918e+02   -7.267128e+00    8.700787e+00    6.538256e+02    0.000000e+00
   2.990107e-02    7.581999e+02    1.514773e+00    7.566851e+02    0.000000e+00    3.907952e+02   -6.869627e+00    8.472891e+00    5.902081e+02    0.000000e+00
   3.289117e-02    6.487183e+02    1.437531e+00    6.472808e+02    0.000000e+00    3.518482e+02   -6.526728e+00    8.270760e+00    5.381318e+02    0.000000e+00
   3.588128e-02    5.620724e+02    1.370736e+00    5.607016e+02    0.000000e+00    3.194591e+02   -6.227255e+00    8.093323e+00    4.947111e+02    0.000000e+00
   3.887139e-02    4.921770e+02    1.311288e+00    4.908657e+02    0.000000e+00    2.921114e+02   -5.962145e+00    7.932899e+00    4.579492e+02    0.000000e+00
   4.186149e-02    4.348760e+02    1.258237e+00    4.336178e+02    0.000000e+00    2.687218e+02   -5.724102e+00    7.788035e+00    4.264191e+02    0.000000e+00
   4.485160e-02    3.872550e+02    1.210451e+00    3.860446e+02    0.000000e+00    2.484965e+02   -5.511880e+00    7.655575e+00    3.990748e+02    0.000000e+00
   4.784171e-02    3.471951e+02    1.167009e+00    3.460281e+02    0.000000e+00    2.308402e+02   -5.317610e+00    7.533661e+00    3.751314e+02    0.000000e+00
   5.083181e-02    3.131478e+02    1.127537e+00    3.120203e+02    0.000000e+00    2.152978e+02   -5.141409e+00    7.421566e+00    3.539891e+02    0.000000e+00
   5.382192e-02    2.839410e+02    1.091301e+00    2.828497e+02    0.000000e+00    2.015155e+02   -4.979751e+00    7.317668e+00    3.351810e+02    0.000000e+00
   5.681203e-02    2.586799e+02    1.057808e+00    2.576221e+02    0.000000e+00    1.892143e+02   -4.830331e+00    7.220576e+00    3.183388e+02    0.000000e+00
   5.980213e-02    2.366714e+02    1.026907e+00    2.356445e+02    0.000000e+00    1.781708e+02   -4.691863e+00    7.130050e+00    3.031676e+02    0.000000e+00
   6.279224e-02    2.173703e+02    9.981179e-01    2.163722e+02    0.000000e+00    1.682043e+02   -4.563187e+00    7.044991e+00    2.894289e+02    0.000000e+00
   6.578235e-02    2.003427e+02    9.713493e-01    1.993713e+02    0.000000e+00    1.591673e+02   -4.443255e+00    6.965181e+00    2.769274e+02    0.000000e+00
   6.877245e-02    1.852390e+02    9.462442e-01    1.842928e+02    0.000000e+00    1.509376e+02   -4.331120e+00    6.889617e+00    2.655019e+02    0.000000e+00
   7.176256e-02    1.717756e+02    9.226941e-01    1.708529e+02    0.000000e+00    1.434137e+02   -4.225932e+00    6.818061e+00    2.550179e+02    0.000000e+00
   7.475267e-02    1.597197e+02    9.004859e-01    1.588192e+02    0.000000e+00    1.365102e+02   -4.126921e+00    6.749918e+00    2.453625e+02    0.000000e+00
   7.774277e-02    1.488788e+02    8.795770e-01    1.479992e+02    0.000000e+00    1.301550e+02   -4.033402e+00    6.685149e+00    2.364403e+02    0.000000e+00
   8.073288e-02    1.390929e+02    8.598855e-01    1.382330e+02    0.000000e+00    1.242866e+02   -3.944754e+00    6.623994e+00    2.281698e+02    0.000000e+00
   8.372299e-02    1.302275e+02    8.411670e-01    1.293864e+02    0.000000e+00    1.188526e+02   -3.860449e+00    6.565272e+00    2.204813e+02    0.000000e+00
   8.671309e-02    1.221718e+02    8.233798e-01    1.213484e+02    0.000000e+00    1.138074e+02   -3.781641e+00    6.508820e+00    2.133147e+02    0.000000e+00
   8.970320e-02    1.148269e+02    8.065044e-01    1.140204e+02    0.000000e+00    1.091118e+02   -3.706292e+00    6.455086e+00    2.066178e+02    0.000000e+00
   9.269331e-02    1.081106e+02    7.904326e-01    1.073202e+02    0.000000e+00    1.047316e+02   -3.633988e+00    6.403540e+00    2.003452e+02    0.000000e+00
   9.568341e-02    1.019536e+02    7.751028e-01    1.011785e+02    0.000000e+00    1.006370e+02   -3.565154e+00    6.353784e+00    1.944573e+02    0.000000e+00
   9.867352e-02    9.629557e+01    7.604305e-01    9.553514e+01    0.000000e+00    9.680163e+01   -3.500027e+00    6.306114e+00    1.889192e+02    0.000000e+00
