# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=9.963e-10, Err(IET)=9.971e-13, Q_net=0.000e+00
# {"name":"Al1", "Z":13, "Zstar":4.645555328523954, "A":26.981539,  "μ[AU]": 5.7298376298e-01, "Te[AU]": 1.837e-02, "Ti[AU]": 1.837e-02, "rs[AU]": 2.990e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-03    2.691316e+04    5.399757e+00    2.690776e+04    0.000000e+00    4.297037e+03    0.000000e+00    1.781512e+01    7.242348e+03    0.000000e+00
   5.980213e-03    9.358167e+03    3.788259e+00    9.354379e+03    0.000000e+00    2.124519e+03    0.000000e+00    1.471450e+01    3.633389e+03    0.000000e+00
   8.970320e-03    5.012836e+03    3.076792e+00    5.009760e+03    0.000000e+00    1.401077e+03    0.000000e+00    1.320854e+01    2.430284e+03    0.000000e+00
   1.196043e-02    3.205486e+03    2.650296e+00    3.202836e+03    0.000000e+00    1.039778e+03    0.000000e+00    1.224960e+01    1.828637e+03    0.000000e+00
   1.495053e-02    2.258945e+03    2.356534e+00    2.256588e+03    0.000000e+00    8.232888e+02    0.000000e+00    1.155860e+01    1.467578e+03    0.000000e+00
   1.794064e-02    1.692956e+03    2.141428e+00    1.690815e+03    0.000000e+00    6.791745e+02    0.000000e+00    1.103419e+01    1.226811e+03    0.000000e+00
   2.093075e-02    1.323904e+03    1.972003e+00    1.321932e+03    0.000000e+00    5.763993e+02    0.000000e+00    1.060816e+01    1.054784e+03    0.000000e+00
   2.392085e-02    1.068087e+03    1.836081e+00    1.066251e+03    0.000000e+00    4.994481e+02    0.000000e+00    1.025791e+01    9.257183e+02    0.000000e+00
   2.691096e-02    8.824970e+02    1.722698e+00    8.807743e+02    0.000000e+00    4.397040e+02    0.000000e+00    9.958696e+00    8.252955e+02    0.000000e+00
   2.990107e-02    7.430219e+02    1.626632e+00    7.413953e+02    0.000000e+00    3.919980e+02    0.000000e+00    9.699774e+00    7.449220e+02    0.000000e+00
   3.289117e-02    6.352137e+02    1.543502e+00    6.336702e+02    0.000000e+00    3.530419e+02    0.000000e+00    9.471415e+00    6.791307e+02    0.000000e+00
   3.588128e-02    5.499479e+02    1.471056e+00    5.484769e+02    0.000000e+00    3.206438e+02    0.000000e+00    9.269251e+00    6.242758e+02    0.000000e+00
   3.887139e-02    4.812106e+02    1.406894e+00    4.798037e+02    0.000000e+00    2.932872e+02    0.000000e+00    9.086914e+00    5.778341e+02    0.000000e+00
   4.186149e-02    4.248965e+02    1.349679e+00    4.235468e+02    0.000000e+00    2.698888e+02    0.000000e+00    8.922123e+00    5.380027e+02    0.000000e+00
   4.485160e-02    3.781183e+02    1.298241e+00    3.768201e+02    0.000000e+00    2.496549e+02    0.000000e+00    8.771882e+00    5.034600e+02    0.000000e+00
   4.784171e-02    3.387935e+02    1.251514e+00    3.375420e+02    0.000000e+00    2.319900e+02    0.000000e+00    8.633459e+00    4.732143e+02    0.000000e+00
   5.083181e-02    3.053868e+02    1.208859e+00    3.041780e+02    0.000000e+00    2.164392e+02    0.000000e+00    8.505464e+00    4.465077e+02    0.000000e+00
   5.382192e-02    2.767446e+02    1.169819e+00    2.755748e+02    0.000000e+00    2.026486e+02    0.000000e+00    8.386910e+00    4.227502e+02    0.000000e+00
   5.681203e-02    2.519849e+02    1.133689e+00    2.508512e+02    0.000000e+00    1.903392e+02    0.000000e+00    8.275954e+00    4.014767e+02    0.000000e+00
   5.980213e-02    2.304242e+02    1.100370e+00    2.293239e+02    0.000000e+00    1.792876e+02    0.000000e+00    8.172528e+00    3.823143e+02    0.000000e+00
   6.279224e-02    2.115248e+02    1.069391e+00    2.104554e+02    0.000000e+00    1.693132e+02    0.000000e+00    8.075355e+00    3.649619e+02    0.000000e+00
   6.578235e-02    1.948589e+02    1.040427e+00    1.938185e+02    0.000000e+00    1.602682e+02    0.000000e+00    7.983566e+00    3.491726e+02    0.000000e+00
   6.877245e-02    1.800827e+02    1.013388e+00    1.790693e+02    0.000000e+00    1.520307e+02    0.000000e+00    7.896993e+00    3.347428e+02    0.000000e+00
   7.176256e-02    1.669168e+02    9.880528e-01    1.659288e+02    0.000000e+00    1.444991e+02    0.000000e+00    7.815030e+00    3.215025e+02    0.000000e+00
   7.475267e-02    1.551323e+02    9.641328e-01    1.541682e+02    0.000000e+00    1.375880e+02    0.000000e+00    7.736835e+00    3.093092e+02    0.000000e+00
   7.774277e-02    1.445403e+02    9.416345e-01    1.435986e+02    0.000000e+00    1.312253e+02    0.000000e+00    7.662901e+00    2.980421e+02    0.000000e+00
   8.073288e-02    1.349831e+02    9.203558e-01    1.340627e+02    0.000000e+00    1.253495e+02    0.000000e+00    7.592311e+00    2.875985e+02    0.000000e+00
   8.372299e-02    1.263288e+02    9.002037e-01    1.254286e+02    0.000000e+00    1.199081e+02    0.000000e+00    7.524740e+00    2.778901e+02    0.000000e+00
   8.671309e-02    1.184662e+02    8.810723e-01    1.175851e+02    0.000000e+00    1.148556e+02    0.000000e+00    7.460014e+00    2.688411e+02    0.000000e+00
   8.970320e-02    1.113007e+02    8.628972e-01    1.104378e+02    0.000000e+00    1.101529e+02    0.000000e+00    7.398283e+00    2.603855e+02    0.000000e+00
   9.269331e-02    1.047516e+02    8.455412e-01    1.039060e+02    0.000000e+00    1.057656e+02    0.000000e+00    7.338660e+00    2.524660e+02    0.000000e+00
   9.568341e-02    9.874976e+01    8.290445e-01    9.792071e+01    0.000000e+00    1.016640e+02    0.000000e+00    7.281512e+00    2.450325e+02    0.000000e+00
   9.867352e-02    9.323549e+01    8.132399e-01    9.242225e+01    0.000000e+00    9.782166e+01    0.000000e+00    7.226552e+00    2.380408e+02    0.000000e+00
   1.016636e-01    8.815725e+01    7.982123e-01    8.735904e+01    0.000000e+00    9.421554e+01    0.000000e+00    7.173625e+00    2.314520e+02    0.000000e+00
   1.046537e-01    8.346993e+01    7.837503e-01    8.268618e+01    0.000000e+00    9.082511e+01    0.000000e+00    7.122567e+00    2.252317e+02    0.000000e+00
   1.076438e-01    7.913438e+01    7.699015e-01    7.836448e+01    0.000000e+00    8.763216e+01    0.000000e+00    7.073192e+00    2.193492e+02    0.000000e+00
   1.106339e-01    7.511616e+01    7.565729e-01    7.435958e+01    0.000000e+00    8.462045e+01    0.000000e+00    7.025315e+00    2.137772e+02    0.000000e+00
   1.136241e-01    7.138508e+01    7.438130e-01    7.064127e+01    0.000000e+00    8.177546e+01    0.000000e+00    6.979266e+00    2.084912e+02    0.000000e+00
   1.166142e-01    6.791438e+01    7.315132e-01    6.718286e+01    0.000000e+00    7.908419e+01    0.000000e+00    6.934378e+00    2.034694e+02    0.000000e+00
   1.196043e-01    6.468040e+01    7.196555e-01    6.396074e+01    0.000000e+00    7.653492e+01    0.000000e+00    6.891063e+00    1.986919e+02    0.000000e+00
   1.225944e-01    6.166216e+01    7.082389e-01    6.095392e+01    0.000000e+00    7.411710e+01    0.000000e+00    6.848792e+00    1.941409e+02    0.000000e+00
   1.255845e-01    5.884092e+01    6.972045e-01    5.814371e+01    0.000000e+00    7.182118e+01    0.000000e+00    6.807980e+00    1.898003e+02    0.000000e+00
   1.285746e-01    5.620001e+01    6.865811e-01    5.551343e+01    0.000000e+00    6.963850e+01    0.000000e+00    6.768118e+00    1.856556e+02    0.000000e+00
   1.315647e-01    5.372441e+01    6.762880e-01    5.304813e+01    0.000000e+00    6.756120e+01    0.000000e+00    6.729554e+00    1.816933e+02    0.000000e+00
   1.345548e-01    5.140076e+01    6.663824e-01    5.073437e+01    0.000000e+00    6.558213e+01    0.000000e+00    6.691928e+00    1.779013e+02    0.000000e+00
   1.375449e-01    4.921685e+01    6.567522e-01    4.856010e+01    0.000000e+00    6.369476e+01    0.000000e+00    6.655358e+00    1.742687e+02    0.000000e+00
   1.405350e-01    4.716186e+01    6.474550e-01    4.651441e+01    0.000000e+00    6.189311e+01    0.000000e+00    6.619648e+00    1.707853e+02    0.000000e+00
   1.435251e-01    4.522588e+01    6.384291e-01    4.458745e+01    0.000000e+00    6.017172e+01    0.000000e+00    6.584884e+00    1.674417e+02    0.000000e+00
   1.465152e-01    4.340000e+01    6.296771e-01    4.277032e+01    0.000000e+00    5.852557e+01    0.000000e+00    6.550924e+00    1.642296e+02    0.000000e+00
   1.495053e-01    4.167609e+01    6.211786e-01    4.105491e+01    0.000000e+00    5.695005e+01    0.000000e+00    6.517701e+00    1.611410e+02    0.000000e+00
   1.524954e-01    4.004679e+01    6.129222e-01    3.943387e+01    0.000000e+00    5.544090e+01    0.000000e+00    6.485362e+00    1.581687e+02    0.000000e+00
   1.554855e-01    3.850541e+01    6.049288e-01    3.790048e+01    0.000000e+00    5.399420e+01    0.000000e+00    6.453615e+00    1.553061e+02    0.000000e+00
   1.584757e-01    3.704578e+01    5.971431e-01    3.644863e+01    0.000000e+00    5.260635e+01    0.000000e+00    6.422852e+00    1.525470e+02    0.000000e+00
   1.614658e-01    3.566229e+01    5.895633e-01    3.507273e+01    0.000000e+00    5.127398e+01    0.000000e+00    6.392484e+00    1.498856e+02    0.000000e+00
   1.644559e-01    3.434984e+01    5.821956e-01    3.376764e+01    0.000000e+00    4.999400e+01    0.000000e+00    6.362907e+00    1.473167e+02    0.000000e+00
   1.674460e-01    3.310372e+01    5.750334e-01    3.252869e+01    0.000000e+00    4.876352e+01    0.000000e+00    6.333988e+00    1.448354e+02    0.000000e+00
   1.704361e-01    3.191960e+01    5.680612e-01    3.135153e+01    0.000000e+00    4.757987e+01    0.000000e+00    6.305503e+00    1.424371e+02    0.000000e+00
   1.734262e-01    3.079348e+01    5.612565e-01    3.023222e+01    0.000000e+00    4.644055e+01    0.000000e+00    6.277836e+00    1.401175e+02    0.000000e+00
   1.764163e-01    2.972172e+01    5.546220e-01    2.916709e+01    0.000000e+00    4.534327e+01    0.000000e+00    6.250506e+00    1.378727e+02    0.000000e+00
   1.794064e-01    2.870094e+01    5.481616e-01    2.815278e+01    0.000000e+00    4.428584e+01    0.000000e+00    6.223794e+00    1.356989e+02    0.000000e+00
   1.823965e-01    2.772802e+01    5.418596e-01    2.718616e+01    0.000000e+00    4.326625e+01    0.000000e+00    6.197671e+00    1.335927e+02    0.000000e+00
   1.853866e-01    2.680006e+01    5.356994e-01    2.626436e+01    0.000000e+00    4.228262e+01    0.000000e+00    6.171814e+00    1.315509e+02    0.000000e+00
   1.883767e-01    2.591439e+01    5.296860e-01    2.538471e+01    0.000000e+00    4.133317e+01    0.000000e+00    6.146637e+00    1.295705e+02    0.000000e+00
   1.913668e-01    2.506855e+01    5.238184e-01    2.454473e+01    0.000000e+00    4.041627e+01    0.000000e+00    6.121873e+00    1.276485e+02    0.000000e+00
   1.943569e-01    2.426024e+01    5.180909e-01    2.374214e+01    0.000000e+00    3.953035e+01    0.000000e+00    6.097401e+00    1.257823e+02    0.000000e+00
   1.973470e-01    2.348730e+01    5.124944e-01    2.297481e+01    0.000000e+00    3.867396e+01    0.000000e+00    6.073653e+00    1.239694e+02    0.000000e+00
   2.003371e-01    2.274776e+01    5.070168e-01    2.224075e+01    0.000000e+00    3.784573e+01    0.000000e+00    6.050140e+00    1.222075e+02    0.000000e+00
   2.033273e-01    2.203976e+01    5.016485e-01    2.153811e+01    0.000000e+00    3.704438e+01    0.000000e+00    6.026864e+00    1.204943e+02    0.000000e+00
   2.063174e-01    2.136160e+01    4.964228e-01    2.086518e+01    0.000000e+00    3.626870e+01    0.000000e+00    6.004330e+00    1.188277e+02    0.000000e+00
   2.093075e-01    2.071163e+01    4.912831e-01    2.022034e+01    0.000000e+00    3.551755e+01    0.000000e+00    5.981917e+00    1.172058e+02    0.000000e+00
   2.122976e-01    2.008839e+01    4.862756e-01    1.960211e+01    0.000000e+00    3.478985e+01    0.000000e+00    5.959858e+00    1.156267e+02    0.000000e+00
   2.152877e-01    1.949045e+01    4.813627e-01    1.900908e+01    0.000000e+00    3.408459e+01    0.000000e+00    5.938350e+00    1.140887e+02    0.000000e+00
   2.182778e-01    1.891649e+01    4.765451e-01    1.843994e+01    0.000000e+00    3.340082e+01    0.000000e+00    5.917021e+00    1.125900e+02    0.000000e+00
   2.212679e-01    1.836529e+01    4.718251e-01    1.789347e+01    0.000000e+00    3.273762e+01    0.000000e+00    5.895889e+00    1.111292e+02    0.000000e+00
   2.242580e-01    1.783571e+01    4.672056e-01    1.736851e+01    0.000000e+00    3.209414e+01    0.000000e+00    5.875369e+00    1.097046e+02    0.000000e+00
   2.272481e-01    1.732666e+01    4.626772e-01    1.686398e+01    0.000000e+00    3.146957e+01    0.000000e+00    5.855031e+00    1.083150e+02    0.000000e+00
   2.302382e-01    1.683712e+01    4.582408e-01    1.637888e+01    0.000000e+00    3.086315e+01    0.000000e+00    5.834888e+00    1.069590e+02    0.000000e+00
   2.332283e-01    1.636615e+01    4.538928e-01    1.591225e+01    0.000000e+00    3.027414e+01    0.000000e+00    5.815229e+00    1.056353e+02    0.000000e+00
   2.362184e-01    1.591283e+01    4.496261e-01    1.546320e+01   -0.000000e+00    2.970186e+01    0.000000e+00    5.795807e+00    1.043426e+02    0.000000e+00
   2.392085e-01    1.547632e+01    4.454342e-01    1.503089e+01    0.000000e+00    2.914565e+01    0.000000e+00    5.776523e+00    1.030799e+02    0.000000e+00
   2.421986e-01    1.505584e+01    4.413186e-01    1.461452e+01    0.000000e+00    2.860490e+01    0.000000e+00    5.757567e+00    1.018461e+02    0.000000e+00
   2.451887e-01    1.465064e+01    4.372904e-01    1.421335e+01    0.000000e+00    2.807900e+01    0.000000e+00    5.738993e+00    1.006402e+02    0.000000e+00
   2.481789e-01    1.425999e+01    4.333190e-01    1.382668e+01    0.000000e+00    2.756740e+01    0.000000e+00    5.720496e+00    9.946105e+01    0.000000e+00
   2.511690e-01    1.388327e+01    4.294388e-01    1.345383e+01    0.000000e+00    2.706957e+01    0.000000e+00    5.702258e+00    9.830784e+01    0.000000e+00
   2.541591e-01    1.351981e+01    4.256131e-01    1.309419e+01    0.000000e+00    2.658499e+01    0.000000e+00    5.684407e+00    9.717964e+01    0.000000e+00
   2.571492e-01    1.316903e+01    4.218619e-01    1.274717e+01    0.000000e+00    2.611318e+01    0.000000e+00    5.666722e+00    9.607560e+01    0.000000e+00
   2.601393e-01    1.283037e+01    4.181775e-01    1.241220e+01    0.000000e+00    2.565368e+01    0.000000e+00    5.649175e+00    9.499491e+01    0.000000e+00
   2.631294e-01    1.250330e+01    4.145518e-01    1.208875e+01    0.000000e+00    2.520605e+01    0.000000e+00    5.631920e+00    9.393679e+01    0.000000e+00
   2.661195e-01    1.218731e+01    4.109861e-01    1.177632e+01    0.000000e+00    2.476987e+01    0.000000e+00    5.614920e+00    9.290049e+01    0.000000e+00
   2.691096e-01    1.188192e+01    4.074821e-01    1.147444e+01    0.000000e+00    2.434474e+01    0.000000e+00    5.598049e+00    9.188531e+01    0.000000e+00
   2.720997e-01    1.158670e+01    4.040413e-01    1.118266e+01    0.000000e+00    2.393026e+01    0.000000e+00    5.581316e+00    9.089057e+01    0.000000e+00
   2.750898e-01    1.130121e+01    4.006559e-01    1.090056e+01    0.000000e+00    2.352609e+01    0.000000e+00    5.564980e+00    8.991562e+01    0.000000e+00
   2.780799e-01    1.102504e+01    3.973247e-01    1.062772e+01   -0.000000e+00    2.313186e+01    0.000000e+00    5.548769e+00    8.895984e+01    0.000000e+00
   2.810700e-01    1.075781e+01    3.940464e-01    1.036376e+01    0.000000e+00    2.274725e+01    0.000000e+00    5.532662e+00    8.802262e+01    0.000000e+00
   2.840601e-01    1.049915e+01    3.908262e-01    1.010833e+01    0.000000e+00    2.237193e+01    0.000000e+00    5.516744e+00    8.710341e+01    0.000000e+00
   2.870502e-01    1.024872e+01    3.876568e-01    9.861065e+00    0.000000e+00    2.200560e+01    0.000000e+00    5.501161e+00    8.620166e+01    0.000000e+00
   2.900403e-01    1.000618e+01    3.845356e-01    9.621648e+00    0.000000e+00    2.164796e+01    0.000000e+00    5.485670e+00    8.531684e+01    0.000000e+00
   2.930305e-01    9.771223e+00    3.814596e-01    9.389763e+00   1.284571e-322    2.129873e+01    0.000000e+00    5.470263e+00    8.444844e+01    0.000000e+00
   2.960206e-01    9.543543e+00    3.784319e-01    9.165111e+00    0.000000e+00    2.095765e+01    0.000000e+00    5.455053e+00    8.359599e+01    0.000000e+00
   2.990107e-01    9.322867e+00    3.754565e-01    8.947410e+00   4.940656e-324    2.062444e+01    0.000000e+00    5.440142e+00    8.275902e+01    0.000000e+00
   3.020008e-01    9.108908e+00    3.725187e-01    8.736389e+00   2.470328e-323    2.029888e+01    0.000000e+00    5.425289e+00    8.193709e+01    0.000000e+00
   3.049909e-01    8.901422e+00    3.696311e-01    8.531791e+00    0.000000e+00    1.998070e+01    0.000000e+00    5.410553e+00    8.112976e+01    0.000000e+00
