# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=9.949e-10, Err(IET)=9.955e-13, Q_net=4.547e-13
# {"name":"Al2", "Z":13, "Zstar":3.998318041297443, "A":26.981539,  "μ[AU]": 5.1001199261e-01, "Te[AU]": 7.350e-02, "Ti[AU]": 7.350e-02, "rs[AU]": 2.990e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-03    2.710810e+04    4.816879e+00    2.710328e+04    0.000000e+00    4.295764e+03   -2.235589e+01    1.527599e+01    5.366200e+03    0.000000e+00
   5.980213e-03    9.451837e+03    3.387105e+00    9.448450e+03    0.000000e+00    2.123257e+03   -1.577481e+01    1.256124e+01    2.692805e+03    0.000000e+00
   8.970320e-03    5.073242e+03    2.750764e+00    5.070491e+03   2.808567e-237    1.399825e+03   -1.284531e+01    1.123866e+01    1.801578e+03    0.000000e+00
   1.196043e-02    3.249447e+03    2.368092e+00    3.247078e+03   5.617133e-237    1.038536e+03   -1.108797e+01    1.039689e+01    1.355888e+03    0.000000e+00
   1.495053e-02    2.293160e+03    2.108430e+00    2.291051e+03   2.246853e-236    8.220570e+02   -9.885604e+00    9.801690e+00    1.088418e+03    0.000000e+00
   1.794064e-02    1.720738e+03    1.916623e+00    1.718821e+03    0.000000e+00    6.779527e+02   -8.993781e+00    9.346838e+00    9.100547e+02    0.000000e+00
   2.093075e-02    1.347132e+03    1.766275e+00    1.345366e+03  -5.751944e-234    5.751872e+02   -8.296686e+00    8.980408e+00    7.826123e+02    0.000000e+00
   2.392085e-02    1.087936e+03    1.644051e+00    1.086292e+03  -7.189930e-235    4.982457e+02   -7.733914e+00    8.675053e+00    6.869944e+02    0.000000e+00
   2.691096e-02    8.997461e+02    1.543460e+00    8.982027e+02  -7.765125e-233    4.385111e+02   -7.267146e+00    8.418332e+00    6.125940e+02    0.000000e+00
   2.990107e-02    7.582060e+02    1.457714e+00    7.567483e+02  -1.150389e-233    3.908144e+02   -6.869646e+00    8.195398e+00    5.530454e+02    0.000000e+00
   3.289117e-02    6.487249e+02    1.384098e+00    6.473408e+02    0.000000e+00    3.518674e+02   -6.526750e+00    8.000526e+00    5.042989e+02    0.000000e+00
   3.588128e-02    5.620782e+02    1.319399e+00    5.607588e+02    0.000000e+00    3.194784e+02   -6.227276e+00    7.826539e+00    4.636537e+02    0.000000e+00
   3.887139e-02    4.921827e+02    1.262220e+00    4.909204e+02    0.000000e+00    2.921307e+02   -5.962168e+00    7.670508e+00    4.292409e+02    0.000000e+00
   4.186149e-02    4.348813e+02    1.211045e+00    4.336703e+02   1.089648e-229    2.687411e+02   -5.724125e+00    7.529062e+00    3.997247e+02    0.000000e+00
   4.485160e-02    3.872601e+02    1.165050e+00    3.860951e+02    0.000000e+00    2.485158e+02   -5.511904e+00    7.400016e+00    3.741264e+02    0.000000e+00
   4.784171e-02    3.472003e+02    1.123476e+00    3.460768e+02  -4.711993e-230    2.308594e+02   -5.317636e+00    7.281955e+00    3.517111e+02    0.000000e+00
   5.083181e-02    3.131528e+02    1.085415e+00    3.120674e+02    0.000000e+00    2.153170e+02   -5.141436e+00    7.172717e+00    3.319176e+02    0.000000e+00
   5.382192e-02    2.839456e+02    1.050328e+00    2.828953e+02   2.186365e-227    2.015348e+02   -4.979778e+00    7.070913e+00    3.143089e+02    0.000000e+00
   5.681203e-02    2.586846e+02    1.018343e+00    2.576662e+02    0.000000e+00    1.892336e+02   -4.830359e+00    6.977125e+00    2.985401e+02    0.000000e+00
   5.980213e-02    2.366758e+02    9.884213e-01    2.356874e+02   6.031351e-228    1.781901e+02   -4.691892e+00    6.888427e+00    2.843354e+02    0.000000e+00
   6.279224e-02    2.173748e+02    9.608692e-01    2.164139e+02    0.000000e+00    1.682236e+02   -4.563218e+00    6.805972e+00    2.714715e+02    0.000000e+00
   6.578235e-02    2.003469e+02    9.349783e-01    1.994119e+02    0.000000e+00    1.591866e+02   -4.443286e+00    6.727884e+00    2.597656e+02    0.000000e+00
   6.877245e-02    1.852431e+02    9.107884e-01    1.843324e+02  -3.860065e-226    1.509569e+02   -4.331152e+00    6.654244e+00    2.490668e+02    0.000000e+00
   7.176256e-02    1.717797e+02    8.881972e-01    1.708915e+02    0.000000e+00    1.434330e+02   -4.225964e+00    6.584829e+00    2.392492e+02    0.000000e+00
   7.475267e-02    1.597237e+02    8.668540e-01    1.588568e+02    0.000000e+00    1.365295e+02   -4.126955e+00    6.518598e+00    2.302073e+02    0.000000e+00
   7.774277e-02    1.488828e+02    8.467536e-01    1.480360e+02    0.000000e+00    1.301743e+02   -4.033437e+00    6.455612e+00    2.218516e+02    0.000000e+00
   8.073288e-02    1.390968e+02    8.277284e-01    1.382690e+02    0.000000e+00    1.243060e+02   -3.944789e+00    6.395784e+00    2.141059e+02    0.000000e+00
   8.372299e-02    1.302312e+02    8.096871e-01    1.294216e+02   2.332097e-221    1.188719e+02   -3.860485e+00    6.338571e+00    2.069050e+02    0.000000e+00
   8.671309e-02    1.221755e+02    7.926674e-01    1.213829e+02    0.000000e+00    1.138267e+02   -3.781679e+00    6.283960e+00    2.001926e+02    0.000000e+00
   8.970320e-02    1.148306e+02    7.764149e-01    1.140542e+02   3.162165e-222    1.091311e+02   -3.706331e+00    6.231543e+00    1.939198e+02    0.000000e+00
   9.269331e-02    1.081142e+02    7.608713e-01    1.073533e+02    0.000000e+00    1.047510e+02   -3.634027e+00    6.181149e+00    1.880443e+02    0.000000e+00
   9.568341e-02    1.019571e+02    7.461294e-01    1.012109e+02  -5.059464e-221    1.006563e+02   -3.565193e+00    6.132794e+00    1.825288e+02    0.000000e+00
   9.867352e-02    9.629903e+01    7.320286e-01    9.556700e+01  -1.699980e-218    9.682098e+01   -3.500068e+00    6.086388e+00    1.773407e+02    0.000000e+00
   1.016636e-01    9.108544e+01    7.185647e-01    9.036688e+01    0.000000e+00    9.322174e+01   -3.436995e+00    6.041746e+00    1.724511e+02    0.000000e+00
   1.046537e-01    8.627201e+01    7.056493e-01    8.556636e+01  -2.331401e-217    8.983811e+01   -3.376867e+00    5.998492e+00    1.678345e+02    0.000000e+00
   1.076438e-01    8.181868e+01    6.932420e-01    8.112544e+01   8.548470e-217    8.665189e+01   -3.319499e+00    5.956857e+00    1.634683e+02    0.000000e+00
   1.106339e-01    7.768867e+01    6.813538e-01    7.700732e+01    0.000000e+00    8.364684e+01   -3.263410e+00    5.916444e+00    1.593321e+02    0.000000e+00
   1.136241e-01    7.385432e+01    6.698932e-01    7.318443e+01    0.000000e+00    8.080844e+01   -3.210895e+00    5.877476e+00    1.554079e+02    0.000000e+00
   1.166142e-01    7.028514e+01    6.589036e-01    6.962624e+01    0.000000e+00    7.812370e+01   -3.159341e+00    5.839650e+00    1.516794e+02    0.000000e+00
   1.196043e-01    6.695913e+01    6.483284e-01    6.631081e+01    0.000000e+00    7.558089e+01   -3.110261e+00    5.803208e+00    1.481320e+02    0.000000e+00
   1.225944e-01    6.385357e+01    6.380726e-01    6.321549e+01    0.000000e+00    7.316946e+01   -3.062613e+00    5.767459e+00    1.447525e+02    0.000000e+00
