# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=9.719e-10, Err(IET)=9.770e-13, Q_net=5.654e-08
# {"name":"Al3", "Z":13, "Zstar":3.376552111844598, "A":26.981539,  "μ[AU]": 2.7530599389e-01, "Te[AU]": 1.837e-01, "Ti[AU]": 1.837e-01, "rs[AU]": 2.990e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-03    2.710793e+04    2.607714e+00    2.710532e+04    0.000000e+00    4.295966e+03   -2.235584e+01    1.026537e+01    2.399964e+03  -9.026944e-144
   5.980213e-03    9.451710e+03    1.826117e+00    9.449884e+03    0.000000e+00    2.123459e+03   -1.577467e+01    8.464988e+00    1.923211e+03    0.000000e+00
   8.970320e-03    5.073138e+03    1.683726e+00    5.071454e+03    0.000000e+00    1.400027e+03   -1.284453e+01    8.112619e+00    1.446459e+03   1.805389e-144
   1.196043e-02    3.249364e+03    1.452332e+00    3.247911e+03    0.000000e+00    1.038738e+03   -1.108777e+01    7.519780e+00    9.697058e+02   1.422566e-160
   1.495053e-02    2.293084e+03    1.292523e+00    2.291791e+03    0.000000e+00    8.222592e+02   -9.885119e+00    7.093356e+00    8.107066e+02  -1.805389e-144
   1.794064e-02    1.720666e+03    1.173624e+00    1.719493e+03    0.000000e+00    6.781548e+02   -8.993119e+00    6.765219e+00    6.517073e+02   1.138052e-159
   2.093075e-02    1.347068e+03    1.081458e+00    1.345986e+03    0.000000e+00    5.753894e+02   -8.296482e+00    6.503835e+00    5.721432e+02   5.416166e-144
   2.392085e-02    1.087877e+03    1.007698e+00    1.086869e+03    0.000000e+00    4.984478e+02   -7.733659e+00    6.289543e+00    4.925791e+02    0.000000e+00
   2.691096e-02    8.996884e+02    9.457642e-01    8.987426e+02    0.000000e+00    4.387132e+02   -7.266190e+00    6.105802e+00    4.447927e+02  -1.985928e-143
   2.990107e-02    7.581528e+02    8.932352e-01    7.572596e+02    0.000000e+00    3.910165e+02   -6.869115e+00    5.947067e+00    3.970063e+02   9.104420e-159
   3.289117e-02    6.486732e+02    8.479148e-01    6.478253e+02    0.000000e+00    3.520695e+02   -6.525943e+00    5.807667e+00    3.651078e+02   7.402094e-143
