# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=9.826e-10, Err(IET)=9.803e-13, Q_net=-7.076e-08
# {"name":"Al3", "Z":13, "Zstar":3.7732910929635253, "A":26.981539,  "μ[AU]": 3.0119292446e-01, "Te[AU]": 1.837e-01, "Ti[AU]": 1.837e-01, "rs[AU]": 2.990e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-03    2.691299e+04    2.850739e+00    2.691014e+04    0.000000e+00    4.297290e+03    0.000000e+00    1.182144e+01    2.996327e+03   1.604440e-157
   5.980213e-03    9.358050e+03    1.996632e+00    9.356053e+03    0.000000e+00    2.124773e+03    0.000000e+00    9.787305e+00    2.400967e+03    0.000000e+00
   8.970320e-03    5.012736e+03    1.791236e+00    5.010945e+03    0.000000e+00    1.401330e+03    0.000000e+00    9.256922e+00    1.805606e+03  -3.208880e-158
   1.196043e-02    3.205401e+03    1.543860e+00    3.203857e+03    0.000000e+00    1.040031e+03    0.000000e+00    8.590365e+00    1.210245e+03  -2.021587e-174
   1.495053e-02    2.258871e+03    1.374052e+00    2.257497e+03    0.000000e+00    8.235423e+02    0.000000e+00    8.112151e+00    1.011695e+03   3.208880e-158
   1.794064e-02    1.692887e+03    1.247536e+00    1.691640e+03    0.000000e+00    6.794280e+02    0.000000e+00    7.742570e+00    8.131454e+02    0.000000e+00
   2.093075e-02    1.323842e+03    1.149392e+00    1.322692e+03    0.000000e+00    5.766528e+02    0.000000e+00    7.447213e+00    7.137942e+02  -9.626640e-158
   2.392085e-02    1.068028e+03    1.069548e+00    1.066959e+03    0.000000e+00    4.997016e+02    0.000000e+00    7.200425e+00    6.144430e+02    0.000000e+00
   2.691096e-02    8.824418e+02    1.003666e+00    8.814381e+02    0.000000e+00    4.399575e+02    0.000000e+00    6.992057e+00    5.547756e+02   3.529768e-157
   2.990107e-02    7.429702e+02    9.480806e-01    7.420221e+02    0.000000e+00    3.922515e+02    0.000000e+00    6.812684e+00    4.951082e+02  -1.293816e-172
   3.289117e-02    6.351647e+02    8.997325e-01    6.342650e+02    0.000000e+00    3.532953e+02    0.000000e+00    6.653631e+00    4.552815e+02  -1.315641e-156
   3.588128e-02    5.499009e+02    8.573377e-01    5.490436e+02    0.000000e+00    3.208972e+02    0.000000e+00    6.511637e+00    4.154548e+02    0.000000e+00
   3.887139e-02    4.811658e+02    8.201173e-01    4.803457e+02    0.000000e+00    2.935406e+02    0.000000e+00    6.385137e+00    3.869679e+02   4.909586e-156
   4.186149e-02    4.248534e+02    7.867669e-01    4.240667e+02    0.000000e+00    2.701422e+02    0.000000e+00    6.270012e+00    3.584810e+02   3.726190e-170
   4.485160e-02    3.780768e+02    7.567501e-01    3.773201e+02    0.000000e+00    2.499082e+02    0.000000e+00    6.164795e+00    3.370811e+02  -1.832270e-155
   4.784171e-02    3.387532e+02    7.293383e-01    3.380239e+02    0.000000e+00    2.322433e+02    0.000000e+00    6.067529e+00    3.156811e+02   8.280422e-171
   5.083181e-02    3.053479e+02    7.045539e-01    3.046433e+02    0.000000e+00    2.166924e+02    0.000000e+00    5.978536e+00    2.990072e+02   6.838123e-155
   5.382192e-02    2.767069e+02    6.818429e-01    2.760250e+02    0.000000e+00    2.029018e+02    0.000000e+00    5.895967e+00    2.823333e+02   4.968253e-169
   5.681203e-02    2.519485e+02    6.609199e-01    2.512876e+02    0.000000e+00    1.905924e+02    0.000000e+00    5.819005e+00    2.689674e+02  -2.552022e-154
   5.980213e-02    2.303886e+02    6.413651e-01    2.297473e+02    0.000000e+00    1.795407e+02    0.000000e+00    5.746272e+00    2.556016e+02   6.624337e-170
   6.279224e-02    2.114903e+02    6.234201e-01    2.108668e+02    0.000000e+00    1.695663e+02    0.000000e+00    5.678785e+00    2.446426e+02   9.524276e-154
   6.578235e-02    1.948253e+02    6.065976e-01    1.942187e+02    0.000000e+00    1.605213e+02    0.000000e+00    5.614847e+00    2.336836e+02   2.649735e-169
   6.877245e-02    1.800499e+02    5.908474e-01    1.794590e+02    0.000000e+00    1.522838e+02    0.000000e+00    5.554509e+00    2.245297e+02  -3.554508e-153
   7.176256e-02    1.668847e+02    5.760301e-01    1.663087e+02    0.000000e+00    1.447521e+02    0.000000e+00    5.497234e+00    2.153758e+02    0.000000e+00
   7.475267e-02    1.551011e+02    5.621698e-01    1.545389e+02    0.000000e+00    1.378410e+02    0.000000e+00    5.443117e+00    2.076112e+02   1.326561e-152
   7.774277e-02    1.445097e+02    5.490609e-01    1.439606e+02    0.000000e+00    1.314783e+02    0.000000e+00    5.391409e+00    1.998466e+02    0.000000e+00
   8.073288e-02    1.349530e+02    5.366083e-01    1.344164e+02    0.000000e+00    1.256025e+02    0.000000e+00    5.341778e+00    1.931735e+02  -4.950791e-152
   8.372299e-02    1.262994e+02    5.248758e-01    1.257745e+02    0.000000e+00    1.201610e+02    0.000000e+00    5.294872e+00    1.865005e+02  -7.122487e-166
   8.671309e-02    1.184374e+02    5.138045e-01    1.179236e+02    0.000000e+00    1.151085e+02    0.000000e+00    5.250133e+00    1.807014e+02   1.847661e-151
   8.970320e-02    1.112725e+02    5.032177e-01    1.107692e+02    0.000000e+00    1.104057e+02    0.000000e+00    5.206880e+00    1.749023e+02    0.000000e+00
   9.269331e-02    1.047239e+02    4.931238e-01    1.042308e+02    0.000000e+00    1.060184e+02    0.000000e+00    5.165504e+00    1.698132e+02  -6.895563e-151
   9.568341e-02    9.872257e+01    4.825866e-01    9.823998e+01    0.000000e+00    1.019167e+02    0.000000e+00    5.121975e+00    1.647241e+02   2.713329e-166
   9.867352e-02    9.320880e+01    4.739058e-01    9.273489e+01    0.000000e+00    9.807435e+01    0.000000e+00    5.085575e+00    1.602203e+02   2.573459e-150
   1.016636e-01    8.813092e+01    4.652598e-01    8.766566e+01    0.000000e+00    9.446820e+01    0.000000e+00    5.049367e+00    1.557164e+02  -1.085331e-165
   1.046537e-01    8.344402e+01    4.562296e-01    8.298779e+01    0.000000e+00    9.107772e+01    0.000000e+00    5.011161e+00    1.517003e+02  -9.604280e-150
   1.076438e-01    7.910890e+01    4.481579e-01    7.866074e+01    0.000000e+00    8.788472e+01    0.000000e+00    4.976715e+00    1.476842e+02  -1.476051e-163
   1.106339e-01    7.509113e+01    4.411876e-01    7.464994e+01    0.000000e+00    8.487297e+01    0.000000e+00    4.946757e+00    1.440793e+02   3.584366e-149
   1.136241e-01    7.136040e+01    4.331938e-01    7.092720e+01    0.000000e+00    8.202794e+01    0.000000e+00    4.912173e+00    1.404743e+02  -1.736530e-164
   1.166142e-01    6.789005e+01    4.260697e-01    6.746398e+01    0.000000e+00    7.933663e+01    0.000000e+00    4.881262e+00    1.372189e+02  -1.337704e-148
   1.196043e-01    6.465645e+01    4.195602e-01    6.423689e+01    0.000000e+00    7.678732e+01    0.000000e+00    4.852581e+00    1.339634e+02  -3.473061e-164
   1.225944e-01    6.163853e+01    4.125029e-01    6.122602e+01    0.000000e+00    7.436945e+01    0.000000e+00    4.821625e+00    1.310079e+02   4.992378e-148
   1.255845e-01    5.881766e+01    4.066471e-01    5.841101e+01    0.000000e+00    7.207348e+01    0.000000e+00    4.795443e+00    1.280524e+02  -1.389224e-163
   1.285746e-01    5.617706e+01    4.000126e-01    5.577704e+01    0.000000e+00    6.989076e+01    0.000000e+00    4.765990e+00    1.253560e+02  -1.863181e-147
   1.315647e-01    5.370177e+01    3.943458e-01    5.330743e+01    0.000000e+00    6.781342e+01    0.000000e+00    4.740358e+00    1.226596e+02    0.000000e+00
   1.345548e-01    5.137834e+01    3.884099e-01    5.098993e+01    0.000000e+00    6.583430e+01    0.000000e+00    4.713650e+00    1.201887e+02   6.953486e-147
   1.375449e-01    4.919477e+01    3.827786e-01    4.881199e+01    0.000000e+00    6.394688e+01    0.000000e+00    4.687930e+00    1.177179e+02    0.000000e+00
   1.405350e-01    4.714002e+01    3.778653e-01    4.676215e+01    0.000000e+00    6.214519e+01    0.000000e+00    4.665448e+00    1.154445e+02  -2.595076e-146
   1.435251e-01    4.520429e+01    3.721243e-01    4.483217e+01    0.000000e+00    6.042375e+01    0.000000e+00    4.639039e+00    1.131711e+02   8.891035e-162
   1.465152e-01    4.337867e+01    3.671146e-01    4.301156e+01    0.000000e+00    5.877755e+01    0.000000e+00    4.615852e+00    1.110717e+02   9.684956e-146
   1.495053e-01    4.165503e+01    3.626584e-01    4.129237e+01    0.000000e+00    5.720198e+01    0.000000e+00    4.595013e+00    1.089724e+02  -3.556414e-161
   1.524954e-01    4.002598e+01    3.574459e-01    3.966853e+01    0.000000e+00    5.569278e+01    0.000000e+00    4.570617e+00    1.070270e+02  -3.614475e-145
   1.554855e-01    3.848481e+01    3.527166e-01    3.813210e+01    0.000000e+00    5.424604e+01    0.000000e+00    4.548393e+00    1.050816e+02    0.000000e+00
   1.584757e-01    3.702539e+01    3.483544e-01    3.667704e+01    0.000000e+00    5.285813e+01    0.000000e+00    4.527566e+00    1.032733e+02   1.348940e-144
   1.614658e-01    3.564215e+01    3.442644e-01    3.529789e+01    0.000000e+00    5.152571e+01    0.000000e+00    4.508120e+00    1.014650e+02    0.000000e+00
   1.644559e-01    3.432992e+01    3.397059e-01    3.399021e+01    0.000000e+00    5.024568e+01    0.000000e+00    4.486290e+00    9.977917e+01  -5.034314e-144
   1.674460e-01    3.308399e+01    3.354264e-01    3.274857e+01    0.000000e+00    4.901515e+01    0.000000e+00    4.465692e+00    9.809334e+01  -1.479468e-157
   1.704361e-01    3.190005e+01    3.313668e-01    3.156868e+01    0.000000e+00    4.783144e+01    0.000000e+00    4.446047e+00    9.651751e+01   1.878832e-143
   1.734262e-01    3.077415e+01    3.275195e-01    3.044663e+01    0.000000e+00    4.669208e+01    0.000000e+00    4.427165e+00    9.494167e+01    0.000000e+00
   1.764163e-01    2.970258e+01    3.238051e-01    2.937877e+01    0.000000e+00    4.559474e+01    0.000000e+00    4.409041e+00    9.346488e+01  -7.011895e-143
