# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=9.977e-10, Err(IET)=9.903e-13, Q_net=-4.547e-13
# {"name":"Al3", "Z":13, "Zstar":3.7138787197996157, "A":26.981539,  "μ[AU]": 4.2656912780e-01, "Te[AU]": 1.837e-01, "Ti[AU]": 1.837e-01, "rs[AU]": 2.990e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-03    2.710805e+04    4.032016e+00    2.710402e+04    0.000000e+00    4.295836e+03   -2.235587e+01    1.355465e+01    4.632108e+03    0.000000e+00
   5.980213e-03    9.451793e+03    2.828561e+00    9.448965e+03   1.984923e-164    2.123328e+03   -1.577479e+01    1.113683e+01    2.325529e+03    0.000000e+00
   8.970320e-03    5.073209e+03    2.391470e+00    5.070817e+03   7.939692e-164    1.399896e+03   -1.284529e+01    1.018099e+01    1.556574e+03  -5.562685e-309
   1.196043e-02    3.249422e+03    2.062533e+00    3.247359e+03    0.000000e+00    1.038607e+03   -1.108794e+01    9.425443e+00    1.172019e+03    0.000000e+00
   1.495053e-02    2.293137e+03    1.835722e+00    2.291301e+03   6.351754e-163    8.221284e+02   -9.885572e+00    8.882166e+00    9.412292e+02    0.000000e+00
   1.794064e-02    1.720715e+03    1.667134e+00    1.719048e+03  -2.540702e-162    6.780240e+02   -8.993742e+00    8.464662e+00    7.873196e+02    0.000000e+00
   2.093075e-02    1.347111e+03    1.536262e+00    1.345575e+03  -1.727677e-160    5.752585e+02   -8.296644e+00    8.131153e+00    6.773436e+02   9.968331e-306
   2.392085e-02    1.087918e+03    1.431262e+00    1.086487e+03  -4.065122e-161    4.983170e+02   -7.733872e+00    7.857432e+00    5.948254e+02   1.424047e-306
   2.691096e-02    8.997288e+02    1.343308e+00    8.983855e+02  -2.195166e-159    4.385824e+02   -7.267100e+00    7.623050e+00    5.306134e+02   1.424047e-304
   2.990107e-02    7.581899e+02    1.268723e+00    7.569211e+02    0.000000e+00    3.908857e+02   -6.869597e+00    7.420437e+00    4.792154e+02    0.000000e+00
   3.289117e-02    6.487091e+02    1.204345e+00    6.475048e+02    0.000000e+00    3.519387e+02   -6.526698e+00    7.242408e+00    4.371375e+02    0.000000e+00
   3.588128e-02    5.620631e+02    1.147970e+00    5.609151e+02    0.000000e+00    3.195497e+02   -6.227221e+00    7.084326e+00    4.020495e+02  -3.645561e-304
   3.887139e-02    4.921681e+02    1.098192e+00    4.910699e+02    0.000000e+00    2.922019e+02   -5.962110e+00    6.942311e+00    3.723387e+02    0.000000e+00
   4.186149e-02    4.348676e+02    1.053878e+00    4.338137e+02   3.246895e-156    2.688124e+02   -5.724066e+00    6.814426e+00    3.468530e+02  -1.924856e-301
   4.485160e-02    3.872470e+02    1.013889e+00    3.862331e+02    0.000000e+00    2.485870e+02   -5.511842e+00    6.697447e+00    3.247476e+02   2.333159e-302
   4.784171e-02    3.471873e+02    9.775144e-01    3.462098e+02    0.000000e+00    2.309307e+02   -5.317571e+00    6.589703e+00    3.053887e+02    0.000000e+00
   5.083181e-02    3.131402e+02    9.443784e-01    3.121958e+02    0.000000e+00    2.153882e+02   -5.141368e+00    6.490340e+00    2.882920e+02    0.000000e+00
   5.382192e-02    2.839338e+02    9.142034e-01    2.830196e+02   6.607014e-154    2.016060e+02   -4.979710e+00    6.398889e+00    2.730803e+02  -3.957038e-299
   5.681203e-02    2.586728e+02    8.861111e-01    2.577867e+02    0.000000e+00    1.893048e+02   -4.830288e+00    6.312852e+00    2.594564e+02  -2.986444e-300
   5.980213e-02    2.366647e+02    8.603167e-01    2.358044e+02    0.000000e+00    1.782612e+02   -4.691820e+00    6.233123e+00    2.471821e+02  -1.194577e-299
   6.279224e-02    2.173637e+02    8.361310e-01    2.165275e+02   6.820144e-154    1.682948e+02   -4.563142e+00    6.157615e+00    2.360648e+02  -4.778310e-299
   6.578235e-02    2.003362e+02    8.137530e-01    1.995225e+02   2.728057e-153    1.592578e+02   -4.443209e+00    6.087103e+00    2.259467e+02  -1.911324e-298
   6.877245e-02    1.852328e+02    7.927631e-01    1.844400e+02    0.000000e+00    1.510281e+02   -4.331073e+00    6.020327e+00    2.166978e+02    0.000000e+00
   7.176256e-02    1.717695e+02    7.730037e-01    1.709965e+02   4.364892e-152    1.435041e+02   -4.225883e+00    5.956847e+00    2.082093e+02    0.000000e+00
   7.475267e-02    1.597138e+02    7.545111e-01    1.589593e+02    0.000000e+00    1.366006e+02   -4.126872e+00    5.896868e+00    2.003902e+02    0.000000e+00
   7.774277e-02    1.488731e+02    7.370154e-01    1.481361e+02   6.983827e-151    1.302454e+02   -4.033351e+00    5.839933e+00    1.931632e+02  -4.892989e-296
   8.073288e-02    1.390872e+02    7.204594e-01    1.383668e+02   2.793531e-150    1.243771e+02   -3.944701e+00    5.785540e+00    1.864628e+02    0.000000e+00
   8.372299e-02    1.302220e+02    7.048142e-01    1.295172e+02   6.816215e-148    1.189430e+02   -3.860396e+00    5.733625e+00    1.802325e+02  -4.110111e-293
   8.671309e-02    1.221663e+02    6.899021e-01    1.214764e+02  -2.234825e-149    1.138978e+02   -3.781586e+00    5.683716e+00    1.744239e+02    0.000000e+00
   8.970320e-02    1.148215e+02    6.757631e-01    1.141458e+02   8.939299e-149    1.092022e+02   -3.706236e+00    5.636180e+00    1.689948e+02  -6.263026e-294
   9.269331e-02    1.081054e+02    6.623690e-01    1.074431e+02    0.000000e+00    1.048220e+02   -3.633931e+00    5.590666e+00    1.639085e+02   2.505210e-293
   9.568341e-02    1.019484e+02    6.495199e-01    1.012989e+02  -1.430288e-147    1.007274e+02   -3.565095e+00    5.546730e+00    1.591330e+02   1.002084e-292
