# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=9.929e-10, Err(IET)=9.984e-13, Q_net=0.000e+00
# {"name":"Al3", "Z":13, "Zstar":4.190035477038777, "A":26.981539,  "μ[AU]": 4.7400239033e-01, "Te[AU]": 1.837e-01, "Ti[AU]": 1.837e-01, "rs[AU]": 2.990e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-03    2.691317e+04    4.473949e+00    2.690870e+04    0.000000e+00    4.297136e+03    0.000000e+00    1.564674e+01    5.894944e+03    0.000000e+00
   5.980213e-03    9.358176e+03    3.137978e+00    9.355038e+03   1.984923e-164    2.124619e+03    0.000000e+00    1.290946e+01    2.959008e+03    0.000000e+00
   8.970320e-03    5.012839e+03    2.615446e+00    5.010223e+03   7.939692e-164    1.401177e+03    0.000000e+00    1.173577e+01    1.980247e+03    0.000000e+00
   1.196043e-02    3.205490e+03    2.253973e+00    3.203236e+03    0.000000e+00    1.039878e+03    0.000000e+00    1.087780e+01    1.490775e+03    0.000000e+00
   1.495053e-02    2.258950e+03    2.005916e+00    2.256944e+03   6.351754e-163    8.233887e+02    0.000000e+00    1.026196e+01    1.197023e+03    0.000000e+00
   1.794064e-02    1.692959e+03    1.821450e+00    1.691138e+03  -2.540702e-162    6.792743e+02    0.000000e+00    9.787107e+00    1.001129e+03    0.000000e+00
   2.093075e-02    1.323908e+03    1.678067e+00    1.322229e+03  -1.727677e-160    5.764991e+02    0.000000e+00    9.406632e+00    8.611557e+02    0.000000e+00
   2.392085e-02    1.068090e+03    1.561701e+00    1.066528e+03  -4.065122e-161    4.995479e+02    0.000000e+00    9.089818e+00    7.561322e+02  -4.940656e-324
   2.691096e-02    8.824995e+02    1.465398e+00    8.810341e+02  -2.195166e-159    4.398039e+02    0.000000e+00    8.821413e+00    6.744099e+02    0.000000e+00
   2.990107e-02    7.430248e+02    1.384137e+00    7.416406e+02    0.000000e+00    3.920979e+02    0.000000e+00    8.590219e+00    6.089980e+02    0.000000e+00
   3.289117e-02    6.352166e+02    1.313550e+00    6.339031e+02    0.000000e+00    3.531417e+02    0.000000e+00    8.385413e+00    5.554491e+02    0.000000e+00
   3.588128e-02    5.499504e+02    1.251691e+00    5.486987e+02    0.000000e+00    3.207437e+02    0.000000e+00    8.203057e+00    5.107972e+02    0.000000e+00
   3.887139e-02    4.812133e+02    1.197312e+00    4.800159e+02    0.000000e+00    2.933871e+02    0.000000e+00    8.039904e+00    4.729897e+02    0.000000e+00
   4.186149e-02    4.248990e+02    1.148617e+00    4.237504e+02   3.246895e-156    2.699887e+02    0.000000e+00    7.891885e+00    4.405599e+02    0.000000e+00
   4.485160e-02    3.781207e+02    1.104792e+00    3.770159e+02    0.000000e+00    2.497548e+02    0.000000e+00    7.756583e+00    4.124328e+02    0.000000e+00
   4.784171e-02    3.387956e+02    1.064824e+00    3.377308e+02    0.000000e+00    2.320899e+02    0.000000e+00    7.631451e+00    3.878015e+02    0.000000e+00
   5.083181e-02    3.053889e+02    1.028600e+00    3.043603e+02    0.000000e+00    2.165390e+02    0.000000e+00    7.516614e+00    3.660495e+02    0.000000e+00
   5.382192e-02    2.767466e+02    9.954531e-01    2.757512e+02   6.607014e-154    2.027485e+02    0.000000e+00    7.410396e+00    3.466969e+02   4.940656e-324
   5.681203e-02    2.519871e+02    9.648558e-01    2.510222e+02    0.000000e+00    1.904391e+02    0.000000e+00    7.311174e+00    3.293652e+02    0.000000e+00
   5.980213e-02    2.304262e+02    9.363432e-01    2.294898e+02    0.000000e+00    1.793875e+02    0.000000e+00    7.217655e+00    3.137512e+02  -4.940656e-324
   6.279224e-02    2.115268e+02    9.101094e-01    2.106167e+02   6.820144e-154    1.694131e+02    0.000000e+00    7.130726e+00    2.996098e+02    0.000000e+00
   6.578235e-02    1.948609e+02    8.855278e-01    1.939754e+02   2.728057e-153    1.603681e+02    0.000000e+00    7.048515e+00    2.867403e+02    0.000000e+00
   6.877245e-02    1.800847e+02    8.625274e-01    1.792221e+02    0.000000e+00    1.521306e+02    0.000000e+00    6.970818e+00    2.749768e+02    0.000000e+00
   7.176256e-02    1.669187e+02    8.409158e-01    1.660778e+02   4.364892e-152    1.445990e+02    0.000000e+00    6.897072e+00    2.641813e+02   4.940656e-324
   7.475267e-02    1.551343e+02    8.206446e-01    1.543136e+02    0.000000e+00    1.376879e+02    0.000000e+00    6.827183e+00    2.542377e+02    0.000000e+00
   7.774277e-02    1.445422e+02    8.015022e-01    1.437407e+02   6.983827e-151    1.313252e+02    0.000000e+00    6.760491e+00    2.450478e+02    0.000000e+00
   8.073288e-02    1.349848e+02    7.833192e-01    1.342015e+02   2.793531e-150    1.254494e+02    0.000000e+00    6.696832e+00    2.365280e+02  -9.881313e-324
   8.372299e-02    1.263306e+02    7.661925e-01    1.255644e+02   6.816215e-148    1.200080e+02    0.000000e+00    6.636317e+00    2.286065e+02   3.517747e-321
   8.671309e-02    1.184680e+02    7.500084e-01    1.177180e+02  -2.234825e-149    1.149555e+02    0.000000e+00    6.578502e+00    2.212217e+02    0.000000e+00
   8.970320e-02    1.113025e+02    7.345482e-01    1.105679e+02   8.939299e-149    1.102528e+02    0.000000e+00    6.522882e+00    2.143197e+02    0.000000e+00
   9.269331e-02    1.047533e+02    7.197959e-01    1.040336e+02    0.000000e+00    1.058655e+02    0.000000e+00    6.469518e+00    2.078542e+02  -2.529616e-321
