# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=8.432e-01, Err(IET)=1.265e+02, Q_net=-1.494e+02
# {"name":"Au1", "Z":79, "Zstar":5.848373864505767, "A":196.96657,  "μ[AU]": 1.0440100118e+01, "Te[AU]": 1.837e-02, "Ti[AU]": 1.837e-02, "rs[AU]": 3.011e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   3.011139e-03    3.976543e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.540580e+04   -5.450785e+01   -9.293102e+00    6.715231e+03    6.566113e-52
   6.022277e-03    1.377249e+05    0.000000e+00    0.000000e+00    0.000000e+00    1.230770e+04   -3.832741e+01   -9.293102e+00    5.295077e+03    0.000000e+00
   9.033416e-03    7.347324e+04    0.000000e+00    0.000000e+00    0.000000e+00    7.952698e+03   -3.111644e+01   -9.293102e+00    3.874923e+03   -1.313223e-52
   1.204455e-02    4.678825e+04    0.000000e+00    0.000000e+00    0.000000e+00    5.781578e+03   -2.678909e+01   -9.293102e+00    2.454769e+03    0.000000e+00
   1.505569e-02    3.283461e+04    0.000000e+00    0.000000e+00    0.000000e+00    4.483308e+03   -2.382401e+01   -9.293102e+00    1.981220e+03    1.313223e-52
   1.806683e-02    2.450464e+04    0.000000e+00    0.000000e+00    0.000000e+00    3.621004e+03   -2.162300e+01   -9.293102e+00    1.507671e+03    0.000000e+00
   2.107797e-02    1.908248e+04    0.000000e+00    0.000000e+00    0.000000e+00    3.007557e+03   -1.990275e+01   -9.293102e+00    1.270771e+03   -3.939668e-52
   2.408911e-02    1.533077e+04    0.000000e+00    0.000000e+00    0.000000e+00    2.549452e+03   -1.851195e+01   -9.293102e+00    1.033871e+03    0.000000e+00
   2.710025e-02    1.261411e+04    0.000000e+00    0.000000e+00    0.000000e+00    2.194775e+03   -1.735606e+01   -9.293102e+00    8.916412e+02    1.444545e-51
   3.011139e-02    1.057647e+04    0.000000e+00    0.000000e+00    0.000000e+00    1.912394e+03   -1.637371e+01   -9.293102e+00    7.494115e+02    0.000000e+00
   3.312253e-02    9.004677e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.682514e+03   -1.552434e+01   -9.293102e+00    6.545176e+02   -5.384213e-51
   3.613366e-02    7.764165e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.491947e+03   -1.478336e+01   -9.293102e+00    5.596238e+02   -2.373892e-66
   3.914480e-02    6.766306e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.331571e+03   -1.412543e+01   -9.293102e+00    4.917854e+02    2.009231e-50
   4.215594e-02    5.950645e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.194874e+03   -1.353811e+01   -9.293102e+00    4.239470e+02    1.424335e-64
   4.516708e-02    5.274693e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.077087e+03   -1.300956e+01   -9.293102e+00    3.730195e+02   -7.498501e-50
   4.817822e-02    4.707821e+03    0.000000e+00    0.000000e+00    0.000000e+00    9.746337e+02   -1.253093e+01   -9.293102e+00    3.220921e+02   -1.899114e-65
   5.118936e-02    4.227465e+03    0.000000e+00    0.000000e+00    0.000000e+00    8.847845e+02   -1.209444e+01   -9.293102e+00    2.824429e+02    2.798477e-49
   5.420050e-02    3.816681e+03    0.000000e+00    0.000000e+00    0.000000e+00    8.054169e+02   -1.169307e+01   -9.293102e+00    2.427938e+02    7.596454e-65
   5.721164e-02    3.462532e+03    0.000000e+00    0.000000e+00    0.000000e+00    7.348574e+02   -1.132314e+01   -9.293102e+00    2.110408e+02   -1.044406e-48
   6.022277e-02    3.154991e+03    0.000000e+00    0.000000e+00    0.000000e+00    6.717683e+02   -1.098145e+01   -9.293102e+00    1.792878e+02    0.000000e+00
   6.323391e-02    2.886180e+03    0.000000e+00    0.000000e+00    0.000000e+00    6.150684e+02   -1.066371e+01   -9.293102e+00    1.532807e+02    3.897776e-48
   6.624505e-02    2.649835e+03    0.000000e+00    0.000000e+00    0.000000e+00    5.638735e+02   -1.036668e+01   -9.293102e+00    1.272737e+02    0.000000e+00
   6.925619e-02    2.440934e+03    0.000000e+00    0.000000e+00    0.000000e+00    5.174545e+02   -1.009087e+01   -9.293102e+00    1.055773e+02   -1.454670e-47
   7.226733e-02    2.255385e+03    0.000000e+00    0.000000e+00    0.000000e+00    4.752043e+02   -9.831579e+00   -9.293102e+00    8.388084e+01    4.861731e-63
   7.527847e-02    2.089852e+03    0.000000e+00    0.000000e+00    0.000000e+00    4.366135e+02   -9.587536e+00   -9.293102e+00    6.550291e+01    5.428901e-47
   7.828961e-02    1.941575e+03    0.000000e+00    0.000000e+00    0.000000e+00    4.012519e+02   -9.357568e+00   -9.293102e+00    4.712497e+01    0.000000e+00
   8.130075e-02    1.808260e+03    0.000000e+00    0.000000e+00    0.000000e+00    3.687531e+02   -9.140585e+00   -9.293102e+00    3.135554e+01   -2.026094e-46
   8.431188e-02    1.687986e+03    0.000000e+00    0.000000e+00    0.000000e+00    3.388038e+02   -8.935581e+00   -9.293102e+00    1.558612e+01   -2.800357e-60
   8.732302e-02    1.579136e+03    0.000000e+00    0.000000e+00    0.000000e+00    3.111342e+02   -8.741687e+00   -9.293102e+00    1.905602e+00    7.561484e-46
   9.033416e-02    1.480339e+03    0.000000e+00    0.000000e+00    0.000000e+00    2.855108e+02   -8.557871e+00   -9.293102e+00   -1.177491e+01    0.000000e+00
   9.334530e-02    1.390425e+03    0.000000e+00    0.000000e+00    0.000000e+00    2.617304e+02   -8.383513e+00   -9.293102e+00   -2.375716e+01   -2.821984e-45
   9.635644e-02    1.308395e+03    0.000000e+00    0.000000e+00    0.000000e+00    2.396157e+02   -8.217831e+00   -9.293102e+00   -3.573941e+01    1.244603e-60
   9.936758e-02    1.233388e+03    0.000000e+00    0.000000e+00    0.000000e+00    2.190109e+02   -8.060155e+00   -9.293102e+00   -4.632131e+01    1.053179e-44
   1.023787e-01    1.164665e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.997789e+02   -7.909874e+00   -9.293102e+00   -5.690321e+01    0.000000e+00
   1.053899e-01    1.101583e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.817984e+02   -7.766430e+00   -9.293102e+00   -6.631723e+01   -3.930517e-44
   1.084010e-01    1.043590e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.649618e+02   -7.629313e+00   -9.293102e+00   -7.573125e+01    0.000000e+00
   1.114121e-01    9.902067e+02    0.000000e+00    0.000000e+00    0.000000e+00    1.491732e+02   -7.498051e+00   -9.293102e+00   -8.416028e+01    1.466889e-43
   1.144233e-01    9.410317e+02    0.000000e+00    0.000000e+00    0.000000e+00    1.343471e+02   -7.374321e+00   -9.293102e+00   -9.258930e+01    0.000000e+00
   1.174344e-01    8.957457e+02    0.000000e+00    0.000000e+00    0.000000e+00    1.204069e+02   -7.256498e+00   -9.293102e+00   -1.001802e+02   -5.474504e-43
   1.204455e-01    8.542755e+02    0.000000e+00    0.000000e+00    0.000000e+00    1.072837e+02   -7.143881e+00   -9.293102e+00   -1.077712e+02    1.593092e-58
   1.234567e-01    8.159831e+02    0.000000e+00    0.000000e+00    0.000000e+00    9.491560e+01   -7.036247e+00   -9.293102e+00   -1.146424e+02    2.043113e-42
   1.264678e-01    7.802109e+02    0.000000e+00    0.000000e+00    0.000000e+00    8.324665e+01   -6.934237e+00   -9.293102e+00   -1.215137e+02    5.926302e-56
   1.294790e-01    7.467472e+02    0.000000e+00    0.000000e+00    0.000000e+00    7.222624e+01   -6.835202e+00   -9.293102e+00   -1.277626e+02   -7.625001e-42
   1.324901e-01    7.154036e+02    0.000000e+00    0.000000e+00    0.000000e+00    6.180837e+01   -6.738853e+00   -9.293102e+00   -1.340116e+02    0.000000e+00
   1.355012e-01    6.860112e+02    0.000000e+00    0.000000e+00    0.000000e+00    5.195122e+01   -6.647529e+00   -9.293102e+00   -1.397182e+02    2.845689e-41
   1.385124e-01    6.584188e+02    0.000000e+00    0.000000e+00    0.000000e+00    4.261663e+01   -6.558534e+00   -9.293102e+00   -1.454249e+02    0.000000e+00
   1.415235e-01    6.324901e+02    0.000000e+00    0.000000e+00    0.000000e+00    3.376977e+01   -6.472158e+00   -9.293102e+00   -1.506563e+02   -1.062026e-40
   1.445347e-01    6.081027e+02    0.000000e+00    0.000000e+00    0.000000e+00    2.537872e+01   -6.389893e+00   -9.293102e+00   -1.558877e+02    0.000000e+00
   1.475458e-01    5.851467e+02    0.000000e+00    0.000000e+00    0.000000e+00    1.741422e+01   -6.309198e+00   -9.293102e+00   -1.607000e+02    3.963533e-40
   1.505569e-01    5.635251e+02    0.000000e+00    0.000000e+00    0.000000e+00    9.849410e+00   -6.232217e+00   -9.293102e+00   -1.655122e+02    0.000000e+00
   1.535681e-01    5.431501e+02    0.000000e+00    0.000000e+00    0.000000e+00    2.659543e+00   -6.157396e+00   -9.293102e+00   -1.699529e+02   -1.479211e-39
   1.565792e-01    5.239488e+02    0.000000e+00    0.000000e+00    0.000000e+00   -4.178177e+00   -6.084974e+00   -9.293102e+00   -1.743937e+02    0.000000e+00
   1.595904e-01    5.058624e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.068479e+01   -6.015829e+00   -9.293102e+00   -1.785033e+02    5.520490e-39
   1.626015e-01    4.888702e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.687977e+01   -5.948164e+00   -9.293102e+00   -1.826129e+02   -1.618276e-52
   1.656126e-01    4.730091e+02    0.000000e+00    0.000000e+00    0.000000e+00   -2.278111e+01   -5.884567e+00   -9.293102e+00   -1.864263e+02   -2.060275e-38
   1.686238e-01    4.579160e+02    0.000000e+00    0.000000e+00    0.000000e+00   -2.840552e+01   -5.821738e+00   -9.293102e+00   -1.902397e+02   -6.107685e-52
   1.716349e-01    4.435166e+02    0.000000e+00    0.000000e+00    0.000000e+00   -3.376851e+01   -5.761747e+00   -9.293102e+00   -1.937866e+02    7.689051e-38
   1.746460e-01    4.297688e+02    0.000000e+00    0.000000e+00    0.000000e+00   -3.888449e+01   -5.701976e+00   -9.293102e+00   -1.973336e+02    2.192502e-51
   1.776572e-01    4.166330e+02    0.000000e+00    0.000000e+00    0.000000e+00   -4.376687e+01   -5.644946e+00   -9.293102e+00   -2.006402e+02   -2.869593e-37
   1.806683e-01    4.040730e+02    0.000000e+00    0.000000e+00    0.000000e+00   -4.842816e+01   -5.588068e+00   -9.293102e+00   -2.039468e+02    8.352390e-53
   1.836795e-01    3.920550e+02    0.000000e+00    0.000000e+00    0.000000e+00   -5.288000e+01   -5.533657e+00   -9.293102e+00   -2.070357e+02    1.070947e-36
   1.866906e-01    3.805479e+02    0.000000e+00    0.000000e+00    0.000000e+00   -5.713331e+01   -5.479528e+00   -9.293102e+00   -2.101245e+02    0.000000e+00
   1.897017e-01    3.695231e+02    0.000000e+00    0.000000e+00    0.000000e+00   -6.119824e+01   -5.427425e+00   -9.293102e+00   -2.130154e+02   -3.996827e-36
   1.927129e-01    3.589534e+02    0.000000e+00    0.000000e+00    0.000000e+00   -6.508434e+01   -5.375912e+00   -9.293102e+00   -2.159063e+02    0.000000e+00
   1.957240e-01    3.488139e+02    0.000000e+00    0.000000e+00    0.000000e+00   -6.880053e+01   -5.325833e+00   -9.293102e+00   -2.186166e+02    1.491636e-35
   1.987352e-01    3.390814e+02    0.000000e+00    0.000000e+00    0.000000e+00   -7.235518e+01   -5.276807e+00   -9.293102e+00   -2.213269e+02    0.000000e+00
   2.017463e-01    3.297341e+02    0.000000e+00    0.000000e+00    0.000000e+00   -7.575615e+01   -5.228492e+00   -9.293102e+00   -2.238722e+02   -5.566862e-35
   2.047574e-01    3.207517e+02    0.000000e+00    0.000000e+00    0.000000e+00   -7.901081e+01   -5.181830e+00   -9.293102e+00   -2.264174e+02   -2.138212e-50
   2.077686e-01    3.121153e+02    0.000000e+00    0.000000e+00    0.000000e+00   -8.212612e+01   -5.135168e+00   -9.293102e+00   -2.288110e+02    2.077581e-34
   2.107797e-01    3.038074e+02    0.000000e+00    0.000000e+00    0.000000e+00   -8.510860e+01   -5.090631e+00   -9.293102e+00   -2.312046e+02    8.552847e-50
   2.137909e-01    2.958112e+02    0.000000e+00    0.000000e+00    0.000000e+00   -8.796440e+01   -5.046218e+00   -9.293102e+00   -2.334588e+02   -7.753639e-34
   2.168020e-01    2.881114e+02    0.000000e+00    0.000000e+00    0.000000e+00   -9.069933e+01   -5.002887e+00   -9.293102e+00   -2.357131e+02    3.421139e-49
   2.198131e-01    2.806934e+02    0.000000e+00    0.000000e+00    0.000000e+00   -9.331886e+01   -4.960612e+00   -9.293102e+00   -2.378386e+02    2.893697e-33
   2.228243e-01    2.735433e+02    0.000000e+00    0.000000e+00    0.000000e+00   -9.582816e+01   -4.918337e+00   -9.293102e+00   -2.399642e+02    0.000000e+00
   2.258354e-01    2.666485e+02    0.000000e+00    0.000000e+00    0.000000e+00   -9.823209e+01   -4.878056e+00   -9.293102e+00   -2.419709e+02   -1.079943e-32
   2.288465e-01    2.599970e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.005353e+02   -4.837815e+00   -9.293102e+00   -2.439775e+02    2.736911e-48
   2.318577e-01    2.535773e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.027421e+02   -4.798282e+00   -9.293102e+00   -2.458739e+02    4.030400e-32
   2.348688e-01    2.473789e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.048567e+02   -4.759976e+00   -9.293102e+00   -2.477703e+02    1.094764e-47
   2.378800e-01    2.413916e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.068830e+02   -4.721670e+00   -9.293102e+00   -2.495643e+02   -1.504166e-31
   2.408911e-01    2.356060e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.088246e+02   -4.684576e+00   -9.293102e+00   -2.513583e+02    8.758115e-47
   2.439022e-01    2.300130e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.106852e+02   -4.648110e+00   -9.293102e+00   -2.530569e+02    5.613624e-31
   2.469134e-01    2.246042e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.124680e+02   -4.611643e+00   -9.293102e+00   -2.547556e+02   -1.751623e-46
   2.499245e-01    2.193716e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.141763e+02   -4.576676e+00   -9.293102e+00   -2.563653e+02   -2.095033e-30
   2.529357e-01    2.143077e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.158130e+02   -4.541961e+00   -9.293102e+00   -2.579750e+02   -1.212123e-43
   2.559468e-01    2.094052e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.173811e+02   -4.507245e+00   -9.293102e+00   -2.595015e+02    7.818769e-30
   2.589579e-01    2.046576e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.188832e+02   -4.474120e+00   -9.293102e+00   -2.610281e+02    4.540207e-43
   2.619691e-01    2.000581e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.203220e+02   -4.441069e+00   -9.293102e+00   -2.624768e+02   -2.918004e-29
   2.649802e-01    1.956010e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.216998e+02   -4.408019e+00   -9.293102e+00   -2.639256e+02    0.000000e+00
   2.679913e-01    1.912801e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.230192e+02   -4.376476e+00   -9.293102e+00   -2.653013e+02    1.089014e-28
   2.710025e-01    1.870905e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.242824e+02   -4.345010e+00   -9.293102e+00   -2.666770e+02    0.000000e+00
   2.740136e-01    1.830264e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.254914e+02   -4.313544e+00   -9.293102e+00   -2.679841e+02   -4.064256e-28
   2.770248e-01    1.790831e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.266483e+02   -4.283346e+00   -9.293102e+00   -2.692912e+02    0.000000e+00
   2.800359e-01    1.752559e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.277551e+02   -4.253388e+00   -9.293102e+00   -2.705338e+02    1.516801e-27
   2.830470e-01    1.715404e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.288137e+02   -4.223430e+00   -9.293102e+00   -2.717763e+02    7.174648e-43
   2.860582e-01    1.679322e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.298258e+02   -4.194364e+00   -9.293102e+00   -2.729580e+02   -5.660778e-27
   2.890693e-01    1.644273e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.307932e+02   -4.165840e+00   -9.293102e+00   -2.741397e+02   -1.434930e-42
   2.920805e-01    1.610219e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.317175e+02   -4.137317e+00   -9.293102e+00   -2.752639e+02    2.112631e-26
   2.950916e-01    1.577122e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.326001e+02   -4.109186e+00   -9.293102e+00   -2.763882e+02    1.147944e-41
   2.981027e-01    1.544947e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.334428e+02   -4.082029e+00   -9.293102e+00   -2.774581e+02   -7.884447e-26
   3.011139e-01    1.513660e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.342467e+02   -4.054871e+00   -9.293102e+00   -2.785280e+02   -2.295887e-41
   3.041250e-01    1.483231e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.350135e+02   -4.027713e+00   -9.293102e+00   -2.795466e+02    2.942516e-25
   3.071362e-01    1.453627e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.357442e+02   -4.001642e+00   -9.293102e+00   -2.805651e+02   -9.183550e-41
   3.101473e-01    1.424820e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.364403e+02   -3.975784e+00   -9.293102e+00   -2.815349e+02   -1.098162e-24
   3.131584e-01    1.396783e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.371029e+02   -3.949926e+00   -9.293102e+00   -2.825047e+02    0.000000e+00
   3.161696e-01    1.369489e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.377331e+02   -3.924393e+00   -9.293102e+00   -2.834282e+02    4.098395e-24
   3.191807e-01    1.342910e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.383322e+02   -3.899772e+00   -9.293102e+00   -2.843517e+02   -2.395070e-37
   3.221918e-01    1.317023e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.389011e+02   -3.875151e+00   -9.293102e+00   -2.852313e+02   -1.529542e-23
   3.252030e-01    1.291807e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.394409e+02   -3.850530e+00   -9.293102e+00   -2.861109e+02    8.874982e-37
   3.282141e-01    1.267236e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.399525e+02   -3.826573e+00   -9.293102e+00   -2.869487e+02    5.708328e-23
   3.312253e-01    1.243289e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.404370e+02   -3.803130e+00   -9.293102e+00   -2.877865e+02    0.000000e+00
   3.342364e-01    1.219948e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.408952e+02   -3.779686e+00   -9.293102e+00   -2.885845e+02   -2.130377e-22
