# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=9.267e-10, Err(IET)=5.927e-02, Q_net=-7.013e-07
# {"name":"Au1", "Z":79, "Zstar":10.135113975428931, "A":196.96657,  "μ[AU]": 6.5462380366e-01, "Te[AU]": 1.837e-02, "Ti[AU]": 1.837e-02, "rs[AU]": 3.011e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   3.011139e-03    3.935480e+05    1.516981e+01    3.935328e+05    0.000000e+00    2.569831e+04    0.000000e+00    3.616243e+01    2.142412e+04    0.000000e+00
   6.022277e-03    1.351162e+05    1.054494e+01    1.351056e+05    0.000000e+00    1.259988e+04    0.000000e+00    2.984731e+01    1.715921e+04    0.000000e+00
   9.033416e-03    7.151835e+04    8.574367e+00    7.150978e+04    0.000000e+00    8.244436e+03    0.000000e+00    2.688182e+01    1.289429e+04    0.000000e+00
   1.204455e-02    4.521477e+04    7.326593e+00    4.520744e+04    0.000000e+00    6.072823e+03    0.000000e+00    2.488495e+01    8.629374e+03    0.000000e+00
   1.505569e-02    3.151657e+04    6.497386e+00    3.151008e+04    0.000000e+00    4.774013e+03    0.000000e+00    2.349466e+01    7.207294e+03    0.000000e+00
   1.806683e-02    2.337155e+04    5.882846e+00    2.336566e+04    0.000000e+00    3.911135e+03    0.000000e+00    2.242468e+01    5.785214e+03    0.000000e+00
   2.107797e-02    1.809041e+04    5.392823e+00    1.808502e+04    0.000000e+00    3.297084e+03    0.000000e+00    2.154489e+01    5.073824e+03    0.000000e+00
   2.408911e-02    1.445019e+04    5.007717e+00    1.444518e+04    0.000000e+00    2.838350e+03    0.000000e+00    2.083343e+01    4.362434e+03    0.000000e+00
   2.710025e-02    1.182408e+04    4.682548e+00    1.181940e+04    0.000000e+00    2.483024e+03    0.000000e+00    2.021871e+01    3.935338e+03    0.000000e+00
   3.011139e-02    9.861549e+03    4.407846e+00    9.857142e+03    0.000000e+00    2.199976e+03    0.000000e+00    1.968749e+01    3.508243e+03    0.000000e+00
   3.312253e-02    8.353079e+03    4.169714e+00    8.348909e+03    0.000000e+00    1.969415e+03    0.000000e+00    1.921744e+01    3.223289e+03    0.000000e+00
   3.613366e-02    7.166674e+03    3.961508e+00    7.162713e+03    0.000000e+00    1.778153e+03    0.000000e+00    1.879959e+01    2.938335e+03    0.000000e+00
   3.914480e-02    6.215572e+03    3.775282e+00    6.211796e+03    0.000000e+00    1.617070e+03    0.000000e+00    1.841857e+01    2.734614e+03    0.000000e+00
   4.215594e-02    5.440688e+03    3.609578e+00    5.437078e+03    0.000000e+00    1.479657e+03    0.000000e+00    1.807443e+01    2.530893e+03    0.000000e+00
   4.516708e-02    4.800582e+03    3.463344e+00    4.797119e+03    0.000000e+00    1.361145e+03    0.000000e+00    1.776536e+01    2.377940e+03    0.000000e+00
   4.817822e-02    4.265434e+03    3.330377e+00    4.262103e+03    0.000000e+00    1.257959e+03    0.000000e+00    1.748089e+01    2.224987e+03    0.000000e+00
   5.118936e-02    3.813318e+03    3.207921e+00    3.810110e+03    0.000000e+00    1.167371e+03    0.000000e+00    1.721529e+01    2.105885e+03    0.000000e+00
   5.420050e-02    3.427803e+03    3.096099e+00    3.424707e+03    0.000000e+00    1.087259e+03    0.000000e+00    1.696938e+01    1.986784e+03    0.000000e+00
   5.721164e-02    3.096364e+03    2.990964e+00    3.093373e+03    0.000000e+00    1.015950e+03    0.000000e+00    1.673520e+01    1.891377e+03    0.000000e+00
   6.022277e-02    2.809314e+03    2.897043e+00    2.806417e+03    0.000000e+00    9.521065e+02    0.000000e+00    1.652338e+01    1.795970e+03    0.000000e+00
   6.323391e-02    2.559053e+03    2.806848e+00    2.556246e+03    0.000000e+00    8.946486e+02    0.000000e+00    1.631767e+01    1.717801e+03    0.000000e+00
