# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=5.110e-01, Err(IET)=3.459e+02, Q_net=0.000e+00
# {"name":"Au1", "Z":79, "Zstar":8.372158911445224, "A":196.96657,  "μ[AU]": 6.4763441973e-01, "Te[AU]": 1.837e-02, "Ti[AU]": 1.837e-02, "rs[AU]": 3.011e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   3.011139e-03    3.955256e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.536627e+04   -5.441071e+01   -1.355849e+02   -3.887618e+05    0.000000e+00
   6.022277e-03    1.369107e+05    0.000000e+00    0.000000e+00    0.000000e+00    1.226795e+04   -3.825223e+01   -1.355849e+02   -4.004010e+05    0.000000e+00
   9.033416e-03    7.299836e+04    0.000000e+00    0.000000e+00    0.000000e+00    7.912688e+03   -3.105128e+01   -1.355849e+02   -4.042806e+05   -1.570910e-89
   1.204455e-02    4.646027e+04    0.000000e+00    0.000000e+00    0.000000e+00    5.741294e+03   -2.672696e+01   -1.355849e+02   -4.062202e+05    0.000000e+00
   1.505569e-02    3.258661e+04    0.000000e+00    0.000000e+00    0.000000e+00    4.442733e+03   -2.376516e+01   -1.355849e+02   -4.073837e+05   -6.283640e-89
   1.806683e-02    2.430631e+04    0.000000e+00    0.000000e+00    0.000000e+00    3.580125e+03   -2.156621e+01   -1.355849e+02   -4.081590e+05   -2.513456e-88
   2.107797e-02    1.891776e+04    0.000000e+00    0.000000e+00    0.000000e+00    2.966363e+03   -1.984589e+01   -1.355849e+02   -4.087124e+05    2.412918e-86
   2.408911e-02    1.519020e+04    0.000000e+00    0.000000e+00    0.000000e+00    2.507932e+03   -1.845590e+01   -1.355849e+02   -4.091270e+05    0.000000e+00
   2.710025e-02    1.249168e+04    0.000000e+00    0.000000e+00    0.000000e+00    2.152918e+03   -1.730214e+01   -1.355849e+02   -4.094491e+05    0.000000e+00
   3.011139e-02    1.046815e+04    0.000000e+00    0.000000e+00    0.000000e+00    1.870192e+03   -1.631898e+01   -1.355849e+02   -4.097063e+05    0.000000e+00
   3.312253e-02    8.907640e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.639959e+03   -1.547041e+01   -1.355849e+02   -4.099162e+05    2.573779e-85
   3.613366e-02    7.676349e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.449032e+03   -1.472893e+01   -1.355849e+02   -4.100907e+05    0.000000e+00
   3.914480e-02    6.686166e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.288288e+03   -1.407231e+01   -1.355849e+02   -4.102378e+05    0.000000e+00
   4.215594e-02    5.876995e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.151218e+03   -1.348260e+01   -1.355849e+02   -4.103635e+05   -4.941655e-82
   4.516708e-02    5.206604e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.033051e+03   -1.295673e+01   -1.355849e+02   -4.104718e+05    0.000000e+00
   4.817822e-02    4.644550e+03    0.000000e+00    0.000000e+00    0.000000e+00    9.302140e+02   -1.247537e+01   -1.355849e+02   -4.105661e+05    0.000000e+00
   5.118936e-02    4.168411e+03    0.000000e+00    0.000000e+00    0.000000e+00    8.399755e+02   -1.203881e+01   -1.355849e+02   -4.106488e+05   -5.271099e-82
   5.420050e-02    3.761350e+03    0.000000e+00    0.000000e+00    0.000000e+00    7.602141e+02   -1.163837e+01   -1.355849e+02   -4.107217e+05    0.000000e+00
   5.721164e-02    3.410513e+03    0.000000e+00    0.000000e+00    0.000000e+00    6.892566e+02   -1.126840e+01   -1.355849e+02   -4.107864e+05    0.000000e+00
   6.022277e-02    3.105940e+03    0.000000e+00    0.000000e+00    0.000000e+00    6.257659e+02   -1.092572e+01   -1.355849e+02   -4.108442e+05    3.373503e-80
   6.323391e-02    2.839803e+03    0.000000e+00    0.000000e+00    0.000000e+00    5.686608e+02   -1.060749e+01   -1.355849e+02   -4.108958e+05    9.850630e-78
   6.624505e-02    2.605883e+03    0.000000e+00    0.000000e+00    0.000000e+00    5.170577e+02   -1.031114e+01   -1.355849e+02   -4.109423e+05    5.397605e-79
   6.925619e-02    2.399191e+03    0.000000e+00    0.000000e+00    0.000000e+00    4.702274e+02   -1.003435e+01   -1.355849e+02   -4.109841e+05    0.000000e+00
   7.226733e-02    2.215664e+03    0.000000e+00    0.000000e+00    0.000000e+00    4.275632e+02   -9.775023e+00   -1.355849e+02   -4.110219e+05    0.000000e+00
   7.527847e-02    2.051990e+03    0.000000e+00    0.000000e+00    0.000000e+00    3.885560e+02   -9.531283e+00   -1.355849e+02   -4.110561e+05    1.727234e-77
   7.828961e-02    1.905428e+03    0.000000e+00    0.000000e+00    0.000000e+00    3.527756e+02   -9.301439e+00   -1.355849e+02   -4.110872e+05    6.908935e-77
   8.130075e-02    1.773702e+03    0.000000e+00    0.000000e+00    0.000000e+00    3.198561e+02   -9.083967e+00   -1.355849e+02   -4.111153e+05   -2.680667e-74
   8.431188e-02    1.654904e+03    0.000000e+00    0.000000e+00    0.000000e+00    2.894843e+02   -8.877567e+00   -1.355849e+02   -4.111409e+05   -9.948866e-74
   8.732302e-02    1.547431e+03    0.000000e+00    0.000000e+00    0.000000e+00    2.613904e+02   -8.685195e+00   -1.355849e+02   -4.111642e+05    3.625809e-73
   9.033416e-02    1.449922e+03    0.000000e+00    0.000000e+00    0.000000e+00    2.353411e+02   -8.501761e+00   -1.355849e+02   -4.111854e+05    0.000000e+00
   9.334530e-02    1.361215e+03    0.000000e+00    0.000000e+00    0.000000e+00    2.111335e+02   -8.326215e+00   -1.355849e+02   -4.112046e+05   -7.074749e-74
   9.635644e-02    1.280320e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.885904e+02   -8.159691e+00   -1.355849e+02   -4.112220e+05    0.000000e+00
   9.936758e-02    1.206384e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.675561e+02   -8.002905e+00   -1.355849e+02   -4.112378e+05    1.131960e-72
   1.023787e-01    1.138672e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.478936e+02   -7.851568e+00   -1.355849e+02   -4.112522e+05    0.000000e+00
   1.053899e-01    1.076549e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.294818e+02   -7.708097e+00   -1.355849e+02   -4.112651e+05    9.055679e-72
   1.084010e-01    1.019465e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.122132e+02   -7.572175e+00   -1.355849e+02   -4.112767e+05    0.000000e+00
