# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=9.972e-10, Err(IET)=6.271e+03, Q_net=0.000e+00
# {"name":"Au1", "Z":79, "Zstar":14.254127442734589, "A":196.96657,  "μ[AU]": 1.1920727445e+00, "Te[AU]": 1.837e-02, "Ti[AU]": 1.837e-02, "rs[AU]": 3.011e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   3.011139e-03    3.935480e+05    2.751513e+01    3.935204e+05    0.000000e+00    2.569778e+04    0.000000e+00    5.479112e+01    6.764679e+04    0.000000e+00
   6.022277e-03    1.351162e+05    1.918926e+01    1.350970e+05    0.000000e+00    1.259934e+04    0.000000e+00    4.547323e+01    3.390741e+04   -1.044049e-53
   9.033416e-03    7.151835e+04    1.556676e+01    7.150278e+04    0.000000e+00    8.243899e+03    0.000000e+00    4.100686e+01    2.266016e+04    0.000000e+00
   1.204455e-02    4.521476e+04    1.332779e+01    4.520144e+04    0.000000e+00    6.072285e+03    0.000000e+00    3.807035e+01    1.703590e+04   -8.352390e-53
   1.505569e-02    3.151657e+04    1.181825e+01    3.150475e+04    0.000000e+00    4.773476e+03    0.000000e+00    3.599612e+01    1.366087e+04    0.000000e+00
   1.806683e-02    2.337155e+04    1.069887e+01    2.336085e+04    0.000000e+00    3.910597e+03    0.000000e+00    3.439938e+01    1.141044e+04    0.000000e+00
   2.107797e-02    1.809041e+04    9.814630e+00    1.808060e+04    0.000000e+00    3.296546e+03    0.000000e+00    3.309786e+01    9.802646e+03   -9.087400e-50
   2.408911e-02    1.445019e+04    9.110370e+00    1.444108e+04    0.000000e+00    2.837813e+03    0.000000e+00    3.203162e+01    8.596502e+03    0.000000e+00
   2.710025e-02    1.182408e+04    8.519791e+00    1.181556e+04    0.000000e+00    2.482487e+03    0.000000e+00    3.111545e+01    7.658130e+03    0.000000e+00
   3.011139e-02    9.861548e+03    8.019738e+00    9.853528e+03    0.000000e+00    2.199439e+03    0.000000e+00    3.032303e+01    6.907195e+03    0.000000e+00
   3.312253e-02    8.353077e+03    7.587078e+00    8.345490e+03    0.000000e+00    1.968877e+03    0.000000e+00    2.962385e+01    6.292583e+03    0.000000e+00
   3.613366e-02    7.166673e+03    7.208671e+00    7.159464e+03    0.000000e+00    1.777615e+03    0.000000e+00    2.900040e+01    5.780212e+03   -2.736911e-48
   3.914480e-02    6.215571e+03    6.871849e+00    6.208699e+03    0.000000e+00    1.616532e+03    0.000000e+00    2.843499e+01    5.346492e+03   -1.094764e-47
