# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=8.437e-01, Err(IET)=4.542e+02, Q_net=-1.511e+02
# {"name":"Au2", "Z":79, "Zstar":5.997027106590816, "A":196.96657,  "μ[AU]": 1.0488037739e+01, "Te[AU]": 7.350e-02, "Ti[AU]": 7.350e-02, "rs[AU]": 3.011e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   3.011139e-03    3.976461e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.540407e+04   -5.450748e+01   -1.280564e+01    6.743204e+03    1.279312e-60
   6.022277e-03    1.377193e+05    0.000000e+00    0.000000e+00    0.000000e+00    1.230597e+04   -3.832689e+01   -1.280564e+01    5.249941e+03    0.000000e+00
   9.033416e-03    7.346873e+04    0.000000e+00    0.000000e+00    0.000000e+00    7.950968e+03   -3.111580e+01   -1.280564e+01    3.756678e+03   -2.558624e-61
   1.204455e-02    4.678444e+04    0.000000e+00    0.000000e+00    0.000000e+00    5.779848e+03   -2.678837e+01   -1.280564e+01    2.263415e+03    0.000000e+00
   1.505569e-02    3.283130e+04    0.000000e+00    0.000000e+00    0.000000e+00    4.481578e+03   -2.382321e+01   -1.280564e+01    1.765495e+03    2.558624e-61
   1.806683e-02    2.450171e+04    0.000000e+00    0.000000e+00    0.000000e+00    3.619274e+03   -2.162215e+01   -1.280564e+01    1.267575e+03    0.000000e+00
   2.107797e-02    1.907986e+04    0.000000e+00    0.000000e+00    0.000000e+00    3.005827e+03   -1.990185e+01   -1.280564e+01    1.018491e+03   -7.675872e-61
   2.408911e-02    1.532839e+04    0.000000e+00    0.000000e+00    0.000000e+00    2.547722e+03   -1.851100e+01   -1.280564e+01    7.694069e+02    2.763574e-76
   2.710025e-02    1.261193e+04    0.000000e+00    0.000000e+00    0.000000e+00    2.193045e+03   -1.735507e+01   -1.280564e+01    6.198716e+02    2.814486e-60
   3.011139e-02    1.057448e+04    0.000000e+00    0.000000e+00    0.000000e+00    1.910664e+03   -1.637269e+01   -1.280564e+01    4.703363e+02   -1.105430e-75
   3.312253e-02    9.002840e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.680784e+03   -1.552329e+01   -1.280564e+01    3.705781e+02   -1.049036e-59
   3.613366e-02    7.762466e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.490217e+03   -1.478230e+01   -1.280564e+01    2.708199e+02    0.000000e+00
   3.914480e-02    6.764737e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.329841e+03   -1.412434e+01   -1.280564e+01    1.995144e+02    3.914695e-59
   4.215594e-02    5.949192e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.193144e+03   -1.353702e+01   -1.280564e+01    1.282090e+02    2.653031e-73
   4.516708e-02    5.273345e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.075357e+03   -1.300846e+01   -1.280564e+01    7.468927e+01   -1.460974e-58
   4.817822e-02    4.706572e+03    0.000000e+00    0.000000e+00    0.000000e+00    9.729043e+02   -1.252984e+01   -1.280564e+01    2.116959e+01    0.000000e+00
   5.118936e-02    4.226308e+03    0.000000e+00    0.000000e+00    0.000000e+00    8.830553e+02   -1.209334e+01   -1.280564e+01   -2.048686e+01    5.452428e-58
   5.420050e-02    3.815609e+03    0.000000e+00    0.000000e+00    0.000000e+00    8.036878e+02   -1.169198e+01   -1.280564e+01   -6.214331e+01    0.000000e+00
   5.721164e-02    3.461540e+03    0.000000e+00    0.000000e+00    0.000000e+00    7.331285e+02   -1.132207e+01   -1.280564e+01   -9.549290e+01   -2.034874e-57
   6.022277e-02    3.154075e+03    0.000000e+00    0.000000e+00    0.000000e+00    6.700396e+02   -1.098040e+01   -1.280564e+01   -1.288425e+02    0.000000e+00
   6.323391e-02    2.885336e+03    0.000000e+00    0.000000e+00    0.000000e+00    6.133399e+02   -1.066269e+01   -1.280564e+01   -1.561461e+02    7.594252e-57
   6.624505e-02    2.649062e+03    0.000000e+00    0.000000e+00    0.000000e+00    5.621454e+02   -1.036568e+01   -1.280564e+01   -1.834498e+02   -2.263920e-72
   6.925619e-02    2.440225e+03    0.000000e+00    0.000000e+00    0.000000e+00    5.157267e+02   -1.008991e+01   -1.280564e+01   -2.062167e+02   -2.834213e-56
   7.226733e-02    2.254742e+03    0.000000e+00    0.000000e+00    0.000000e+00    4.734768e+02   -9.830656e+00   -1.280564e+01   -2.289836e+02    0.000000e+00
   7.527847e-02    2.089271e+03    0.000000e+00    0.000000e+00    0.000000e+00    4.348864e+02   -9.586658e+00   -1.280564e+01   -2.482570e+02    1.057743e-55
   7.828961e-02    1.941053e+03    0.000000e+00    0.000000e+00    0.000000e+00    3.995251e+02   -9.356739e+00   -1.280564e+01   -2.675304e+02    0.000000e+00
   8.130075e-02    1.807796e+03    0.000000e+00    0.000000e+00    0.000000e+00    3.670268e+02   -9.139814e+00   -1.280564e+01   -2.840570e+02   -3.947550e-55
   8.431188e-02    1.687581e+03    0.000000e+00    0.000000e+00    0.000000e+00    3.370780e+02   -8.934877e+00   -1.280564e+01   -3.005835e+02   -5.795635e-69
   8.732302e-02    1.578789e+03    0.000000e+00    0.000000e+00    0.000000e+00    3.094089e+02   -8.741054e+00   -1.280564e+01   -3.149095e+02    1.473246e-54
   9.033416e-02    1.480047e+03    0.000000e+00    0.000000e+00    0.000000e+00    2.837860e+02   -8.557315e+00   -1.280564e+01   -3.292355e+02    0.000000e+00
   9.334530e-02    1.390189e+03    0.000000e+00    0.000000e+00    0.000000e+00    2.600062e+02   -8.383047e+00   -1.280564e+01   -3.417717e+02   -5.498228e-54
   9.635644e-02    1.308215e+03    0.000000e+00    0.000000e+00    0.000000e+00    2.378921e+02   -8.217461e+00   -1.280564e+01   -3.543079e+02    0.000000e+00
   9.936758e-02    1.233266e+03    0.000000e+00    0.000000e+00    0.000000e+00    2.172880e+02   -8.059895e+00   -1.280564e+01   -3.653677e+02    2.051967e-53
   1.023787e-01    1.164601e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.980567e+02   -7.909735e+00   -1.280564e+01   -3.764275e+02    0.000000e+00
   1.053899e-01    1.101580e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.800769e+02   -7.766425e+00   -1.280564e+01   -3.862553e+02   -7.658044e-53
   1.084010e-01    1.043649e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.632411e+02   -7.629459e+00   -1.280564e+01   -3.960831e+02    0.000000e+00
   1.114121e-01    9.903339e+02    0.000000e+00    0.000000e+00    0.000000e+00    1.474534e+02   -7.498368e+00   -1.280564e+01   -4.048712e+02    2.858021e-52
   1.144233e-01    9.412368e+02    0.000000e+00    0.000000e+00    0.000000e+00    1.326283e+02   -7.374851e+00   -1.280564e+01   -4.136593e+02    7.418412e-68
   1.174344e-01    8.960523e+02    0.000000e+00    0.000000e+00    0.000000e+00    1.186891e+02   -7.257372e+00   -1.280564e+01   -4.215622e+02   -1.066628e-51
   1.204455e-01    8.547350e+02    0.000000e+00    0.000000e+00    0.000000e+00    1.055669e+02   -7.145057e+00   -1.280564e+01   -4.294652e+02    2.967365e-67
