# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=5.016e-01, Err(IET)=1.263e+03, Q_net=1.819e-12
# {"name":"Au3", "Z":79, "Zstar":8.904396888998685, "A":196.96657,  "μ[AU]": 6.6652239716e-01, "Te[AU]": 1.837e-01, "Ti[AU]": 1.837e-01, "rs[AU]": 3.011e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   3.011139e-03    3.954673e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.535094e+04   -5.440805e+01   -1.553273e+02   -4.485912e+05    0.000000e+00
   6.022277e-03    1.368706e+05    0.000000e+00    0.000000e+00    0.000000e+00    1.225262e+04   -3.824851e+01   -1.553273e+02   -4.617574e+05    0.000000e+00
   9.033416e-03    7.296649e+04    0.000000e+00    0.000000e+00    0.000000e+00    7.897348e+03   -3.104679e+01   -1.553273e+02   -4.661460e+05    0.000000e+00
   1.204455e-02    4.643341e+04    0.000000e+00    0.000000e+00    0.000000e+00    5.725949e+03   -2.672183e+01   -1.553273e+02   -4.683402e+05   8.165126e-202
   1.505569e-02    3.256325e+04    0.000000e+00    0.000000e+00    0.000000e+00    4.427384e+03   -2.375952e+01   -1.553273e+02   -4.696564e+05  -3.266050e-201
   1.806683e-02    2.428558e+04    0.000000e+00    0.000000e+00    0.000000e+00    3.564771e+03   -2.156012e+01   -1.553273e+02   -4.705335e+05    0.000000e+00
   2.107797e-02    1.889912e+04    0.000000e+00    0.000000e+00    0.000000e+00    2.951002e+03   -1.983942e+01   -1.553273e+02   -4.711596e+05   7.838521e-199
   2.408911e-02    1.517328e+04    0.000000e+00    0.000000e+00    0.000000e+00    2.492565e+03   -1.844909e+01   -1.553273e+02   -4.716287e+05    0.000000e+00
   2.710025e-02    1.247622e+04    0.000000e+00    0.000000e+00    0.000000e+00    2.137545e+03   -1.729505e+01   -1.553273e+02   -4.719932e+05   4.180545e-199
   3.011139e-02    1.045395e+04    0.000000e+00    0.000000e+00   -0.000000e+00    1.854813e+03   -1.631166e+01   -1.553273e+02   -4.722843e+05    0.000000e+00
   3.312253e-02    8.894535e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.624573e+03   -1.546288e+01   -1.553273e+02   -4.725219e+05    0.000000e+00
   3.613366e-02    7.664224e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.433638e+03   -1.472124e+01   -1.553273e+02   -4.727195e+05   2.675549e-197
   3.914480e-02    6.674926e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.272888e+03   -1.406449e+01   -1.553273e+02   -4.728861e+05   1.070219e-196
   4.215594e-02    5.866560e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.135810e+03   -1.347469e+01   -1.553273e+02   -4.730284e+05  -1.541116e-194
   4.516708e-02    5.196905e+03    0.000000e+00    0.000000e+00    0.000000e+00    1.017637e+03   -1.294876e+01   -1.553273e+02   -4.731512e+05    0.000000e+00
   4.817822e-02    4.635534e+03    0.000000e+00    0.000000e+00    0.000000e+00    9.147918e+02   -1.246738e+01   -1.553273e+02   -4.732581e+05    0.000000e+00
   5.118936e-02    4.160030e+03    0.000000e+00    0.000000e+00    0.000000e+00    8.245459e+02   -1.203082e+01   -1.553273e+02   -4.733518e+05  -2.739762e-194
