# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=9.884e-10, Err(IET)=9.914e-13, Q_net=3.638e-12
# {"name":"Au3", "Z":79, "Zstar":13.911671332461097, "A":196.96657,  "μ[AU]": 1.1501467484e+00, "Te[AU]": 1.837e-01, "Ti[AU]": 1.837e-01, "rs[AU]": 3.011e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   3.011139e-03    3.935481e+05    2.670836e+01    3.935214e+05    0.000000e+00    2.569782e+04    0.000000e+00    5.356496e+01    6.444308e+04    0.000000e+00
   6.022277e-03    1.351163e+05    1.858532e+01    1.350977e+05    0.000000e+00    1.259938e+04    0.000000e+00    4.438022e+01    3.230535e+04    0.000000e+00
   9.033416e-03    7.151835e+04    1.500953e+01    7.150334e+04    0.000000e+00    8.243942e+03    0.000000e+00    3.992067e+01    2.159198e+04    0.000000e+00
   1.204455e-02    4.521479e+04    1.287671e+01    4.520192e+04    0.000000e+00    6.072328e+03    0.000000e+00    3.709024e+01    1.623466e+04    0.000000e+00
   1.505569e-02    3.151659e+04    1.141197e+01    3.150518e+04    0.000000e+00    4.773519e+03    0.000000e+00    3.505428e+01    1.301980e+04    0.000000e+00
   1.806683e-02    2.337156e+04    1.032528e+01    2.336123e+04    0.000000e+00    3.910640e+03    0.000000e+00    3.348550e+01    1.087614e+04    0.000000e+00
   2.107797e-02    1.809043e+04    9.476703e+00    1.808095e+04    0.000000e+00    3.296589e+03    0.000000e+00    3.222198e+01    9.344627e+03    0.000000e+00
   2.408911e-02    1.445020e+04    8.791758e+00    1.444140e+04    0.000000e+00    2.837856e+03    0.000000e+00    3.117218e+01    8.195687e+03    0.000000e+00
   2.710025e-02    1.182408e+04    8.215089e+00    1.181587e+04    0.000000e+00    2.482530e+03    0.000000e+00    3.026795e+01    7.301809e+03    0.000000e+00
   3.011139e-02    9.861554e+03    7.736551e+00    9.853818e+03   -0.000000e+00    2.199482e+03    0.000000e+00    2.949998e+01    6.586469e+03    0.000000e+00
   3.312253e-02    8.353083e+03    7.318698e+00    8.345764e+03    0.000000e+00    1.968920e+03    0.000000e+00    2.881599e+01    6.000981e+03    0.000000e+00
   3.613366e-02    7.166679e+03    6.954294e+00    7.159724e+03    0.000000e+00    1.777658e+03    0.000000e+00    2.820881e+01    5.512881e+03    0.000000e+00
   3.914480e-02    6.215576e+03    6.629505e+00    6.208947e+03    0.000000e+00    1.616575e+03    0.000000e+00    2.765692e+01    5.099698e+03    0.000000e+00
