# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=7.491e-10, Err(IET)=9.995e-13, Q_net=-1.492e-08
# {"name":"C1", "Z":6, "Zstar":2.531623458494344, "A":12.011,  "μ[AU]": 4.7027530701e-01, "Te[AU]": 1.837e-02, "Ti[AU]": 1.837e-02, "rs[AU]": 2.420e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.420072e-03    1.177667e+04    3.362092e+00    1.177331e+04    0.000000e+00    2.459909e+03   -1.696440e+01    1.147684e+01    1.659291e+03  -4.841975e-268
   4.840144e-03    4.134989e+03    2.367796e+00    4.132621e+03    0.000000e+00    1.220654e+03   -1.200518e+01    9.363502e+00    1.328223e+03    0.000000e+00
   7.260215e-03    2.233825e+03    1.928168e+00    2.231897e+03    0.000000e+00    8.077807e+02   -9.800187e+00    8.342534e+00    9.971552e+02   9.683949e-269
   9.680287e-03    1.439577e+03    1.665084e+00    1.437911e+03    0.000000e+00    6.014670e+02   -8.479758e+00    7.696969e+00    6.660874e+02   6.724873e-285
   1.210036e-02    1.021908e+03    1.485210e+00    1.020423e+03    0.000000e+00    4.777643e+02   -7.576770e+00    7.237008e+00    5.557144e+02  -9.683949e-269
   1.452043e-02    7.711807e+02    1.351936e+00    7.698288e+02    0.000000e+00    3.953585e+02   -6.907659e+00    6.885184e+00    4.453413e+02   3.765929e-283
   1.694050e-02    6.070747e+02    1.247843e+00    6.058268e+02    0.000000e+00    3.365460e+02   -6.385533e+00    6.602946e+00    3.901412e+02   2.905185e-268
   1.936057e-02    4.929036e+02    1.164306e+00    4.917393e+02    0.000000e+00    2.924758e+02   -5.964026e+00    6.370882e+00    3.349410e+02    0.000000e+00
   2.178065e-02    4.097768e+02    1.094601e+00    4.086822e+02    0.000000e+00    2.582312e+02   -5.614175e+00    6.173445e+00    3.018106e+02  -1.065234e-267
   2.420072e-02    3.470836e+02    1.035546e+00    3.460481e+02    0.000000e+00    2.308627e+02   -5.317189e+00    6.003260e+00    2.686803e+02    0.000000e+00
   2.662079e-02    2.984553e+02    9.847855e-01    2.974705e+02    0.000000e+00    2.084936e+02   -5.060663e+00    5.854463e+00    2.465846e+02   3.970419e-267
   2.904086e-02    2.598642e+02    9.402837e-01    2.589240e+02    0.000000e+00    1.898728e+02   -4.837078e+00    5.721892e+00    2.244889e+02  -1.721568e-281
   3.146093e-02    2.286472e+02    9.009803e-01    2.277462e+02    0.000000e+00    1.741343e+02   -4.638682e+00    5.603311e+00    2.086991e+02  -1.481644e-266
   3.388100e-02    2.029866e+02    8.658575e-01    2.021207e+02    0.000000e+00    1.606599e+02   -4.461684e+00    5.496017e+00    1.929093e+02    0.000000e+00
   3.630108e-02    1.816006e+02    8.342223e-01    1.807664e+02    0.000000e+00    1.489960e+02   -4.302464e+00    5.398097e+00    1.810605e+02   5.529535e-266
   3.872115e-02    1.635635e+02    8.056289e-01    1.627579e+02    0.000000e+00    1.388026e+02   -4.158326e+00    5.308550e+00    1.692118e+02    0.000000e+00
   4.114122e-02    1.481910e+02    7.794755e-01    1.474115e+02    0.000000e+00    1.298198e+02   -4.026888e+00    5.225773e+00    1.599906e+02  -2.063650e-265
   4.356129e-02    1.349678e+02    7.555163e-01    1.342123e+02    0.000000e+00    1.218454e+02   -3.906016e+00    5.149215e+00    1.507694e+02  -1.928156e-279
   4.598136e-02    1.235004e+02    7.334318e-01    1.227670e+02    0.000000e+00    1.147198e+02   -3.794588e+00    5.077988e+00    1.433874e+02   7.701645e-265
   4.840144e-02    1.134831e+02    7.130218e-01    1.127701e+02    0.000000e+00    1.083154e+02   -3.691628e+00    5.011563e+00    1.360055e+02   2.203606e-280
   5.082151e-02    1.046743e+02    6.939843e-01    1.039803e+02    0.000000e+00    1.025289e+02   -3.595825e+00    4.949036e+00    1.299613e+02  -2.874293e-264
   5.324158e-02    9.688181e+01    6.763015e-01    9.620551e+01    0.000000e+00    9.727578e+01   -3.506198e+00    4.890395e+00    1.239172e+02    0.000000e+00
   5.566165e-02    8.995209e+01    6.597452e-01    8.929234e+01    0.000000e+00    9.248629e+01   -3.422893e+00    4.834941e+00    1.188763e+02   1.072701e-263
   5.808172e-02    8.375808e+01    6.441717e-01    8.311391e+01    0.000000e+00    8.810227e+01   -3.344484e+00    4.782297e+00    1.138354e+02  -8.814426e-278
   6.050179e-02    7.819681e+01    6.295792e-01    7.756723e+01    0.000000e+00    8.407489e+01   -3.270585e+00    4.732869e+00    1.095665e+02  -4.003374e-263
   6.292187e-02    7.318282e+01    6.157845e-01    7.256704e+01    0.000000e+00    8.036284e+01   -3.200834e+00    4.685691e+00    1.052975e+02  -7.474633e-277
   6.534194e-02    6.864494e+01    6.027169e-01    6.804223e+01    0.000000e+00    7.693095e+01   -3.134897e+00    4.640544e+00    1.016350e+02   1.494079e-262
   6.776201e-02    6.452344e+01    5.903752e-01    6.393306e+01    0.000000e+00    7.374906e+01   -3.072467e+00    4.597736e+00    9.797244e+01    0.000000e+00
   7.018208e-02    6.076774e+01    5.786638e-01    6.018908e+01    0.000000e+00    7.079120e+01   -3.013274e+00    4.556857e+00    9.479518e+01  -5.575980e-262
   7.260215e-02    5.733479e+01    5.675198e-01    5.676727e+01    0.000000e+00    6.803486e+01   -2.957001e+00    4.517510e+00    9.161792e+01   2.256493e-277
   7.502222e-02    5.418788e+01    5.568796e-01    5.363100e+01    0.000000e+00    6.546042e+01   -2.903453e+00    4.479936e+00    8.883493e+01   2.080984e-261
   7.744230e-02    5.129544e+01    5.467662e-01    5.074868e+01    0.000000e+00    6.305076e+01   -2.852389e+00    4.443867e+00    8.605193e+01    0.000000e+00
   7.986237e-02    4.863014e+01    5.370781e-01    4.809306e+01    0.000000e+00    6.079079e+01   -2.803597e+00    4.409078e+00    8.359369e+01  -7.766339e-261
   8.228244e-02    4.616835e+01    5.278499e-01    4.564050e+01    0.000000e+00    5.866724e+01   -2.756884e+00    4.375854e+00    8.113545e+01    0.000000e+00
   8.470251e-02    4.388937e+01    5.189728e-01    4.337040e+01    0.000000e+00    5.666833e+01   -2.712073e+00    4.343512e+00    7.894783e+01   2.898437e-260
   8.712258e-02    4.177522e+01    5.104730e-01    4.126474e+01    0.000000e+00    5.478362e+01   -2.668998e+00    4.312618e+00    7.676022e+01   5.343375e-274
   8.954266e-02    3.981002e+01    5.023062e-01    3.930772e+01    0.000000e+00    5.300377e+01   -2.627508e+00    4.282493e+00    7.480056e+01  -1.081711e-259
   9.196273e-02    3.798040e+01    4.944561e-01    3.748595e+01    0.000000e+00    5.132046e+01   -2.588010e+00    4.253656e+00    7.284090e+01   1.964051e-273
   9.438280e-02    3.627352e+01    4.868971e-01    3.578663e+01    0.000000e+00    4.972619e+01   -2.549921e+00    4.225436e+00    7.107500e+01   4.037002e-259
   9.680287e-02    3.467837e+01    4.796250e-01    3.419875e+01    0.000000e+00    4.821423e+01   -2.513054e+00    4.198452e+00    6.930911e+01   1.155324e-274
   9.922294e-02    3.318524e+01    4.726014e-01    3.271264e+01    0.000000e+00    4.677853e+01   -2.477343e+00    4.171987e+00    6.770934e+01  -1.506630e-258
   1.016430e-01    3.178611e+01    4.658361e-01    3.132028e+01    0.000000e+00    4.541357e+01   -2.443354e+00    4.146574e+00    6.610957e+01  -4.621298e-274
   1.040631e-01    3.047248e+01    4.592887e-01    3.001319e+01    0.000000e+00    4.411438e+01   -2.410282e+00    4.121672e+00    6.465328e+01   5.622818e-258
   1.064832e-01    2.923739e+01    4.529663e-01    2.878443e+01    0.000000e+00    4.287644e+01   -2.378040e+00    4.097655e+00    6.319699e+01  -1.848519e-273
   1.089032e-01    2.807535e+01    4.468581e-01    2.762849e+01    0.000000e+00    4.169563e+01   -2.347358e+00    4.074233e+00    6.186550e+01  -2.098464e-257
   1.113233e-01    2.697993e+01    4.409294e-01    2.653900e+01    0.000000e+00    4.056817e+01   -2.317384e+00    4.051385e+00    6.053402e+01    0.000000e+00
   1.137434e-01    2.594620e+01    4.351997e-01    2.551100e+01    0.000000e+00    3.949064e+01   -2.288206e+00    4.029293e+00    5.931174e+01   7.831576e-257
   1.161634e-01    2.496998e+01    4.296317e-01    2.454035e+01    0.000000e+00    3.845987e+01   -2.260270e+00    4.007505e+00    5.808946e+01  -1.449239e-270
   1.185835e-01    2.404642e+01    4.242318e-01    2.362219e+01    0.000000e+00    3.747297e+01   -2.232802e+00    3.986566e+00    5.696332e+01  -2.922784e-256
   1.210036e-01    2.317235e+01    4.190006e-01    2.275335e+01    0.000000e+00    3.652729e+01   -2.206432e+00    3.965979e+00    5.583719e+01    0.000000e+00
   1.234237e-01    2.234389e+01    4.139230e-01    2.192997e+01    0.000000e+00    3.562036e+01   -2.180676e+00    3.945974e+00    5.479610e+01   1.090798e-255
   1.258437e-01    2.155796e+01    4.089799e-01    2.114898e+01    0.000000e+00    3.474993e+01   -2.155602e+00    3.926446e+00    5.375501e+01   3.927733e-269
   1.282638e-01    2.081185e+01    4.041725e-01    2.040768e+01    0.000000e+00    3.391390e+01   -2.131378e+00    3.907193e+00    5.278955e+01  -4.070913e-255
   1.306839e-01    2.010255e+01    3.994956e-01    1.970306e+01    0.000000e+00    3.311034e+01   -2.107539e+00    3.888627e+00    5.182410e+01   1.892883e-270
   1.331039e-01    1.942818e+01    3.949526e-01    1.903323e+01    0.000000e+00    3.233745e+01   -2.084688e+00    3.870367e+00    5.092618e+01   1.519285e-254
   1.355240e-01    1.878584e+01    3.905211e-01    1.839532e+01    0.000000e+00    3.159357e+01   -2.062024e+00    3.852440e+00    5.002826e+01    0.000000e+00
   1.379441e-01    1.817422e+01    3.862057e-01    1.778801e+01    0.000000e+00    3.087715e+01   -2.040397e+00    3.835044e+00    4.919091e+01  -5.670050e-254
   1.403642e-01    1.759065e+01    3.819959e-01    1.720865e+01    0.000000e+00    3.018674e+01   -2.018850e+00    3.817894e+00    4.835356e+01   1.514307e-269
   1.427842e-01    1.703417e+01    3.778883e-01    1.665628e+01    0.000000e+00    2.952102e+01   -1.998311e+00    3.801069e+00    4.757074e+01   2.116092e-253
   1.452043e-01    1.650243e+01    3.738879e-01    1.612854e+01    0.000000e+00    2.887871e+01   -1.977827e+00    3.784744e+00    4.678792e+01    0.000000e+00
   1.476244e-01    1.599462e+01    3.699848e-01    1.562464e+01    0.000000e+00    2.825866e+01   -1.958249e+00    3.768598e+00    4.605437e+01  -7.897361e-253
   1.500444e-01    1.550875e+01    3.661688e-01    1.514259e+01    0.000000e+00    2.765978e+01   -1.938776e+00    3.752805e+00    4.532082e+01    0.000000e+00
   1.524645e-01    1.504406e+01    3.624404e-01    1.468162e+01    0.000000e+00    2.708102e+01   -1.920046e+00    3.737367e+00    4.463193e+01   2.947335e-252
   1.548846e-01    1.459896e+01    3.588065e-01    1.424015e+01    0.000000e+00    2.652144e+01   -1.901534e+00    3.722165e+00    4.394304e+01    0.000000e+00
   1.573047e-01    1.417260e+01    3.552505e-01    1.381735e+01    0.000000e+00    2.598014e+01   -1.883547e+00    3.707236e+00    4.329477e+01  -1.099960e-251
   1.597247e-01    1.376385e+01    3.517723e-01    1.341208e+01    0.000000e+00    2.545627e+01   -1.865946e+00    3.692675e+00    4.264650e+01    0.000000e+00
   1.621448e-01    1.337168e+01    3.483698e-01    1.302331e+01    0.000000e+00    2.494904e+01   -1.848607e+00    3.678281e+00    4.203527e+01   4.105108e-251
   1.645649e-01    1.299545e+01    3.450419e-01    1.265041e+01    0.000000e+00    2.445769e+01   -1.831875e+00    3.664091e+00    4.142404e+01    0.000000e+00
   1.669850e-01    1.263391e+01    3.417802e-01    1.229213e+01    0.000000e+00    2.398153e+01   -1.815143e+00    3.650307e+00    4.084670e+01  -1.532047e-250
   1.694050e-01    1.228685e+01    3.385886e-01    1.194826e+01    0.000000e+00    2.351988e+01   -1.799194e+00    3.636642e+00    4.026936e+01  -5.520315e-264
   1.718251e-01    1.195303e+01    3.354713e-01    1.161756e+01    0.000000e+00    2.307214e+01   -1.783291e+00    3.623176e+00    3.972309e+01   5.717678e-250
   1.742452e-01    1.163200e+01    3.324080e-01    1.129960e+01    0.000000e+00    2.263770e+01   -1.767784e+00    3.610050e+00    3.917682e+01   2.059263e-263
   1.766652e-01    1.132316e+01    3.294141e-01    1.099374e+01    0.000000e+00    2.221600e+01   -1.752665e+00    3.597123e+00    3.865912e+01  -2.133867e-249
   1.790853e-01    1.102561e+01    3.264689e-01    1.069914e+01    0.000000e+00    2.180653e+01   -1.737545e+00    3.584294e+00    3.814142e+01   7.740846e-263
   1.815054e-01    1.073934e+01    3.235954e-01    1.041574e+01    0.000000e+00    2.140877e+01   -1.723161e+00    3.571735e+00    3.765003e+01   7.963699e-249
   1.839255e-01    1.046330e+01    3.207693e-01    1.014253e+01    0.000000e+00    2.102227e+01   -1.708792e+00    3.559433e+00    3.715865e+01  -2.858158e-262
   1.863455e-01    1.019718e+01    3.179941e-01    9.879188e+00    0.000000e+00    2.064656e+01   -1.694683e+00    3.547231e+00    3.669158e+01  -2.972093e-248
   1.887656e-01    9.940657e+00    3.152755e-01    9.625382e+00    0.000000e+00    2.028122e+01   -1.681023e+00    3.535147e+00    3.622451e+01  -7.939329e-264
   1.911857e-01    9.692987e+00    3.126086e-01    9.380378e+00    0.000000e+00    1.992586e+01   -1.667364e+00    3.523414e+00    3.577993e+01   1.109200e-247
   1.936057e-01    9.454056e+00    3.099906e-01    9.144066e+00    0.000000e+00    1.958009e+01   -1.654150e+00    3.511809e+00    3.533535e+01   3.175732e-263
   1.960258e-01    9.223335e+00    3.074190e-01    8.915916e+00    0.000000e+00    1.924354e+01   -1.641167e+00    3.500299e+00    3.491163e+01  -4.139591e-247
   1.984459e-01    9.000310e+00    3.048906e-01    8.695419e+00    0.000000e+00    1.891587e+01   -1.628184e+00    3.488922e+00    3.448792e+01    0.000000e+00
   2.008660e-01    8.785002e+00    3.024136e-01    8.482589e+00    0.000000e+00    1.859675e+01   -1.615752e+00    3.477859e+00    3.408358e+01   1.544917e-246
   2.032860e-01    8.576784e+00    2.999797e-01    8.276804e+00    0.000000e+00    1.828586e+01   -1.603413e+00    3.466896e+00    3.367924e+01  -5.081170e-262
   2.057061e-01    8.375287e+00    2.975840e-01    8.077703e+00    0.000000e+00    1.798292e+01   -1.591073e+00    3.456017e+00    3.329295e+01  -5.765707e-246
   2.081262e-01    8.180593e+00    2.952278e-01    7.885365e+00    0.000000e+00    1.768763e+01   -1.579319e+00    3.445253e+00    3.290665e+01  -2.032468e-261
