# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=9.374e-10, Err(IET)=9.981e-13, Q_net=-2.415e-08
# {"name":"C1", "Z":6, "Zstar":2.750259171514636, "A":12.011,  "μ[AU]": 4.8689096300e-01, "Te[AU]": 1.837e-02, "Ti[AU]": 1.837e-02, "rs[AU]": 2.420e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.420072e-03    1.166320e+04    3.461974e+00    1.165974e+04    0.000000e+00    2.460613e+03    0.000000e+00    1.267034e+01    1.958148e+03  -6.275587e-279
   4.840144e-03    4.079871e+03    2.441594e+00    4.077430e+03    0.000000e+00    1.221354e+03    0.000000e+00    1.039597e+01    1.567429e+03    0.000000e+00
   7.260215e-03    2.197950e+03    1.985677e+00    2.195964e+03    0.000000e+00    8.084766e+02    0.000000e+00    9.278882e+00    1.176710e+03   1.255117e-279
   9.680287e-03    1.413245e+03    1.713042e+00    1.411532e+03    0.000000e+00    6.021590e+02    0.000000e+00    8.569919e+00    7.859903e+02  -1.957196e-295
   1.210036e-02    1.001255e+03    1.527137e+00    9.997284e+02    0.000000e+00    4.784523e+02    0.000000e+00    8.064495e+00    6.557309e+02  -1.255117e-279
   1.452043e-02    7.542888e+02    1.389396e+00    7.528994e+02    0.000000e+00    3.960427e+02    0.000000e+00    7.676695e+00    5.254715e+02   3.914391e-294
   1.694050e-02    5.928521e+02    1.282007e+00    5.915701e+02    0.000000e+00    3.372263e+02    0.000000e+00    7.365183e+00    4.603260e+02   3.765352e-279
   1.936057e-02    4.806681e+02    1.195374e+00    4.794728e+02    0.000000e+00    2.931523e+02    0.000000e+00    7.107523e+00    3.951806e+02    0.000000e+00
   2.178065e-02    3.990766e+02    1.123346e+00    3.979533e+02    0.000000e+00    2.589040e+02    0.000000e+00    6.888468e+00    3.560817e+02  -1.380629e-278
   2.420072e-02    3.376049e+02    1.062402e+00    3.365425e+02    0.000000e+00    2.315318e+02    0.000000e+00    6.699362e+00    3.169827e+02  -6.263026e-294
   2.662079e-02    2.899704e+02    1.009769e+00    2.889606e+02    0.000000e+00    2.091590e+02    0.000000e+00    6.533258e+00    2.909066e+02   5.145982e-278
   2.904086e-02    2.522012e+02    9.636908e-01    2.512375e+02    0.000000e+00    1.905345e+02    0.000000e+00    6.385044e+00    2.648305e+02  -2.254689e-292
   3.146093e-02    2.216769e+02    9.230831e-01    2.207538e+02    0.000000e+00    1.747925e+02    0.000000e+00    6.252791e+00    2.461965e+02  -1.920330e-277
   3.388100e-02    1.966063e+02    8.868045e-01    1.957195e+02    0.000000e+00    1.613145e+02    0.000000e+00    6.132719e+00    2.275624e+02    0.000000e+00
   3.630108e-02    1.757287e+02    8.542171e-01    1.748745e+02    0.000000e+00    1.496471e+02    0.000000e+00    6.023332e+00    2.135795e+02   7.166721e-277
   3.872115e-02    1.581334e+02    8.247130e-01    1.573087e+02    0.000000e+00    1.394502e+02    0.000000e+00    5.923138e+00    1.995967e+02   2.004168e-292
   4.114122e-02    1.431485e+02    7.977373e-01    1.423508e+02    0.000000e+00    1.304640e+02    0.000000e+00    5.830509e+00    1.887148e+02  -2.674655e-276
   4.356129e-02    1.302684e+02    7.729934e-01    1.294954e+02    0.000000e+00    1.224861e+02    0.000000e+00    5.744542e+00    1.778329e+02  -2.485169e-290
   4.598136e-02    1.191062e+02    7.501470e-01    1.183561e+02    0.000000e+00    1.153571e+02    0.000000e+00    5.664280e+00    1.691217e+02   9.981949e-276
   4.840144e-02    1.093619e+02    7.291186e-01    1.086328e+02    0.000000e+00    1.089494e+02    0.000000e+00    5.589600e+00    1.604104e+02   3.206669e-291
   5.082151e-02    1.007989e+02    7.094949e-01    1.000894e+02    0.000000e+00    1.031595e+02    0.000000e+00    5.519356e+00    1.532780e+02  -3.725314e-275
   5.324158e-02    9.322893e+01    6.911900e-01    9.253774e+01    0.000000e+00    9.790313e+01    0.000000e+00    5.453222e+00    1.461456e+02   1.282668e-290
   5.566165e-02    8.650056e+01    6.741172e-01    8.582645e+01    0.000000e+00    9.311038e+01    0.000000e+00    5.390938e+00    1.401972e+02   1.390306e-274
   5.808172e-02    8.049053e+01    6.581207e-01    7.983240e+01    0.000000e+00    8.872312e+01    0.000000e+00    5.331999e+00    1.342489e+02  -1.180054e-288
   6.050179e-02    7.509764e+01    6.430192e-01    7.445462e+01    0.000000e+00    8.469253e+01    0.000000e+00    5.275790e+00    1.292115e+02  -5.188693e-274
   6.292187e-02    7.023838e+01    6.288093e-01    6.960957e+01    0.000000e+00    8.097730e+01    0.000000e+00    5.222683e+00    1.241741e+02  -9.645661e-288
   6.534194e-02    6.584297e+01    6.153350e-01    6.522764e+01    0.000000e+00    7.754226e+01    0.000000e+00    5.171879e+00    1.198524e+02   1.936447e-273
   6.776201e-02    6.185299e+01    6.025980e-01    6.125040e+01    0.000000e+00    7.435724e+01    0.000000e+00    5.123335e+00    1.155307e+02  -8.209074e-289
   7.018208e-02    5.821906e+01    5.905539e-01    5.762851e+01    0.000000e+00    7.139628e+01    0.000000e+00    5.077214e+00    1.117817e+02  -7.226917e-273
   7.260215e-02    5.489910e+01    5.790564e-01    5.432004e+01    0.000000e+00    6.863686e+01    0.000000e+00    5.032881e+00    1.080327e+02    0.000000e+00
   7.502222e-02    5.185730e+01    5.681304e-01    5.128917e+01    0.000000e+00    6.605937e+01    0.000000e+00    4.990247e+00    1.047491e+02   2.697122e-272
   7.744230e-02    4.906280e+01    5.576735e-01    4.850512e+01    0.000000e+00    6.364668e+01    0.000000e+00    4.949450e+00    1.014654e+02    0.000000e+00
   7.986237e-02    4.648905e+01    5.477078e-01    4.594135e+01    0.000000e+00    6.138371e+01    0.000000e+00    4.910114e+00    9.856493e+01  -1.006580e-271
   8.228244e-02    4.411300e+01    5.381951e-01    4.357481e+01    0.000000e+00    5.925718e+01    0.000000e+00    4.872372e+00    9.566450e+01   2.626904e-287
   8.470251e-02    4.191450e+01    5.290447e-01    4.138546e+01    0.000000e+00    5.725532e+01    0.000000e+00    4.835848e+00    9.308344e+01   3.756607e-271
   8.712258e-02    3.987605e+01    5.202852e-01    3.935577e+01    0.000000e+00    5.536767e+01    0.000000e+00    4.800570e+00    9.050239e+01   6.935025e-285
   8.954266e-02    3.798225e+01    5.118941e-01    3.747036e+01    0.000000e+00    5.358492e+01    0.000000e+00    4.766698e+00    8.819036e+01  -1.401985e-270
   9.196273e-02    3.621947e+01    5.038003e-01    3.571567e+01    0.000000e+00    5.189871e+01    0.000000e+00    4.733664e+00    8.587833e+01   2.563858e-284
   9.438280e-02    3.457578e+01    4.960351e-01    3.407975e+01    0.000000e+00    5.030157e+01    0.000000e+00    4.701955e+00    8.379497e+01   5.232278e-270
   9.680287e-02    3.304051e+01    4.885436e-01    3.255196e+01    0.000000e+00    4.878678e+01    0.000000e+00    4.671010e+00    8.171160e+01    0.000000e+00
   9.922294e-02    3.160419e+01    4.813053e-01    3.112288e+01    0.000000e+00    4.734824e+01    0.000000e+00    4.641098e+00    7.982429e+01  -1.952713e-269
   1.016430e-01    3.025845e+01    4.743594e-01    2.978409e+01    0.000000e+00    4.598048e+01    0.000000e+00    4.612094e+00    7.793699e+01   6.724873e-285
   1.040631e-01    2.899567e+01    4.676234e-01    2.852805e+01    0.000000e+00    4.467852e+01    0.000000e+00    4.583901e+00    7.621900e+01   7.287623e-269
   1.064832e-01    2.780914e+01    4.611160e-01    2.734802e+01    0.000000e+00    4.343781e+01    0.000000e+00    4.556470e+00    7.450101e+01    0.000000e+00
   1.089032e-01    2.669277e+01    4.548315e-01    2.623794e+01    0.000000e+00    4.225426e+01    0.000000e+00    4.529807e+00    7.293031e+01  -2.719778e-268
   1.113233e-01    2.564107e+01    4.487473e-01    2.519233e+01    0.000000e+00    4.112408e+01    0.000000e+00    4.503939e+00    7.135961e+01    0.000000e+00
   1.137434e-01    2.464909e+01    4.428333e-01    2.420625e+01    0.000000e+00    4.004384e+01    0.000000e+00    4.478485e+00    6.991778e+01   1.015035e-267
   1.161634e-01    2.371238e+01    4.371297e-01    2.327525e+01    0.000000e+00    3.901039e+01    0.000000e+00    4.454049e+00    6.847595e+01  -1.893724e-281
   1.185835e-01    2.282686e+01    4.315865e-01    2.239527e+01    0.000000e+00    3.802083e+01    0.000000e+00    4.429976e+00    6.714758e+01  -3.788162e-267
   1.210036e-01    2.198884e+01    4.262044e-01    2.156263e+01    0.000000e+00    3.707250e+01    0.000000e+00    4.406603e+00    6.581921e+01    0.000000e+00
   1.234237e-01    2.119495e+01    4.209773e-01    2.077398e+01    0.000000e+00    3.616294e+01    0.000000e+00    4.383759e+00    6.459121e+01   1.413761e-266
   1.258437e-01    2.044214e+01    4.158910e-01    2.002625e+01    0.000000e+00    3.528990e+01    0.000000e+00    4.361305e+00    6.336321e+01   5.095840e-280
   1.282638e-01    1.972762e+01    4.109596e-01    1.931666e+01    0.000000e+00    3.445128e+01    0.000000e+00    4.339632e+00    6.222446e+01  -5.276229e-266
   1.306839e-01    1.904880e+01    4.061528e-01    1.864265e+01    0.000000e+00    3.364514e+01    0.000000e+00    4.318240e+00    6.108571e+01    0.000000e+00
   1.331039e-01    1.840335e+01    4.014852e-01    1.800187e+01    0.000000e+00    3.286970e+01    0.000000e+00    4.297419e+00    6.002665e+01   1.969116e-265
   1.355240e-01    1.778910e+01    3.969330e-01    1.739217e+01    0.000000e+00    3.212328e+01    0.000000e+00    4.277068e+00    5.896759e+01   1.101803e-280
   1.379441e-01    1.720407e+01    3.924983e-01    1.681157e+01    0.000000e+00    3.140433e+01    0.000000e+00    4.257002e+00    5.798002e+01  -7.348839e-265
   1.403642e-01    1.664643e+01    3.881786e-01    1.625826e+01    0.000000e+00    3.071143e+01    0.000000e+00    4.237521e+00    5.699245e+01    0.000000e+00
