# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=9.987e-10, Err(IET)=9.980e-13, Q_net=0.000e+00
# {"name":"C1", "Z":6, "Zstar":3.1621966601235427, "A":12.011,  "μ[AU]": 6.7701370090e-01, "Te[AU]": 1.837e-02, "Ti[AU]": 1.837e-02, "rs[AU]": 2.420e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.420072e-03    1.166324e+04    4.813279e+00    1.165843e+04    0.000000e+00    2.460428e+03    0.000000e+00    1.584602e+01    4.137266e+03    0.000000e+00
   4.840144e-03    4.079901e+03    3.393631e+00    4.076507e+03    0.000000e+00    1.221170e+03    0.000000e+00    1.301045e+01    2.071277e+03    0.000000e+00
   7.260215e-03    2.197974e+03    2.760253e+00    2.195213e+03    0.000000e+00    8.082924e+02    0.000000e+00    1.161967e+01    1.382588e+03    0.000000e+00
   9.680287e-03    1.413266e+03    2.381495e+00    1.410884e+03    0.000000e+00    6.019748e+02    0.000000e+00    1.073669e+01    1.038224e+03    0.000000e+00
   1.210036e-02    1.001274e+03    2.122978e+00    9.991510e+02    0.000000e+00    4.782681e+02    0.000000e+00    1.010738e+01    8.315904e+02    0.000000e+00
   1.452043e-02    7.543056e+02    1.931499e+00    7.523741e+02    0.000000e+00    3.958584e+02    0.000000e+00    9.624261e+00    6.938215e+02    0.000000e+00
   1.694050e-02    5.928676e+02    1.782233e+00    5.910854e+02    0.000000e+00    3.370421e+02    0.000000e+00    9.236400e+00    5.954043e+02    0.000000e+00
   1.936057e-02    4.806826e+02    1.661752e+00    4.790208e+02    0.000000e+00    2.929681e+02    0.000000e+00    8.915360e+00    5.215818e+02    0.000000e+00
   2.178065e-02    3.990902e+02    1.561625e+00    3.975286e+02    0.000000e+00    2.587198e+02    0.000000e+00    8.642471e+00    4.641559e+02    0.000000e+00
   2.420072e-02    3.376178e+02    1.476865e+00    3.361409e+02    0.000000e+00    2.313476e+02    0.000000e+00    8.406757e+00    4.182076e+02    0.000000e+00
   2.662079e-02    2.899826e+02    1.403687e+00    2.885790e+02    0.000000e+00    2.089747e+02    0.000000e+00    8.199327e+00    3.806067e+02    0.000000e+00
   2.904086e-02    2.522129e+02    1.339666e+00    2.508732e+02    0.000000e+00    1.903503e+02    0.000000e+00    8.015290e+00    3.492664e+02    0.000000e+00
   3.146093e-02    2.216881e+02    1.283172e+00    2.204049e+02    0.000000e+00    1.746083e+02    0.000000e+00    7.849987e+00    3.227421e+02    0.000000e+00
   3.388100e-02    1.966171e+02    1.232725e+00    1.953844e+02    0.000000e+00    1.611303e+02    0.000000e+00    7.700365e+00    3.000016e+02    0.000000e+00
   3.630108e-02    1.757391e+02    1.187389e+00    1.745517e+02    0.000000e+00    1.494629e+02    0.000000e+00    7.564230e+00    2.802883e+02    0.000000e+00
   3.872115e-02    1.581435e+02    1.146334e+00    1.569971e+02    0.000000e+00    1.392660e+02    0.000000e+00    7.439300e+00    2.630346e+02    0.000000e+00
   4.114122e-02    1.431582e+02    1.108817e+00    1.420494e+02    0.000000e+00    1.302798e+02    0.000000e+00    7.323743e+00    2.478065e+02    0.000000e+00
   4.356129e-02    1.302778e+02    1.074404e+00    1.292034e+02    0.000000e+00    1.223019e+02    0.000000e+00    7.216534e+00    2.342664e+02    0.000000e+00
   4.598136e-02    1.191154e+02    1.042657e+00    1.180727e+02    0.000000e+00    1.151729e+02    0.000000e+00    7.116564e+00    2.221478e+02    0.000000e+00
   4.840144e-02    1.093708e+02    1.013378e+00    1.083575e+02    0.000000e+00    1.087652e+02    0.000000e+00    7.023401e+00    2.112375e+02    0.000000e+00
   5.082151e-02    1.008076e+02    9.860886e-01    9.982147e+01    0.000000e+00    1.029754e+02    0.000000e+00    6.935680e+00    2.013630e+02    0.000000e+00
   5.324158e-02    9.323739e+01    9.606377e-01    9.227675e+01    0.000000e+00    9.771897e+01    0.000000e+00    6.853031e+00    1.923828e+02    0.000000e+00
   5.566165e-02    8.650882e+01    9.368826e-01    8.557194e+01    0.000000e+00    9.292622e+01    0.000000e+00    6.775181e+00    1.841806e+02    0.000000e+00
   5.808172e-02    8.049860e+01    9.146199e-01    7.958398e+01    0.000000e+00    8.853896e+01    0.000000e+00    6.701802e+00    1.766589e+02    0.000000e+00
   6.050179e-02    7.510554e+01    8.936166e-01    7.421192e+01    0.000000e+00    8.450838e+01    0.000000e+00    6.631884e+00    1.697363e+02    0.000000e+00
   6.292187e-02    7.024611e+01    8.738452e-01    6.937226e+01    0.000000e+00    8.079316e+01    0.000000e+00    6.565383e+00    1.633435e+02    0.000000e+00
   6.534194e-02    6.585055e+01    8.551187e-01    6.499543e+01    0.000000e+00    7.735812e+01    0.000000e+00    6.501926e+00    1.574217e+02    0.000000e+00
   6.776201e-02    6.186042e+01    8.373950e-01    6.102302e+01    0.000000e+00    7.417311e+01    0.000000e+00    6.441578e+00    1.519204e+02    0.000000e+00
   7.018208e-02    5.822635e+01    8.206264e-01    5.740572e+01    0.000000e+00    7.121215e+01    0.000000e+00    6.383842e+00    1.467963e+02    0.000000e+00
   7.260215e-02    5.490625e+01    8.046360e-01    5.410161e+01    0.000000e+00    6.845274e+01    0.000000e+00    6.328420e+00    1.420114e+02    0.000000e+00
   7.502222e-02    5.186432e+01    7.894269e-01    5.107490e+01    0.000000e+00    6.587526e+01    0.000000e+00    6.275453e+00    1.375332e+02    0.000000e+00
   7.744230e-02    4.906970e+01    7.748901e-01    4.829481e+01    0.000000e+00    6.346257e+01    0.000000e+00    6.224200e+00    1.333327e+02    0.000000e+00
   7.986237e-02    4.649584e+01    7.610233e-01    4.573482e+01    0.000000e+00    6.119961e+01    0.000000e+00    6.175291e+00    1.293849e+02    0.000000e+00
   8.228244e-02    4.411968e+01    7.477755e-01    4.337190e+01    0.000000e+00    5.907309e+01    0.000000e+00    6.128034e+00    1.256673e+02    0.000000e+00
   8.470251e-02    4.192108e+01    7.350531e-01    4.118602e+01    0.000000e+00    5.707123e+01    0.000000e+00    6.082438e+00    1.221603e+02    0.000000e+00
   8.712258e-02    3.988253e+01    7.228651e-01    3.915966e+01    0.000000e+00    5.518359e+01    0.000000e+00    6.038461e+00    1.188463e+02    0.000000e+00
   8.954266e-02    3.798863e+01    7.111793e-01    3.727745e+01    0.000000e+00    5.340084e+01    0.000000e+00    5.995971e+00    1.157097e+02    0.000000e+00
