# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=9.700e-10, Err(IET)=9.973e-13, Q_net=-5.832e-09
# {"name":"C2", "Z":6, "Zstar":2.525183060423976, "A":12.011,  "μ[AU]": 4.6186634240e-01, "Te[AU]": 7.350e-02, "Ti[AU]": 7.350e-02, "rs[AU]": 2.420e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.420072e-03    1.177665e+04    3.302151e+00    1.177335e+04    0.000000e+00    2.459914e+03   -1.696439e+01    1.134858e+01    1.650970e+03  -1.297490e-181
   4.840144e-03    4.134975e+03    2.325478e+00    4.132650e+03    0.000000e+00    1.220660e+03   -1.200516e+01    9.260819e+00    1.321584e+03    0.000000e+00
   7.260215e-03    2.233814e+03    1.893981e+00    2.231920e+03    0.000000e+00    8.077862e+02   -9.800172e+00    8.252769e+00    9.921977e+02   2.594980e-182
   9.680287e-03    1.439567e+03    1.635503e+00    1.437932e+03    0.000000e+00    6.014725e+02   -8.479739e+00    7.614798e+00    6.628115e+02  -1.672218e-198
   1.210036e-02    1.021899e+03    1.458171e+00    1.020441e+03    0.000000e+00    4.777698e+02   -7.576748e+00    7.159115e+00    5.529986e+02  -2.594980e-182
   1.452043e-02    7.711725e+02    1.327787e+00    7.698448e+02    0.000000e+00    3.953640e+02   -6.907635e+00    6.812920e+00    4.431857e+02   1.070219e-196
   1.694050e-02    6.070678e+02    1.226248e+00    6.058416e+02    0.000000e+00    3.365515e+02   -6.385509e+00    6.535851e+00    3.882654e+02   7.784939e-182
   1.936057e-02    4.928967e+02    1.143632e+00    4.917531e+02    0.000000e+00    2.924813e+02   -5.963999e+00    6.305389e+00    3.333450e+02    0.000000e+00
   2.178065e-02    4.097706e+02    1.075532e+00    4.086951e+02    0.000000e+00    2.582367e+02   -5.614147e+00    6.111390e+00    3.003823e+02  -2.854478e-181
   2.420072e-02    3.470778e+02    1.017534e+00    3.460603e+02    0.000000e+00    2.308682e+02   -5.317160e+00    5.943047e+00    2.674197e+02    0.000000e+00
   2.662079e-02    2.984495e+02    9.673274e-01    2.974822e+02    0.000000e+00    2.084991e+02   -5.060631e+00    5.795087e+00    2.454356e+02   1.063942e-180
   2.904086e-02    2.598589e+02    9.238241e-01    2.589350e+02    0.000000e+00    1.898782e+02   -4.837046e+00    5.664859e+00    2.234516e+02  -4.708965e-195
   3.146093e-02    2.286420e+02    8.851571e-01    2.277568e+02    0.000000e+00    1.741398e+02   -4.638647e+00    5.547568e+00    2.077413e+02  -3.970319e-180
   3.388100e-02    2.029815e+02    8.505564e-01    2.021309e+02    0.000000e+00    1.606654e+02   -4.461647e+00    5.441063e+00    1.920311e+02    0.000000e+00
   3.630108e-02    1.815958e+02    8.195904e-01    1.807762e+02    0.000000e+00    1.490015e+02   -4.302427e+00    5.344704e+00    1.802419e+02   1.481733e-179
   3.872115e-02    1.635588e+02    7.914387e-01    1.627674e+02    0.000000e+00    1.388081e+02   -4.158287e+00    5.256177e+00    1.684527e+02    0.000000e+00
   4.114122e-02    1.481864e+02    7.657844e-01    1.474207e+02    0.000000e+00    1.298253e+02   -4.026847e+00    5.174586e+00    1.592777e+02  -5.529902e-179
   4.356129e-02    1.349634e+02    7.423143e-01    1.342211e+02    0.000000e+00    1.218509e+02   -3.905975e+00    5.099174e+00    1.501027e+02  -5.205547e-193
   4.598136e-02    1.234962e+02    7.205740e-01    1.227756e+02    0.000000e+00    1.147253e+02   -3.794546e+00    5.028619e+00    1.427576e+02   2.063787e-178
   4.840144e-02    1.134790e+02    7.005300e-01    1.127785e+02    0.000000e+00    1.083209e+02   -3.691584e+00    4.962929e+00    1.354125e+02   1.095905e-193
   5.082151e-02    1.046703e+02    6.818660e-01    1.039884e+02    0.000000e+00    1.025343e+02   -3.595780e+00    4.901128e+00    1.293985e+02  -7.702159e-178
