# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=9.465e-10, Err(IET)=9.963e-13, Q_net=-2.443e-08
# {"name":"C2", "Z":6, "Zstar":2.7454675970997218, "A":12.011,  "μ[AU]": 4.7967897683e-01, "Te[AU]": 7.350e-02, "Ti[AU]": 7.350e-02, "rs[AU]": 2.420e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.420072e-03    1.166319e+04    3.418038e+00    1.165977e+04    0.000000e+00    2.460617e+03    0.000000e+00    1.257279e+01    1.951447e+03   6.917975e-193
   4.840144e-03    4.079856e+03    2.403470e+00    4.077452e+03    0.000000e+00    1.221359e+03    0.000000e+00    1.030057e+01    1.562088e+03    0.000000e+00
   7.260215e-03    2.197938e+03    1.956152e+00    2.195982e+03    0.000000e+00    8.084811e+02    0.000000e+00    9.198575e+00    1.172728e+03  -1.383595e-193
   9.680287e-03    1.413236e+03    1.687664e+00    1.411548e+03    0.000000e+00    6.021635e+02    0.000000e+00    8.496723e+00    7.833678e+02  -1.216699e-209
   1.210036e-02    1.001246e+03    1.503979e+00    9.997425e+02    0.000000e+00    4.784568e+02    0.000000e+00    7.995042e+00    6.535612e+02   1.383595e-193
   1.452043e-02    7.542810e+02    1.369135e+00    7.529119e+02    0.000000e+00    3.960471e+02    0.000000e+00    7.613420e+00    5.237546e+02  -4.866794e-208
   1.694050e-02    5.928451e+02    1.263433e+00    5.915817e+02    0.000000e+00    3.372308e+02    0.000000e+00    7.305258e+00    4.588352e+02  -4.150785e-193
   1.936057e-02    4.806612e+02    1.177692e+00    4.794835e+02    0.000000e+00    2.931568e+02    0.000000e+00    7.049079e+00    3.939159e+02    0.000000e+00
   2.178065e-02    3.990703e+02    1.106892e+00    3.979634e+02    0.000000e+00    2.589085e+02    0.000000e+00    6.832655e+00    3.549524e+02   1.521954e-192
   2.420072e-02    3.375989e+02    1.046896e+00    3.365521e+02    0.000000e+00    2.315363e+02    0.000000e+00    6.645489e+00    3.159888e+02   7.786871e-208
   2.662079e-02    2.899647e+02    9.949491e-01    2.889697e+02    0.000000e+00    2.091634e+02    0.000000e+00    6.480489e+00    2.900028e+02  -5.672739e-192
   2.904086e-02    2.521960e+02    9.498100e-01    2.512461e+02    0.000000e+00    1.905390e+02    0.000000e+00    6.334866e+00    2.640168e+02   2.491799e-206
   3.146093e-02    2.216718e+02    9.097403e-01    2.207621e+02    0.000000e+00    1.747970e+02    0.000000e+00    6.203476e+00    2.454470e+02   2.116900e-191
   3.388100e-02    1.966015e+02    8.740181e-01    1.957275e+02    0.000000e+00    1.613190e+02    0.000000e+00    6.084529e+00    2.268771e+02    0.000000e+00
   3.630108e-02    1.757240e+02    8.418409e-01    1.748821e+02    0.000000e+00    1.496516e+02    0.000000e+00    5.976236e+00    2.129423e+02  -7.900327e-191
   3.872115e-02    1.581288e+02    8.127038e-01    1.573161e+02    0.000000e+00    1.394547e+02    0.000000e+00    5.876851e+00    1.990074e+02   2.491799e-206
   4.114122e-02    1.431440e+02    7.861309e-01    1.423579e+02    0.000000e+00    1.304684e+02    0.000000e+00    5.785097e+00    1.881627e+02   2.948441e-190
   4.356129e-02    1.302640e+02    7.616905e-01    1.295023e+02    0.000000e+00    1.224906e+02    0.000000e+00    5.699739e+00    1.773181e+02   2.790815e-204
   4.598136e-02    1.191021e+02    7.393205e-01    1.183628e+02    0.000000e+00    1.153616e+02    0.000000e+00    5.620760e+00    1.686365e+02  -1.100373e-189
   4.840144e-02    1.093579e+02    7.185136e-01    1.086393e+02    0.000000e+00    1.089538e+02    0.000000e+00    5.546532e+00    1.599549e+02    0.000000e+00
   5.082151e-02    1.007949e+02    6.991896e-01    1.000957e+02    0.000000e+00    1.031640e+02    0.000000e+00    5.476882e+00    1.528467e+02   4.106648e-189
   5.324158e-02    9.322513e+01    6.812114e-01    9.254392e+01    0.000000e+00    9.790760e+01    0.000000e+00    5.411415e+00    1.457384e+02    0.000000e+00
   5.566165e-02    8.649683e+01    6.643556e-01    8.583248e+01    0.000000e+00    9.311484e+01    0.000000e+00    5.349645e+00    1.398101e+02  -1.532622e-188
   5.808172e-02    8.048684e+01    6.485494e-01    7.983829e+01    0.000000e+00    8.872758e+01    0.000000e+00    5.291219e+00    1.338818e+02   1.275801e-202
   6.050179e-02    7.509405e+01    6.336874e-01    7.446036e+01    0.000000e+00    8.469699e+01    0.000000e+00    5.235734e+00    1.288613e+02   5.719823e-188
   6.292187e-02    7.023484e+01    6.196623e-01    6.961518e+01    0.000000e+00    8.098176e+01    0.000000e+00    5.182831e+00    1.238408e+02   1.046157e-201
   6.534194e-02    6.583958e+01    6.064575e-01    6.523312e+01    0.000000e+00    7.754671e+01    0.000000e+00    5.132804e+00    1.195336e+02  -2.134667e-187
   6.776201e-02    6.184967e+01    5.939083e-01    6.125576e+01    0.000000e+00    7.436169e+01    0.000000e+00    5.084878e+00    1.152263e+02    0.000000e+00
   7.018208e-02    5.821577e+01    5.820056e-01    5.763376e+01    0.000000e+00    7.140073e+01    0.000000e+00    5.038913e+00    1.114898e+02   7.966686e-187
   7.260215e-02    5.489588e+01    5.706948e-01    5.432519e+01    0.000000e+00    6.864130e+01    0.000000e+00    4.995097e+00    1.077532e+02  -2.041282e-202
   7.502222e-02    5.185412e+01    5.599026e-01    5.129422e+01    0.000000e+00    6.606381e+01    0.000000e+00    4.952938e+00    1.044803e+02  -2.973208e-186
   7.744230e-02    4.905971e+01    5.496309e-01    4.851008e+01    0.000000e+00    6.365112e+01    0.000000e+00    4.912393e+00    1.012075e+02  -8.165126e-202
   7.986237e-02    4.648602e+01    5.398118e-01    4.594621e+01    0.000000e+00    6.138814e+01    0.000000e+00    4.873616e+00    9.831651e+01   1.109616e-185
   8.228244e-02    4.410999e+01    5.304153e-01    4.357957e+01    0.000000e+00    5.926161e+01    0.000000e+00    4.836017e+00    9.542557e+01  -6.532101e-201
   8.470251e-02    4.191157e+01    5.214209e-01    4.139014e+01    0.000000e+00    5.725975e+01    0.000000e+00    4.800004e+00    9.285290e+01  -4.141144e-185
   8.712258e-02    3.987317e+01    5.127928e-01    3.936037e+01    0.000000e+00    5.537210e+01    0.000000e+00    4.765078e+00    9.028024e+01  -7.707879e-199
