# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=9.938e-10, Err(IET)=9.900e-13, Q_net=-4.547e-13
# {"name":"C2", "Z":6, "Zstar":2.8241191141879334, "A":12.011,  "μ[AU]": 6.2100060819e-01, "Te[AU]": 7.350e-02, "Ti[AU]": 7.350e-02, "rs[AU]": 2.420e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.420072e-03    1.177674e+04    4.436884e+00    1.177230e+04    0.000000e+00    2.459778e+03   -1.696443e+01    1.390135e+01    3.300321e+03    0.000000e+00
   4.840144e-03    4.135035e+03    3.125969e+00    4.131909e+03  -1.084901e-233    1.220523e+03   -1.200528e+01    1.134724e+01    1.652474e+03    0.000000e+00
   7.260215e-03    2.233865e+03    2.545834e+00    2.231319e+03  -3.471682e-232    8.076493e+02   -9.800769e+00    1.011198e+01    1.103171e+03    0.000000e+00
   9.680287e-03    1.439609e+03    2.198490e+00    1.437411e+03    0.000000e+00    6.013357e+02   -8.479904e+00    9.329948e+00    8.285018e+02    0.000000e+00
   1.210036e-02    1.021937e+03    1.960313e+00    1.019977e+03    0.000000e+00    4.776329e+02   -7.577125e+00    8.770889e+00    6.636877e+02    0.000000e+00
   1.452043e-02    7.712079e+02    1.784565e+00    7.694233e+02   1.805275e-230    3.952271e+02   -6.908144e+00    8.344941e+00    5.538005e+02    0.000000e+00
   1.694050e-02    6.070996e+02    1.647953e+00    6.054516e+02   5.554692e-231    3.364147e+02   -6.385674e+00    8.004978e+00    4.753005e+02    0.000000e+00
   1.936057e-02    4.929264e+02    1.537049e+00    4.913894e+02    0.000000e+00    2.923444e+02   -5.964205e+00    7.722062e+00    4.164174e+02    0.000000e+00
   2.178065e-02    4.097998e+02    1.445402e+00    4.083544e+02   1.955251e-228    2.580999e+02   -5.614881e+00    7.483567e+00    3.706123e+02    0.000000e+00
   2.420072e-02    3.471048e+02    1.367451e+00    3.457373e+02    0.000000e+00    2.307314e+02   -5.317575e+00    7.277109e+00    3.339618e+02    0.000000e+00
   2.662079e-02    2.984755e+02    1.300052e+00    2.971755e+02    0.000000e+00    2.083622e+02   -5.061253e+00    7.095424e+00    3.039693e+02    0.000000e+00
